instance_id,test_comprehensiveness,codebase_scope,side_effect_risk,similar_issue_likelihood,entry_point_clarity,atypicality,information_completeness,problem_clarity,solution_complexity,logical_reasoning_required,error_specificity,standard_pattern_available,solution_hint,domain_knowledge_required,fix_localization
sympy__sympy-12096,2,1,2,1,5,1,5,5,1,2,5,1,3,3,5
django__django-15375,3,1,2,1,4,3,5,5,1,3,5,0,3,4,5
pydata__xarray-6938,2,2,3,1,4,3,5,4,3,4,4,1,1,4,5
sympy__sympy-16597,4,4,4,0,4,3,4,4,4,4,4,0,2,4,5
astropy__astropy-7336,3,1,1,1,5,1,5,5,1,2,5,1,2,2,5
django__django-14122,2,1,3,1,4,3,3,4,2,3,3,0,1,4,4
django__django-7530,3,1,2,1,4,2,4,4,1,2,4,1,2,4,5
django__django-11265,2,2,3,0,4,4,5,4,3,4,5,0,2,5,4
psf__requests-1766,2,1,2,1,5,1,5,5,1,1,4,1,3,3,5
matplotlib__matplotlib-25287,4,1,2,1,5,1,5,5,1,2,5,1,3,3,4
pydata__xarray-3151,2,1,2,1,5,2,5,5,2,3,5,0,2,4,5
django__django-16631,3,2,3,1,5,3,4,4,3,3,4,0,2,4,4
sympy__sympy-18199,4,3,3,1,5,4,4,4,4,5,4,0,1,5,4
pydata__xarray-4695,2,1,1,1,4,2,5,5,1,2,5,1,3,3,5
pytest-dev__pytest-5631,3,1,2,1,5,2,5,5,2,2,5,1,3,3,5
sphinx-doc__sphinx-9230,3,1,3,1,4,2,4,5,1,3,4,1,1,3,4
django__django-16667,4,1,1,1,5,1,5,5,1,2,5,1,2,3,5
django__django-14089,2,1,1,1,5,1,5,5,1,1,4,1,3,2,5
django__django-15732,3,2,3,0,4,4,5,4,4,4,5,0,2,5,4
sympy__sympy-13852,4,1,3,1,5,3,5,4,3,3,4,0,3,5,4
django__django-12262,4,1,2,1,4,3,5,4,1,3,5,0,2,4,5
django__django-13023,4,1,1,1,5,1,5,5,1,2,4,1,3,2,5
django__django-16333,2,1,2,1,5,1,4,5,1,2,4,1,3,3,5
sympy__sympy-13757,3,1,3,1,4,3,5,5,1,3,5,1,0,4,5
pylint-dev__pylint-6528,4,2,2,1,4,2,5,5,3,3,4,1,2,3,4
sphinx-doc__sphinx-9461,3,3,3,0,4,4,4,4,4,4,4,0,1,4,4
django__django-14725,4,2,2,1,3,2,4,4,2,2,3,1,3,4,3
sphinx-doc__sphinx-11445,4,1,3,1,4,3,5,4,2,3,4,0,2,4,5
astropy__astropy-14096,2,1,3,1,5,3,5,5,1,3,5,1,2,3,5
astropy__astropy-14995,4,1,2,1,5,2,5,5,1,2,5,1,3,3,5
django__django-15499,2,1,1,1,5,1,5,5,1,2,4,1,3,4,5
django__django-15525,2,1,2,1,4,3,5,4,1,3,5,0,3,4,5
matplotlib__matplotlib-25479,3,2,3,1,4,3,5,4,2,3,5,0,2,4,4
sphinx-doc__sphinx-8548,3,2,3,1,4,3,4,4,3,4,3,0,2,4,5
django__django-13449,2,1,2,1,4,3,5,5,3,3,5,0,3,4,4
django__django-15572,2,1,1,1,5,1,5,5,1,2,4,1,3,3,5
django__django-16145,2,1,1,1,5,1,5,5,1,2,4,1,3,3,5
django__django-11815,4,1,3,1,5,2,5,5,1,2,4,1,3,3,5
sympy__sympy-17630,3,2,4,1,5,4,5,4,3,4,5,0,1,5,4
pytest-dev__pytest-10356,2,1,3,1,4,3,5,4,3,3,4,0,2,4,4
django__django-10880,2,1,2,1,4,1,4,5,1,1,4,1,3,3,5
django__django-11141,2,1,3,1,5,3,4,4,3,3,4,0,2,4,4
matplotlib__matplotlib-24970,3,1,3,1,5,3,5,4,3,3,5,0,2,4,5
sympy__sympy-13798,3,1,2,1,5,2,5,4,3,3,4,1,2,3,5
scikit-learn__scikit-learn-26194,3,1,3,1,5,2,5,4,1,2,5,1,2,3,5
matplotlib__matplotlib-24570,4,1,3,1,4,2,5,5,1,2,5,1,3,3,5
sphinx-doc__sphinx-10673,2,3,3,0,5,4,4,4,4,4,4,0,1,5,4
django__django-14752,2,1,1,1,5,1,5,5,1,1,4,1,3,3,5
matplotlib__matplotlib-24177,2,2,3,0,4,4,5,4,1,4,4,0,2,5,4
django__django-16082,3,1,1,1,4,2,4,4,1,2,3,1,3,4,5
sympy__sympy-22456,2,1,3,1,5,3,4,4,3,3,4,0,2,4,5
django__django-13516,2,1,1,1,4,2,3,4,1,2,3,1,1,3,5
matplotlib__matplotlib-22871,2,1,3,1,4,3,5,5,2,3,4,0,1,4,5
matplotlib__matplotlib-23299,2,1,3,1,4,4,5,4,2,4,5,0,2,4,3
django__django-14007,3,1,3,1,4,3,5,5,3,3,4,0,1,4,4
django__django-16485,3,1,2,1,5,1,5,5,1,2,5,1,1,3,5
matplotlib__matplotlib-22719,2,1,2,1,4,2,5,5,1,2,5,1,3,4,5
django__django-16256,4,2,2,1,5,2,5,5,2,2,4,1,3,4,4
django__django-14011,3,3,3,1,4,3,5,5,3,3,4,0,3,4,4
django__django-15315,2,1,2,1,5,2,5,5,1,2,5,1,3,3,5
pytest-dev__pytest-6197,3,2,4,1,4,3,5,4,3,4,5,0,1,4,4
django__django-16493,3,1,1,1,5,3,5,5,1,3,5,0,3,4,5
django__django-14787,2,1,2,1,5,3,4,4,1,3,5,1,1,3,5
django__django-13279,3,1,3,1,4,3,4,4,2,3,4,0,3,4,5
django__django-12741,2,2,3,1,5,1,5,5,1,1,5,1,3,3,4
django__django-15987,3,1,1,1,4,2,3,4,1,2,4,1,2,3,5
sympy__sympy-13480,3,1,1,1,5,1,5,5,1,1,5,1,3,1,5
astropy__astropy-7166,2,1,2,1,4,2,4,5,1,2,4,1,3,2,5
sympy__sympy-17139,3,1,2,1,5,2,5,5,1,2,5,1,1,3,5
django__django-15467,2,1,2,1,5,1,5,5,1,2,4,1,3,3,5
django__django-15037,2,1,2,1,4,3,4,4,2,3,4,0,2,4,3
sphinx-doc__sphinx-7985,3,1,3,1,5,3,4,4,2,3,4,0,1,4,4
astropy__astropy-13579,2,1,3,1,4,3,5,5,3,4,4,0,3,4,4
pytest-dev__pytest-7324,3,1,2,1,5,3,5,4,2,3,5,0,3,4,5
sympy__sympy-13091,4,4,4,1,5,2,5,5,3,3,4,1,3,3,4
scikit-learn__scikit-learn-13496,2,1,2,1,5,1,5,5,1,1,4,1,3,3,5
pydata__xarray-4094,3,1,2,1,4,3,5,4,1,3,4,0,0,4,5
django__django-16877,4,1,1,1,5,1,5,5,1,1,3,1,3,3,5
matplotlib__matplotlib-25311,3,1,2,1,4,3,4,4,2,3,4,1,1,4,5
scikit-learn__scikit-learn-25232,2,1,2,1,5,1,5,5,1,1,4,1,3,3,5
pytest-dev__pytest-7236,3,1,2,1,4,3,5,5,3,3,5,0,1,4,5
pydata__xarray-3993,2,2,3,1,5,1,5,5,2,2,4,1,3,3,4
django__django-15563,3,2,3,0,3,4,5,5,4,4,5,0,3,5,4
sympy__sympy-13615,2,1,3,1,4,3,5,4,3,4,4,0,1,4,4
pydata__xarray-6744,4,1,3,1,4,3,5,5,3,3,5,0,1,4,5
sphinx-doc__sphinx-7454,3,1,2,1,4,3,5,5,1,3,4,0,1,4,4
matplotlib__matplotlib-23314,2,1,1,1,4,1,4,5,1,2,4,1,1,3,5
scikit-learn__scikit-learn-12585,2,1,2,1,5,2,5,5,1,2,5,1,3,3,5
pylint-dev__pylint-6903,3,1,1,1,5,1,5,5,1,1,5,1,3,2,5
django__django-12273,3,1,3,1,3,3,5,4,2,3,4,0,3,4,4
sympy__sympy-12481,2,1,3,1,4,2,5,5,1,2,4,1,2,3,5
django__django-10999,4,1,3,1,5,3,5,4,3,3,4,0,2,2,5
matplotlib__matplotlib-26291,2,1,2,1,4,3,5,5,1,3,5,0,3,4,4
django__django-15277,4,1,2,1,5,1,5,5,1,1,5,1,3,3,5
sympy__sympy-13551,2,1,3,1,4,3,5,5,2,3,5,0,3,4,5
sympy__sympy-22914,2,1,1,1,5,1,5,5,1,1,5,1,3,2,5
django__django-13012,3,1,2,1,4,2,5,5,1,2,5,1,3,4,5
django__django-11490,2,1,2,1,5,3,5,4,2,3,4,0,1,4,5
sphinx-doc__sphinx-7462,3,2,1,1,5,1,5,5,2,2,5,1,3,3,5
django__django-16569,2,1,1,1,5,1,5,5,1,2,5,1,3,3,5
django__django-16139,3,1,2,1,5,2,5,5,1,2,5,1,3,3,5
sympy__sympy-21379,3,2,2,1,3,2,5,5,2,3,5,1,3,4,4
sympy__sympy-12419,3,1,3,1,4,2,5,5,2,3,5,1,3,4,5
django__django-14915,3,1,2,1,5,1,5,5,1,1,5,1,3,2,5
sphinx-doc__sphinx-8056,3,1,3,1,4,3,5,4,3,3,4,0,1,4,4
sympy__sympy-17318,3,2,2,1,5,3,5,5,2,3,5,0,3,4,4
pylint-dev__pylint-7277,4,1,3,1,5,2,5,5,2,2,4,1,3,3,5
sympy__sympy-24213,2,1,2,1,5,2,5,5,1,3,5,0,1,4,5
matplotlib__matplotlib-25960,3,2,3,1,4,3,4,4,3,4,4,0,2,4,5
django__django-11740,2,1,2,1,4,3,5,4,2,3,4,0,3,4,4
sympy__sympy-20801,3,1,3,1,4,3,5,5,2,3,5,0,1,4,5
django__django-14493,2,1,1,1,5,1,5,5,1,1,5,1,3,3,5
django__django-14539,2,1,2,1,5,3,5,5,2,4,5,0,1,3,5
astropy__astropy-13236,4,1,3,1,5,2,5,5,1,2,4,1,3,4,5
pytest-dev__pytest-10081,4,1,1,1,4,3,5,5,2,3,5,0,1,4,5
django__django-17084,3,1,2,1,3,3,4,4,2,4,4,0,1,5,5
django__django-13028,3,1,2,1,5,3,5,5,1,3,5,0,3,4,5
pydata__xarray-6461,2,1,2,1,5,2,4,4,1,3,5,1,1,3,5
matplotlib__matplotlib-20488,3,1,2,1,4,3,4,4,2,3,5,0,1,4,4
pytest-dev__pytest-8399,3,2,2,1,5,1,5,5,1,1,5,1,3,3,5
matplotlib__matplotlib-20826,2,2,3,1,4,3,5,4,2,3,4,0,2,4,4
django__django-15851,2,1,1,1,5,1,5,5,1,1,5,1,3,2,5
sympy__sympy-19783,3,2,3,1,4,3,4,4,2,3,4,0,1,4,4
pytest-dev__pytest-5840,3,2,3,1,4,3,5,4,3,3,5,0,2,4,4
django__django-10097,4,1,3,1,5,2,5,5,1,3,4,1,3,3,5
sympy__sympy-22714,1,1,2,1,5,3,5,4,1,3,5,0,1,4,5
django__django-11239,3,1,1,1,5,1,5,5,1,1,4,1,3,3,5
django__django-15503,4,2,3,1,4,4,5,4,3,4,5,0,2,5,5
sympy__sympy-24443,2,1,3,1,5,3,5,4,3,3,5,0,2,4,5
django__django-15368,2,1,2,1,5,1,5,5,1,2,5,1,3,3,5
matplotlib__matplotlib-23476,2,1,2,1,4,3,5,5,1,3,5,0,2,4,4
django__django-15104,2,1,1,1,5,1,5,5,1,1,5,1,3,3,5
django__django-15554,2,2,3,0,3,4,5,4,4,4,4,0,1,5,4
django__django-13195,4,3,2,1,5,1,5,5,2,2,4,1,3,3,5
sympy__sympy-15349,4,1,2,1,5,1,5,5,1,2,5,1,3,3,5
scikit-learn__scikit-learn-25747,3,1,3,1,5,2,5,5,1,2,5,1,3,3,5
django__django-16801,2,1,2,1,5,2,4,5,2,2,4,1,3,4,5
django__django-14580,3,1,1,1,4,2,5,5,1,2,5,1,3,4,5
sympy__sympy-20154,4,1,3,1,5,1,4,5,1,1,4,1,3,1,5
pytest-dev__pytest-5787,4,2,3,1,4,3,4,4,4,4,4,0,1,4,4
django__django-13212,4,2,3,1,5,1,5,5,2,2,4,1,3,3,4
pylint-dev__pylint-4661,2,2,4,1,5,2,4,4,2,2,3,1,3,2,5
sphinx-doc__sphinx-10435,3,1,2,1,5,3,5,5,2,2,5,0,3,4,5
sympy__sympy-20590,2,1,2,1,4,2,5,5,1,2,5,1,3,3,5
django__django-16315,3,2,2,1,4,2,5,5,3,3,5,1,3,4,3
psf__requests-2317,2,1,2,1,5,2,5,5,1,2,4,1,3,3,5
django__django-14017,4,1,2,1,5,2,5,5,1,2,5,1,3,4,5
django__django-13551,4,1,3,1,5,1,4,5,2,2,4,1,3,3,5
matplotlib__matplotlib-26208,3,2,3,0,3,4,5,4,1,4,4,0,1,5,4
sympy__sympy-19346,4,1,2,1,5,1,5,5,2,2,4,1,2,2,5
django__django-15128,3,2,3,0,4,4,5,4,4,4,5,0,3,5,4
django__django-13121,2,4,3,0,4,4,4,4,4,4,5,0,1,5,4
scikit-learn__scikit-learn-10844,2,1,1,1,5,1,4,5,2,2,4,1,3,2,5
django__django-12419,1,1,3,1,5,1,5,5,1,1,5,1,3,2,4
django__django-13658,2,1,1,1,5,1,5,5,1,1,5,1,3,3,5
django__django-14349,4,1,2,1,5,2,5,4,1,2,5,1,2,3,5
sphinx-doc__sphinx-7910,3,1,2,1,5,2,5,5,1,2,5,1,3,3,5
django__django-11848,4,1,2,1,5,2,5,5,2,3,4,1,3,3,5
django__django-13033,3,1,2,1,4,3,5,5,2,3,5,0,3,4,4
sympy__sympy-15345,2,1,2,1,4,2,5,5,2,3,5,1,1,4,5
django__django-16661,3,1,3,0,4,4,5,4,4,4,4,0,1,5,5
django__django-12858,2,1,2,1,4,3,4,4,1,3,5,0,1,4,5
scikit-learn__scikit-learn-25931,2,1,2,1,5,2,5,5,2,2,5,1,3,3,4
mwaskom__seaborn-3069,3,2,3,0,4,3,4,4,3,3,3,0,2,4,3
scikit-learn__scikit-learn-11310,2,1,1,1,5,1,5,5,1,1,3,1,3,3,5
sympy__sympy-18189,3,1,1,1,4,1,5,5,1,2,5,1,3,2,5
django__django-12663,2,1,3,0,4,4,5,4,2,4,5,0,3,5,4
scikit-learn__scikit-learn-10297,3,1,2,1,5,1,5,5,1,1,5,1,3,3,5
pylint-dev__pylint-6386,2,3,3,1,4,3,5,4,3,3,5,0,1,4,5
django__django-14534,3,1,2,1,5,1,5,5,1,2,5,1,3,3,5
django__django-14373,3,1,2,1,5,1,4,5,1,1,4,1,3,2,5
django__django-15098,4,1,3,1,3,2,5,5,1,2,4,1,3,3,5
sympy__sympy-23534,2,1,1,1,5,1,5,5,1,2,5,1,2,3,5
django__django-14631,3,2,3,0,4,3,5,4,3,3,3,0,3,4,4
django__django-11433,4,1,3,1,4,3,3,4,2,3,3,0,2,4,5
psf__requests-1921,2,1,3,1,4,2,5,5,1,2,4,1,2,3,5
django__django-16899,3,1,1,1,5,1,5,5,1,1,5,1,3,3,5
psf__requests-2931,2,1,3,1,5,2,4,4,3,3,4,1,1,3,4
astropy__astropy-14182,3,1,3,1,5,3,5,4,3,3,5,0,1,4,5
django__django-12209,2,1,3,1,4,2,5,5,1,3,4,0,3,4,5
django__django-11999,2,1,2,1,4,2,5,5,1,2,4,1,3,4,5
sympy__sympy-15017,3,1,3,1,5,1,5,5,1,2,5,1,1,2,4
sphinx-doc__sphinx-10614,4,1,3,1,4,3,5,4,3,4,4,0,2,4,5
scikit-learn__scikit-learn-13439,1,1,2,1,5,1,5,5,1,1,4,1,3,2,5
sympy__sympy-13878,4,1,2,1,5,2,5,5,3,2,4,1,3,4,4
sphinx-doc__sphinx-11510,3,2,3,0,4,4,5,5,4,4,4,0,3,4,4
django__django-14559,4,1,2,1,5,1,5,5,1,1,4,1,3,3,5
django__django-13964,2,1,3,1,4,3,5,5,1,3,5,0,3,4,4
django__django-14608,4,1,2,1,4,1,4,5,1,2,4,1,2,3,5
django__django-13821,2,1,2,1,5,1,5,5,1,1,5,1,3,2,5
django__django-14034,3,2,3,1,4,3,5,4,3,3,4,0,3,4,5
pydata__xarray-6992,4,2,4,0,5,4,4,3,4,5,4,0,1,5,5
django__django-16662,2,1,1,1,5,1,5,5,1,2,4,1,3,3,5
django__django-13933,2,1,2,1,5,1,5,5,1,1,5,1,3,3,5
sphinx-doc__sphinx-7440,2,1,3,1,4,2,4,4,1,3,4,1,1,4,5
pytest-dev__pytest-7432,3,1,2,1,5,2,5,5,1,3,5,0,2,4,5
scikit-learn__scikit-learn-14629,3,1,2,1,5,2,5,5,2,2,5,1,3,3,4
sympy__sympy-23262,2,1,2,1,4,2,5,5,1,2,5,1,2,3,5
django__django-13925,4,1,2,1,4,3,5,4,2,3,5,0,1,4,4
astropy__astropy-13453,2,1,2,1,4,2,5,5,2,2,4,1,3,4,5
sympy__sympy-21930,4,1,2,1,4,2,5,5,1,2,5,1,3,3,4
sympy__sympy-24661,3,1,2,1,4,2,5,5,3,2,5,1,3,4,5
sphinx-doc__sphinx-8035,2,2,3,1,4,3,3,4,3,3,3,1,2,4,4
django__django-14999,3,1,2,1,4,2,3,4,2,2,3,1,2,4,4
scikit-learn__scikit-learn-11578,4,1,2,1,5,2,5,5,1,2,5,1,3,4,5
django__django-13837,3,1,3,1,5,3,5,5,2,3,4,1,3,4,5
scikit-learn__scikit-learn-9288,2,1,3,1,4,2,5,5,2,3,4,1,3,3,5
pydata__xarray-7229,4,1,3,1,4,3,5,4,3,4,4,0,2,4,4
scikit-learn__scikit-learn-13142,3,1,1,1,4,2,5,5,1,3,5,1,3,3,5
scikit-learn__scikit-learn-25973,2,1,1,1,4,2,5,5,2,2,4,1,3,3,5
sphinx-doc__sphinx-9673,3,1,1,1,4,2,5,5,1,2,4,1,3,4,5
django__django-15561,2,2,3,1,4,3,5,5,3,3,4,1,3,4,5
sphinx-doc__sphinx-9258,2,1,2,1,4,2,4,4,1,2,3,1,2,3,5
scikit-learn__scikit-learn-12682,3,3,2,1,5,2,4,4,3,2,4,1,3,3,4
django__django-11133,2,1,1,1,5,1,5,5,1,1,5,1,3,3,5
django__django-11099,3,1,2,1,5,1,5,5,1,1,5,1,3,2,5
pylint-dev__pylint-4551,4,4,3,0,3,4,3,3,4,4,3,0,1,4,3
sphinx-doc__sphinx-8721,3,1,2,1,4,2,4,4,1,2,3,1,1,4,5
sympy__sympy-16792,2,1,2,1,4,3,5,5,3,3,5,0,2,4,4
sympy__sympy-18763,2,1,2,1,5,1,5,5,1,1,5,1,3,2,5
django__django-12965,2,1,2,1,4,3,5,4,2,4,5,0,2,4,4
django__django-15127,2,2,2,1,4,2,4,4,2,2,4,1,3,4,4
matplotlib__matplotlib-26342,2,1,3,1,5,1,5,5,1,1,4,1,3,3,5
sympy__sympy-23413,3,1,2,1,4,3,5,4,2,3,4,0,1,4,5
django__django-15629,4,3,3,1,4,4,5,4,4,4,5,0,3,5,4
pydata__xarray-7233,3,1,2,1,5,2,5,5,1,3,4,0,1,4,5
astropy__astropy-14508,3,1,3,1,5,2,5,5,2,2,5,1,3,3,5
django__django-15916,3,1,3,1,4,3,4,4,3,3,4,0,2,4,4
matplotlib__matplotlib-25775,4,3,2,1,4,2,4,4,3,2,3,1,2,4,3
django__django-14311,3,1,2,1,4,3,4,4,3,3,4,0,3,4,5
sphinx-doc__sphinx-9281,2,1,2,1,4,1,5,5,2,2,4,1,3,3,5
pydata__xarray-3677,2,1,2,1,5,1,5,5,1,2,5,1,2,3,4
sympy__sympy-19040,2,1,2,1,4,2,5,5,1,2,5,0,3,4,4
django__django-13315,3,2,3,1,4,4,3,4,3,4,3,0,2,4,5
sympy__sympy-15599,3,1,3,1,5,3,5,4,3,4,5,0,3,4,5
pytest-dev__pytest-7982,2,1,2,1,5,1,5,5,1,1,5,1,3,2,5
django__django-11451,4,1,2,1,5,1,5,5,1,2,5,1,3,3,5
sympy__sympy-15976,4,1,2,1,4,2,5,5,2,2,4,0,3,3,5
django__django-15957,3,3,3,0,4,4,4,4,4,4,4,0,2,5,3
django__django-12050,2,1,3,1,5,2,4,4,2,2,4,1,2,4,5
django__django-15280,2,2,3,0,3,4,5,5,2,4,5,0,2,5,3
pytest-dev__pytest-7490,3,1,3,1,4,3,5,5,3,3,5,0,2,4,4
django__django-13568,4,1,2,1,5,2,5,4,2,3,5,0,2,4,5
django__django-11555,3,1,2,1,4,3,4,4,2,3,4,0,2,4,4
scikit-learn__scikit-learn-13135,3,1,1,1,5,1,5,5,1,2,5,1,2,3,5
django__django-13513,3,1,2,1,5,3,5,5,3,3,5,0,3,4,5
django__django-10554,4,2,3,1,4,4,4,4,3,4,5,0,1,5,5
pydata__xarray-4075,3,1,1,1,5,2,5,5,2,2,5,1,3,3,5
matplotlib__matplotlib-24627,2,1,3,1,4,2,4,4,2,2,4,1,2,3,4
django__django-13401,3,1,3,1,5,2,5,5,3,3,5,1,3,3,5
astropy__astropy-13977,4,1,4,1,5,3,5,4,3,4,5,0,2,4,4
django__django-11095,3,1,2,1,5,1,4,5,1,1,3,1,3,3,5
django__django-12713,2,1,2,1,5,1,3,4,1,2,3,1,2,4,5
django__django-13417,3,1,2,1,4,2,5,4,1,3,4,0,2,4,4
sympy__sympy-13031,3,1,3,1,5,3,5,4,3,3,5,1,2,4,4
sympy__sympy-15809,2,1,3,1,5,1,5,5,1,1,5,1,3,3,5
sympy__sympy-13877,2,2,3,1,4,3,5,4,3,4,5,0,2,4,5
django__django-13786,3,1,2,1,5,3,5,5,2,3,4,1,3,4,5
django__django-16642,3,1,1,1,4,1,4,5,1,2,4,1,2,3,5
pytest-dev__pytest-6202,3,1,2,1,5,2,5,5,1,2,5,1,3,4,5
django__django-11885,2,3,3,0,4,3,4,4,4,4,3,0,2,4,4
sphinx-doc__sphinx-7748,3,2,3,0,4,4,3,3,4,4,3,0,1,4,4
matplotlib__matplotlib-24149,3,1,2,1,5,1,5,5,2,2,5,1,3,3,5
django__django-15741,3,1,1,1,5,2,4,4,1,2,4,1,2,3,5
django__django-14500,2,1,2,1,4,3,3,4,1,3,3,0,1,4,5
scikit-learn__scikit-learn-25102,3,3,3,0,4,3,5,4,3,4,4,0,2,4,4
sympy__sympy-20438,3,3,3,1,4,3,4,4,3,4,4,0,1,4,5
sympy__sympy-16766,2,1,1,1,5,1,5,5,1,1,5,1,3,3,5
django__django-13512,3,2,2,1,4,1,5,5,1,2,4,1,3,3,5
astropy__astropy-7606,3,1,3,1,5,2,5,5,2,3,5,1,1,3,5
sympy__sympy-14976,3,1,2,1,4,2,5,4,1,2,4,1,2,4,5
django__django-14238,4,1,2,1,5,3,5,5,1,2,5,1,3,4,5
django__django-10914,1,1,4,1,5,1,5,5,1,1,4,1,3,2,5
django__django-14404,4,1,2,1,5,2,5,5,1,2,4,1,3,3,5
psf__requests-6028,3,1,2,1,3,2,4,4,2,3,3,1,3,3,4
django__django-13569,2,1,2,1,5,3,5,5,1,3,5,0,3,4,4
pylint-dev__pylint-4970,2,1,1,1,4,1,4,5,1,1,4,1,2,3,5
matplotlib__matplotlib-24870,4,2,3,1,4,3,5,5,3,3,4,0,3,4,4
matplotlib__matplotlib-25332,3,1,2,1,4,3,4,4,3,3,5,1,1,4,4
sphinx-doc__sphinx-8595,2,1,3,1,4,1,5,5,1,2,4,1,2,3,5
scikit-learn__scikit-learn-12973,4,1,2,1,5,1,5,5,2,2,4,1,3,2,5
django__django-17087,2,1,2,1,4,2,5,5,1,2,5,1,3,3,5
django__django-14351,2,2,3,0,3,4,5,3,3,4,5,0,1,5,4
sympy__sympy-19954,3,1,1,1,5,3,5,4,3,3,5,1,1,3,5
django__django-16100,3,1,2,1,4,1,3,4,1,2,3,1,2,3,5
django__django-12143,2,1,1,1,5,1,5,5,1,1,4,1,3,2,5
django__django-16950,4,1,3,0,4,4,5,4,3,4,4,0,2,4,5
sphinx-doc__sphinx-10323,2,1,3,1,5,3,5,4,1,3,4,0,2,4,5
django__django-12155,2,2,3,1,5,2,4,4,2,2,4,1,3,3,5
django__django-16116,2,1,3,1,5,1,4,5,1,2,4,1,2,3,5
django__django-13590,2,1,2,1,5,2,5,5,2,2,5,1,3,3,5
django__django-17029,2,1,1,1,5,1,5,5,1,1,4,1,3,3,5
sympy__sympy-22080,3,2,3,1,4,3,5,4,3,4,5,0,2,4,4
django__django-15278,2,1,2,1,4,3,5,4,2,3,5,0,1,4,5
django__django-16454,3,1,2,1,5,3,5,5,2,3,5,0,2,4,5
django__django-13343,2,1,2,1,5,2,5,5,2,2,4,1,3,4,4
django__django-16136,3,1,2,1,4,2,5,5,2,2,5,1,3,4,5
django__django-13158,3,1,3,1,4,3,4,4,3,4,4,0,1,4,4
pylint-dev__pylint-8898,3,2,3,1,4,3,5,5,3,3,5,0,3,3,4
sympy__sympy-24066,3,1,3,1,5,3,5,5,2,3,5,0,1,4,4
django__django-14672,4,1,1,1,5,1,5,5,1,1,5,1,3,3,5
sympy__sympy-23824,3,1,2,1,5,2,5,5,1,2,5,1,3,4,5
django__django-13363,3,1,2,1,5,1,5,5,1,2,5,1,3,3,5
scikit-learn__scikit-learn-14983,3,1,2,1,5,2,5,5,2,2,5,1,3,3,5
