instance_id,codebase_scope,logical_reasoning_required,atypicality,test_edge_case_coverage,solution_complexity,debugging_complexity,domain_knowledge_required,side_effect_risk,codebase_scale,test_comprehensiveness,error_specificity,expected_behavior_clarity,information_completeness,solution_hint,integration_complexity
numpy__numpy-248c60e,4,3,4,4,4,2,5,3,4.0,4,3,3,5,3,5
numpy__numpy-ec52363,2,3,4,4,2,2,5,2,4.0,4,3,3,5,1,3
pandas-dev__pandas-9d6d587,1,3,3,3,2,2,4,2,4.0,4,3,3,4,1,3
numpy__numpy-cedba62,1,4,3,1,3,2,4,3,4.0,2,3,3,5,3,2
numpy__numpy-905d37e,1,4,4,2,3,2,5,1,4.0,4,3,3,5,1,3
numpy__numpy-83c780d,4,4,4,2,5,2,5,3,4.0,3,3,3,4,3,5
tornadoweb__tornado-4d4c1e0,5,4,4,1,4,3,4,4,2.0,2,3,2,4,3,5
pandas-dev__pandas-1c2ad16,3,4,3,1,3,3,4,3,4.0,2,3,3,4,1,4
huggingface__datasets-c5464b3,2,4,4,2,4,4,4,4,4.0,3,3,2,4,1,4
numpy__numpy-e801e7a,3,4,4,4,4,2,5,3,4.0,4,3,3,4,0,4
numpy__numpy-ba89ef9,3,4,4,1,4,3,5,3,4.0,2,4,3,4,1,4
pandas-dev__pandas-2421931,3,4,4,2,4,4,5,4,4.0,3,3,3,4,1,4
pandas-dev__pandas-71c94af,3,3,3,1,3,2,4,4,4.0,2,3,3,4,1,4
pandas-dev__pandas-ad3f3f7,1,4,3,2,4,2,4,3,4.0,3,4,3,5,1,4
numpy__numpy-ef5e545,4,4,4,3,4,2,5,3,5.0,3,3,3,5,2,4
numpy__numpy-1b861a2,5,4,4,1,5,3,5,4,4.0,2,3,3,4,3,5
numpy__numpy-cb461ba,5,4,4,3,5,2,5,3,4.0,4,3,3,4,3,5
uploadcare__pillow-simd-9e60023,1,4,4,3,4,2,5,3,4.0,4,3,3,4,3,3
numpy__numpy-1fcda82,5,4,4,4,5,2,5,3,4.0,4,3,3,4,3,5
numpy__numpy-ee75c87,4,4,4,4,4,2,5,3,4.0,4,3,3,4,1,4
huggingface__tokenizers-fc76ad4,3,3,2,2,3,2,4,2,4.0,3,3,2,4,3,3
numpy__numpy-780799b,1,4,3,3,3,2,5,2,4.0,4,3,3,5,0,2
pandas-dev__pandas-2f4c93e,3,3,3,2,3,2,4,3,4.0,3,4,3,5,2,4
pandas-dev__pandas-2a08b05,1,4,3,1,3,2,4,3,4.0,2,3,3,4,1,3
pandas-dev__pandas-f1211e7,3,3,3,2,3,2,4,3,4.0,3,4,3,5,1,3
numpy__numpy-cb0d7cd,5,4,4,4,5,2,5,3,5.0,4,3,3,4,3,5
abetlen__llama-cpp-python-218d361,5,4,4,2,5,4,4,4,4.0,3,2,2,3,1,5
numpy__numpy-382b3ff,1,3,4,1,2,3,5,1,5.0,2,4,3,5,3,3
numpy__numpy-5f94eb8,3,4,4,2,4,2,5,3,4.0,3,3,3,4,3,4
uploadcare__pillow-simd-7511039,1,4,4,1,4,2,5,3,3.0,2,3,3,4,3,3
numpy__numpy-be52f19,3,4,4,1,4,3,5,3,4.0,2,4,3,5,0,4
numpy__numpy-728fedc,5,4,4,2,5,2,5,3,4.0,2,3,3,4,3,5
pandas-dev__pandas-5d82d8b,1,2,1,4,1,1,3,1,4.0,4,4,3,5,3,1
tornadoweb__tornado-9a18f6c,1,3,3,1,3,1,5,3,2.0,2,3,3,5,3,1
pandas-dev__pandas-65bca65,2,3,3,2,2,2,4,2,4.0,3,4,3,5,1,3
numpy__numpy-22ab9aa,4,4,4,2,5,2,5,3,4.0,3,3,3,4,3,5
huggingface__transformers-d51b589,1,4,4,1,3,3,5,2,3.0,2,4,3,4,2,4
pandas-dev__pandas-81b5f1d,2,4,3,1,2,3,4,3,4.0,2,4,3,5,1,3
numpy__numpy-eb21b25,4,4,4,1,4,4,5,3,4.0,2,3,3,4,1,4
pandas-dev__pandas-061c2e9,4,4,3,1,4,3,4,4,4.0,2,3,3,4,1,5
pandas-dev__pandas-233bd83,4,4,3,4,4,1,5,3,4.0,4,3,3,5,2,4
numpy__numpy-794f474,3,4,4,1,4,2,5,3,4.0,2,3,3,4,2,4
python-pillow__Pillow-fd8ee84,2,2,2,3,1,1,4,2,3.0,3,3,3,5,2,2
pydantic__pydantic-addf1f9,3,4,3,2,3,2,4,3,3.0,3,4,3,5,3,4
numpy__numpy-19bfa3f,4,4,4,3,4,3,5,3,4.0,4,3,3,4,3,5
pandas-dev__pandas-c34da50,2,4,3,3,3,2,4,3,4.0,3,4,3,5,1,3
pandas-dev__pandas-c51c2a7,2,3,2,3,3,2,4,3,4.0,3,3,3,4,1,3
pandas-dev__pandas-37e9e06,3,2,2,4,1,2,4,1,4.0,4,4,3,5,1,3
pydantic__pydantic-c2647ab,4,4,4,1,5,3,4,4,3.0,2,3,2,4,3,5
pydantic__pydantic-4a09447,1,3,3,1,3,2,4,3,3.0,2,3,3,4,2,3
huggingface__transformers-253f9a3,3,3,2,2,2,2,4,2,5.0,2,3,3,4,3,3
huggingface__transformers-211f93a,2,4,4,2,3,2,4,3,5.0,2,3,3,4,1,4
huggingface__tokenizers-bfd9cde,3,3,4,2,3,2,4,3,3.0,3,4,4,5,3,4
pandas-dev__pandas-e8961f1,3,4,4,1,4,3,5,3,4.0,2,3,3,4,1,4
pandas-dev__pandas-2cdca01,2,3,3,1,3,2,4,3,5.0,2,4,3,5,3,3
uploadcare__pillow-simd-2818b90,2,5,4,1,5,2,5,3,3.0,2,3,3,4,3,4
huggingface__transformers-63b90a5,1,3,2,3,3,2,3,3,5.0,3,3,3,4,1,3
numpy__numpy-7ff7ec7,2,3,2,4,2,2,4,2,4.0,4,4,3,5,3,3
pandas-dev__pandas-bfaf917,2,3,3,1,3,1,4,2,4.0,2,4,3,5,2,3
numpy__numpy-68eead8,1,3,3,4,2,2,5,3,4.0,4,4,3,5,2,3
abetlen__llama-cpp-python-2bc1d97,5,4,5,2,5,3,5,4,4.0,3,2,2,3,1,5
python-pillow__Pillow-63f398b,1,4,3,4,3,2,4,3,4.0,4,3,3,5,1,2
pandas-dev__pandas-235113e,1,2,2,1,2,1,3,3,4.0,2,4,3,5,2,2
pydantic__pydantic-ac9e6ee,4,4,4,3,5,3,5,4,3.0,4,3,3,4,3,5
numpy__numpy-2540554,1,4,4,3,4,3,5,3,4.0,3,3,3,5,3,3
pandas-dev__pandas-c6cf37a,2,4,3,2,3,3,4,3,4.0,3,4,3,5,1,3
pandas-dev__pandas-438b957,3,4,3,2,3,3,4,3,4.0,3,3,3,4,1,4
uploadcare__pillow-simd-6eacce9,2,5,5,1,5,3,5,3,4.0,2,3,3,4,2,4
tornadoweb__tornado-ac13ee5,5,4,4,2,4,3,4,5,4.0,2,3,2,4,3,5
numpy__numpy-567b57d,4,4,4,2,4,3,5,3,4.0,3,3,3,4,3,5
numpy__numpy-2dfd21e,4,4,4,1,4,2,5,3,5.0,2,3,3,4,1,4
numpy__numpy-28706af,4,4,4,1,4,4,5,3,4.0,2,3,3,4,1,5
pandas-dev__pandas-9a6c8f0,1,4,3,1,3,2,4,3,4.0,2,4,3,5,2,4
tornadoweb__tornado-1b464c4,1,4,3,1,4,2,4,3,4.0,2,3,3,4,2,4
pandas-dev__pandas-9097263,3,3,4,2,3,2,5,3,4.0,3,3,3,4,2,3
pandas-dev__pandas-609c3b7,3,3,3,1,3,2,4,3,4.0,2,3,3,4,1,4
python-pillow__Pillow-d8af3fc,4,4,3,4,4,2,5,3,4.0,4,3,3,4,3,5
