instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
torch-tensor-parallelism,3,1,1,4,4,4,5,2,4,2,1,4,2,3,4
polyglot-c-py,4,1,1,3,3,5,5,3,4,2,1,3,1,3,2
overfull-hbox,4,1,2,3,3,5,5,1,4,2,0,4,1,4,3
distribution-search,4,1,1,4,4,5,5,2,5,2,0,5,1,3,2
model-extraction-relu-logits,5,1,1,5,5,4,5,1,5,2,0,5,1,2,4
prove-plus-comm,3,1,1,3,4,4,5,2,3,1,1,2,1,2,2
largest-eigenval,3,1,1,3,3,4,5,1,3,2,1,3,1,3,4
kv-store-grpc,2,1,2,2,3,5,5,2,2,3,1,3,3,2,3
llm-inference-batching-scheduler,4,1,2,4,4,5,4,2,5,2,0,5,2,4,4
git-multibranch,3,1,3,3,4,5,4,1,3,4,1,4,2,1,4
headless-terminal,3,1,1,3,4,4,5,2,3,3,1,3,1,3,4
pytorch-model-cli,4,1,3,3,4,4,4,4,4,2,0,4,1,3,3
mteb-retrieve,3,1,1,3,4,5,5,2,3,2,0,3,2,1,2
count-dataset-tokens,3,1,1,3,4,4,5,2,3,2,1,3,2,1,3
tune-mjcf,4,1,1,3,5,4,4,2,3,1,0,2,1,3,4
constraints-scheduling,3,1,1,3,3,5,5,1,4,2,0,4,2,4,4
extract-moves-from-video,4,1,1,4,4,3,5,1,3,2,1,4,1,2,3
cancel-async-tasks,3,1,1,3,4,4,5,2,4,1,1,3,1,4,4
extract-elf,4,1,1,4,4,4,5,3,4,2,0,4,1,2,3
merge-diff-arc-agi-task,4,1,2,4,3,4,5,1,4,2,0,4,1,3,3
modernize-scientific-stack,1,1,1,1,2,5,4,2,2,2,1,2,3,2,2
dna-insert,5,1,1,4,5,5,5,1,4,2,0,4,2,3,4
mteb-leaderboard,4,1,2,3,5,4,5,1,3,2,0,4,1,1,2
install-windows-3.11,4,1,3,4,4,4,4,2,3,4,0,4,2,3,4
feal-differential-cryptanalysis,4,1,2,5,5,4,4,2,5,2,0,5,1,1,2
video-processing,4,1,1,4,4,4,5,2,4,2,0,4,1,3,4
pypi-server,3,1,3,3,3,5,4,1,3,4,1,4,2,3,3
vulnerable-secret,3,1,1,3,4,4,5,4,4,2,1,3,1,2,1
pytorch-model-recovery,2,1,1,3,4,5,4,2,3,2,1,3,3,3,3
mailman,3,1,3,4,4,4,4,2,3,4,1,4,2,2,4
polyglot-rust-c,5,1,1,4,5,5,5,5,5,2,0,5,1,3,2
crack-7z-hash,3,4,2,3,4,4,5,3,3,3,1,4,1,1,2
dna-assembly,5,1,1,5,5,4,4,2,4,2,0,5,2,4,4
build-pov-ray,4,1,3,4,4,4,5,4,4,3,0,4,1,3,3
cobol-modernization,3,1,1,2,3,5,5,2,3,2,1,3,1,2,2
fix-ocaml-gc,5,4,1,4,5,3,4,4,4,2,0,4,1,1,3
write-compressor,5,1,2,5,5,5,5,2,5,2,0,5,1,2,3
rstan-to-pystan,4,1,2,4,4,4,5,3,4,3,0,5,2,3,4
protein-assembly,5,1,3,5,5,5,5,2,4,2,0,5,2,3,4
path-tracing,5,1,1,4,5,4,5,4,5,2,0,5,1,4,4
large-scale-text-editing,4,1,1,3,4,5,5,2,4,2,1,4,1,4,3
train-fasttext,2,1,2,3,3,4,5,2,3,3,1,3,1,2,3
multi-source-data-merger,2,1,1,2,3,5,5,2,3,2,1,3,3,2,2
regex-chess,5,1,1,5,5,5,5,4,5,1,0,5,0,4,4
schemelike-metacircular-eval,4,1,1,4,5,4,4,3,5,2,0,5,1,4,4
sanitize-git-repo,2,3,3,3,2,4,4,3,3,3,1,3,2,3,3
fix-git,3,2,1,3,3,2,4,2,3,2,1,3,1,1,2
configure-git-webserver,2,1,3,3,4,4,1,2,3,4,1,4,2,1,4
git-leak-recovery,2,1,1,3,3,4,4,1,3,2,1,3,2,4,3
circuit-fibsqrt,5,1,1,5,5,5,4,3,5,2,0,5,1,4,3
regex-log,3,1,1,4,3,5,5,2,4,1,1,4,2,4,3
custom-memory-heap-crash,5,4,3,5,5,4,5,4,5,2,0,4,1,4,3
sparql-university,3,1,1,3,4,5,5,2,4,1,1,4,2,3,3
compile-compcert,3,3,3,3,4,4,1,4,3,3,1,4,2,4,3
build-pmars,3,1,2,3,3,4,4,4,3,3,1,3,2,3,2
log-summary-date-ranges,2,1,1,2,2,5,5,1,3,2,1,3,3,1,2
code-from-image,5,1,1,4,4,4,5,2,4,2,0,4,1,1,2
qemu-alpine-ssh,3,1,3,4,4,5,5,2,3,3,1,4,2,1,4
feal-linear-cryptanalysis,5,1,3,5,5,4,4,4,5,2,0,5,2,1,2
make-mips-interpreter,5,2,5,5,5,3,4,5,5,3,0,5,1,2,4
adaptive-rejection-sampler,4,1,1,3,5,4,4,2,4,2,1,4,2,4,4
sqlite-db-truncate,4,1,1,4,4,4,5,2,4,1,0,4,1,2,2
