instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
chess-best-move,1,4,4,4,4,2,0,4,3,5,5,1,3,0,2,2,2,1,5,4,2026-03-07T02:05:37.773687,claude-sonnet-4-6,anthropic,chess-best-move
bn-fit-modify,2,4,5,4,4,3,0,4,4,4,4,2,4,0,2,4,4,2,4,3,2026-03-07T02:05:36.796166,claude-sonnet-4-6,anthropic,bn-fit-modify
fix-code-vulnerability,1,4,4,3,3,2,1,4,4,4,3,2,4,1,2,4,3,4,3,2,2026-03-07T02:05:36.274387,claude-sonnet-4-6,anthropic,fix-code-vulnerability
caffe-cifar-10,1,4,5,4,4,4,0,4,3,4,5,4,4,0,3,4,4,3,5,5,2026-03-07T02:05:36.258541,claude-sonnet-4-6,anthropic,caffe-cifar-10
reshard-c4-data,1,4,3,4,4,4,0,4,4,4,3,2,4,1,2,4,4,3,4,3,2026-03-07T02:08:41.317859,claude-sonnet-4-6,anthropic,reshard-c4-data
mcmc-sampling-stan,2,5,5,4,4,4,0,5,4,5,4,2,4,0,3,4,3,2,4,5,2026-03-07T02:05:36.898673,claude-sonnet-4-6,anthropic,mcmc-sampling-stan
portfolio-optimization,2,4,4,3,3,3,1,5,5,5,3,2,5,1,2,4,4,3,4,4,2026-03-07T02:08:40.343101,claude-sonnet-4-6,anthropic,portfolio-optimization
raman-fitting,1,4,4,3,3,2,1,4,3,5,3,1,3,1,2,4,3,2,3,3,2026-03-07T02:08:40.967911,claude-sonnet-4-6,anthropic,raman-fitting
make-doom-for-mips,1,3,5,5,5,4,0,4,4,4,5,5,3,0,2,3,4,2,5,5,2026-03-07T02:08:42.808416,claude-sonnet-4-6,anthropic,make-doom-for-mips
break-filter-js-from-html,0,4,4,4,4,4,0,4,4,4,4,2,4,1,2,3,4,2,2,3,2026-03-07T02:05:36.454852,claude-sonnet-4-6,anthropic,break-filter-js-from-html
openssl-selfsigned-cert,2,5,3,2,1,2,1,5,5,5,2,1,5,1,2,4,3,2,3,2,2026-03-07T02:08:35.582475,claude-sonnet-4-6,anthropic,openssl-selfsigned-cert
sqlite-with-gcov,1,4,3,3,3,2,1,4,4,4,3,2,4,1,3,4,3,2,3,3,2026-03-07T02:08:44.389819,claude-sonnet-4-6,anthropic,sqlite-with-gcov
query-optimize,1,4,3,3,4,3,1,4,4,4,3,1,4,1,1,4,4,3,2,2,2026-03-07T02:08:49.598406,claude-sonnet-4-6,anthropic,query-optimize
torch-pipeline-parallelism,2,4,5,4,4,4,0,4,4,4,5,2,4,0,2,4,4,3,5,3,2026-03-07T02:08:44.924484,claude-sonnet-4-6,anthropic,torch-pipeline-parallelism
build-cython-ext,1,4,4,4,4,3,0,4,5,4,4,4,4,1,3,5,4,3,4,4,2026-03-07T02:05:36.724642,claude-sonnet-4-6,anthropic,build-cython-ext
filter-js-from-html,1,4,4,4,3,4,1,4,4,4,3,1,4,1,2,4,4,4,3,3,2026-03-07T02:05:37.754721,claude-sonnet-4-6,anthropic,filter-js-from-html
nginx-request-logging,3,5,3,2,2,2,1,5,5,5,2,2,5,1,3,4,3,3,3,3,2026-03-07T02:08:35.791274,claude-sonnet-4-6,anthropic,nginx-request-logging
torch-tensor-parallelism,2,4,5,4,4,4,0,4,4,4,4,1,4,0,1,4,4,3,4,3,2026-03-07T02:08:45.969616,claude-sonnet-4-6,anthropic,torch-tensor-parallelism
polyglot-c-py,0,5,4,4,5,2,0,5,5,5,4,1,5,0,2,4,3,3,4,3,2026-03-07T02:08:39.659485,claude-sonnet-4-6,anthropic,polyglot-c-py
overfull-hbox,1,4,4,4,5,3,0,4,4,5,4,2,5,0,2,4,4,3,4,3,2026-03-07T02:08:36.400485,claude-sonnet-4-6,anthropic,overfull-hbox
distribution-search,0,4,4,5,5,2,0,5,4,5,5,1,5,0,2,4,4,3,5,2,2026-03-07T02:05:36.289676,claude-sonnet-4-6,anthropic,distribution-search
model-extraction-relu-logits,1,4,5,5,5,4,0,4,4,4,5,2,4,0,2,3,4,2,5,2,2026-03-07T02:05:37.177898,claude-sonnet-4-6,anthropic,model-extraction-relu-logits
prove-plus-comm,1,4,5,4,4,2,1,4,4,5,3,1,3,1,2,4,3,2,2,4,2026-03-07T02:08:40.948626,claude-sonnet-4-6,anthropic,prove-plus-comm
largest-eigenval,1,4,4,3,4,4,0,4,4,4,4,1,4,0,2,4,4,3,3,3,2026-03-07T02:05:36.725133,claude-sonnet-4-6,anthropic,largest-eigenval
kv-store-grpc,2,5,4,3,3,3,1,5,5,5,3,2,5,1,3,4,3,2,3,3,2026-03-07T02:05:37.178301,claude-sonnet-4-6,anthropic,kv-store-grpc
llm-inference-batching-scheduler,1,4,4,5,5,3,0,5,4,5,5,3,5,0,2,5,4,4,5,3,2026-03-07T02:05:37.243726,claude-sonnet-4-6,anthropic,llm-inference-batching-scheduler
git-multibranch,2,5,4,3,3,3,1,5,5,5,4,3,4,1,4,3,3,2,4,4,2026-03-07T02:05:37.347935,claude-sonnet-4-6,anthropic,git-multibranch
headless-terminal,1,4,4,3,3,3,1,4,5,5,4,1,4,1,2,4,3,3,4,3,2026-03-07T02:05:36.514519,claude-sonnet-4-6,anthropic,headless-terminal
pytorch-model-cli,1,4,5,4,5,3,0,4,3,5,4,3,3,0,2,4,3,2,5,4,2026-03-07T02:08:40.321690,claude-sonnet-4-6,anthropic,pytorch-model-cli
mteb-retrieve,1,4,5,3,5,2,0,5,4,5,4,1,4,0,2,3,2,1,3,4,2026-03-07T02:08:35.807504,claude-sonnet-4-6,anthropic,mteb-retrieve
count-dataset-tokens,1,4,4,3,4,2,1,4,3,5,4,1,3,1,2,1,1,1,3,3,2026-03-07T02:08:35.655178,claude-sonnet-4-6,anthropic,count-dataset-tokens
tune-mjcf,1,4,5,4,5,4,0,4,4,4,4,2,4,0,2,4,4,3,3,4,2026-03-07T02:08:51.887458,claude-sonnet-4-6,anthropic,tune-mjcf
constraints-scheduling,1,4,3,4,3,4,1,5,5,5,4,1,5,1,2,4,4,4,3,2,2026-03-07T02:05:35.220512,claude-sonnet-4-6,anthropic,constraints-scheduling
extract-moves-from-video,0,3,5,3,5,4,0,3,3,4,5,1,3,0,2,3,4,2,5,5,2026-03-07T02:05:35.982906,claude-sonnet-4-6,anthropic,extract-moves-from-video
cancel-async-tasks,1,4,4,4,3,4,1,4,4,4,4,1,4,1,1,5,4,5,3,2,2026-03-07T02:05:35.732635,claude-sonnet-4-6,anthropic,cancel-async-tasks
extract-elf,1,4,5,4,4,3,0,4,5,4,4,1,4,0,2,3,4,2,4,3,2026-03-07T02:08:35.624054,claude-sonnet-4-6,anthropic,extract-elf
merge-diff-arc-agi-task,1,3,4,5,5,3,0,4,4,4,4,2,4,0,2,4,3,2,4,3,2026-03-07T02:08:43.340032,claude-sonnet-4-6,anthropic,merge-diff-arc-agi-task
modernize-scientific-stack,3,5,2,2,2,2,1,5,5,5,2,2,5,1,2,3,3,2,2,2,2026-03-07T02:05:36.675179,claude-sonnet-4-6,anthropic,modernize-scientific-stack
dna-insert,1,4,5,4,5,4,0,4,3,4,5,1,3,0,2,4,4,3,4,4,2026-03-07T02:05:38.911247,claude-sonnet-4-6,anthropic,dna-insert
mteb-leaderboard,1,4,5,3,5,2,0,4,2,5,4,2,3,0,2,2,1,1,4,3,2026-03-07T02:08:35.807030,claude-sonnet-4-6,anthropic,mteb-leaderboard
install-windows-3.11,2,4,5,3,5,4,0,4,4,4,5,3,4,0,4,4,4,3,5,5,2026-03-07T02:08:35.733626,claude-sonnet-4-6,anthropic,install-windows-3.11
feal-differential-cryptanalysis,1,4,5,5,5,3,0,4,4,4,5,2,4,0,1,2,2,1,5,3,2026-03-07T02:05:37.452090,claude-sonnet-4-6,anthropic,feal-differential-cryptanalysis
video-processing,1,4,5,4,5,4,0,4,4,4,5,1,3,0,2,4,3,2,4,3,2026-03-07T02:08:46.486984,claude-sonnet-4-6,anthropic,video-processing
pypi-server,1,4,4,3,3,2,1,5,4,5,3,2,4,1,3,4,3,3,4,4,2026-03-07T02:08:41.083061,claude-sonnet-4-6,anthropic,pypi-server
vulnerable-secret,1,4,4,3,2,2,1,4,3,5,3,1,3,1,2,3,2,1,3,2,2026-03-07T02:08:45.934631,claude-sonnet-4-6,anthropic,vulnerable-secret
pytorch-model-recovery,2,4,4,3,3,3,1,5,4,5,3,2,4,1,2,4,3,3,4,3,2026-03-07T02:08:40.685859,claude-sonnet-4-6,anthropic,pytorch-model-recovery
mailman,1,4,5,4,4,4,0,4,4,4,5,3,4,1,4,4,4,2,5,5,2026-03-07T02:05:36.042762,claude-sonnet-4-6,anthropic,mailman
polyglot-rust-c,0,4,5,5,5,2,0,4,5,5,5,1,5,0,2,4,3,3,5,4,2026-03-07T02:08:39.636456,claude-sonnet-4-6,anthropic,polyglot-rust-c
crack-7z-hash,0,3,4,3,3,2,1,4,3,5,4,2,3,1,2,2,1,1,3,4,2026-03-07T02:05:37.295683,claude-sonnet-4-6,anthropic,crack-7z-hash
dna-assembly,1,4,5,5,5,4,0,4,3,4,5,2,3,0,2,5,5,4,5,4,2026-03-07T02:08:37.609167,claude-sonnet-4-6,anthropic,dna-assembly
build-pov-ray,1,4,5,4,5,3,0,4,4,4,5,3,3,0,3,4,4,3,5,5,2026-03-07T02:05:37.555330,claude-sonnet-4-6,anthropic,build-pov-ray
cobol-modernization,1,4,3,4,4,3,0,5,4,5,3,2,4,1,2,3,3,2,3,3,2026-03-07T02:05:36.219275,claude-sonnet-4-6,anthropic,cobol-modernization
fix-ocaml-gc,0,3,5,5,5,4,0,3,4,4,5,3,3,0,2,3,2,2,4,4,2026-03-07T02:05:36.819012,claude-sonnet-4-6,anthropic,fix-ocaml-gc
write-compressor,0,4,5,5,5,2,0,4,4,5,5,3,4,0,2,4,3,3,5,3,2026-03-07T02:08:45.267294,claude-sonnet-4-6,anthropic,write-compressor
rstan-to-pystan,1,4,5,4,5,4,0,5,4,5,5,2,4,0,3,4,4,2,5,5,2026-03-07T02:08:41.937750,claude-sonnet-4-6,anthropic,rstan-to-pystan
protein-assembly,1,4,5,5,5,4,0,5,3,5,5,3,3,0,2,4,4,3,5,4,2026-03-07T02:08:41.591491,claude-sonnet-4-6,anthropic,protein-assembly
path-tracing,1,4,5,5,5,4,0,5,5,5,5,1,4,0,2,4,4,3,5,3,2026-03-07T02:08:35.691894,claude-sonnet-4-6,anthropic,path-tracing
large-scale-text-editing,1,4,5,4,5,3,0,5,5,5,5,1,5,0,2,4,4,3,4,3,2026-03-07T02:05:37.243232,claude-sonnet-4-6,anthropic,large-scale-text-editing
train-fasttext,1,4,4,3,3,3,1,4,3,5,3,2,4,1,2,3,3,2,3,3,2026-03-07T02:08:48.907995,claude-sonnet-4-6,anthropic,train-fasttext
multi-source-data-merger,2,5,3,3,2,3,1,5,4,5,3,1,4,1,2,3,3,2,3,2,2026-03-07T02:08:36.045058,claude-sonnet-4-6,anthropic,multi-source-data-merger
regex-chess,0,4,5,5,5,4,0,5,5,5,5,1,5,0,1,4,4,4,5,2,2026-03-07T02:08:41.504607,claude-sonnet-4-6,anthropic,regex-chess
schemelike-metacircular-eval,1,4,5,5,5,4,0,4,5,4,5,3,5,0,2,4,4,3,5,3,2026-03-07T02:08:45.955510,claude-sonnet-4-6,anthropic,schemelike-metacircular-eval
sanitize-git-repo,2,4,3,3,2,3,1,4,3,5,3,3,4,1,2,4,3,3,3,2,2026-03-07T02:08:43.437146,claude-sonnet-4-6,anthropic,sanitize-git-repo
fix-git,0,3,3,3,3,2,1,2,2,3,4,2,2,1,2,3,2,1,3,2,2026-03-07T02:05:36.027696,claude-sonnet-4-6,anthropic,fix-git
configure-git-webserver,1,4,4,3,3,3,1,4,5,5,4,3,4,1,4,3,3,2,4,4,2026-03-07T02:05:36.930846,claude-sonnet-4-6,anthropic,configure-git-webserver
git-leak-recovery,1,4,4,3,3,3,1,4,4,5,3,2,4,1,2,5,4,4,3,2,2026-03-07T02:05:37.211775,claude-sonnet-4-6,anthropic,git-leak-recovery
circuit-fibsqrt,0,4,5,5,5,3,0,5,5,5,5,3,5,0,2,4,3,4,5,3,2026-03-07T02:05:36.675812,claude-sonnet-4-6,anthropic,circuit-fibsqrt
regex-log,1,4,3,5,4,3,0,5,5,5,4,1,5,1,1,5,3,5,4,1,2026-03-07T02:08:41.286747,claude-sonnet-4-6,anthropic,regex-log
custom-memory-heap-crash,0,4,5,5,5,4,0,4,5,4,5,4,4,0,2,4,3,3,5,4,2026-03-07T02:05:37.385709,claude-sonnet-4-6,anthropic,custom-memory-heap-crash
sparql-university,1,4,4,4,3,3,1,5,4,5,4,1,4,0,2,4,3,3,4,3,2026-03-07T02:05:47.016706,claude-sonnet-4-6,anthropic,sparql-university
compile-compcert,1,4,5,3,4,3,0,4,3,5,4,3,4,0,3,5,4,4,4,5,2026-03-07T02:05:37.211213,claude-sonnet-4-6,anthropic,compile-compcert
build-pmars,1,4,4,3,4,3,0,4,4,4,4,2,4,0,2,4,3,3,3,3,2026-03-07T02:08:35.171735,claude-sonnet-4-6,anthropic,build-pmars
log-summary-date-ranges,1,5,2,3,2,2,1,5,4,5,3,1,5,1,2,4,3,2,3,2,2026-03-07T02:05:35.496312,claude-sonnet-4-6,anthropic,log-summary-date-ranges
code-from-image,1,3,3,4,5,2,0,4,3,5,5,1,3,0,2,3,2,1,4,3,2026-03-07T02:05:35.420895,claude-sonnet-4-6,anthropic,code-from-image
qemu-alpine-ssh,1,4,4,3,3,3,1,4,4,5,4,2,4,1,3,3,2,1,5,5,2026-03-07T02:08:40.342616,claude-sonnet-4-6,anthropic,qemu-alpine-ssh
feal-linear-cryptanalysis,1,3,5,5,5,2,0,4,4,4,5,3,4,0,2,3,2,1,5,3,2026-03-07T02:05:37.326392,claude-sonnet-4-6,anthropic,feal-linear-cryptanalysis
make-mips-interpreter,1,4,5,5,5,4,0,4,4,4,5,5,4,0,2,4,4,2,5,5,2026-03-07T02:08:39.934892,claude-sonnet-4-6,anthropic,make-mips-interpreter
adaptive-rejection-sampler,1,4,5,5,5,3,0,4,4,4,4,2,4,0,2,4,4,4,5,3,2026-03-07T02:05:35.857626,claude-sonnet-4-6,anthropic,adaptive-rejection-sampler
sqlite-db-truncate,1,4,4,4,4,3,0,4,3,4,4,1,3,0,2,3,3,2,4,2,2026-03-07T02:08:45.625869,claude-sonnet-4-6,anthropic,sqlite-db-truncate
