instance_id,test_assertion_complexity,solution_complexity,atypicality,reproduction_clarity,test_comprehensiveness,codebase_scope,problem_clarity,fix_localization,debugging_complexity,similar_issue_likelihood,logical_reasoning_required,test_edge_case_coverage,domain_knowledge_required,dependency_complexity,entry_point_clarity
constraints-scheduling,4,3,3,4,5,1,5,5,3,1,4,4,3,1,5
extract-moves-from-video,3,5,4,3,3,1,4,5,4,0,4,1,3,2,5
cancel-async-tasks,5,2,3,3,4,1,4,5,3,1,4,4,3,1,5
extract-elf,4,4,4,5,3,1,4,5,4,1,4,2,4,1,5
merge-diff-arc-agi-task,3,4,4,5,3,2,4,5,4,0,4,2,3,1,5
modernize-scientific-stack,3,2,2,4,3,2,5,4,2,1,2,1,2,2,5
dna-insert,4,3,4,3,4,1,4,5,4,0,4,3,5,2,5
mteb-leaderboard,1,3,3,3,2,1,4,5,3,1,3,1,3,2,5
install-windows-3.11,5,4,4,3,4,2,4,4,4,1,4,3,4,4,5
feal-differential-cryptanalysis,2,4,4,3,2,2,4,4,5,0,5,1,5,1,5
video-processing,3,4,4,3,3,1,4,5,4,0,4,2,4,1,5
pypi-server,3,3,3,4,3,3,5,4,3,1,3,2,3,2,5
vulnerable-secret,2,2,3,2,3,2,4,5,4,1,4,1,3,1,4
pytorch-model-recovery,4,4,4,4,4,2,5,4,4,0,4,3,5,1,5
mailman,4,4,4,3,4,3,4,4,4,1,4,2,5,3,5
polyglot-rust-c,3,5,5,5,4,1,5,5,5,0,5,3,4,1,5
crack-7z-hash,1,3,3,2,2,1,4,5,3,1,3,1,3,4,5
dna-assembly,4,4,4,3,4,1,4,4,4,1,4,4,5,2,5
build-pov-ray,4,4,3,4,4,3,4,5,4,1,3,3,4,2,5
cobol-modernization,2,3,4,4,3,2,4,5,4,0,4,1,4,1,5
fix-ocaml-gc,2,1,4,4,3,4,4,4,5,0,4,1,5,3,4
write-compressor,2,5,4,4,3,1,4,5,4,0,4,2,4,1,5
rstan-to-pystan,3,4,4,4,3,2,5,5,4,0,4,2,5,4,5
protein-assembly,4,5,5,3,4,3,4,5,5,0,5,3,5,2,5
path-tracing,4,4,5,5,4,1,4,5,5,0,5,3,4,1,5
large-scale-text-editing,4,3,5,5,5,1,5,5,5,0,4,4,4,1,5
train-fasttext,4,3,2,2,3,1,4,5,4,1,4,2,3,2,5
multi-source-data-merger,3,3,3,4,3,1,5,5,3,1,4,2,3,2,5
regex-chess,4,5,5,4,4,2,4,5,5,0,5,4,5,2,5
schemelike-metacircular-eval,4,5,5,4,5,3,4,4,5,0,5,4,5,1,5
sanitize-git-repo,3,2,3,2,4,4,4,4,3,1,4,3,3,4,5
fix-git,2,2,2,2,3,2,4,4,2,1,3,1,3,2,5
configure-git-webserver,3,4,3,5,3,3,4,1,3,1,3,1,3,2,2
git-leak-recovery,4,3,3,4,4,2,4,4,3,1,4,4,3,1,5
circuit-fibsqrt,3,5,5,4,4,2,4,4,5,0,5,3,5,1,5
regex-log,3,3,4,4,4,1,5,5,4,1,4,4,3,1,5
custom-memory-heap-crash,3,4,4,5,4,2,4,5,5,0,4,4,4,4,5
sparql-university,3,3,3,4,3,1,4,5,4,1,4,2,4,1,5
compile-compcert,4,4,3,3,4,3,4,1,4,1,3,4,4,5,5
build-pmars,3,3,3,4,4,2,5,4,3,1,3,2,3,3,5
log-summary-date-ranges,2,3,2,4,3,1,5,5,2,1,3,1,2,1,5
code-from-image,1,2,4,3,2,1,3,5,4,0,4,1,2,1,5
qemu-alpine-ssh,2,4,3,4,3,1,4,5,4,1,3,1,4,3,5
feal-linear-cryptanalysis,2,5,5,3,3,2,4,4,5,0,5,1,5,1,5
make-mips-interpreter,4,5,5,3,3,4,4,4,5,0,5,1,5,2,5
adaptive-rejection-sampler,3,4,4,3,4,2,5,4,4,0,4,4,5,2,5
sqlite-db-truncate,2,3,4,3,2,1,4,5,4,1,4,1,4,1,5
