solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
1,4,4,4,3,4,1,3,5,3,4,4,5,1,4,2,2,1,5,5,numpy__numpy-893db31,2026-03-06T22:04:58.815281,gpt-5.4-2026-03-05,openai,numpy__numpy-893db31,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,3,5,1,3,4,2,4,3,4,pandas-dev__pandas-fd43d4b,2026-03-06T22:05:12.635251,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-fd43d4b,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
3,4,4,4,3,4,0,4,5,4,2,2,5,1,3,4,3,4,4,4,pandas-dev__pandas-84aca21,2026-03-06T22:05:12.196919,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-84aca21,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,3,4,1,4,5,3,3,2,5,1,4,1,1,1,4,4,pandas-dev__pandas-d377cc9,2026-03-06T22:05:01.572839,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-d377cc9,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
2,4,5,4,4,4,1,5,5,4,4,4,5,1,4,3,3,4,4,4,numpy__numpy-11a7e2d,2026-03-06T22:04:58.275043,gpt-5.4-2026-03-05,openai,numpy__numpy-11a7e2d,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,5,5,4,5,1,4,5,3,5,3,5,1,4,2,3,1,5,4,uploadcare__pillow-simd-b4045cf,2026-03-06T22:05:14.386978,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-b4045cf,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,4,3,2,3,1,4,5,4,3,2,4,1,3,2,2,1,2,3,pandas-dev__pandas-191557d,2026-03-06T22:05:11.942932,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-191557d,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0
3,4,5,4,4,4,1,3,5,3,2,1,5,1,4,2,4,1,5,3,uploadcare__pillow-simd-0514e20,2026-03-06T22:05:13.104034,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-0514e20,4.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,4,4,5,1,4,2,1,1,5,5,pandas-dev__pandas-ccca5df,2026-03-06T22:05:05.239565,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-ccca5df,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1,4,4,4,4,4,0,4,5,4,4,3,5,1,4,2,2,2,4,4,pandas-dev__pandas-e7e3676,2026-03-06T22:05:01.343538,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-e7e3676,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,4,4,3,3,3,1,3,5,4,3,4,5,1,4,4,3,4,5,4,numpy__numpy-248c60e,2026-03-06T22:04:59.164724,gpt-5.4-2026-03-05,openai,numpy__numpy-248c60e,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1,4,4,3,3,3,1,4,5,4,3,2,5,1,3,4,3,4,2,3,numpy__numpy-ec52363,2026-03-06T22:04:59.696498,gpt-5.4-2026-03-05,openai,numpy__numpy-ec52363,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,3,3,1,4,5,4,3,2,5,1,3,3,2,2,3,3,pandas-dev__pandas-9d6d587,2026-03-06T22:05:12.945569,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-9d6d587,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,2,5,1,4,1,2,1,4,3,numpy__numpy-cedba62,2026-03-06T22:04:58.718545,gpt-5.4-2026-03-05,openai,numpy__numpy-cedba62,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0
1,4,5,4,3,4,1,3,5,3,3,2,5,1,3,4,3,2,4,4,numpy__numpy-905d37e,2026-03-06T22:05:00.919078,gpt-5.4-2026-03-05,openai,numpy__numpy-905d37e,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
2,4,5,4,4,4,1,3,5,3,4,4,4,1,4,3,2,3,5,5,numpy__numpy-83c780d,2026-03-06T22:04:22.250361,gpt-5.4-2026-03-05,openai,numpy__numpy-83c780d,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
2,3,4,4,4,5,0,3,5,3,4,5,5,0,5,1,2,1,5,5,tornadoweb__tornado-4d4c1e0,2026-03-06T22:05:14.955540,gpt-5.4-2026-03-05,openai,tornadoweb__tornado-4d4c1e0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0
1,4,4,4,3,4,1,3,5,3,3,3,5,1,4,1,2,1,3,4,pandas-dev__pandas-1c2ad16,2026-03-06T22:05:01.613696,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-1c2ad16,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
2,3,4,4,4,4,0,4,5,4,4,3,5,1,4,3,4,3,4,4,huggingface__datasets-c5464b3,2026-03-06T22:04:20.426581,gpt-5.4-2026-03-05,openai,huggingface__datasets-c5464b3,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0
1,4,4,4,4,4,1,3,5,4,3,4,5,1,4,4,4,4,5,4,numpy__numpy-e801e7a,2026-03-06T22:04:59.471436,gpt-5.4-2026-03-05,openai,numpy__numpy-e801e7a,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,5,4,4,4,0,4,5,4,4,4,5,1,4,4,3,4,5,5,numpy__numpy-ba89ef9,2026-03-06T22:04:58.834730,gpt-5.4-2026-03-05,openai,numpy__numpy-ba89ef9,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1,4,4,4,4,4,0,4,5,4,4,3,5,1,4,2,3,1,5,4,pandas-dev__pandas-2421931,2026-03-06T22:05:13.344150,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-2421931,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,3,4,1,4,5,4,2,2,5,1,4,2,1,1,3,4,pandas-dev__pandas-71c94af,2026-03-06T22:05:02.755551,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-71c94af,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0
1,4,4,4,3,4,1,4,5,4,3,2,5,1,3,4,3,4,4,4,pandas-dev__pandas-ad3f3f7,2026-03-06T22:05:11.339740,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-ad3f3f7,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,3,1,3,5,3,3,3,5,1,4,2,3,3,4,4,numpy__numpy-ef5e545,2026-03-06T22:04:57.375713,gpt-5.4-2026-03-05,openai,numpy__numpy-ef5e545,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0
1,4,5,4,4,4,0,3,4,3,4,4,4,1,4,2,2,1,5,5,numpy__numpy-1b861a2,2026-03-06T22:04:59.097957,gpt-5.4-2026-03-05,openai,numpy__numpy-1b861a2,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,4,4,0,3,5,4,4,4,5,1,4,3,3,2,5,5,numpy__numpy-cb461ba,2026-03-06T22:05:00.536649,gpt-5.4-2026-03-05,openai,numpy__numpy-cb461ba,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
2,4,5,4,3,4,1,3,5,4,3,2,5,1,4,4,3,4,5,4,uploadcare__pillow-simd-9e60023,2026-03-06T22:05:12.427850,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-9e60023,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0
2,4,5,4,4,4,0,4,5,4,4,4,5,1,4,4,3,4,5,5,numpy__numpy-1fcda82,2026-03-06T22:05:01.437228,gpt-5.4-2026-03-05,openai,numpy__numpy-1fcda82,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0
1,4,4,4,3,4,1,3,5,3,4,4,5,1,4,4,2,4,4,5,numpy__numpy-ee75c87,2026-03-06T22:04:59.550567,gpt-5.4-2026-03-05,openai,numpy__numpy-ee75c87,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,2,4,1,4,5,3,3,3,5,1,3,3,3,2,4,4,huggingface__tokenizers-fc76ad4,2026-03-06T22:05:13.712914,gpt-5.4-2026-03-05,openai,huggingface__tokenizers-fc76ad4,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0
1,4,5,4,4,4,1,4,5,4,4,2,5,1,3,3,2,2,4,4,numpy__numpy-780799b,2026-03-06T22:05:00.698157,gpt-5.4-2026-03-05,openai,numpy__numpy-780799b,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
3,4,4,4,3,4,1,4,5,3,4,3,5,1,4,2,4,1,4,4,pandas-dev__pandas-2f4c93e,2026-03-06T22:05:11.145413,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-2f4c93e,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,3,3,1,3,5,3,2,1,4,1,3,1,2,1,3,2,pandas-dev__pandas-2a08b05,2026-03-06T22:05:01.339557,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-2a08b05,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,4,3,3,3,0,4,5,4,3,3,5,1,3,2,2,2,3,4,pandas-dev__pandas-f1211e7,2026-03-06T22:05:00.535816,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-f1211e7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,4,4,4,3,4,1,3,5,4,3,4,5,1,4,4,3,4,5,5,numpy__numpy-cb0d7cd,2026-03-06T22:05:02.346493,gpt-5.4-2026-03-05,openai,numpy__numpy-cb0d7cd,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
1,2,4,4,4,5,0,3,4,3,4,4,4,1,4,2,4,1,5,5,abetlen__llama-cpp-python-218d361,2026-03-06T22:04:22.032223,gpt-5.4-2026-03-05,openai,abetlen__llama-cpp-python-218d361,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
3,4,5,3,4,4,0,4,5,4,4,2,5,1,3,2,3,1,3,4,numpy__numpy-382b3ff,2026-03-06T22:04:58.530568,gpt-5.4-2026-03-05,openai,numpy__numpy-382b3ff,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
1,4,5,4,4,4,1,3,5,3,4,4,5,1,4,2,3,1,5,5,numpy__numpy-5f94eb8,2026-03-06T22:04:58.524917,gpt-5.4-2026-03-05,openai,numpy__numpy-5f94eb8,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,5,4,4,4,1,3,4,3,4,2,5,1,4,2,2,1,5,4,uploadcare__pillow-simd-7511039,2026-03-06T22:05:13.843358,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-7511039,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
1,4,5,4,4,4,0,4,5,4,4,4,5,1,3,2,3,2,4,4,numpy__numpy-be52f19,2026-03-06T22:05:00.001387,gpt-5.4-2026-03-05,openai,numpy__numpy-be52f19,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,4,4,0,3,5,4,4,4,5,1,4,2,3,1,5,5,numpy__numpy-728fedc,2026-03-06T22:04:59.998368,gpt-5.4-2026-03-05,openai,numpy__numpy-728fedc,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
3,4,4,3,2,3,1,4,5,4,2,2,5,1,2,4,3,3,2,3,pandas-dev__pandas-5d82d8b,2026-03-06T22:05:02.208629,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-5d82d8b,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
1,4,5,3,3,3,1,4,5,4,2,1,5,1,3,1,2,1,4,2,tornadoweb__tornado-9a18f6c,2026-03-06T22:05:13.627852,gpt-5.4-2026-03-05,openai,tornadoweb__tornado-9a18f6c,4.0,5.0,2.0,3.0,5.0,3.0,3.0,2.0
1,4,4,3,3,3,1,4,5,4,3,2,5,1,3,2,2,2,2,3,pandas-dev__pandas-65bca65,2026-03-06T22:05:00.881759,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-65bca65,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1,4,5,4,4,4,1,3,5,3,4,4,5,1,4,2,1,2,5,5,numpy__numpy-22ab9aa,2026-03-06T22:05:00.252790,gpt-5.4-2026-03-05,openai,numpy__numpy-22ab9aa,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,4,5,4,4,4,0,4,5,4,4,2,5,1,4,2,3,1,4,4,huggingface__transformers-d51b589,2026-03-06T22:05:14.833693,gpt-5.4-2026-03-05,openai,huggingface__transformers-d51b589,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
2,4,4,3,3,3,0,4,5,4,4,2,5,1,4,3,2,2,3,4,pandas-dev__pandas-81b5f1d,2026-03-06T22:05:01.862262,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-81b5f1d,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
2,4,5,4,4,4,0,3,5,3,4,3,4,1,4,2,3,1,4,5,numpy__numpy-eb21b25,2026-03-06T22:05:01.348805,gpt-5.4-2026-03-05,openai,numpy__numpy-eb21b25,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,4,4,5,1,4,2,3,2,4,4,pandas-dev__pandas-061c2e9,2026-03-06T22:05:11.695846,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-061c2e9,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
2,4,4,4,3,4,1,3,5,4,3,4,5,1,4,4,3,4,4,4,pandas-dev__pandas-233bd83,2026-03-06T22:05:02.932248,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-233bd83,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
2,4,5,4,4,4,1,3,5,3,4,4,5,1,4,2,3,1,5,5,numpy__numpy-794f474,2026-03-06T22:04:58.628941,gpt-5.4-2026-03-05,openai,numpy__numpy-794f474,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
2,4,3,3,2,2,1,4,5,4,2,2,5,1,2,3,2,3,1,2,python-pillow__Pillow-fd8ee84,2026-03-06T22:05:14.507490,gpt-5.4-2026-03-05,openai,python-pillow__Pillow-fd8ee84,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0
2,4,4,4,3,4,1,5,5,4,2,2,5,1,4,4,3,4,3,4,pydantic__pydantic-addf1f9,2026-03-06T22:05:14.498577,gpt-5.4-2026-03-05,openai,pydantic__pydantic-addf1f9,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0
1,4,4,4,4,4,0,3,5,3,4,4,5,1,4,3,2,2,5,5,numpy__numpy-19bfa3f,2026-03-06T22:04:20.063016,gpt-5.4-2026-03-05,openai,numpy__numpy-19bfa3f,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
1,4,4,4,3,4,1,4,5,3,3,3,5,1,4,2,2,3,3,4,pandas-dev__pandas-c34da50,2026-03-06T22:05:02.905155,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-c34da50,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
1,4,4,3,2,3,1,4,5,4,3,2,5,1,3,4,3,4,3,4,pandas-dev__pandas-c51c2a7,2026-03-06T22:05:12.408969,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-c51c2a7,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
1,4,4,3,2,3,1,4,5,4,2,3,5,1,2,4,2,4,2,3,pandas-dev__pandas-37e9e06,2026-03-06T22:05:00.536200,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-37e9e06,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
2,3,4,4,4,4,0,3,5,3,4,3,5,1,4,2,2,1,5,5,pydantic__pydantic-c2647ab,2026-03-06T22:05:13.938277,gpt-5.4-2026-03-05,openai,pydantic__pydantic-c2647ab,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0
2,4,4,4,3,4,1,4,4,3,3,2,5,1,4,2,2,1,3,4,pydantic__pydantic-4a09447,2026-03-06T22:05:14.817147,gpt-5.4-2026-03-05,openai,pydantic__pydantic-4a09447,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0
2,4,4,3,2,3,1,4,5,4,3,2,5,1,3,2,3,1,3,3,huggingface__transformers-253f9a3,2026-03-06T22:05:14.756408,gpt-5.4-2026-03-05,openai,huggingface__transformers-253f9a3,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0
3,4,3,4,3,3,1,3,5,4,2,2,5,1,4,2,1,1,3,4,huggingface__transformers-211f93a,2026-03-06T22:05:14.032116,gpt-5.4-2026-03-05,openai,huggingface__transformers-211f93a,4.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0
3,4,4,3,4,3,0,5,5,4,2,3,5,1,4,2,3,1,4,4,huggingface__tokenizers-bfd9cde,2026-03-06T22:05:14.198760,gpt-5.4-2026-03-05,openai,huggingface__tokenizers-bfd9cde,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0
1,4,4,4,4,4,0,3,5,3,4,3,4,1,4,2,3,1,4,4,pandas-dev__pandas-e8961f1,2026-03-06T22:05:01.616923,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-e8961f1,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
2,4,4,4,3,4,0,4,5,4,3,2,5,1,3,3,1,2,4,4,pandas-dev__pandas-2cdca01,2026-03-06T22:05:12.193827,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-2cdca01,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0
2,4,5,5,4,4,1,3,4,3,4,3,4,1,4,1,2,1,5,4,uploadcare__pillow-simd-2818b90,2026-03-06T22:05:15.970552,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-2818b90,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
1,4,3,4,3,3,1,4,5,4,2,2,5,1,3,2,3,2,3,2,huggingface__transformers-63b90a5,2026-03-06T22:05:14.377829,gpt-5.4-2026-03-05,openai,huggingface__transformers-63b90a5,4.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0
3,4,4,4,3,3,1,4,5,4,2,2,5,1,3,4,3,4,2,3,numpy__numpy-7ff7ec7,2026-03-06T22:04:20.227758,gpt-5.4-2026-03-05,openai,numpy__numpy-7ff7ec7,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0
2,4,4,3,3,3,1,5,5,4,2,2,5,1,3,1,2,1,3,3,pandas-dev__pandas-bfaf917,2026-03-06T22:05:01.892559,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-bfaf917,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
3,4,4,3,3,4,1,4,5,4,3,2,5,1,3,4,3,4,3,4,numpy__numpy-68eead8,2026-03-06T22:04:58.617250,gpt-5.4-2026-03-05,openai,numpy__numpy-68eead8,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
1,2,5,4,5,5,0,3,5,3,4,4,5,0,4,2,2,1,4,5,abetlen__llama-cpp-python-2bc1d97,2026-03-06T22:04:21.054275,gpt-5.4-2026-03-05,openai,abetlen__llama-cpp-python-2bc1d97,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0
1,4,4,4,3,3,1,5,5,4,2,1,5,1,3,3,2,4,4,2,python-pillow__Pillow-63f398b,2026-03-06T22:05:12.623931,gpt-5.4-2026-03-05,openai,python-pillow__Pillow-63f398b,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
2,4,4,3,2,3,1,4,5,4,2,2,5,1,3,3,1,3,2,3,pandas-dev__pandas-235113e,2026-03-06T22:05:00.352054,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-235113e,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0
2,4,4,4,4,4,0,4,5,3,4,4,5,1,4,4,4,4,5,4,pydantic__pydantic-ac9e6ee,2026-03-06T22:05:15.022069,gpt-5.4-2026-03-05,openai,pydantic__pydantic-ac9e6ee,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0
1,4,4,4,4,4,0,4,5,4,4,2,5,1,4,4,4,4,4,4,numpy__numpy-2540554,2026-03-06T22:05:00.000255,gpt-5.4-2026-03-05,openai,numpy__numpy-2540554,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0
2,4,4,4,3,4,1,4,5,4,3,3,5,1,4,3,4,2,3,4,pandas-dev__pandas-c6cf37a,2026-03-06T22:05:11.900263,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-c6cf37a,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0
1,4,4,4,3,4,1,4,5,4,3,3,5,1,4,3,3,4,3,4,pandas-dev__pandas-438b957,2026-03-06T22:05:11.532957,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-438b957,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0
2,4,5,5,4,5,1,3,5,3,4,2,5,1,4,2,3,1,5,4,uploadcare__pillow-simd-6eacce9,2026-03-06T22:05:13.103612,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-6eacce9,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
2,3,4,4,4,5,1,3,5,4,4,4,5,1,5,2,2,2,5,5,tornadoweb__tornado-ac13ee5,2026-03-06T22:05:13.913535,gpt-5.4-2026-03-05,openai,tornadoweb__tornado-ac13ee5,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0
2,4,5,4,4,4,0,3,5,4,4,4,5,1,4,3,3,2,5,5,numpy__numpy-567b57d,2026-03-06T22:04:58.317619,gpt-5.4-2026-03-05,openai,numpy__numpy-567b57d,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1,4,5,4,4,4,1,3,5,3,4,4,5,1,3,1,3,1,5,4,numpy__numpy-2dfd21e,2026-03-06T22:05:04.370331,gpt-5.4-2026-03-05,openai,numpy__numpy-2dfd21e,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
1,3,5,4,4,4,0,3,5,4,4,4,4,1,4,4,3,4,5,5,numpy__numpy-28706af,2026-03-06T22:04:59.651247,gpt-5.4-2026-03-05,openai,numpy__numpy-28706af,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
3,4,4,4,3,3,1,4,5,4,3,2,5,1,3,2,3,2,3,4,pandas-dev__pandas-9a6c8f0,2026-03-06T22:05:01.571823,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-9a6c8f0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
