instance_id,atypicality,verification_difficulty,logical_reasoning_required,debugging_complexity,solution_hint,reproduction_clarity,codebase_scale,dependency_complexity,implementation_language_complexity,similar_issue_likelihood,codebase_scope,expected_behavior_clarity,standard_pattern_available,fix_localization,domain_knowledge_required
modernize-scientific-stack,2,2,2,2,3,4,1,2,2,1,2,4,1,4,3
mteb-leaderboard,4,4,3,4,1,2,1,2,1,0,1,3,0,5,5
mteb-retrieve,4,4,3,4,2,3,1,3,2,0,1,5,0,5,4
multi-source-data-merger,3,4,4,3,3,4,1,2,2,1,1,4,1,5,3
nginx-request-logging,2,3,3,2,3,4,1,2,1,1,3,5,1,4,3
openssl-selfsigned-cert,1,3,2,2,3,4,1,1,1,1,2,4,1,5,3
overfull-hbox,4,2,4,4,2,3,1,1,1,0,2,4,0,5,4
password-recovery,3,3,3,3,1,3,1,1,2,1,1,4,1,5,4
path-tracing,5,4,5,5,1,5,1,1,4,0,1,4,0,5,5
path-tracing-reverse,4,3,4,4,1,4,1,2,4,0,1,3,0,5,4
polyglot-c-py,4,2,4,3,1,5,1,1,3,1,1,4,1,5,4
polyglot-rust-c,4,2,4,4,1,5,1,1,5,1,1,4,0,5,4
portfolio-optimization,2,3,3,3,3,4,1,2,4,1,3,4,1,4,3
protein-assembly,5,5,5,5,2,3,1,2,2,0,3,4,0,5,5
prove-plus-comm,4,1,4,3,1,3,1,1,2,1,1,4,1,5,5
pypi-server,3,3,3,3,2,4,1,2,1,1,3,5,1,4,3
pytorch-model-cli,4,4,4,4,1,3,1,2,4,0,3,3,0,4,4
pytorch-model-recovery,3,3,4,3,2,3,1,1,2,1,1,5,1,4,4
qemu-alpine-ssh,4,4,4,4,2,4,1,3,2,1,3,5,0,5,4
qemu-startup,3,4,3,3,2,4,1,2,1,1,1,4,1,5,4
query-optimize,3,3,4,4,1,4,1,1,2,1,1,3,1,5,3
raman-fitting,4,4,3,3,2,2,1,1,1,1,1,4,1,5,4
regex-chess,5,4,5,5,1,4,1,2,4,0,1,5,0,5,5
regex-log,3,4,4,4,2,4,1,1,2,1,1,4,0,5,3
reshard-c4-data,4,4,4,3,1,4,1,1,2,1,2,3,0,4,3
rstan-to-pystan,3,4,3,3,2,4,1,4,3,1,2,4,0,5,4
sam-cell-seg,4,4,4,4,2,4,1,4,3,0,2,3,0,4,4
sanitize-git-repo,3,4,4,3,2,2,3,4,3,1,4,4,1,4,3
schemelike-metacircular-eval,5,4,5,5,1,5,1,1,3,0,3,5,0,4,5
sparql-university,4,4,4,3,2,4,1,1,2,1,1,4,0,5,4
sqlite-db-truncate,4,4,4,4,1,3,1,1,2,0,1,4,0,5,4
sqlite-with-gcov,3,3,3,2,2,4,4,2,4,1,1,3,1,4,3
torch-pipeline-parallelism,3,4,4,4,2,3,1,3,3,0,1,4,1,4,5
torch-tensor-parallelism,3,4,3,3,2,3,1,2,2,1,1,4,1,5,4
train-fasttext,2,4,3,3,1,2,1,2,2,1,1,3,1,5,3
tune-mjcf,5,4,4,4,1,4,1,3,2,0,1,4,0,4,5
video-processing,4,4,4,4,1,4,1,1,2,0,1,4,0,5,4
vulnerable-secret,3,2,4,4,1,2,1,1,4,0,1,4,1,5,4
winning-avg-corewars,5,3,4,4,1,5,1,1,3,0,2,5,1,5,5
write-compressor,4,2,4,4,1,4,1,1,2,0,1,5,0,5,4
