solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
2,5,4,3,2,4,1,5,5,5,2,2,5,1,2,4,4,3,3,3,portfolio-optimization,2026-03-06T22:05:15.414407,gpt-5.4-2026-03-05,openai,portfolio-optimization,4,5,2,2,4,4,2,1
1,4,4,3,3,2,1,5,4,5,3,1,5,1,2,3,2,1,3,2,raman-fitting,2026-03-06T22:05:14.689609,gpt-5.4-2026-03-05,openai,raman-fitting,5,5,1,1,1,1,1,1
1,4,5,5,5,4,0,4,4,5,5,5,4,0,2,4,4,2,5,5,make-doom-for-mips,2026-03-06T22:05:12.056225,gpt-5.4-2026-03-05,openai,make-doom-for-mips,4,5,2,3,4,2,2,2
1,5,4,4,4,3,0,5,5,5,3,2,5,0,2,3,4,2,2,3,break-filter-js-from-html,2026-03-06T22:05:00.744562,gpt-5.4-2026-03-05,openai,break-filter-js-from-html,5,5,1,1,1,4,2,1
3,5,3,2,1,2,1,5,4,5,2,1,5,1,2,4,3,2,2,2,openssl-selfsigned-cert,2026-03-06T22:05:12.055059,gpt-5.4-2026-03-05,openai,openssl-selfsigned-cert,5,5,1,1,1,2,1,1
2,4,3,2,2,2,1,4,5,5,2,2,5,1,3,3,2,2,3,3,sqlite-with-gcov,2026-03-06T22:05:14.884789,gpt-5.4-2026-03-05,openai,sqlite-with-gcov,4,5,1,2,4,2,2,4
1,5,4,4,3,4,1,5,5,5,3,1,5,1,2,5,5,4,3,2,query-optimize,2026-03-06T22:05:14.677317,gpt-5.4-2026-03-05,openai,query-optimize,5,5,1,1,2,3,1,1
2,5,5,4,4,4,1,5,5,5,4,1,5,0,2,4,5,3,5,4,torch-pipeline-parallelism,2026-03-06T22:05:15.427975,gpt-5.4-2026-03-05,openai,torch-pipeline-parallelism,4,5,1,2,3,2,3,1
2,5,4,3,3,3,1,5,5,5,3,3,5,1,4,4,3,3,4,3,build-cython-ext,2026-03-06T22:04:59.637586,gpt-5.4-2026-03-05,openai,build-cython-ext,4,5,2,3,3,3,3,2
2,4,3,4,3,4,1,4,5,5,4,1,5,1,2,4,5,5,3,3,filter-js-from-html,2026-03-06T22:05:01.292061,gpt-5.4-2026-03-05,openai,filter-js-from-html,5,5,1,1,2,1,2,1
3,5,3,3,2,2,1,5,4,5,2,2,5,1,4,4,3,2,3,3,nginx-request-logging,2026-03-06T22:05:13.942367,gpt-5.4-2026-03-05,openai,nginx-request-logging,4,5,2,2,1,2,2,1
2,5,5,4,3,4,1,5,5,5,4,1,5,0,2,4,4,3,4,3,torch-tensor-parallelism,2026-03-06T22:05:15.457339,gpt-5.4-2026-03-05,openai,torch-tensor-parallelism,5,5,1,1,2,2,2,1
1,5,4,4,5,3,1,5,5,5,4,1,5,0,2,4,3,3,4,3,polyglot-c-py,2026-03-06T22:05:13.761429,gpt-5.4-2026-03-05,openai,polyglot-c-py,5,5,1,1,3,1,1,1
1,5,3,4,4,2,0,5,5,5,3,2,5,1,2,4,4,3,3,3,overfull-hbox,2026-03-06T22:05:13.436531,gpt-5.4-2026-03-05,openai,overfull-hbox,5,5,1,1,1,4,1,1
1,5,5,5,5,2,0,5,5,5,4,1,5,0,2,4,4,3,5,2,distribution-search,2026-03-06T22:05:01.343076,gpt-5.4-2026-03-05,openai,distribution-search,5,5,1,1,2,1,2,1
1,4,5,5,5,4,0,5,5,5,5,2,5,0,2,3,4,2,5,2,model-extraction-relu-logits,2026-03-06T22:05:06.289012,gpt-5.4-2026-03-05,openai,model-extraction-relu-logits,5,5,1,1,1,1,2,1
2,5,3,3,2,1,1,5,4,5,2,1,5,1,2,3,2,1,2,3,prove-plus-comm,2026-03-06T22:05:14.177592,gpt-5.4-2026-03-05,openai,prove-plus-comm,5,5,1,1,2,4,1,1
1,5,4,4,4,5,1,5,5,5,4,1,5,1,3,4,5,3,3,3,largest-eigenval,2026-03-06T22:05:03.556352,gpt-5.4-2026-03-05,openai,largest-eigenval,5,5,1,1,1,4,2,1
3,5,3,2,2,2,1,5,5,5,2,2,5,1,3,4,3,2,3,3,kv-store-grpc,2026-03-06T22:05:02.618392,gpt-5.4-2026-03-05,openai,kv-store-grpc,5,5,1,2,2,1,2,1
2,5,5,5,4,4,0,5,5,5,5,3,5,0,2,5,5,4,5,3,llm-inference-batching-scheduler,2026-03-06T22:05:06.386431,gpt-5.4-2026-03-05,openai,llm-inference-batching-scheduler,4,5,1,1,2,3,1,1
2,5,4,4,3,4,1,5,5,5,3,3,5,1,5,3,4,2,4,4,git-multibranch,2026-03-06T22:05:02.327886,gpt-5.4-2026-03-05,openai,git-multibranch,4,5,2,3,1,2,2,1
2,5,3,3,3,3,1,5,5,5,3,1,5,1,3,4,3,3,4,3,headless-terminal,2026-03-06T22:05:02.765798,gpt-5.4-2026-03-05,openai,headless-terminal,5,5,1,1,2,1,1,1
1,4,4,4,3,3,1,5,5,5,3,3,5,1,2,4,4,2,4,4,pytorch-model-cli,2026-03-06T22:05:13.797304,gpt-5.4-2026-03-05,openai,pytorch-model-cli,4,5,1,2,4,1,2,1
2,5,4,3,4,2,1,5,4,5,3,1,5,1,2,2,1,1,3,3,mteb-retrieve,2026-03-06T22:05:12.105073,gpt-5.4-2026-03-05,openai,mteb-retrieve,5,5,1,2,2,2,3,1
2,4,4,3,3,2,1,5,4,5,3,1,4,1,2,1,1,1,3,3,count-dataset-tokens,2026-03-06T22:04:59.370700,gpt-5.4-2026-03-05,openai,count-dataset-tokens,5,5,1,2,2,2,3,1
1,4,5,4,4,5,0,5,5,5,3,1,5,0,2,4,5,4,1,3,tune-mjcf,2026-03-06T22:05:15.452501,gpt-5.4-2026-03-05,openai,tune-mjcf,4,5,1,1,2,4,3,1
2,5,3,4,4,4,1,5,4,5,3,1,5,1,2,4,4,4,3,2,constraints-scheduling,2026-03-06T22:04:59.473803,gpt-5.4-2026-03-05,openai,constraints-scheduling,5,5,1,1,1,2,1,1
1,4,4,4,4,4,1,4,3,5,4,1,4,1,2,3,3,2,5,4,extract-moves-from-video,2026-03-06T22:05:02.139393,gpt-5.4-2026-03-05,openai,extract-moves-from-video,5,5,1,2,1,1,2,1
1,4,4,4,3,4,1,4,5,5,3,1,5,1,2,4,4,4,2,2,cancel-async-tasks,2026-03-06T22:05:00.533351,gpt-5.4-2026-03-05,openai,cancel-async-tasks,5,5,1,1,2,2,1,1
1,4,4,4,4,3,1,5,5,5,3,1,5,1,2,4,4,2,4,2,extract-elf,2026-03-06T22:05:01.788136,gpt-5.4-2026-03-05,openai,extract-elf,5,5,1,1,3,2,1,1
2,4,3,4,4,3,1,5,5,5,3,2,5,1,2,3,3,2,4,2,merge-diff-arc-agi-task,2026-03-06T22:05:04.808095,gpt-5.4-2026-03-05,openai,merge-diff-arc-agi-task,5,5,1,2,1,3,1,1
3,5,2,2,2,2,1,5,5,5,2,2,5,1,2,3,3,1,2,2,modernize-scientific-stack,2026-03-06T22:05:03.447873,gpt-5.4-2026-03-05,openai,modernize-scientific-stack,4,5,1,1,2,1,2,1
2,4,5,4,4,3,1,5,4,5,3,1,5,0,2,4,4,3,3,3,dna-insert,2026-03-06T22:05:01.779241,gpt-5.4-2026-03-05,openai,dna-insert,5,5,1,1,1,2,2,1
1,4,4,3,4,2,1,5,5,5,3,1,5,1,2,2,1,1,3,3,mteb-leaderboard,2026-03-06T22:05:12.427988,gpt-5.4-2026-03-05,openai,mteb-leaderboard,5,5,1,2,1,1,2,1
3,4,5,4,4,5,1,5,4,5,4,2,5,1,4,4,5,3,4,5,install-windows-3.11,2026-03-06T22:05:02.897596,gpt-5.4-2026-03-05,openai,install-windows-3.11,4,5,2,4,2,2,4,1
2,4,5,5,4,3,1,5,5,5,5,2,5,0,2,2,2,1,5,3,feal-differential-cryptanalysis,2026-03-06T22:05:02.972534,gpt-5.4-2026-03-05,openai,feal-differential-cryptanalysis,4,5,1,1,2,1,1,1
1,4,4,4,4,3,1,5,5,5,4,1,5,0,2,3,3,2,4,3,video-processing,2026-03-06T22:05:18.343287,gpt-5.4-2026-03-05,openai,video-processing,5,5,1,1,2,2,1,1
3,5,3,3,3,3,1,5,5,5,3,2,5,1,4,4,3,2,4,4,pypi-server,2026-03-06T22:05:14.001388,gpt-5.4-2026-03-05,openai,pypi-server,4,5,1,2,1,2,2,1
1,4,4,3,3,2,1,4,4,5,3,1,4,1,2,3,2,1,3,2,vulnerable-secret,2026-03-06T22:05:16.123039,gpt-5.4-2026-03-05,openai,vulnerable-secret,5,4,1,1,4,1,1,1
2,5,5,4,4,4,1,5,4,5,3,2,5,0,2,4,4,3,4,3,pytorch-model-recovery,2026-03-06T22:05:16.436944,gpt-5.4-2026-03-05,openai,pytorch-model-recovery,4,5,1,1,2,2,1,1
2,5,5,4,3,4,1,5,4,5,4,3,5,1,5,4,5,2,5,5,mailman,2026-03-06T22:05:04.192590,gpt-5.4-2026-03-05,openai,mailman,4,5,2,4,2,4,3,1
1,5,5,5,5,4,0,5,5,5,5,1,5,0,2,4,3,3,5,4,polyglot-rust-c,2026-03-06T22:05:14.008851,gpt-5.4-2026-03-05,openai,polyglot-rust-c,5,5,1,1,5,2,1,1
1,4,3,3,3,1,1,4,4,5,3,2,5,1,3,2,1,1,3,3,crack-7z-hash,2026-03-06T22:05:01.064194,gpt-5.4-2026-03-05,openai,crack-7z-hash,5,5,1,3,3,2,4,4
2,5,5,4,4,4,1,5,5,5,4,1,5,0,2,4,4,4,4,3,dna-assembly,2026-03-06T22:05:06.465251,gpt-5.4-2026-03-05,openai,dna-assembly,4,5,1,1,2,1,2,1
2,5,5,4,4,4,0,5,4,5,4,3,4,1,3,4,4,3,4,5,build-pov-ray,2026-03-06T22:05:04.243341,gpt-5.4-2026-03-05,openai,build-pov-ray,5,5,1,3,4,2,2,1
2,4,3,3,3,2,1,5,5,5,2,2,5,1,2,3,2,1,2,3,cobol-modernization,2026-03-06T22:04:58.759078,gpt-5.4-2026-03-05,openai,cobol-modernization,5,5,1,2,2,2,1,1
1,4,5,4,4,3,0,4,5,5,4,2,4,0,2,2,1,1,2,3,fix-ocaml-gc,2026-03-06T22:05:01.384960,gpt-5.4-2026-03-05,openai,fix-ocaml-gc,4,4,4,3,4,4,3,4
0,4,5,5,5,4,0,5,5,5,5,2,5,0,2,3,2,2,5,4,write-compressor,2026-03-06T22:05:16.640628,gpt-5.4-2026-03-05,openai,write-compressor,5,5,1,1,2,2,1,1
2,5,5,4,4,4,1,5,4,5,4,2,5,0,4,3,3,2,4,4,rstan-to-pystan,2026-03-06T22:05:15.199723,gpt-5.4-2026-03-05,openai,rstan-to-pystan,5,5,1,3,3,2,4,1
2,4,5,4,5,4,0,5,4,5,5,3,5,0,3,4,4,3,5,4,protein-assembly,2026-03-06T22:05:14.991048,gpt-5.4-2026-03-05,openai,protein-assembly,5,5,1,1,2,1,2,1
1,5,4,4,5,4,0,5,5,5,4,1,5,0,2,4,4,3,4,2,path-tracing,2026-03-06T22:05:13.627296,gpt-5.4-2026-03-05,openai,path-tracing,5,5,1,1,4,2,1,1
2,5,3,3,4,4,1,5,5,5,3,1,5,1,2,5,4,4,3,3,large-scale-text-editing,2026-03-06T22:05:03.211873,gpt-5.4-2026-03-05,openai,large-scale-text-editing,5,5,1,1,2,4,1,1
2,4,3,3,2,4,1,5,4,5,4,2,5,1,4,3,4,2,3,3,train-fasttext,2026-03-06T22:05:16.966128,gpt-5.4-2026-03-05,openai,train-fasttext,5,5,1,2,2,1,2,1
2,5,3,3,2,2,1,5,4,5,2,1,5,1,2,3,3,2,3,3,multi-source-data-merger,2026-03-06T22:05:13.410497,gpt-5.4-2026-03-05,openai,multi-source-data-merger,5,5,1,1,2,1,2,1
2,5,5,5,5,5,0,5,5,5,5,2,5,0,2,4,4,4,5,2,regex-chess,2026-03-06T22:05:20.443745,gpt-5.4-2026-03-05,openai,regex-chess,5,5,1,1,4,4,2,1
2,5,5,5,5,4,1,5,5,5,5,3,5,0,2,5,4,4,5,2,schemelike-metacircular-eval,2026-03-06T22:05:16.877353,gpt-5.4-2026-03-05,openai,schemelike-metacircular-eval,4,5,1,1,3,2,1,1
2,5,2,3,2,3,1,5,4,5,2,2,5,1,2,4,3,3,2,2,sanitize-git-repo,2026-03-06T22:05:15.523769,gpt-5.4-2026-03-05,openai,sanitize-git-repo,4,5,1,3,3,3,4,3
1,3,3,3,3,2,1,3,3,4,2,2,4,1,2,3,2,1,2,2,fix-git,2026-03-06T22:05:01.240573,gpt-5.4-2026-03-05,openai,fix-git,4,5,2,1,2,2,2,2
1,4,4,4,3,4,1,5,5,5,3,3,5,1,5,3,4,1,4,4,configure-git-webserver,2026-03-06T22:04:59.894634,gpt-5.4-2026-03-05,openai,configure-git-webserver,1,2,4,4,2,1,2,1
1,4,3,3,3,4,1,5,5,5,3,2,5,1,2,4,4,3,3,2,git-leak-recovery,2026-03-06T22:05:01.980729,gpt-5.4-2026-03-05,openai,git-leak-recovery,4,5,2,1,1,2,1,1
1,4,5,5,5,4,0,5,5,5,5,2,5,0,2,4,4,3,5,3,circuit-fibsqrt,2026-03-06T22:05:01.734745,gpt-5.4-2026-03-05,openai,circuit-fibsqrt,4,5,1,1,3,2,1,1
2,5,3,4,4,4,1,5,5,5,4,1,5,1,2,4,3,4,3,1,regex-log,2026-03-06T22:05:14.977286,gpt-5.4-2026-03-05,openai,regex-log,5,5,1,1,2,1,1,1
1,4,5,4,4,3,0,4,5,5,5,2,5,0,2,4,3,4,4,4,custom-memory-heap-crash,2026-03-06T22:05:00.820380,gpt-5.4-2026-03-05,openai,custom-memory-heap-crash,5,5,1,3,4,2,4,4
2,4,4,4,3,3,1,5,5,5,4,1,5,1,2,4,3,3,4,2,sparql-university,2026-03-06T22:05:15.721812,gpt-5.4-2026-03-05,openai,sparql-university,5,5,1,1,2,1,1,1
2,5,5,4,3,3,1,5,4,5,4,2,5,1,4,4,4,4,4,5,compile-compcert,2026-03-06T22:05:00.407977,gpt-5.4-2026-03-05,openai,compile-compcert,1,5,4,5,4,2,5,3
2,5,3,3,3,3,1,5,5,5,3,2,5,1,4,4,3,3,3,3,build-pmars,2026-03-06T22:05:01.967987,gpt-5.4-2026-03-05,openai,build-pmars,4,5,2,3,4,3,3,1
2,5,2,3,2,2,1,5,4,5,2,1,5,1,2,3,3,2,2,1,log-summary-date-ranges,2026-03-06T22:05:03.524947,gpt-5.4-2026-03-05,openai,log-summary-date-ranges,5,5,1,1,1,2,1,1
1,3,3,4,4,1,0,4,4,5,4,1,5,0,2,2,1,1,3,2,code-from-image,2026-03-06T22:04:58.951212,gpt-5.4-2026-03-05,openai,code-from-image,5,5,1,1,2,1,1,1
2,5,4,3,4,4,1,5,4,5,4,2,5,1,4,3,2,1,4,4,qemu-alpine-ssh,2026-03-06T22:05:14.151098,gpt-5.4-2026-03-05,openai,qemu-alpine-ssh,5,5,1,4,2,2,3,1
2,4,5,5,5,3,0,4,3,5,5,2,4,0,2,3,2,1,5,2,feal-linear-cryptanalysis,2026-03-06T22:05:01.845099,gpt-5.4-2026-03-05,openai,feal-linear-cryptanalysis,4,5,1,1,4,2,1,1
2,4,5,5,5,4,0,4,5,5,5,4,5,0,2,3,4,2,5,4,make-mips-interpreter,2026-03-06T22:05:07.407250,gpt-5.4-2026-03-05,openai,make-mips-interpreter,4,5,2,3,5,2,2,2
2,5,5,4,4,4,1,5,5,5,4,2,5,0,3,4,4,4,4,3,adaptive-rejection-sampler,2026-03-06T22:04:59.873454,gpt-5.4-2026-03-05,openai,adaptive-rejection-sampler,4,5,1,3,2,2,2,1
1,4,4,4,4,3,0,4,4,5,4,1,4,1,2,2,3,1,3,2,sqlite-db-truncate,2026-03-06T22:05:15.061917,gpt-5.4-2026-03-05,openai,sqlite-db-truncate,5,5,1,1,2,1,1,1
