instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
python-pillow__Pillow-f854676,1,3,4,4,4,3,0,3,5,3,3,1,4,1,3,2,2,1,3,4,2026-03-07T02:07:39.002395,claude-sonnet-4-6,anthropic,python-pillow__Pillow-f854676,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0
uploadcare__pillow-simd-d970a39,2,3,5,4,5,3,0,3,5,3,2,2,4,1,2,3,2,2,3,3,2026-03-07T02:05:38.962679,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-d970a39,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-2278923,1,3,5,4,4,4,0,3,5,3,4,2,4,1,4,2,1,1,4,4,2026-03-07T02:05:37.554056,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2278923,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-330057f,2,3,5,4,5,3,0,3,5,3,4,2,4,1,1,3,2,3,3,3,2026-03-07T02:05:34.112764,claude-sonnet-4-6,anthropic,numpy__numpy-330057f,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-b862e4f,1,2,5,4,5,4,0,3,5,3,4,4,4,1,2,3,2,2,4,4,2026-03-07T02:05:31.947990,claude-sonnet-4-6,anthropic,numpy__numpy-b862e4f,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-893db31,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,2,2,2,4,5,2026-03-07T02:05:33.309088,claude-sonnet-4-6,anthropic,numpy__numpy-893db31,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-fd43d4b,2,4,4,4,3,3,0,4,5,4,3,3,4,1,3,2,1,1,3,4,2026-03-07T02:07:39.343882,claude-sonnet-4-6,anthropic,pandas-dev__pandas-fd43d4b,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
pandas-dev__pandas-84aca21,3,4,5,4,4,3,0,3,5,3,3,3,4,1,3,4,3,4,4,4,2026-03-07T02:07:39.344589,claude-sonnet-4-6,anthropic,pandas-dev__pandas-84aca21,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-d377cc9,1,4,5,4,4,3,0,3,5,3,4,2,4,1,3,2,1,1,4,4,2026-03-07T02:05:37.074334,claude-sonnet-4-6,anthropic,pandas-dev__pandas-d377cc9,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-11a7e2d,2,3,5,4,5,4,0,4,5,4,4,4,4,1,3,3,3,3,4,4,2026-03-07T02:05:32.520756,claude-sonnet-4-6,anthropic,numpy__numpy-11a7e2d,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
uploadcare__pillow-simd-b4045cf,1,3,5,4,5,4,0,3,5,3,4,3,4,1,3,3,3,2,5,4,2026-03-07T02:07:40.913787,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-b4045cf,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-191557d,1,3,4,3,3,3,0,3,5,3,3,3,4,1,3,2,2,1,3,3,2026-03-07T02:07:39.406762,claude-sonnet-4-6,anthropic,pandas-dev__pandas-191557d,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0
uploadcare__pillow-simd-0514e20,2,4,5,4,5,4,0,3,5,3,2,1,4,1,3,2,3,1,5,3,2026-03-07T02:07:39.405676,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-0514e20,4.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-ccca5df,3,4,5,4,4,3,0,4,5,4,4,4,4,1,4,2,1,1,5,5,2026-03-07T02:05:36.432648,claude-sonnet-4-6,anthropic,pandas-dev__pandas-ccca5df,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
pandas-dev__pandas-e7e3676,1,3,5,4,4,4,0,3,5,3,4,3,4,1,4,2,2,1,4,4,2026-03-07T02:05:31.751952,claude-sonnet-4-6,anthropic,pandas-dev__pandas-e7e3676,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-248c60e,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,4,2,4,4,5,2026-03-07T02:05:33.202942,claude-sonnet-4-6,anthropic,numpy__numpy-248c60e,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-ec52363,1,3,5,3,4,3,0,3,5,3,3,2,4,1,2,4,3,4,2,2,2026-03-07T02:07:56.644255,claude-sonnet-4-6,anthropic,numpy__numpy-ec52363,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-9d6d587,1,4,4,4,3,3,0,3,5,3,3,2,3,1,3,4,1,2,3,3,2026-03-07T02:08:09.047854,claude-sonnet-4-6,anthropic,pandas-dev__pandas-9d6d587,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
numpy__numpy-cedba62,1,3,4,4,3,3,0,3,5,3,3,1,4,1,3,2,2,1,3,2,2026-03-07T02:05:33.259050,claude-sonnet-4-6,anthropic,numpy__numpy-cedba62,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0
numpy__numpy-905d37e,1,3,5,4,4,3,0,3,5,3,4,2,4,1,2,4,3,2,3,3,2026-03-07T02:05:32.980036,claude-sonnet-4-6,anthropic,numpy__numpy-905d37e,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-83c780d,1,3,5,4,5,4,0,3,5,3,4,5,4,1,4,2,2,1,5,5,2026-03-07T02:02:30.529605,claude-sonnet-4-6,anthropic,numpy__numpy-83c780d,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
tornadoweb__tornado-4d4c1e0,2,3,4,4,4,4,0,3,5,3,4,5,3,1,5,2,2,1,5,5,2026-03-07T02:08:03.165729,claude-sonnet-4-6,anthropic,tornadoweb__tornado-4d4c1e0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0
pandas-dev__pandas-1c2ad16,1,3,4,4,4,3,0,3,5,3,4,3,4,1,3,2,2,1,3,4,2026-03-07T02:05:36.127847,claude-sonnet-4-6,anthropic,pandas-dev__pandas-1c2ad16,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
huggingface__datasets-c5464b3,1,2,4,4,4,4,0,3,5,3,4,3,3,1,4,3,3,2,4,4,2026-03-07T02:05:57.411558,claude-sonnet-4-6,anthropic,huggingface__datasets-c5464b3,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0
numpy__numpy-e801e7a,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,4,3,3,5,5,2026-03-07T02:05:33.339985,claude-sonnet-4-6,anthropic,numpy__numpy-e801e7a,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-ba89ef9,1,3,5,4,5,4,0,3,5,3,4,3,4,1,3,2,3,1,4,4,2026-03-07T02:07:38.630464,claude-sonnet-4-6,anthropic,numpy__numpy-ba89ef9,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
pandas-dev__pandas-2421931,1,3,5,4,5,4,0,3,5,3,4,3,4,1,4,2,2,1,5,5,2026-03-07T02:07:39.025495,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2421931,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-71c94af,1,3,4,4,4,3,0,3,5,3,2,3,4,1,4,2,1,1,3,4,2026-03-07T02:05:32.489568,claude-sonnet-4-6,anthropic,pandas-dev__pandas-71c94af,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0
pandas-dev__pandas-ad3f3f7,1,3,5,4,4,3,0,4,5,3,4,2,4,1,3,3,3,2,3,3,2026-03-07T02:05:37.229265,claude-sonnet-4-6,anthropic,pandas-dev__pandas-ad3f3f7,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-ef5e545,1,3,5,4,5,3,0,3,5,3,3,3,4,1,3,3,2,3,4,4,2026-03-07T02:05:33.020378,claude-sonnet-4-6,anthropic,numpy__numpy-ef5e545,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0
numpy__numpy-1b861a2,0,3,5,4,5,4,0,3,5,3,4,4,4,1,4,2,2,1,5,5,2026-03-07T02:05:32.458231,claude-sonnet-4-6,anthropic,numpy__numpy-1b861a2,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-cb461ba,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,3,2,3,5,5,2026-03-07T02:05:32.552174,claude-sonnet-4-6,anthropic,numpy__numpy-cb461ba,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
uploadcare__pillow-simd-9e60023,1,3,5,4,5,4,0,3,5,3,2,2,4,1,3,3,2,2,5,4,2026-03-07T02:07:39.342788,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-9e60023,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0
numpy__numpy-1fcda82,2,3,5,4,5,4,0,3,5,3,4,5,3,1,3,4,3,3,5,5,2026-03-07T02:07:39.406313,claude-sonnet-4-6,anthropic,numpy__numpy-1fcda82,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0
numpy__numpy-ee75c87,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,4,2,4,5,5,2026-03-07T02:05:34.411535,claude-sonnet-4-6,anthropic,numpy__numpy-ee75c87,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
huggingface__tokenizers-fc76ad4,1,3,5,4,4,4,0,2,5,3,3,3,4,1,2,3,3,1,3,4,2026-03-07T02:07:44.118483,claude-sonnet-4-6,anthropic,huggingface__tokenizers-fc76ad4,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0
numpy__numpy-780799b,1,4,5,4,4,3,0,3,5,3,4,2,4,1,2,3,2,3,3,2,2026-03-07T02:05:33.324287,claude-sonnet-4-6,anthropic,numpy__numpy-780799b,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-2f4c93e,2,3,5,4,4,3,0,4,5,3,3,3,4,1,3,3,3,2,3,4,2026-03-07T02:05:37.315027,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2f4c93e,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-2a08b05,1,3,4,4,4,3,0,3,5,3,3,1,4,1,2,2,1,1,3,2,2026-03-07T02:05:37.244117,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2a08b05,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-f1211e7,1,3,4,3,4,3,0,4,5,3,3,3,4,1,3,2,2,2,3,3,2026-03-07T02:05:32.308721,claude-sonnet-4-6,anthropic,pandas-dev__pandas-f1211e7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-cb0d7cd,1,2,5,4,5,4,0,3,5,3,4,4,4,1,3,3,2,3,5,5,2026-03-07T02:05:33.133410,claude-sonnet-4-6,anthropic,numpy__numpy-cb0d7cd,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
abetlen__llama-cpp-python-218d361,1,2,5,4,5,5,0,2,4,2,4,5,3,1,4,3,2,1,4,5,2026-03-07T02:03:00.731933,claude-sonnet-4-6,anthropic,abetlen__llama-cpp-python-218d361,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
numpy__numpy-382b3ff,2,3,5,3,5,4,0,4,5,4,4,2,4,1,1,3,3,2,2,3,2026-03-07T02:05:31.965189,claude-sonnet-4-6,anthropic,numpy__numpy-382b3ff,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
numpy__numpy-5f94eb8,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,3,2,1,4,5,2026-03-07T02:05:35.791998,claude-sonnet-4-6,anthropic,numpy__numpy-5f94eb8,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
uploadcare__pillow-simd-7511039,1,3,5,4,5,3,0,3,5,3,4,2,4,1,3,2,2,1,5,4,2026-03-07T02:07:38.930527,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-7511039,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
numpy__numpy-be52f19,1,3,5,4,5,4,0,3,5,3,4,3,4,1,2,2,2,1,4,4,2026-03-07T02:05:32.642259,claude-sonnet-4-6,anthropic,numpy__numpy-be52f19,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
numpy__numpy-728fedc,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,2,2,2,5,5,2026-03-07T02:05:33.218215,claude-sonnet-4-6,anthropic,numpy__numpy-728fedc,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-5d82d8b,2,4,4,3,2,3,1,3,5,3,2,1,4,1,1,4,2,3,2,2,2026-03-07T02:05:37.176185,claude-sonnet-4-6,anthropic,pandas-dev__pandas-5d82d8b,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
tornadoweb__tornado-9a18f6c,1,3,5,3,4,3,1,3,4,3,2,1,4,1,2,2,2,1,3,2,2026-03-07T02:07:43.345919,claude-sonnet-4-6,anthropic,tornadoweb__tornado-9a18f6c,4.0,5.0,2.0,3.0,5.0,3.0,3.0,2.0
pandas-dev__pandas-65bca65,1,3,4,3,3,2,0,4,5,4,2,2,4,1,2,3,2,2,2,3,2026-03-07T02:07:46.682768,claude-sonnet-4-6,anthropic,pandas-dev__pandas-65bca65,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-22ab9aa,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,3,2,2,5,5,2026-03-07T02:05:33.727481,claude-sonnet-4-6,anthropic,numpy__numpy-22ab9aa,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
huggingface__transformers-d51b589,1,3,5,4,4,3,0,4,5,4,3,2,4,1,3,2,2,1,3,4,2026-03-07T02:07:47.790280,claude-sonnet-4-6,anthropic,huggingface__transformers-d51b589,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
pandas-dev__pandas-81b5f1d,2,4,5,4,4,3,0,4,5,3,4,3,4,1,3,2,2,1,2,3,2026-03-07T02:05:37.409703,claude-sonnet-4-6,anthropic,pandas-dev__pandas-81b5f1d,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
numpy__numpy-eb21b25,1,3,5,4,5,4,0,3,5,3,5,4,4,1,4,2,3,1,4,5,2026-03-07T02:05:32.520369,claude-sonnet-4-6,anthropic,numpy__numpy-eb21b25,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-061c2e9,1,3,5,4,4,4,0,3,5,3,4,4,4,1,4,2,3,1,4,5,2026-03-07T02:05:37.294804,claude-sonnet-4-6,anthropic,pandas-dev__pandas-061c2e9,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
pandas-dev__pandas-233bd83,2,3,5,4,4,4,0,3,5,3,4,4,4,1,3,4,3,4,4,4,2026-03-07T02:05:36.538297,claude-sonnet-4-6,anthropic,pandas-dev__pandas-233bd83,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-794f474,2,3,5,4,5,4,0,3,5,3,4,4,4,1,3,2,3,1,4,4,2026-03-07T02:05:32.288048,claude-sonnet-4-6,anthropic,numpy__numpy-794f474,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
python-pillow__Pillow-fd8ee84,2,4,3,3,2,2,1,3,5,3,2,2,4,1,2,3,2,2,1,2,2026-03-07T02:07:43.738003,claude-sonnet-4-6,anthropic,python-pillow__Pillow-fd8ee84,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0
pydantic__pydantic-addf1f9,1,4,4,4,3,4,1,3,5,3,3,3,4,1,4,3,2,2,4,4,2026-03-07T02:07:43.803880,claude-sonnet-4-6,anthropic,pydantic__pydantic-addf1f9,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0
numpy__numpy-19bfa3f,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,4,2,3,5,5,2026-03-07T02:02:40.778075,claude-sonnet-4-6,anthropic,numpy__numpy-19bfa3f,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-c34da50,1,3,4,4,3,3,0,4,5,4,2,2,4,1,3,2,2,2,3,3,2026-03-07T02:07:47.748904,claude-sonnet-4-6,anthropic,pandas-dev__pandas-c34da50,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
pandas-dev__pandas-c51c2a7,1,4,4,3,2,3,1,4,5,3,2,2,4,1,3,3,3,3,3,3,2026-03-07T02:07:40.027708,claude-sonnet-4-6,anthropic,pandas-dev__pandas-c51c2a7,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
pandas-dev__pandas-37e9e06,1,3,4,3,3,3,0,3,5,3,2,3,4,1,2,4,2,3,2,3,2026-03-07T02:05:31.662881,claude-sonnet-4-6,anthropic,pandas-dev__pandas-37e9e06,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
pydantic__pydantic-c2647ab,1,2,5,4,4,3,0,3,5,3,4,3,3,1,4,2,2,1,5,5,2026-03-07T02:08:04.690711,claude-sonnet-4-6,anthropic,pydantic__pydantic-c2647ab,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0
pydantic__pydantic-4a09447,2,3,4,3,3,3,0,3,5,3,2,1,4,1,3,2,2,1,3,3,2026-03-07T02:07:52.252820,claude-sonnet-4-6,anthropic,pydantic__pydantic-4a09447,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0
huggingface__transformers-253f9a3,1,3,4,3,3,2,1,3,5,3,2,3,4,1,2,2,2,1,2,3,2026-03-07T02:07:44.243494,claude-sonnet-4-6,anthropic,huggingface__transformers-253f9a3,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0
huggingface__transformers-211f93a,1,3,4,4,3,3,0,3,5,3,2,2,4,1,3,2,1,1,3,4,2026-03-07T02:08:20.952378,claude-sonnet-4-6,anthropic,huggingface__transformers-211f93a,4.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0
huggingface__tokenizers-bfd9cde,2,3,5,4,5,3,0,4,5,4,3,3,4,1,3,3,2,1,4,4,2026-03-07T02:07:52.574211,claude-sonnet-4-6,anthropic,huggingface__tokenizers-bfd9cde,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0
pandas-dev__pandas-e8961f1,1,3,5,4,4,3,0,3,5,3,4,3,3,1,3,2,2,1,4,4,2026-03-07T02:05:48.197252,claude-sonnet-4-6,anthropic,pandas-dev__pandas-e8961f1,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-2cdca01,2,4,4,3,3,3,0,3,5,3,2,2,4,1,3,2,2,1,3,3,2026-03-07T02:07:39.476845,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2cdca01,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0
uploadcare__pillow-simd-2818b90,2,3,5,4,5,4,0,3,5,3,4,2,4,1,3,2,2,1,5,4,2026-03-07T02:07:39.117598,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-2818b90,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
huggingface__transformers-63b90a5,1,4,3,3,3,3,1,3,5,3,2,1,4,1,3,3,3,2,3,3,2026-03-07T02:07:45.313630,claude-sonnet-4-6,anthropic,huggingface__transformers-63b90a5,4.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0
numpy__numpy-7ff7ec7,3,4,3,3,2,3,1,4,5,4,2,2,4,1,2,4,2,4,3,3,2026-03-07T02:05:32.089508,claude-sonnet-4-6,anthropic,numpy__numpy-7ff7ec7,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0
pandas-dev__pandas-bfaf917,3,4,4,3,4,3,0,4,5,4,2,2,4,1,2,2,2,1,3,3,2026-03-07T02:05:36.694446,claude-sonnet-4-6,anthropic,pandas-dev__pandas-bfaf917,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-68eead8,3,4,5,3,4,4,0,4,5,3,3,2,4,1,3,4,3,4,3,4,2026-03-07T02:05:31.988684,claude-sonnet-4-6,anthropic,numpy__numpy-68eead8,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
abetlen__llama-cpp-python-2bc1d97,1,2,5,3,5,4,0,1,4,2,4,4,2,0,4,3,2,1,4,4,2026-03-07T02:02:58.690866,claude-sonnet-4-6,anthropic,abetlen__llama-cpp-python-2bc1d97,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0
python-pillow__Pillow-63f398b,1,4,4,4,3,3,0,3,5,3,2,1,4,1,3,4,2,4,3,2,2026-03-07T02:05:38.061849,claude-sonnet-4-6,anthropic,python-pillow__Pillow-63f398b,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
pandas-dev__pandas-235113e,2,4,4,3,2,3,1,4,5,4,2,2,4,1,3,2,1,1,2,2,2026-03-07T02:05:32.473737,claude-sonnet-4-6,anthropic,pandas-dev__pandas-235113e,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0
pydantic__pydantic-ac9e6ee,2,3,5,4,5,4,0,3,5,3,4,3,4,1,4,4,2,3,4,5,2026-03-07T02:08:04.723782,claude-sonnet-4-6,anthropic,pydantic__pydantic-ac9e6ee,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0
numpy__numpy-2540554,1,3,5,5,5,4,0,3,5,3,3,2,4,1,3,3,3,2,4,3,2026-03-07T02:05:32.243934,claude-sonnet-4-6,anthropic,numpy__numpy-2540554,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0
pandas-dev__pandas-c6cf37a,1,3,4,4,4,3,0,3,5,3,4,3,4,1,3,2,3,2,3,3,2026-03-07T02:05:38.230895,claude-sonnet-4-6,anthropic,pandas-dev__pandas-c6cf37a,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0
pandas-dev__pandas-438b957,1,3,5,4,4,3,0,3,5,3,4,3,4,1,4,3,2,2,3,4,2026-03-07T02:05:37.374603,claude-sonnet-4-6,anthropic,pandas-dev__pandas-438b957,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0
uploadcare__pillow-simd-6eacce9,1,3,5,5,5,4,0,3,5,3,4,2,4,1,4,2,2,1,5,4,2026-03-07T02:05:39.083458,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-6eacce9,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
tornadoweb__tornado-ac13ee5,2,2,5,4,5,4,0,3,5,3,4,5,3,1,5,2,2,1,5,5,2026-03-07T02:07:53.870816,claude-sonnet-4-6,anthropic,tornadoweb__tornado-ac13ee5,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0
numpy__numpy-567b57d,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,3,2,2,5,5,2026-03-07T02:05:34.034106,claude-sonnet-4-6,anthropic,numpy__numpy-567b57d,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
numpy__numpy-2dfd21e,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,2,3,1,5,5,2026-03-07T02:05:33.061527,claude-sonnet-4-6,anthropic,numpy__numpy-2dfd21e,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
numpy__numpy-28706af,0,2,5,4,5,4,0,3,5,3,5,4,3,1,4,2,3,1,5,5,2026-03-07T02:05:32.573792,claude-sonnet-4-6,anthropic,numpy__numpy-28706af,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
pandas-dev__pandas-9a6c8f0,3,4,4,3,3,3,0,4,5,3,3,2,4,1,3,2,2,1,3,3,2026-03-07T02:05:33.132941,claude-sonnet-4-6,anthropic,pandas-dev__pandas-9a6c8f0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
