instance_id,codebase_scope,problem_clarity,test_edge_case_coverage,side_effect_risk,logical_reasoning_required,test_comprehensiveness,entry_point_clarity,solution_complexity,fix_localization,debugging_complexity,information_completeness,solution_hint,standard_pattern_available,verification_difficulty,reproduction_clarity
matplotlib__matplotlib-13989,1,4,1,1,3,1,4,1,5,2,5,1,1,2,5
sphinx-doc__sphinx-9698,1,4,1,1,2,1,5,1,5,2,5,1,1,2,5
sympy__sympy-12096,1,5,1,2,2,2,5,1,5,2,5,3,1,1,5
django__django-15375,2,5,2,2,3,3,4,2,5,4,5,3,0,2,5
pydata__xarray-6938,2,4,2,2,4,2,4,2,5,4,5,1,0,2,5
sympy__sympy-16597,4,4,3,4,4,4,4,4,5,5,3,2,0,3,5
astropy__astropy-7336,1,5,2,1,2,3,5,1,5,2,5,2,1,1,5
django__django-14122,2,4,1,3,4,2,4,2,4,4,3,1,0,3,3
django__django-7530,1,4,3,2,2,3,4,1,5,2,3,1,1,3,2
django__django-11265,2,4,2,2,4,2,4,3,4,4,5,1,0,3,5
psf__requests-1766,1,5,1,2,1,1,5,1,5,1,4,2,1,2,4
matplotlib__matplotlib-25287,1,5,3,1,2,3,5,2,4,2,5,3,1,2,5
pydata__xarray-3151,1,5,2,2,3,2,5,2,5,2,5,1,0,2,5
django__django-16631,3,4,2,3,3,3,5,3,4,3,4,2,0,3,3
sympy__sympy-18199,3,4,4,3,5,4,5,4,4,3,4,1,0,3,5
pydata__xarray-4695,1,5,2,1,2,2,4,1,5,2,5,3,1,1,5
pytest-dev__pytest-5631,1,5,2,1,2,3,5,2,5,2,5,3,1,2,5
sphinx-doc__sphinx-9230,1,4,2,2,3,3,4,1,4,3,4,0,1,2,3
django__django-16667,1,5,3,1,2,4,5,1,5,2,5,2,1,2,5
django__django-14089,1,5,2,1,1,3,5,1,5,1,4,3,1,1,3
django__django-15732,2,4,3,2,4,4,4,3,4,4,5,2,0,3,5
sympy__sympy-13852,1,4,4,3,3,4,5,3,4,3,5,2,0,3,5
django__django-12262,1,4,4,2,3,4,4,1,5,2,5,1,0,2,5
django__django-13023,1,5,4,2,2,4,5,1,5,2,4,2,1,2,3
django__django-16333,1,5,1,2,2,2,5,1,5,1,4,3,1,2,3
sympy__sympy-13757,2,5,2,3,3,3,4,1,5,3,5,0,1,1,5
pylint-dev__pylint-6528,2,5,3,2,3,4,4,3,4,3,5,1,0,2,5
sphinx-doc__sphinx-9461,3,4,2,3,4,4,4,4,4,4,4,1,0,3,4
django__django-14725,2,4,4,2,3,4,3,2,3,3,3,2,0,2,3
sphinx-doc__sphinx-11445,2,4,3,2,3,4,4,2,5,4,5,2,0,3,5
astropy__astropy-14096,1,4,2,2,3,2,5,1,5,2,5,2,1,2,5
astropy__astropy-14995,1,5,4,2,2,4,5,1,5,2,5,3,1,2,5
django__django-15499,1,5,1,1,2,2,5,1,5,2,3,2,1,2,3
django__django-15525,2,5,2,1,3,3,4,1,5,3,5,3,0,2,5
matplotlib__matplotlib-25479,2,4,2,3,3,3,4,2,4,3,5,2,0,2,5
sphinx-doc__sphinx-8548,2,3,2,3,3,3,4,3,5,4,4,1,0,2,4
django__django-13449,2,5,2,2,3,3,4,3,4,3,5,3,0,2,5
django__django-15572,1,5,2,1,2,2,5,1,5,2,5,2,1,2,5
django__django-16145,1,5,2,1,2,2,5,2,5,2,4,2,1,2,5
django__django-11815,1,5,3,3,2,4,5,2,5,2,5,3,1,2,5
sympy__sympy-17630,3,4,2,3,4,3,5,2,4,4,5,1,0,2,5
pytest-dev__pytest-10356,2,4,2,3,3,3,4,3,4,3,5,2,1,2,5
django__django-10880,1,4,1,1,2,1,4,1,5,2,4,2,1,2,3
django__django-11141,1,4,2,2,3,2,5,2,4,2,5,2,0,2,3
matplotlib__matplotlib-24970,1,4,3,2,3,3,5,2,5,3,5,2,1,2,5
sympy__sympy-13798,1,4,3,2,3,3,5,2,5,2,4,2,1,2,4
scikit-learn__scikit-learn-26194,1,4,2,3,2,3,5,1,5,2,5,2,1,2,5
matplotlib__matplotlib-24570,1,5,3,4,2,4,4,1,5,2,5,3,1,2,5
sphinx-doc__sphinx-10673,3,4,1,3,4,2,5,3,4,4,4,1,0,3,5
django__django-14752,1,5,1,1,1,3,5,1,5,1,5,3,1,1,5
matplotlib__matplotlib-24177,2,4,2,3,3,3,4,1,4,4,5,2,0,2,5
django__django-16082,1,4,3,2,2,3,4,1,5,2,3,2,1,2,2
sympy__sympy-22456,2,4,1,3,4,2,5,3,5,3,4,1,0,2,4
django__django-13516,1,4,2,1,2,2,4,1,5,2,3,1,1,2,3
matplotlib__matplotlib-22871,1,4,2,2,4,2,4,2,5,3,5,0,0,2,5
matplotlib__matplotlib-23299,2,4,2,3,4,2,4,2,3,4,5,2,0,3,5
django__django-14007,2,5,2,2,4,3,4,3,4,4,5,1,0,2,5
django__django-16485,1,5,2,2,3,2,5,1,5,2,5,1,0,2,5
matplotlib__matplotlib-22719,1,5,2,2,2,2,4,1,5,2,5,3,1,2,5
django__django-16256,3,5,3,1,2,4,5,2,4,2,5,3,1,2,3
django__django-14011,3,5,3,3,3,4,4,3,4,4,5,3,0,4,4
django__django-15315,1,5,2,3,2,2,5,1,5,2,5,3,1,1,5
pytest-dev__pytest-6197,2,4,3,3,4,3,4,3,4,4,5,1,0,2,5
django__django-16493,1,5,2,1,2,2,5,2,5,2,5,3,0,2,5
django__django-14787,1,4,1,1,3,2,5,1,5,3,4,1,1,2,5
django__django-13279,2,4,2,2,3,2,4,2,5,3,4,2,0,2,3
django__django-12741,2,5,1,4,1,2,5,2,4,1,5,3,1,1,4
django__django-15987,1,4,2,1,2,2,4,1,5,2,3,1,1,2,2
sympy__sympy-13480,1,5,2,1,1,2,5,1,5,2,5,3,1,1,5
astropy__astropy-7166,1,5,2,2,2,3,4,1,5,2,4,3,1,2,3
sympy__sympy-17139,1,4,3,1,2,3,5,1,5,2,5,1,1,2,5
django__django-15467,1,5,2,2,1,2,5,1,5,1,5,3,1,1,5
django__django-15037,1,4,1,2,3,2,4,2,3,2,4,2,0,3,5
sphinx-doc__sphinx-7985,1,4,2,3,3,3,5,3,4,2,5,1,1,2,5
astropy__astropy-13579,1,5,1,2,3,2,4,3,4,3,5,3,0,2,5
pytest-dev__pytest-7324,1,4,3,2,3,3,5,2,5,3,4,3,0,2,5
sympy__sympy-13091,4,5,4,3,3,5,5,3,4,3,5,3,1,3,4
scikit-learn__scikit-learn-13496,1,5,1,2,1,2,5,1,5,1,4,3,1,1,3
pydata__xarray-4094,1,4,2,1,3,2,4,1,5,3,5,0,0,2,5
django__django-16877,1,4,3,1,2,4,5,1,5,1,4,2,1,2,3
matplotlib__matplotlib-25311,2,4,2,1,4,3,4,2,5,3,5,0,1,2,5
scikit-learn__scikit-learn-25232,1,5,1,2,2,2,5,1,5,1,4,2,1,2,4
pytest-dev__pytest-7236,2,4,3,2,3,4,4,2,5,3,5,1,0,2,5
pydata__xarray-3993,2,5,2,4,2,2,5,2,4,1,5,2,1,2,5
django__django-15563,3,4,2,2,4,3,3,4,4,5,5,2,0,3,5
sympy__sympy-13615,2,4,2,2,4,2,4,3,4,3,4,1,0,2,5
pydata__xarray-6744,1,4,3,2,4,4,4,3,5,3,5,0,0,2,5
sphinx-doc__sphinx-7454,2,5,2,2,3,3,4,1,4,3,5,1,0,2,5
matplotlib__matplotlib-23314,2,5,1,1,3,2,4,1,5,3,4,1,1,2,5
scikit-learn__scikit-learn-12585,1,5,1,2,2,2,5,1,5,1,5,3,1,1,5
pylint-dev__pylint-6903,1,5,2,1,2,3,5,1,5,1,5,3,1,2,4
django__django-12273,2,4,3,3,4,3,3,2,4,4,4,3,0,3,5
sympy__sympy-12481,1,5,2,2,2,2,4,1,5,2,4,1,1,2,5
django__django-10999,1,4,4,3,3,4,5,3,5,2,4,3,1,3,4
matplotlib__matplotlib-26291,2,5,2,2,3,2,4,1,4,3,5,3,0,2,5
django__django-15277,1,5,3,2,2,4,5,1,5,1,5,3,1,2,5
sympy__sympy-13551,1,4,1,3,3,1,4,2,5,3,5,2,0,2,5
sympy__sympy-22914,1,5,1,1,1,2,5,1,5,1,5,3,1,1,5
django__django-13012,1,5,2,2,3,3,4,1,5,3,5,3,0,2,5
django__django-11490,2,4,2,2,3,2,5,2,5,3,5,2,0,2,5
sphinx-doc__sphinx-7462,2,5,2,1,2,3,5,2,5,2,5,3,1,2,5
django__django-16569,1,5,2,1,2,2,5,1,5,1,5,3,1,1,5
django__django-16139,1,5,2,2,2,2,5,1,5,2,5,3,0,2,4
sympy__sympy-21379,3,5,3,2,3,3,3,2,4,4,5,3,1,2,5
sympy__sympy-12419,2,5,2,3,3,3,4,2,5,3,5,3,1,2,5
django__django-14915,1,5,2,1,1,3,5,1,5,1,5,3,1,1,5
sphinx-doc__sphinx-8056,2,4,2,2,3,3,4,2,4,3,4,1,0,2,4
sympy__sympy-17318,2,5,3,2,3,3,5,2,4,3,5,3,0,2,5
pylint-dev__pylint-7277,1,5,4,2,2,4,5,1,5,2,5,3,1,2,5
sympy__sympy-24213,1,4,1,2,3,2,5,1,5,2,4,0,0,2,5
matplotlib__matplotlib-25960,2,4,2,3,4,3,4,3,5,4,4,1,0,3,5
django__django-11740,2,5,2,2,3,2,4,2,4,3,4,3,0,2,4
sympy__sympy-20801,1,4,3,3,4,3,4,2,5,3,5,1,0,2,5
django__django-14493,1,5,2,1,2,2,5,1,5,1,5,2,1,2,5
django__django-14539,1,5,2,2,4,2,5,2,5,3,5,0,0,2,5
astropy__astropy-13236,2,5,3,3,2,4,5,1,5,1,5,3,1,2,4
pytest-dev__pytest-10081,1,5,3,1,3,4,4,2,5,2,5,1,0,2,5
django__django-17084,2,4,2,2,4,2,3,2,5,4,5,1,0,3,5
django__django-13028,1,5,2,1,2,2,5,1,5,2,5,3,0,2,5
pydata__xarray-6461,1,4,2,2,3,2,5,1,5,2,4,1,1,2,5
matplotlib__matplotlib-20488,2,4,3,2,3,3,4,1,4,3,4,1,0,3,4
pytest-dev__pytest-8399,2,5,3,2,1,4,5,1,5,2,5,3,1,2,5
matplotlib__matplotlib-20826,2,4,1,2,3,2,4,2,4,4,5,2,0,3,5
django__django-15851,1,5,1,2,1,2,5,1,5,1,5,3,1,1,5
sympy__sympy-19783,2,4,3,2,3,4,4,2,4,3,4,1,1,2,5
pytest-dev__pytest-5840,2,4,3,2,3,3,4,3,4,4,5,2,1,3,4
django__django-10097,1,4,3,3,3,3,5,2,5,2,4,2,1,2,4
sympy__sympy-22714,1,4,1,2,3,1,5,1,5,3,5,1,0,2,5
django__django-11239,1,4,2,1,2,3,5,1,5,1,4,2,1,2,4
django__django-15503,2,4,4,2,4,4,4,3,5,4,5,2,0,3,5
sympy__sympy-24443,1,4,2,2,3,2,5,3,5,3,5,2,0,2,5
django__django-15368,1,5,1,1,2,2,5,1,5,1,5,3,1,2,5
matplotlib__matplotlib-23476,1,4,2,2,3,2,4,1,4,2,5,2,0,2,5
django__django-15104,1,5,2,1,1,2,5,1,5,2,5,3,1,1,5
django__django-15554,3,4,2,3,4,2,3,4,4,5,4,1,0,3,4
django__django-13195,3,4,3,2,3,4,5,2,5,2,4,2,1,2,3
sympy__sympy-15349,1,4,2,3,3,3,5,1,5,2,4,1,1,2,5
scikit-learn__scikit-learn-25747,1,5,2,3,2,2,5,1,5,2,5,3,0,2,5
django__django-16801,1,5,1,2,2,2,5,2,5,2,4,2,0,2,3
django__django-14580,1,5,1,1,2,2,4,1,5,2,5,3,1,2,5
sympy__sympy-20154,1,5,3,2,1,4,5,1,5,1,4,2,1,2,4
pytest-dev__pytest-5787,2,4,3,2,4,4,4,4,4,4,5,1,0,3,5
django__django-13212,2,4,4,2,2,5,5,1,4,2,4,2,1,2,3
pylint-dev__pylint-4661,2,4,2,4,2,2,5,2,5,2,4,2,1,2,2
sphinx-doc__sphinx-10435,1,4,1,1,3,2,5,1,5,2,5,2,0,3,5
sympy__sympy-20590,2,5,2,1,2,2,4,1,5,2,5,3,1,1,5
django__django-16315,2,5,2,2,3,3,4,3,3,2,4,3,1,2,4
psf__requests-2317,1,4,1,2,2,1,5,1,5,2,4,2,1,2,3
django__django-14017,1,5,3,2,2,4,5,1,5,2,5,2,1,2,5
django__django-13551,1,5,4,3,2,4,5,2,5,2,4,3,1,2,4
matplotlib__matplotlib-26208,2,4,2,2,4,3,3,1,4,4,5,1,0,2,5
sympy__sympy-19346,1,5,4,1,2,4,5,2,5,1,5,2,1,2,5
django__django-15128,2,4,2,3,4,3,4,4,4,4,5,2,0,3,5
django__django-13121,3,4,2,3,4,2,4,4,4,4,4,0,0,3,5
scikit-learn__scikit-learn-10844,1,5,2,1,2,2,5,1,5,2,4,3,1,2,3
django__django-12419,1,5,1,4,1,1,5,1,4,1,4,3,1,1,2
django__django-13658,1,5,2,1,1,2,5,1,5,1,5,3,1,2,4
django__django-14349,1,4,4,2,2,4,5,1,5,2,5,2,1,2,4
sphinx-doc__sphinx-7910,1,5,2,1,2,2,5,1,5,2,4,3,1,2,3
django__django-11848,1,4,4,2,3,4,5,2,5,2,4,2,1,3,3
django__django-13033,2,5,3,2,3,3,4,2,4,4,5,3,0,2,5
sympy__sympy-15345,1,5,2,1,2,2,4,1,5,2,4,1,1,1,5
django__django-16661,2,4,3,3,4,4,4,3,5,4,5,2,0,2,5
django__django-12858,2,4,2,1,3,2,4,1,5,3,5,1,0,2,5
scikit-learn__scikit-learn-25931,1,5,1,1,2,2,5,2,4,2,5,3,1,2,5
mwaskom__seaborn-3069,3,4,3,2,3,4,4,3,3,3,4,2,0,2,2
scikit-learn__scikit-learn-11310,1,5,1,2,2,2,5,1,5,1,5,2,1,2,5
sympy__sympy-18189,1,5,2,2,1,3,4,1,5,2,5,3,1,1,5
django__django-12663,2,5,1,2,3,2,4,2,4,4,5,3,0,2,5
scikit-learn__scikit-learn-10297,1,5,3,2,2,4,5,1,5,1,5,2,1,2,5
pylint-dev__pylint-6386,3,4,1,2,3,1,4,3,5,3,5,1,0,2,5
django__django-14534,1,5,2,3,2,3,5,1,5,2,5,3,1,2,4
django__django-14373,1,5,2,2,1,2,5,1,5,1,3,2,1,1,3
django__django-15098,2,5,4,3,2,4,3,1,5,3,5,2,1,2,5
sympy__sympy-23534,1,4,1,2,2,1,5,1,5,2,5,0,0,2,5
django__django-14631,3,5,3,3,3,3,4,4,4,3,4,3,0,3,4
django__django-11433,1,4,4,3,3,4,4,2,5,3,3,1,0,2,3
psf__requests-1921,1,5,2,2,2,2,4,1,5,2,5,2,1,2,5
django__django-16899,1,5,2,1,1,3,5,1,5,1,4,2,1,1,3
psf__requests-2931,1,4,1,2,3,1,5,2,4,2,4,1,1,2,5
astropy__astropy-14182,2,5,3,2,3,4,5,3,5,2,5,1,1,2,5
django__django-12209,2,4,2,2,3,2,4,1,5,3,5,3,0,3,5
django__django-11999,1,5,1,2,2,2,4,1,5,3,5,3,1,2,5
sympy__sympy-15017,1,5,3,3,2,3,5,1,4,2,5,1,1,2,5
sphinx-doc__sphinx-10614,2,4,4,2,4,4,4,2,5,3,5,1,0,4,5
scikit-learn__scikit-learn-13439,1,5,1,1,1,1,5,1,5,1,5,2,1,1,5
sympy__sympy-13878,2,5,3,2,3,4,5,3,4,2,5,2,1,3,5
sphinx-doc__sphinx-11510,3,5,3,3,4,4,4,4,4,4,5,3,0,3,5
django__django-14559,1,5,4,2,2,4,5,1,5,1,4,3,1,2,3
django__django-13964,1,5,2,3,3,2,4,1,4,3,5,3,0,2,5
django__django-14608,1,4,2,2,2,3,4,1,5,2,3,2,1,2,2
django__django-13821,1,5,2,3,1,1,5,1,5,1,4,2,1,1,2
django__django-14034,2,4,2,3,4,3,4,3,5,4,5,2,0,3,5
pydata__xarray-6992,4,3,4,4,5,4,5,5,5,5,4,1,0,3,5
django__django-16662,1,5,1,1,2,2,5,1,5,2,4,2,1,2,3
django__django-13933,1,5,2,2,1,2,5,1,5,1,5,2,1,1,3
sphinx-doc__sphinx-7440,2,4,2,3,3,3,4,1,5,3,4,1,1,2,4
pytest-dev__pytest-7432,1,5,2,2,3,3,5,2,5,2,5,2,0,2,5
scikit-learn__scikit-learn-14629,2,5,2,2,2,3,5,2,4,2,5,3,1,2,5
sympy__sympy-23262,1,5,2,2,2,2,4,1,5,2,5,1,1,1,5
django__django-13925,2,4,4,2,3,4,4,2,4,3,4,1,0,2,3
astropy__astropy-13453,1,5,2,2,2,3,4,1,5,2,5,3,0,2,5
sympy__sympy-21930,1,5,3,2,1,4,4,1,4,2,5,3,1,1,5
sympy__sympy-24661,1,5,3,2,2,4,4,3,5,2,5,3,1,2,5
sphinx-doc__sphinx-8035,2,4,1,4,3,2,4,3,4,3,3,2,1,2,2
django__django-14999,1,4,2,2,3,3,4,2,4,2,3,2,1,2,2
scikit-learn__scikit-learn-11578,1,5,3,2,2,4,5,1,5,2,5,3,1,2,5
django__django-13837,1,5,2,2,2,3,5,2,5,2,5,3,1,2,3
scikit-learn__scikit-learn-9288,1,5,1,3,2,2,4,2,5,2,5,3,1,2,5
pydata__xarray-7229,2,4,4,2,4,4,4,3,4,4,5,2,0,3,5
scikit-learn__scikit-learn-13142,1,5,2,1,3,2,4,2,5,3,5,3,0,2,5
scikit-learn__scikit-learn-25973,1,5,2,2,2,2,4,2,5,2,5,3,1,2,5
sphinx-doc__sphinx-9673,2,4,2,2,3,2,4,1,5,4,4,2,0,2,4
django__django-15561,2,4,2,3,3,2,4,3,5,3,4,3,0,2,3
sphinx-doc__sphinx-9258,1,4,2,2,2,3,4,1,5,2,4,1,1,2,4
scikit-learn__scikit-learn-12682,4,4,2,2,3,3,5,3,4,2,3,2,1,2,3
django__django-11133,1,5,1,1,2,1,5,1,5,2,5,3,1,1,5
django__django-11099,1,5,2,2,1,2,5,1,5,1,5,3,1,1,4
pylint-dev__pylint-4551,3,4,4,3,4,4,3,4,3,4,4,1,0,3,5
sphinx-doc__sphinx-8721,1,4,2,2,2,3,4,1,5,2,4,1,1,2,3
sympy__sympy-16792,2,5,2,2,3,2,4,3,4,3,5,1,0,2,5
sympy__sympy-18763,1,5,2,2,1,2,5,1,5,2,5,2,1,1,5
django__django-12965,2,4,1,2,4,2,4,2,4,4,5,1,0,2,5
django__django-15127,2,4,2,2,3,3,4,2,4,3,3,2,1,2,2
matplotlib__matplotlib-26342,1,5,1,2,2,2,5,1,5,1,4,3,1,2,4
sympy__sympy-23413,1,4,3,3,4,3,4,2,5,3,5,1,0,2,5
django__django-15629,3,4,3,3,4,4,4,4,4,4,4,2,0,3,4
pydata__xarray-7233,2,4,2,2,3,3,5,1,5,3,5,1,0,2,5
astropy__astropy-14508,1,5,2,3,2,3,5,2,5,2,5,3,1,2,5
django__django-15916,2,4,2,3,3,3,4,3,4,2,4,1,0,2,5
matplotlib__matplotlib-25775,3,4,3,2,3,4,4,3,3,3,3,2,1,3,2
django__django-14311,1,4,2,2,3,3,4,2,5,3,4,2,0,2,3
sphinx-doc__sphinx-9281,1,5,1,2,2,2,4,1,5,2,5,2,1,2,5
pydata__xarray-3677,1,5,1,1,2,1,5,1,4,2,5,1,1,1,5
sympy__sympy-19040,2,5,2,2,2,2,4,1,4,4,4,3,0,2,5
django__django-13315,2,3,3,3,4,4,4,3,5,4,3,1,0,3,3
sympy__sympy-15599,2,4,3,3,4,3,5,3,5,3,5,3,0,3,5
pytest-dev__pytest-7982,1,5,1,2,1,2,5,1,5,1,5,3,1,1,3
django__django-11451,1,5,4,2,2,4,5,1,5,1,5,3,1,2,4
sympy__sympy-15976,1,4,4,2,2,4,4,2,5,2,5,3,0,2,5
django__django-15957,3,4,3,3,4,4,4,4,3,5,4,2,0,3,5
django__django-12050,1,4,1,2,2,2,5,2,5,2,3,2,1,2,2
django__django-15280,2,5,2,2,4,2,3,2,3,4,5,2,0,3,5
pytest-dev__pytest-7490,2,4,3,2,4,3,4,3,4,3,5,1,0,2,5
django__django-13568,1,4,4,1,2,4,5,2,5,2,5,2,1,2,5
django__django-11555,2,3,2,2,3,2,4,2,4,3,3,1,0,3,3
scikit-learn__scikit-learn-13135,1,5,2,1,2,3,5,1,5,2,5,2,1,2,5
django__django-13513,1,5,3,2,2,3,5,3,5,2,5,3,1,2,5
django__django-10554,3,4,3,2,4,4,4,3,5,5,4,1,0,3,5
pydata__xarray-4075,1,5,2,1,2,3,5,2,5,2,5,3,1,1,5
matplotlib__matplotlib-24627,2,4,2,3,3,3,4,2,4,3,5,1,1,2,5
django__django-13401,1,5,3,3,3,4,5,3,5,2,5,2,1,2,5
astropy__astropy-13977,2,4,4,3,4,5,5,3,4,3,5,2,0,3,5
django__django-11095,1,5,3,2,2,3,5,1,5,1,4,3,1,2,3
django__django-12713,1,4,2,2,2,2,5,2,5,2,3,2,1,2,2
django__django-13417,1,4,2,2,3,3,4,2,4,2,5,2,0,2,5
sympy__sympy-13031,2,4,3,2,3,3,5,2,4,4,5,2,0,2,5
sympy__sympy-15809,1,5,2,3,2,2,5,1,5,1,5,2,1,2,5
sympy__sympy-13877,3,4,2,2,4,3,4,3,5,4,5,2,0,2,5
django__django-13786,1,4,3,1,3,4,5,2,5,2,4,2,0,2,3
django__django-16642,1,4,2,2,2,3,4,1,5,2,4,1,1,2,5
pytest-dev__pytest-6202,1,5,2,2,2,3,5,1,5,1,5,3,0,2,5
django__django-11885,3,4,1,3,4,2,4,4,4,4,4,2,0,3,4
sphinx-doc__sphinx-7748,2,3,2,3,4,3,4,4,4,4,3,1,0,2,2
matplotlib__matplotlib-24149,1,5,2,2,2,3,5,2,5,2,5,3,1,2,5
django__django-15741,1,4,2,1,2,3,5,1,5,2,4,2,1,2,4
django__django-14500,1,4,2,2,3,2,4,1,5,2,3,1,0,3,2
scikit-learn__scikit-learn-25102,3,4,3,3,4,4,4,3,4,4,5,1,0,3,5
sympy__sympy-20438,3,4,3,3,4,4,4,3,5,4,4,1,0,2,5
sympy__sympy-16766,1,5,2,1,1,2,5,1,5,1,5,3,1,1,5
django__django-13512,2,5,3,2,2,4,4,1,5,2,4,3,1,2,3
astropy__astropy-7606,1,4,3,2,3,3,5,2,5,2,5,1,1,2,5
sympy__sympy-14976,2,4,2,2,3,3,4,1,5,2,5,1,1,2,5
django__django-14238,1,5,3,2,2,4,5,1,5,2,5,3,1,2,5
django__django-10914,1,5,1,4,1,1,5,1,5,1,5,3,1,1,3
django__django-14404,1,4,3,2,2,4,5,1,5,2,4,2,1,2,3
psf__requests-6028,1,5,2,2,2,2,3,1,4,3,4,3,1,2,4
django__django-13569,1,5,1,2,3,2,5,1,4,2,5,3,0,2,5
pylint-dev__pylint-4970,1,4,2,2,2,2,4,1,5,2,3,1,1,2,3
matplotlib__matplotlib-24870,2,4,3,2,3,4,4,3,4,3,4,2,0,2,5
matplotlib__matplotlib-25332,2,4,2,2,3,2,4,2,4,4,5,1,1,2,5
sphinx-doc__sphinx-8595,1,5,2,2,3,2,4,1,5,2,5,1,1,2,5
scikit-learn__scikit-learn-12973,1,5,3,2,2,4,5,1,5,1,5,3,1,2,4
django__django-17087,1,5,2,1,2,2,4,1,5,2,5,3,1,2,5
django__django-14351,3,4,2,2,4,2,3,3,4,5,5,1,0,3,5
sympy__sympy-19954,1,4,2,1,3,2,5,2,5,3,5,1,1,2,5
django__django-16100,1,4,3,2,2,4,4,2,5,2,3,2,1,3,2
django__django-12143,1,5,2,1,1,2,5,1,5,2,4,3,1,2,3
django__django-16950,2,4,3,2,4,4,4,3,5,4,5,2,0,3,5
sphinx-doc__sphinx-10323,1,4,2,2,3,2,5,1,5,2,5,2,0,2,5
django__django-12155,2,5,2,3,2,2,5,2,5,2,5,3,1,2,5
django__django-16116,1,5,2,3,2,2,5,2,5,1,4,2,1,2,3
django__django-13590,1,5,2,2,2,2,5,2,5,2,5,3,1,2,4
django__django-17029,1,5,1,1,1,2,5,1,5,1,4,3,1,1,3
sympy__sympy-22080,3,4,3,3,4,3,4,3,4,4,4,2,0,2,5
django__django-15278,2,4,2,2,3,2,4,2,5,3,5,1,0,2,5
django__django-16454,1,5,3,2,3,4,5,2,5,2,5,2,0,2,5
django__django-13343,1,5,1,1,2,2,5,2,4,2,4,2,1,2,3
django__django-16136,1,5,2,1,3,3,4,2,5,2,5,2,1,2,5
django__django-13158,2,4,2,2,4,2,4,2,4,4,4,0,0,2,4
pylint-dev__pylint-8898,2,5,3,2,3,4,4,3,4,2,5,3,1,2,5
sympy__sympy-24066,1,4,2,2,3,3,5,2,4,3,5,1,0,2,5
django__django-14672,1,5,2,1,2,3,5,1,5,2,5,3,1,2,5
sympy__sympy-23824,1,5,2,1,2,3,5,1,5,1,5,3,1,2,5
django__django-13363,1,5,2,2,2,3,5,1,5,2,5,3,1,2,5
scikit-learn__scikit-learn-14983,1,5,2,1,3,3,5,2,5,2,5,3,1,2,5
