instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
bn-fit-modify,2,4,5,4,4,4,0,4,3,4,4,1,4,0,2,4,4,3,4,4,2026-03-07T23:25:49.203301,claude-opus-4-6,anthropic,bn-fit-modify
fix-code-vulnerability,2,4,3,3,2,2,1,4,4,5,3,1,5,1,2,4,3,4,3,2,2026-03-07T23:25:56.935572,claude-opus-4-6,anthropic,fix-code-vulnerability
caffe-cifar-10,2,4,4,3,3,4,1,4,4,5,4,3,4,1,3,4,4,3,4,4,2026-03-07T23:25:49.278999,claude-opus-4-6,anthropic,caffe-cifar-10
reshard-c4-data,1,4,3,3,3,3,0,4,4,4,3,2,4,1,2,4,4,2,3,3,2026-03-07T23:26:10.706387,claude-opus-4-6,anthropic,reshard-c4-data
mcmc-sampling-stan,3,5,5,4,4,4,1,4,4,5,4,2,4,1,3,4,4,2,4,4,2026-03-07T23:26:01.333772,claude-opus-4-6,anthropic,mcmc-sampling-stan
portfolio-optimization,3,5,3,2,2,3,1,5,5,5,2,2,5,1,2,4,4,3,3,3,2026-03-07T23:26:07.569386,claude-opus-4-6,anthropic,portfolio-optimization
raman-fitting,2,3,4,3,3,3,1,4,3,4,3,1,3,1,2,3,4,1,3,2,2026-03-07T23:26:09.013201,claude-opus-4-6,anthropic,raman-fitting
make-doom-for-mips,1,3,5,5,5,4,0,3,3,4,5,5,2,0,3,4,4,2,5,5,2026-03-07T23:26:04.266575,claude-opus-4-6,anthropic,make-doom-for-mips
break-filter-js-from-html,1,5,4,4,3,3,1,4,5,5,4,1,5,1,1,3,4,1,3,3,2026-03-07T23:25:47.676426,claude-opus-4-6,anthropic,break-filter-js-from-html
openssl-selfsigned-cert,3,5,3,2,1,2,1,5,5,5,2,1,5,1,2,4,4,2,3,3,2026-03-07T23:26:01.546177,claude-opus-4-6,anthropic,openssl-selfsigned-cert
sqlite-with-gcov,2,4,3,3,2,2,1,4,4,4,2,1,4,1,3,4,3,2,3,3,2026-03-07T23:26:10.702799,claude-opus-4-6,anthropic,sqlite-with-gcov
query-optimize,1,4,3,3,3,4,1,4,4,5,2,1,5,1,1,5,4,4,2,2,2026-03-07T23:26:09.047030,claude-opus-4-6,anthropic,query-optimize
torch-pipeline-parallelism,2,4,5,4,4,4,0,4,5,4,4,1,4,0,2,4,5,3,5,4,2026-03-07T23:26:14.482480,claude-opus-4-6,anthropic,torch-pipeline-parallelism
build-cython-ext,2,4,3,3,3,3,1,4,4,4,3,4,4,1,3,5,4,4,4,3,2026-03-07T23:25:46.974593,claude-opus-4-6,anthropic,build-cython-ext
filter-js-from-html,1,4,4,4,3,4,1,3,4,3,3,1,4,1,2,4,4,4,3,3,2026-03-07T23:25:56.813707,claude-opus-4-6,anthropic,filter-js-from-html
nginx-request-logging,3,5,3,3,2,3,1,5,5,5,2,3,5,1,3,4,3,2,3,3,2026-03-07T23:26:02.861608,claude-opus-4-6,anthropic,nginx-request-logging
torch-tensor-parallelism,2,4,4,4,3,4,1,4,5,5,4,1,5,1,2,4,4,3,4,3,2026-03-07T23:26:14.972765,claude-opus-4-6,anthropic,torch-tensor-parallelism
polyglot-c-py,1,5,3,4,4,2,1,5,5,5,3,1,5,1,2,3,3,3,3,2,2026-03-07T23:26:04.154385,claude-opus-4-6,anthropic,polyglot-c-py
overfull-hbox,1,4,3,4,4,3,0,5,5,5,3,2,5,0,2,4,4,4,4,3,2026-03-07T23:26:04.089565,claude-opus-4-6,anthropic,overfull-hbox
distribution-search,1,4,4,5,4,2,0,5,4,5,4,1,5,0,2,4,4,3,5,2,2026-03-07T23:25:49.362474,claude-opus-4-6,anthropic,distribution-search
model-extraction-relu-logits,1,3,5,5,5,4,0,4,3,4,5,1,4,0,2,3,4,2,5,2,2026-03-07T23:26:02.406681,claude-opus-4-6,anthropic,model-extraction-relu-logits
prove-plus-comm,1,4,4,3,3,2,1,4,3,5,3,1,3,1,1,4,3,2,2,3,2026-03-07T23:26:07.604672,claude-opus-4-6,anthropic,prove-plus-comm
largest-eigenval,1,4,3,3,3,4,1,4,5,5,3,1,5,1,2,4,4,3,3,3,2026-03-07T23:25:58.691154,claude-opus-4-6,anthropic,largest-eigenval
kv-store-grpc,3,5,3,2,2,3,1,5,5,5,2,2,5,1,3,4,4,2,3,3,2026-03-07T23:25:55.655513,claude-opus-4-6,anthropic,kv-store-grpc
llm-inference-batching-scheduler,2,4,4,5,4,4,0,5,4,5,4,2,5,0,2,5,5,4,5,2,2026-03-07T23:25:59.811931,claude-opus-4-6,anthropic,llm-inference-batching-scheduler
git-multibranch,2,5,4,3,3,4,1,5,5,5,3,3,4,1,4,3,3,1,4,4,2026-03-07T23:25:54.858336,claude-opus-4-6,anthropic,git-multibranch
headless-terminal,1,4,4,3,3,4,1,4,5,5,3,1,4,1,3,4,3,3,3,3,2026-03-07T23:25:55.708688,claude-opus-4-6,anthropic,headless-terminal
pytorch-model-cli,1,3,4,4,4,3,0,4,3,5,3,3,3,0,2,4,4,3,4,4,2026-03-07T23:26:08.269683,claude-opus-4-6,anthropic,pytorch-model-cli
mteb-retrieve,2,4,4,3,3,2,0,5,4,5,3,1,4,0,2,2,2,1,3,3,2026-03-07T23:26:02.428378,claude-opus-4-6,anthropic,mteb-retrieve
count-dataset-tokens,2,3,4,3,3,3,0,4,3,4,3,1,3,1,2,1,1,1,3,3,2026-03-07T23:25:49.605423,claude-opus-4-6,anthropic,count-dataset-tokens
tune-mjcf,1,4,5,3,4,4,0,4,4,5,3,1,4,0,1,4,4,3,2,3,2026-03-07T23:26:14.278368,claude-opus-4-6,anthropic,tune-mjcf
constraints-scheduling,2,4,3,4,3,4,0,5,4,5,3,1,4,0,2,4,5,4,4,2,2026-03-07T23:25:49.820035,claude-opus-4-6,anthropic,constraints-scheduling
extract-moves-from-video,1,3,4,3,4,3,0,3,3,4,4,1,3,1,2,3,4,2,4,3,2026-03-07T23:25:53.852016,claude-opus-4-6,anthropic,extract-moves-from-video
cancel-async-tasks,1,4,4,4,3,4,1,4,5,4,3,1,5,1,1,5,4,4,3,2,2026-03-07T23:25:47.808474,claude-opus-4-6,anthropic,cancel-async-tasks
extract-elf,1,4,4,4,4,3,0,4,4,4,4,1,5,0,2,3,4,2,4,3,2026-03-07T23:25:54.015642,claude-opus-4-6,anthropic,extract-elf
merge-diff-arc-agi-task,1,3,3,4,4,3,0,4,4,4,4,2,3,0,2,4,4,3,4,2,2026-03-07T23:26:02.389125,claude-opus-4-6,anthropic,merge-diff-arc-agi-task
modernize-scientific-stack,3,5,2,2,1,2,1,5,4,5,1,1,5,1,2,3,3,2,2,2,2026-03-07T23:26:01.686626,claude-opus-4-6,anthropic,modernize-scientific-stack
dna-insert,2,4,5,4,5,4,0,5,3,4,4,1,4,0,2,4,4,3,4,3,2026-03-07T23:25:55.791530,claude-opus-4-6,anthropic,dna-insert
mteb-leaderboard,1,4,5,3,4,2,0,4,3,4,3,2,3,0,2,2,2,1,4,3,2026-03-07T23:26:02.608712,claude-opus-4-6,anthropic,mteb-leaderboard
install-windows-3.11,2,4,4,3,4,4,0,4,4,4,4,3,4,0,4,4,5,3,4,5,2026-03-07T23:25:56.456226,claude-opus-4-6,anthropic,install-windows-3.11
feal-differential-cryptanalysis,1,4,5,5,4,2,0,4,4,5,5,2,5,0,2,2,3,1,5,3,2026-03-07T23:25:54.485116,claude-opus-4-6,anthropic,feal-differential-cryptanalysis
video-processing,1,3,4,4,4,4,0,4,4,4,4,1,3,0,2,4,3,3,4,3,2026-03-07T23:26:12.797666,claude-opus-4-6,anthropic,video-processing
pypi-server,2,5,3,3,3,3,1,5,4,5,3,3,5,1,4,3,3,3,4,4,2026-03-07T23:26:07.824238,claude-opus-4-6,anthropic,pypi-server
vulnerable-secret,1,3,4,4,3,1,1,4,3,5,3,1,3,1,2,3,2,2,3,2,2026-03-07T23:26:14.636629,claude-opus-4-6,anthropic,vulnerable-secret
pytorch-model-recovery,3,5,4,3,2,3,1,5,4,5,3,1,5,1,2,4,4,3,3,3,2026-03-07T23:26:10.180802,claude-opus-4-6,anthropic,pytorch-model-recovery
mailman,2,4,4,3,3,4,1,4,4,4,4,3,4,1,4,4,4,2,4,4,2026-03-07T23:26:01.786336,claude-opus-4-6,anthropic,mailman
polyglot-rust-c,1,5,5,5,5,2,0,5,5,5,4,1,5,0,2,3,3,3,5,4,2026-03-07T23:26:04.507297,claude-opus-4-6,anthropic,polyglot-rust-c
crack-7z-hash,1,3,4,3,3,2,1,4,3,5,3,2,3,1,3,2,1,1,4,4,2026-03-07T23:25:49.084942,claude-opus-4-6,anthropic,crack-7z-hash
dna-assembly,2,4,5,4,5,4,0,4,3,4,5,1,4,0,2,5,5,4,5,4,2026-03-07T23:25:55.057170,claude-opus-4-6,anthropic,dna-assembly
build-pov-ray,1,4,4,4,4,3,0,4,4,4,4,3,3,0,3,4,4,3,4,4,2026-03-07T23:25:51.480016,claude-opus-4-6,anthropic,build-pov-ray
cobol-modernization,1,4,3,3,3,2,0,5,4,5,2,1,5,1,2,3,3,2,3,2,2026-03-07T23:25:48.974193,claude-opus-4-6,anthropic,cobol-modernization
fix-ocaml-gc,1,3,5,4,5,3,0,3,4,4,4,1,3,0,2,2,2,1,4,4,2026-03-07T23:25:56.422434,claude-opus-4-6,anthropic,fix-ocaml-gc
write-compressor,1,4,5,5,5,3,0,5,5,5,5,2,5,0,2,4,3,2,5,4,2026-03-07T23:26:15.631395,claude-opus-4-6,anthropic,write-compressor
rstan-to-pystan,2,4,4,4,4,4,0,4,4,5,4,2,4,0,3,4,4,3,5,5,2026-03-07T23:26:07.717297,claude-opus-4-6,anthropic,rstan-to-pystan
protein-assembly,2,4,5,4,5,4,0,5,3,4,5,3,3,0,2,4,4,3,5,4,2026-03-07T23:26:07.554119,claude-opus-4-6,anthropic,protein-assembly
path-tracing,1,3,5,5,5,4,0,4,5,4,4,1,3,0,2,4,4,4,5,2,2026-03-07T23:26:06.196106,claude-opus-4-6,anthropic,path-tracing
large-scale-text-editing,1,5,4,4,4,3,0,5,5,5,3,1,5,1,2,5,4,4,4,3,2026-03-07T23:25:58.289383,claude-opus-4-6,anthropic,large-scale-text-editing
train-fasttext,1,3,3,3,2,3,1,4,3,4,3,2,3,1,3,3,4,2,3,3,2026-03-07T23:26:15.469773,claude-opus-4-6,anthropic,train-fasttext
multi-source-data-merger,3,5,3,3,2,2,1,5,4,5,2,1,4,1,2,3,3,2,3,2,2026-03-07T23:26:03.360281,claude-opus-4-6,anthropic,multi-source-data-merger
regex-chess,0,4,5,5,5,4,0,5,5,5,5,1,5,0,1,4,4,4,5,2,2026-03-07T23:26:10.548216,claude-opus-4-6,anthropic,regex-chess
schemelike-metacircular-eval,1,4,5,5,4,4,1,4,5,5,4,1,5,0,2,5,4,4,5,2,2026-03-07T23:26:11.751979,claude-opus-4-6,anthropic,schemelike-metacircular-eval
sanitize-git-repo,2,4,2,3,2,3,1,4,3,4,3,3,4,1,3,4,3,3,3,2,2026-03-07T23:26:10.973781,claude-opus-4-6,anthropic,sanitize-git-repo
fix-git,1,3,3,3,3,2,1,2,2,3,3,1,2,1,2,2,3,1,3,2,2026-03-07T23:25:55.155163,claude-opus-4-6,anthropic,fix-git
configure-git-webserver,2,4,4,3,2,4,1,4,5,5,3,3,4,1,4,3,3,1,4,4,2026-03-07T23:25:49.246761,claude-opus-4-6,anthropic,configure-git-webserver
git-leak-recovery,2,4,3,3,2,3,1,4,4,5,3,1,4,1,2,5,4,4,3,2,2026-03-07T23:25:55.638691,claude-opus-4-6,anthropic,git-leak-recovery
circuit-fibsqrt,1,4,5,5,5,3,0,5,4,5,5,1,4,0,2,4,4,4,5,3,2026-03-07T23:25:49.747473,claude-opus-4-6,anthropic,circuit-fibsqrt
regex-log,2,4,3,4,3,3,0,5,5,5,4,1,5,1,1,4,3,4,4,1,2026-03-07T23:26:09.217743,claude-opus-4-6,anthropic,regex-log
custom-memory-heap-crash,1,4,5,5,5,3,0,4,5,4,5,3,3,0,2,4,3,4,4,4,2026-03-07T23:25:49.498609,claude-opus-4-6,anthropic,custom-memory-heap-crash
sparql-university,2,4,4,4,3,3,0,5,5,5,3,1,5,1,1,4,4,3,4,2,2026-03-07T23:26:11.509938,claude-opus-4-6,anthropic,sparql-university
compile-compcert,2,4,4,3,3,3,1,4,3,5,3,3,4,1,3,5,4,4,4,4,2026-03-07T23:25:49.227452,claude-opus-4-6,anthropic,compile-compcert
build-pmars,2,4,3,3,3,2,0,4,4,4,3,2,4,1,3,4,3,3,3,3,2026-03-07T23:25:48.556386,claude-opus-4-6,anthropic,build-pmars
log-summary-date-ranges,3,5,2,3,2,2,1,5,4,5,2,1,5,1,2,4,3,1,3,1,2026-03-07T23:26:00.213175,claude-opus-4-6,anthropic,log-summary-date-ranges
code-from-image,1,2,4,4,5,2,0,4,2,4,4,1,2,0,2,3,2,1,4,3,2026-03-07T23:25:46.935842,claude-opus-4-6,anthropic,code-from-image
qemu-alpine-ssh,2,4,4,3,3,4,1,5,4,5,4,3,4,1,3,2,2,1,4,4,2026-03-07T23:26:09.409230,claude-opus-4-6,anthropic,qemu-alpine-ssh
feal-linear-cryptanalysis,2,3,5,5,5,2,0,4,3,5,5,3,3,0,2,4,3,1,5,3,2026-03-07T23:25:54.971426,claude-opus-4-6,anthropic,feal-linear-cryptanalysis
make-mips-interpreter,1,3,5,5,5,4,0,3,4,4,5,5,3,0,3,3,4,2,5,4,2026-03-07T23:26:02.836023,claude-opus-4-6,anthropic,make-mips-interpreter
adaptive-rejection-sampler,2,4,5,4,4,4,0,4,4,4,3,1,4,1,2,4,4,4,4,3,2026-03-07T23:25:50.045910,claude-opus-4-6,anthropic,adaptive-rejection-sampler
sqlite-db-truncate,1,4,4,4,4,2,0,4,3,4,4,1,3,0,1,3,3,2,4,2,2026-03-07T23:26:10.582570,claude-opus-4-6,anthropic,sqlite-db-truncate
