instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
break-filter-js-from-html,1,4,4,4,3,2,1,4,5,4,4,1,3,1,2,3,4,1,2,2,2026-03-08T00:33:15.124289,claude-opus-4-6,anthropic,break-filter-js-from-html
openssl-selfsigned-cert,3,5,3,2,1,3,1,5,4,4,2,2,4,1,2,4,4,3,3,3,2026-03-08T00:33:34.400139,claude-opus-4-6,anthropic,openssl-selfsigned-cert
sqlite-with-gcov,2,4,3,3,3,3,1,3,4,3,2,1,3,1,2,4,3,2,3,3,2026-03-08T00:33:50.120019,claude-opus-4-6,anthropic,sqlite-with-gcov
query-optimize,1,3,3,4,3,3,1,3,4,3,4,1,2,1,1,5,4,4,2,1,2026-03-08T00:33:42.209679,claude-opus-4-6,anthropic,query-optimize
torch-pipeline-parallelism,2,4,5,4,3,4,1,4,3,4,4,1,4,0,2,4,4,3,4,3,2026-03-08T00:33:50.963195,claude-opus-4-6,anthropic,torch-pipeline-parallelism
build-cython-ext,2,4,4,4,3,3,0,4,4,4,4,3,4,1,3,5,4,3,4,3,2026-03-08T00:33:12.470326,claude-opus-4-6,anthropic,build-cython-ext
filter-js-from-html,1,3,4,4,3,4,1,3,3,3,4,1,2,1,2,4,5,4,3,2,2026-03-08T00:33:23.876090,claude-opus-4-6,anthropic,filter-js-from-html
nginx-request-logging,3,5,3,3,2,3,1,5,4,5,2,3,5,1,4,4,3,2,3,3,2026-03-08T00:33:34.494851,claude-opus-4-6,anthropic,nginx-request-logging
torch-tensor-parallelism,2,4,4,3,3,4,1,4,3,4,3,1,3,1,2,4,4,3,4,3,2026-03-08T00:33:51.543758,claude-opus-4-6,anthropic,torch-tensor-parallelism
polyglot-c-py,1,5,4,4,4,2,1,5,5,4,3,1,5,1,2,3,3,3,3,2,2026-03-08T00:33:36.233860,claude-opus-4-6,anthropic,polyglot-c-py
overfull-hbox,2,4,4,4,4,2,0,4,3,4,4,2,3,0,2,5,4,4,4,3,2026-03-08T00:33:36.725672,claude-opus-4-6,anthropic,overfull-hbox
distribution-search,1,4,4,4,4,3,0,5,4,5,4,1,4,0,2,4,4,3,5,2,2026-03-08T00:33:14.291086,claude-opus-4-6,anthropic,distribution-search
model-extraction-relu-logits,2,4,5,5,5,4,0,4,3,3,5,1,3,0,2,3,4,2,5,2,2026-03-08T00:33:32.465184,claude-opus-4-6,anthropic,model-extraction-relu-logits
prove-plus-comm,1,4,5,4,4,1,1,3,3,4,3,1,3,1,1,4,3,2,2,3,2026-03-08T00:33:42.748115,claude-opus-4-6,anthropic,prove-plus-comm
largest-eigenval,1,4,4,4,3,4,1,4,4,4,4,1,4,0,2,4,4,3,2,2,2026-03-08T00:33:30.971675,claude-opus-4-6,anthropic,largest-eigenval
kv-store-grpc,3,5,3,2,2,3,1,5,5,4,2,2,4,1,3,4,3,2,3,3,2026-03-08T00:33:25.298813,claude-opus-4-6,anthropic,kv-store-grpc
llm-inference-batching-scheduler,2,4,4,4,4,4,0,5,4,5,4,2,4,0,2,5,4,4,5,2,2026-03-08T00:33:33.002941,claude-opus-4-6,anthropic,llm-inference-batching-scheduler
git-multibranch,2,5,4,3,3,4,1,5,5,5,4,4,4,1,4,3,4,1,4,4,2026-03-08T00:33:22.834677,claude-opus-4-6,anthropic,git-multibranch
headless-terminal,1,3,4,4,3,4,1,3,3,3,4,1,2,1,3,4,3,3,3,3,2026-03-08T00:33:23.928872,claude-opus-4-6,anthropic,headless-terminal
pytorch-model-cli,1,3,4,4,4,4,0,3,3,3,4,3,2,0,2,4,4,2,4,4,2026-03-08T00:33:42.830721,claude-opus-4-6,anthropic,pytorch-model-cli
mteb-retrieve,2,4,4,3,4,4,0,5,3,5,4,1,4,0,2,2,2,1,3,3,2026-03-08T00:33:33.354381,claude-opus-4-6,anthropic,mteb-retrieve
count-dataset-tokens,2,4,4,3,3,4,0,4,3,4,3,1,3,1,2,1,1,1,3,3,2026-03-08T00:33:13.484866,claude-opus-4-6,anthropic,count-dataset-tokens
tune-mjcf,1,4,5,4,5,4,0,4,4,4,4,1,3,0,2,4,4,3,2,3,2026-03-08T00:33:50.966312,claude-opus-4-6,anthropic,tune-mjcf
constraints-scheduling,2,5,3,4,4,4,0,5,4,4,3,1,4,0,2,5,5,4,4,2,2026-03-08T00:33:12.929160,claude-opus-4-6,anthropic,constraints-scheduling
extract-moves-from-video,1,3,5,4,5,5,0,3,2,2,5,1,2,0,2,3,4,1,4,4,2026-03-08T00:33:23.016172,claude-opus-4-6,anthropic,extract-moves-from-video
cancel-async-tasks,1,3,4,4,3,4,1,4,4,3,3,1,3,1,2,5,4,4,3,1,2026-03-08T00:33:13.756484,claude-opus-4-6,anthropic,cancel-async-tasks
extract-elf,1,3,4,4,4,3,0,4,4,3,4,1,2,0,1,3,4,2,4,2,2026-03-08T00:33:22.419241,claude-opus-4-6,anthropic,extract-elf
merge-diff-arc-agi-task,2,4,4,5,5,4,0,4,4,3,4,2,2,0,2,4,4,3,4,2,2026-03-08T00:33:34.399399,claude-opus-4-6,anthropic,merge-diff-arc-agi-task
modernize-scientific-stack,3,5,3,2,2,2,1,4,4,4,2,2,4,1,2,3,3,1,2,2,2026-03-08T00:33:32.026381,claude-opus-4-6,anthropic,modernize-scientific-stack
dna-insert,2,4,5,5,5,4,0,4,3,4,5,2,3,0,2,4,4,3,4,3,2026-03-08T00:33:22.519513,claude-opus-4-6,anthropic,dna-insert
mteb-leaderboard,1,4,5,3,4,4,0,4,2,3,4,1,3,0,2,2,2,1,4,3,2026-03-08T00:33:33.162924,claude-opus-4-6,anthropic,mteb-leaderboard
install-windows-3.11,2,4,4,3,4,4,0,4,3,3,4,3,3,1,3,4,4,3,4,4,2026-03-08T00:33:24.165412,claude-opus-4-6,anthropic,install-windows-3.11
feal-differential-cryptanalysis,2,3,5,5,4,3,1,4,3,4,5,2,3,0,1,2,3,1,4,2,2026-03-08T00:33:23.200235,claude-opus-4-6,anthropic,feal-differential-cryptanalysis
video-processing,1,3,4,4,4,4,0,3,4,4,4,1,3,0,2,4,3,3,4,3,2026-03-08T00:33:53.049846,claude-opus-4-6,anthropic,video-processing
pypi-server,2,5,3,3,3,3,1,5,4,5,3,3,4,1,3,4,3,3,4,4,2026-03-08T00:33:41.961635,claude-opus-4-6,anthropic,pypi-server
vulnerable-secret,1,2,4,4,3,2,1,3,2,4,4,1,2,0,2,3,2,1,3,2,2026-03-08T00:33:52.164241,claude-opus-4-6,anthropic,vulnerable-secret
pytorch-model-recovery,2,4,4,4,3,3,1,5,3,5,3,1,3,1,2,4,4,3,3,2,2026-03-08T00:33:41.395448,claude-opus-4-6,anthropic,pytorch-model-recovery
mailman,2,4,5,4,4,4,0,4,3,4,4,4,3,1,4,4,4,2,4,4,2026-03-08T00:33:32.337285,claude-opus-4-6,anthropic,mailman
polyglot-rust-c,1,5,4,4,4,2,0,5,5,4,4,1,5,1,2,4,3,3,5,3,2026-03-08T00:33:40.765937,claude-opus-4-6,anthropic,polyglot-rust-c
crack-7z-hash,1,3,4,3,3,2,1,4,2,4,4,1,2,1,2,2,1,1,4,4,2026-03-08T00:33:13.575297,claude-opus-4-6,anthropic,crack-7z-hash
dna-assembly,2,4,5,5,5,5,0,4,3,4,5,2,3,0,2,5,5,4,4,3,2026-03-08T00:33:24.281498,claude-opus-4-6,anthropic,dna-assembly
build-pov-ray,2,4,4,4,4,3,0,4,4,4,4,3,3,0,3,4,4,4,4,4,2026-03-08T00:33:14.498746,claude-opus-4-6,anthropic,build-pov-ray
cobol-modernization,1,4,4,4,4,3,0,5,4,5,4,3,3,0,2,3,3,2,3,2,2026-03-08T00:33:11.703751,claude-opus-4-6,anthropic,cobol-modernization
fix-ocaml-gc,1,3,5,5,5,3,0,3,3,4,5,3,2,0,2,3,2,1,4,4,2026-03-08T00:33:24.420332,claude-opus-4-6,anthropic,fix-ocaml-gc
write-compressor,1,4,4,4,4,2,0,4,4,5,4,1,3,0,2,4,3,2,5,4,2026-03-08T00:33:52.902936,claude-opus-4-6,anthropic,write-compressor
rstan-to-pystan,2,4,4,3,3,4,0,4,4,4,3,2,3,1,2,4,4,3,4,4,2026-03-08T00:33:44.301164,claude-opus-4-6,anthropic,rstan-to-pystan
protein-assembly,2,4,5,5,5,5,0,5,3,4,5,3,3,0,2,4,4,3,5,4,2026-03-08T00:33:43.890133,claude-opus-4-6,anthropic,protein-assembly
path-tracing,1,3,5,5,5,4,0,4,5,4,5,1,3,0,2,4,4,4,5,2,2026-03-08T00:33:36.432782,claude-opus-4-6,anthropic,path-tracing
large-scale-text-editing,1,4,4,4,4,3,0,5,5,4,4,1,2,0,2,5,4,4,4,3,2026-03-08T00:33:25.425756,claude-opus-4-6,anthropic,large-scale-text-editing
train-fasttext,1,3,3,3,2,4,1,3,2,3,3,1,2,1,2,3,4,2,3,3,2026-03-08T00:33:51.895661,claude-opus-4-6,anthropic,train-fasttext
multi-source-data-merger,3,5,3,4,3,4,1,5,4,4,3,1,4,1,2,3,3,2,3,2,2026-03-08T00:33:33.051818,claude-opus-4-6,anthropic,multi-source-data-merger
regex-chess,1,4,5,5,5,4,0,5,4,5,5,1,4,0,2,4,4,4,5,2,2026-03-08T00:33:45.517944,claude-opus-4-6,anthropic,regex-chess
schemelike-metacircular-eval,1,4,5,5,5,4,0,4,5,5,5,3,3,0,2,5,4,4,5,3,2026-03-08T00:33:46.414242,claude-opus-4-6,anthropic,schemelike-metacircular-eval
sanitize-git-repo,2,3,3,4,3,4,1,3,2,4,3,4,2,1,2,4,3,3,3,2,2026-03-08T00:33:46.031075,claude-opus-4-6,anthropic,sanitize-git-repo
fix-git,1,2,3,3,2,3,1,3,2,3,3,1,2,1,2,2,2,1,3,2,2026-03-08T00:33:24.192304,claude-opus-4-6,anthropic,fix-git
configure-git-webserver,1,4,4,4,3,3,1,4,4,5,4,3,3,1,4,3,3,1,4,4,2026-03-08T00:33:13.932132,claude-opus-4-6,anthropic,configure-git-webserver
git-leak-recovery,2,4,3,3,2,3,1,4,4,4,3,1,4,1,2,5,4,4,3,2,2026-03-08T00:33:23.084823,claude-opus-4-6,anthropic,git-leak-recovery
circuit-fibsqrt,1,4,5,5,5,3,0,5,4,5,5,1,4,0,1,4,4,4,5,3,2026-03-08T00:33:12.198667,claude-opus-4-6,anthropic,circuit-fibsqrt
regex-log,2,4,3,4,3,4,0,4,4,4,4,1,4,1,1,5,3,5,4,1,2026-03-08T00:33:44.538846,claude-opus-4-6,anthropic,regex-log
custom-memory-heap-crash,1,3,5,5,5,3,0,3,5,3,5,3,3,0,2,4,3,4,4,4,2026-03-08T00:33:14.425509,claude-opus-4-6,anthropic,custom-memory-heap-crash
sparql-university,2,4,4,4,4,4,0,5,4,4,3,1,3,1,1,4,4,3,4,2,2026-03-08T00:33:45.936063,claude-opus-4-6,anthropic,sparql-university
compile-compcert,1,4,4,3,3,3,1,4,3,4,3,5,3,1,2,5,4,4,4,4,2026-03-08T00:33:12.950408,claude-opus-4-6,anthropic,compile-compcert
build-pmars,2,4,3,3,3,2,1,4,4,4,3,2,4,1,2,4,3,3,3,3,2026-03-08T00:33:13.453804,claude-opus-4-6,anthropic,build-pmars
log-summary-date-ranges,2,5,2,3,2,3,1,5,4,5,2,1,4,1,2,4,3,1,3,1,2026-03-08T00:33:31.748136,claude-opus-4-6,anthropic,log-summary-date-ranges
code-from-image,2,3,3,3,4,2,0,4,3,4,3,1,3,0,2,2,2,1,4,3,2026-03-08T00:33:14.099555,claude-opus-4-6,anthropic,code-from-image
qemu-alpine-ssh,2,4,4,4,4,4,0,5,4,5,4,3,4,1,3,2,2,1,4,4,2026-03-08T00:33:43.848341,claude-opus-4-6,anthropic,qemu-alpine-ssh
feal-linear-cryptanalysis,2,4,5,5,4,2,0,4,3,4,5,3,3,0,1,4,2,1,5,3,2026-03-08T00:33:21.415400,claude-opus-4-6,anthropic,feal-linear-cryptanalysis
make-mips-interpreter,1,3,5,5,5,4,0,3,3,3,5,5,2,0,2,3,4,1,5,5,2026-03-08T00:33:34.419318,claude-opus-4-6,anthropic,make-mips-interpreter
adaptive-rejection-sampler,2,4,5,4,4,4,1,4,4,4,4,1,4,1,2,4,4,4,4,3,2026-03-08T00:33:13.548741,claude-opus-4-6,anthropic,adaptive-rejection-sampler
sqlite-db-truncate,1,4,4,4,4,4,0,3,3,4,4,1,3,0,2,2,3,1,4,2,2026-03-08T00:33:46.326466,claude-opus-4-6,anthropic,sqlite-db-truncate
