solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,entry_point_clarity,change_blast_radius,fix_localization
1,5,4,3,3,2,1,4,5,4,2,2,5,1,3,2,1,2,1,2,matplotlib__matplotlib-13989,2026-03-06T15:20:10.335797,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-13989,4,2,5
1,5,4,2,3,2,1,4,5,4,2,2,4,1,2,2,2,1,1,1,sphinx-doc__sphinx-9698,2026-03-06T15:21:29.673563,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9698,5,2,5
2,5,4,3,3,2,1,5,5,4,2,2,4,1,2,1,1,1,1,2,sympy__sympy-12096,2026-03-06T15:21:30.859017,gpt-5.4-2026-03-05,openai,sympy__sympy-12096,5,2,5
2,5,4,3,4,3,0,5,5,4,3,2,5,1,3,3,2,3,2,3,django__django-15375,2026-03-06T15:19:48.304730,gpt-5.4-2026-03-05,openai,django__django-15375,4,2,5
1,4,4,4,4,3,0,4,5,4,4,3,5,1,3,1,2,2,2,3,pydata__xarray-6938,2026-03-06T15:20:51.557403,gpt-5.4-2026-03-05,openai,pydata__xarray-6938,4,2,5
1,4,4,3,3,3,1,4,5,4,3,2,4,1,3,4,3,4,4,5,sympy__sympy-16597,2026-03-06T15:21:33.810892,gpt-5.4-2026-03-05,openai,sympy__sympy-16597,4,2,5
2,5,3,2,3,2,1,5,5,4,2,2,5,1,2,2,1,2,1,2,astropy__astropy-7336,2026-03-06T15:18:48.406434,gpt-5.4-2026-03-05,openai,astropy__astropy-7336,5,1,5
2,4,4,4,3,3,1,4,2,4,4,3,3,1,3,2,2,2,2,4,django__django-14122,2026-03-06T15:19:29.028092,gpt-5.4-2026-03-05,openai,django__django-14122,4,2,4
2,4,4,3,3,3,1,4,3,4,2,2,3,1,3,3,4,3,1,3,django__django-7530,2026-03-06T15:20:09.686165,gpt-5.4-2026-03-05,openai,django__django-7530,4,2,5
2,4,4,4,4,3,0,5,5,4,4,3,5,1,3,2,2,2,3,4,django__django-11265,2026-03-06T15:18:50.377627,gpt-5.4-2026-03-05,openai,django__django-11265,4,3,4
2,4,4,2,2,2,1,4,3,5,2,1,4,1,3,1,2,1,1,2,psf__requests-1766,2026-03-06T15:20:29.511118,gpt-5.4-2026-03-05,openai,psf__requests-1766,5,1,5
3,5,4,2,2,2,1,4,5,4,2,1,5,1,2,3,2,2,2,2,matplotlib__matplotlib-25287,2026-03-06T15:20:28.523032,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-25287,5,2,4
2,5,4,4,3,3,0,5,5,4,3,2,5,1,3,2,2,2,2,3,pydata__xarray-3151,2026-03-06T15:20:32.473203,gpt-5.4-2026-03-05,openai,pydata__xarray-3151,5,2,5
2,4,4,3,3,3,1,4,3,4,2,2,4,1,4,3,3,3,3,4,django__django-16631,2026-03-06T15:20:08.388704,gpt-5.4-2026-03-05,openai,django__django-16631,5,3,4
2,4,3,2,2,2,1,4,5,5,2,1,4,1,2,4,2,4,4,4,sympy__sympy-18199,2026-03-06T15:21:56.424515,gpt-5.4-2026-03-05,openai,sympy__sympy-18199,5,2,4
1,5,4,3,4,2,0,5,5,4,3,2,5,1,3,2,2,2,1,2,pydata__xarray-4695,2026-03-06T15:20:37.380547,gpt-5.4-2026-03-05,openai,pydata__xarray-4695,4,2,5
2,4,4,3,4,2,1,5,4,4,2,2,5,1,2,2,3,3,2,2,pytest-dev__pytest-5631,2026-03-06T15:20:49.835691,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-5631,5,2,5
1,5,4,3,3,2,1,4,4,5,3,2,4,1,3,3,4,2,1,2,sphinx-doc__sphinx-9230,2026-03-06T15:21:28.092175,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9230,4,2,4
2,5,3,2,2,2,1,5,5,4,2,1,4,1,2,3,2,4,1,2,django__django-16667,2026-03-06T15:20:09.396145,gpt-5.4-2026-03-05,openai,django__django-16667,5,1,5
3,5,2,1,1,1,1,4,4,5,1,1,4,1,2,1,2,1,1,1,django__django-14089,2026-03-06T15:19:28.393679,gpt-5.4-2026-03-05,openai,django__django-14089,5,1,5
2,4,4,4,4,4,0,4,3,4,3,2,3,1,3,4,3,4,3,4,django__django-15732,2026-03-06T15:19:50.665417,gpt-5.4-2026-03-05,openai,django__django-15732,4,2,4
2,4,5,4,4,3,0,4,5,5,3,2,4,1,3,4,3,4,3,3,sympy__sympy-13852,2026-03-06T15:21:31.199091,gpt-5.4-2026-03-05,openai,sympy__sympy-13852,5,2,4
2,4,4,3,4,3,1,5,5,5,2,2,4,1,3,4,2,4,1,2,django__django-12262,2026-03-06T15:19:08.928150,gpt-5.4-2026-03-05,openai,django__django-12262,4,2,5
2,4,3,2,2,2,1,4,3,4,2,2,3,1,2,4,2,4,1,2,django__django-13023,2026-03-06T15:19:09.645178,gpt-5.4-2026-03-05,openai,django__django-13023,5,2,5
3,5,3,2,2,2,1,4,3,5,1,2,4,1,3,2,2,1,1,2,django__django-16333,2026-03-06T15:20:07.448453,gpt-5.4-2026-03-05,openai,django__django-16333,5,2,5
1,4,4,3,3,2,1,4,5,4,2,2,5,1,3,4,2,3,1,3,sympy__sympy-13757,2026-03-06T15:21:31.922887,gpt-5.4-2026-03-05,openai,sympy__sympy-13757,4,2,5
1,5,4,3,3,3,1,5,5,5,3,2,5,1,3,4,3,3,2,3,pylint-dev__pylint-6528,2026-03-06T15:20:49.073290,gpt-5.4-2026-03-05,openai,pylint-dev__pylint-6528,4,2,4
2,4,4,4,4,3,0,4,5,4,4,3,5,1,3,4,3,2,4,4,sphinx-doc__sphinx-9461,2026-03-06T15:21:29.097426,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9461,4,2,4
2,4,4,3,3,3,1,3,2,4,3,3,3,1,3,4,3,4,2,3,django__django-14725,2026-03-06T15:19:46.027043,gpt-5.4-2026-03-05,openai,django__django-14725,3,3,3
1,5,4,4,4,3,0,4,5,4,4,3,5,1,3,4,2,4,2,2,sphinx-doc__sphinx-11445,2026-03-06T15:21:10.817129,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-11445,4,2,5
1,5,4,3,4,2,1,5,5,4,3,2,4,1,3,2,2,2,1,2,astropy__astropy-14096,2026-03-06T15:15:11.817765,gpt-5.4-2026-03-05,openai,astropy__astropy-14096,5,2,5
2,5,4,3,3,2,1,5,5,4,2,2,5,1,3,4,3,4,1,2,astropy__astropy-14995,2026-03-06T15:18:48.136622,gpt-5.4-2026-03-05,openai,astropy__astropy-14995,5,2,5
2,4,4,3,3,3,1,3,2,4,2,2,3,1,2,2,2,1,2,2,django__django-15499,2026-03-06T15:19:49.475004,gpt-5.4-2026-03-05,openai,django__django-15499,5,1,5
1,4,4,4,4,3,0,5,5,4,4,3,4,1,3,2,3,2,2,3,django__django-15525,2026-03-06T15:19:49.487892,gpt-5.4-2026-03-05,openai,django__django-15525,4,2,5
2,5,4,3,4,2,0,5,5,4,3,2,5,1,3,3,2,3,2,3,matplotlib__matplotlib-25479,2026-03-06T15:20:29.988680,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-25479,4,2,4
2,4,4,3,3,3,1,4,2,4,2,2,3,1,3,3,2,2,3,4,sphinx-doc__sphinx-8548,2026-03-06T15:21:14.136230,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-8548,4,2,5
2,5,4,3,4,3,1,5,5,4,2,2,5,1,3,3,2,2,2,3,django__django-13449,2026-03-06T15:19:26.932501,gpt-5.4-2026-03-05,openai,django__django-13449,4,2,4
2,4,4,3,3,3,1,4,4,4,2,2,5,1,2,2,2,2,1,2,django__django-15572,2026-03-06T15:19:51.463222,gpt-5.4-2026-03-05,openai,django__django-15572,5,1,5
2,5,3,2,2,2,1,5,5,5,2,2,4,1,2,2,4,2,1,2,django__django-16145,2026-03-06T15:20:07.419264,gpt-5.4-2026-03-05,openai,django__django-16145,5,1,5
2,5,4,3,4,3,1,5,5,5,2,2,4,1,3,4,2,3,2,3,django__django-11815,2026-03-06T15:19:07.686652,gpt-5.4-2026-03-05,openai,django__django-11815,5,2,5
1,5,4,3,4,2,0,5,5,4,3,2,5,1,3,3,2,3,2,3,sympy__sympy-17630,2026-03-06T15:21:56.730452,gpt-5.4-2026-03-05,openai,sympy__sympy-17630,5,2,4
2,4,4,4,4,3,0,4,5,4,4,2,4,1,3,3,2,2,3,3,pytest-dev__pytest-10356,2026-03-06T15:20:51.013762,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-10356,4,3,4
2,4,4,2,3,2,1,4,2,4,2,2,3,1,2,2,2,2,1,2,django__django-10880,2026-03-06T15:18:48.840576,gpt-5.4-2026-03-05,openai,django__django-10880,4,2,5
3,5,4,3,3,3,1,4,3,4,2,2,4,1,2,2,2,2,2,3,django__django-11141,2026-03-06T15:18:50.352974,gpt-5.4-2026-03-05,openai,django__django-11141,5,2,4
2,5,3,3,2,2,1,5,5,4,2,2,5,1,2,2,2,3,2,3,matplotlib__matplotlib-24970,2026-03-06T15:20:28.463173,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-24970,5,2,5
2,4,3,3,3,2,1,4,5,4,2,2,4,1,3,3,2,2,2,2,sympy__sympy-13798,2026-03-06T15:21:30.669453,gpt-5.4-2026-03-05,openai,sympy__sympy-13798,5,2,5
2,4,4,3,3,3,1,4,5,4,2,2,4,1,3,3,2,3,1,2,scikit-learn__scikit-learn-26194,2026-03-06T15:21:09.984005,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-26194,5,2,5
1,5,3,2,2,2,1,4,5,4,2,2,4,1,3,4,3,3,1,2,matplotlib__matplotlib-24570,2026-03-06T15:20:28.037907,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-24570,4,2,5
2,4,4,3,3,3,1,5,5,4,3,2,4,1,3,2,3,1,3,4,sphinx-doc__sphinx-10673,2026-03-06T15:21:09.924204,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-10673,5,3,4
3,5,3,2,2,2,1,4,4,5,2,2,4,1,2,2,2,1,2,2,django__django-14752,2026-03-06T15:19:46.630219,gpt-5.4-2026-03-05,openai,django__django-14752,5,1,5
1,4,4,3,3,3,0,4,5,4,3,2,4,1,3,2,3,3,1,3,matplotlib__matplotlib-24177,2026-03-06T15:20:28.420912,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-24177,4,2,4
2,4,4,3,3,3,1,4,3,4,3,2,3,1,3,3,2,3,1,2,django__django-16082,2026-03-06T15:20:07.678298,gpt-5.4-2026-03-05,openai,django__django-16082,4,2,5
2,4,4,3,3,2,1,4,4,5,2,2,4,1,2,1,1,1,2,2,sympy__sympy-22456,2026-03-06T15:21:58.803194,gpt-5.4-2026-03-05,openai,sympy__sympy-22456,5,2,5
1,4,3,3,3,3,1,4,3,5,3,2,4,1,3,2,3,1,1,2,django__django-13516,2026-03-06T15:19:26.931950,gpt-5.4-2026-03-05,openai,django__django-13516,4,2,5
1,5,4,3,3,3,0,4,5,4,3,2,5,1,3,3,2,3,2,2,matplotlib__matplotlib-22871,2026-03-06T15:20:27.406638,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-22871,4,2,5
1,5,4,4,4,3,0,5,5,4,4,3,5,0,3,2,2,2,2,3,matplotlib__matplotlib-23299,2026-03-06T15:20:26.889106,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-23299,4,3,3
2,5,4,3,4,3,1,4,5,5,4,3,4,1,3,3,2,2,2,4,django__django-14007,2026-03-06T15:19:28.122560,gpt-5.4-2026-03-05,openai,django__django-14007,4,2,4
1,4,3,2,2,2,1,5,5,4,2,1,4,1,2,2,1,2,1,2,django__django-16485,2026-03-06T15:20:08.194414,gpt-5.4-2026-03-05,openai,django__django-16485,5,1,5
1,4,4,3,3,3,0,5,5,3,4,3,5,1,3,1,1,2,2,2,matplotlib__matplotlib-22719,2026-03-06T15:20:25.651261,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-22719,4,2,5
3,5,4,3,3,3,1,4,3,5,2,2,4,1,3,4,3,3,3,4,django__django-16256,2026-03-06T15:20:07.300177,gpt-5.4-2026-03-05,openai,django__django-16256,5,2,4
2,4,4,4,4,5,1,5,3,4,4,2,4,1,3,3,4,3,3,4,django__django-14011,2026-03-06T15:19:28.502952,gpt-5.4-2026-03-05,openai,django__django-14011,4,2,4
2,5,4,3,4,2,1,5,5,5,2,2,4,1,3,2,2,2,1,2,django__django-15315,2026-03-06T15:19:49.634346,gpt-5.4-2026-03-05,openai,django__django-15315,5,3,5
1,5,4,3,3,2,1,5,5,4,3,2,5,1,4,3,2,3,3,4,pytest-dev__pytest-6197,2026-03-06T15:20:50.371333,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-6197,4,3,4
2,5,4,3,4,3,1,4,5,5,2,2,4,1,2,3,2,2,2,2,django__django-16493,2026-03-06T15:20:07.656918,gpt-5.4-2026-03-05,openai,django__django-16493,5,2,5
2,4,3,3,3,2,1,5,5,4,2,2,4,1,3,2,2,1,1,2,django__django-14787,2026-03-06T15:19:46.851184,gpt-5.4-2026-03-05,openai,django__django-14787,5,2,5
2,4,4,3,3,3,0,4,2,4,2,2,3,1,4,3,2,2,2,3,django__django-13279,2026-03-06T15:19:11.950876,gpt-5.4-2026-03-05,openai,django__django-13279,4,2,5
3,5,3,2,2,2,1,4,2,5,2,2,4,1,2,2,2,1,1,2,django__django-12741,2026-03-06T15:19:09.743672,gpt-5.4-2026-03-05,openai,django__django-12741,5,2,4
2,4,3,2,3,2,1,4,3,4,2,2,3,1,2,2,2,3,1,2,django__django-15987,2026-03-06T15:20:06.368812,gpt-5.4-2026-03-05,openai,django__django-15987,4,2,5
2,4,3,2,2,2,1,5,5,3,1,1,4,1,2,2,1,2,1,1,sympy__sympy-13480,2026-03-06T15:21:30.958413,gpt-5.4-2026-03-05,openai,sympy__sympy-13480,5,1,5
2,4,3,2,2,2,1,4,3,4,2,2,3,1,2,2,2,2,1,2,astropy__astropy-7166,2026-03-06T15:18:47.087056,gpt-5.4-2026-03-05,openai,astropy__astropy-7166,4,2,5
2,4,4,3,3,3,1,5,5,3,3,2,4,1,2,3,2,3,1,2,sympy__sympy-17139,2026-03-06T15:21:36.958430,gpt-5.4-2026-03-05,openai,sympy__sympy-17139,5,2,5
3,5,3,2,2,2,1,4,4,5,1,1,4,1,2,2,2,2,1,2,django__django-15467,2026-03-06T15:19:48.960234,gpt-5.4-2026-03-05,openai,django__django-15467,5,2,5
2,4,4,3,3,3,1,4,4,4,3,2,4,1,3,2,2,2,2,3,django__django-15037,2026-03-06T15:19:49.182772,gpt-5.4-2026-03-05,openai,django__django-15037,4,2,3
1,5,4,3,3,3,1,4,5,4,2,2,5,1,3,3,3,3,2,2,sphinx-doc__sphinx-7985,2026-03-06T15:21:11.984917,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-7985,5,2,4
1,5,5,4,4,4,0,4,5,4,4,3,5,0,3,2,2,2,2,3,astropy__astropy-13579,2026-03-06T15:15:10.843143,gpt-5.4-2026-03-05,openai,astropy__astropy-13579,4,2,4
1,3,4,3,4,4,0,5,5,3,4,2,4,0,2,2,1,3,2,2,pytest-dev__pytest-7324,2026-03-06T15:20:50.842208,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-7324,5,2,5
3,5,2,2,2,2,1,4,4,5,2,2,4,1,3,4,3,4,3,4,sympy__sympy-13091,2026-03-06T15:21:30.857866,gpt-5.4-2026-03-05,openai,sympy__sympy-13091,5,3,4
3,5,4,2,2,2,1,4,4,5,2,2,4,1,2,2,2,1,1,2,scikit-learn__scikit-learn-13496,2026-03-06T15:21:08.170755,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-13496,5,2,5
1,5,4,3,3,2,0,5,5,4,3,2,5,1,3,2,2,2,1,2,pydata__xarray-4094,2026-03-06T15:20:31.645673,gpt-5.4-2026-03-05,openai,pydata__xarray-4094,4,2,5
2,4,3,3,3,3,1,3,3,4,2,2,3,1,2,4,2,3,1,2,django__django-16877,2026-03-06T15:20:08.975212,gpt-5.4-2026-03-05,openai,django__django-16877,5,2,5
1,5,4,3,4,3,0,5,5,4,3,2,4,1,3,3,3,2,2,3,matplotlib__matplotlib-25311,2026-03-06T15:20:29.456972,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-25311,4,2,5
2,5,4,3,2,3,1,4,3,5,2,2,4,1,3,2,2,2,2,2,scikit-learn__scikit-learn-25232,2026-03-06T15:21:11.116498,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-25232,5,2,5
1,5,4,3,4,3,0,5,5,4,4,3,5,1,3,3,3,3,2,3,pytest-dev__pytest-7236,2026-03-06T15:20:51.014056,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-7236,4,2,5
2,4,3,3,2,3,1,4,4,5,2,2,4,1,4,3,2,2,2,3,pydata__xarray-3993,2026-03-06T15:20:36.331254,gpt-5.4-2026-03-05,openai,pydata__xarray-3993,5,2,4
1,5,4,4,4,3,0,5,5,4,4,3,4,0,4,3,2,2,3,4,django__django-15563,2026-03-06T15:19:50.521039,gpt-5.4-2026-03-05,openai,django__django-15563,3,2,4
1,4,4,3,4,3,0,4,5,5,3,2,4,1,3,2,2,2,2,3,sympy__sympy-13615,2026-03-06T15:21:31.559419,gpt-5.4-2026-03-05,openai,sympy__sympy-13615,4,2,4
2,5,4,3,4,2,0,4,5,5,3,2,4,1,3,4,3,4,2,3,pydata__xarray-6744,2026-03-06T15:20:50.321907,gpt-5.4-2026-03-05,openai,pydata__xarray-6744,4,2,5
1,5,4,3,3,3,1,4,5,5,3,2,5,1,2,2,2,2,1,2,sphinx-doc__sphinx-7454,2026-03-06T15:21:11.118184,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-7454,4,2,4
0,5,4,3,4,3,0,4,5,4,3,2,4,1,3,2,2,2,1,2,matplotlib__matplotlib-23314,2026-03-06T15:20:27.748934,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-23314,4,2,5
3,5,3,3,4,2,1,5,5,4,2,1,5,1,2,2,2,2,1,2,scikit-learn__scikit-learn-12585,2026-03-06T15:20:52.678775,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-12585,5,2,5
2,5,3,3,3,3,1,5,4,4,2,2,5,1,2,2,4,3,1,2,pylint-dev__pylint-6903,2026-03-06T15:20:49.969334,gpt-5.4-2026-03-05,openai,pylint-dev__pylint-6903,5,1,5
1,4,4,3,4,3,1,4,5,4,4,3,4,1,3,4,3,4,2,4,django__django-12273,2026-03-06T15:19:08.581803,gpt-5.4-2026-03-05,openai,django__django-12273,3,2,4
2,4,3,3,3,3,1,5,5,4,2,2,4,1,3,2,2,2,1,2,sympy__sympy-12481,2026-03-06T15:21:29.096307,gpt-5.4-2026-03-05,openai,sympy__sympy-12481,4,2,5
3,5,2,2,2,2,1,4,4,4,1,1,4,1,2,4,2,4,2,2,django__django-10999,2026-03-06T15:18:49.524354,gpt-5.4-2026-03-05,openai,django__django-10999,5,1,5
1,5,4,3,4,3,1,5,5,4,4,2,5,1,2,2,2,2,1,3,matplotlib__matplotlib-26291,2026-03-06T15:20:29.425352,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-26291,4,2,4
3,5,4,2,3,2,1,5,5,4,2,2,5,1,2,4,2,4,1,2,django__django-15277,2026-03-06T15:19:48.636971,gpt-5.4-2026-03-05,openai,django__django-15277,5,2,5
2,4,4,4,4,3,0,4,5,4,4,2,4,1,3,1,1,1,2,3,sympy__sympy-13551,2026-03-06T15:21:31.396106,gpt-5.4-2026-03-05,openai,sympy__sympy-13551,4,2,5
3,5,2,1,1,1,1,5,5,5,1,1,5,1,2,2,1,1,1,2,sympy__sympy-22914,2026-03-06T15:21:57.445631,gpt-5.4-2026-03-05,openai,sympy__sympy-22914,5,1,5
2,5,4,3,4,3,0,5,5,5,3,2,4,1,3,2,1,2,1,2,django__django-13012,2026-03-06T15:19:09.126492,gpt-5.4-2026-03-05,openai,django__django-13012,4,2,5
2,4,4,4,4,3,0,4,5,4,3,2,4,1,3,2,2,2,1,3,django__django-11490,2026-03-06T15:18:51.017852,gpt-5.4-2026-03-05,openai,django__django-11490,5,2,5
