solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
2,5,5,4,3,4,1,5,5,5,4,1,5,0,2,4,4,3,4,3,torch-tensor-parallelism,5,5,1,1,2,2,2,1
1,5,4,4,5,3,1,5,5,5,4,1,5,0,2,4,3,3,4,3,polyglot-c-py,5,5,1,1,3,1,1,1
1,5,3,4,4,2,0,5,5,5,3,2,5,1,2,4,4,3,3,3,overfull-hbox,5,5,1,1,1,4,1,1
1,5,5,5,5,2,0,5,5,5,4,1,5,0,2,4,4,3,5,2,distribution-search,5,5,1,1,2,1,2,1
1,4,5,5,5,4,0,5,5,5,5,2,5,0,2,3,4,2,5,2,model-extraction-relu-logits,5,5,1,1,1,1,2,1
2,5,3,3,2,1,1,5,4,5,2,1,5,1,2,3,2,1,2,3,prove-plus-comm,5,5,1,1,2,4,1,1
1,5,4,4,4,5,1,5,5,5,4,1,5,1,3,4,5,3,3,3,largest-eigenval,5,5,1,1,1,4,2,1
3,5,3,2,2,2,1,5,5,5,2,2,5,1,3,4,3,2,3,3,kv-store-grpc,5,5,1,2,2,1,2,1
2,5,5,5,4,4,0,5,5,5,5,3,5,0,2,5,5,4,5,3,llm-inference-batching-scheduler,4,5,1,1,2,3,1,1
2,5,4,4,3,4,1,5,5,5,3,3,5,1,5,3,4,2,4,4,git-multibranch,4,5,2,3,1,2,2,1
2,5,3,3,3,3,1,5,5,5,3,1,5,1,3,4,3,3,4,3,headless-terminal,5,5,1,1,2,1,1,1
1,4,4,4,3,3,1,5,5,5,3,3,5,1,2,4,4,2,4,4,pytorch-model-cli,4,5,1,2,4,1,2,1
2,5,4,3,4,2,1,5,4,5,3,1,5,1,2,2,1,1,3,3,mteb-retrieve,5,5,1,2,2,2,3,1
2,4,4,3,3,2,1,5,4,5,3,1,4,1,2,1,1,1,3,3,count-dataset-tokens,5,5,1,2,2,2,3,1
1,4,5,4,4,5,0,5,5,5,3,1,5,0,2,4,5,4,1,3,tune-mjcf,4,5,1,1,2,4,3,1
2,5,3,4,4,4,1,5,4,5,3,1,5,1,2,4,4,4,3,2,constraints-scheduling,5,5,1,1,1,2,1,1
1,4,4,4,4,4,1,4,3,5,4,1,4,1,2,3,3,2,5,4,extract-moves-from-video,5,5,1,2,1,1,2,1
1,4,4,4,3,4,1,4,5,5,3,1,5,1,2,4,4,4,2,2,cancel-async-tasks,5,5,1,1,2,2,1,1
1,4,4,4,4,3,1,5,5,5,3,1,5,1,2,4,4,2,4,2,extract-elf,5,5,1,1,3,2,1,1
2,4,3,4,4,3,1,5,5,5,3,2,5,1,2,3,3,2,4,2,merge-diff-arc-agi-task,5,5,1,2,1,3,1,1
3,5,2,2,2,2,1,5,5,5,2,2,5,1,2,3,3,1,2,2,modernize-scientific-stack,4,5,1,1,2,1,2,1
2,4,5,4,4,3,1,5,4,5,3,1,5,0,2,4,4,3,3,3,dna-insert,5,5,1,1,1,2,2,1
1,4,4,3,4,2,1,5,5,5,3,1,5,1,2,2,1,1,3,3,mteb-leaderboard,5,5,1,2,1,1,2,1
3,4,5,4,4,5,1,5,4,5,4,2,5,1,4,4,5,3,4,5,install-windows-3.11,4,5,2,4,2,2,4,1
2,4,5,5,4,3,1,5,5,5,5,2,5,0,2,2,2,1,5,3,feal-differential-cryptanalysis,4,5,1,1,2,1,1,1
1,4,4,4,4,3,1,5,5,5,4,1,5,0,2,3,3,2,4,3,video-processing,5,5,1,1,2,2,1,1
3,5,3,3,3,3,1,5,5,5,3,2,5,1,4,4,3,2,4,4,pypi-server,4,5,1,2,1,2,2,1
1,4,4,3,3,2,1,4,4,5,3,1,4,1,2,3,2,1,3,2,vulnerable-secret,5,4,1,1,4,1,1,1
2,5,5,4,4,4,1,5,4,5,3,2,5,0,2,4,4,3,4,3,pytorch-model-recovery,4,5,1,1,2,2,1,1
2,5,5,4,3,4,1,5,4,5,4,3,5,1,5,4,5,2,5,5,mailman,4,5,2,4,2,4,3,1
1,5,5,5,5,4,0,5,5,5,5,1,5,0,2,4,3,3,5,4,polyglot-rust-c,5,5,1,1,5,2,1,1
1,4,3,3,3,1,1,4,4,5,3,2,5,1,3,2,1,1,3,3,crack-7z-hash,5,5,1,3,3,2,4,4
2,5,5,4,4,4,1,5,5,5,4,1,5,0,2,4,4,4,4,3,dna-assembly,4,5,1,1,2,1,2,1
2,5,5,4,4,4,0,5,4,5,4,3,4,1,3,4,4,3,4,5,build-pov-ray,5,5,1,3,4,2,2,1
2,4,3,3,3,2,1,5,5,5,2,2,5,1,2,3,2,1,2,3,cobol-modernization,5,5,1,2,2,2,1,1
1,4,5,4,4,3,0,4,5,5,4,2,4,0,2,2,1,1,2,3,fix-ocaml-gc,4,4,4,3,4,4,3,4
0,4,5,5,5,4,0,5,5,5,5,2,5,0,2,3,2,2,5,4,write-compressor,5,5,1,1,2,2,1,1
2,5,5,4,4,4,1,5,4,5,4,2,5,0,4,3,3,2,4,4,rstan-to-pystan,5,5,1,3,3,2,4,1
2,4,5,4,5,4,0,5,4,5,5,3,5,0,3,4,4,3,5,4,protein-assembly,5,5,1,1,2,1,2,1
1,5,4,4,5,4,0,5,5,5,4,1,5,0,2,4,4,3,4,2,path-tracing,5,5,1,1,4,2,1,1
2,5,3,3,4,4,1,5,5,5,3,1,5,1,2,5,4,4,3,3,large-scale-text-editing,5,5,1,1,2,4,1,1
2,4,3,3,2,4,1,5,4,5,4,2,5,1,4,3,4,2,3,3,train-fasttext,5,5,1,2,2,1,2,1
2,5,3,3,2,2,1,5,4,5,2,1,5,1,2,3,3,2,3,3,multi-source-data-merger,5,5,1,1,2,1,2,1
2,5,5,5,5,5,0,5,5,5,5,2,5,0,2,4,4,4,5,2,regex-chess,5,5,1,1,4,4,2,1
2,5,5,5,5,4,1,5,5,5,5,3,5,0,2,5,4,4,5,2,schemelike-metacircular-eval,4,5,1,1,3,2,1,1
2,5,2,3,2,3,1,5,4,5,2,2,5,1,2,4,3,3,2,2,sanitize-git-repo,4,5,1,3,3,3,4,3
1,3,3,3,3,2,1,3,3,4,2,2,4,1,2,3,2,1,2,2,fix-git,4,5,2,1,2,2,2,2
1,4,4,4,3,4,1,5,5,5,3,3,5,1,5,3,4,1,4,4,configure-git-webserver,1,2,4,4,2,1,2,1
1,4,3,3,3,4,1,5,5,5,3,2,5,1,2,4,4,3,3,2,git-leak-recovery,4,5,2,1,1,2,1,1
1,4,5,5,5,4,0,5,5,5,5,2,5,0,2,4,4,3,5,3,circuit-fibsqrt,4,5,1,1,3,2,1,1
2,5,3,4,4,4,1,5,5,5,4,1,5,1,2,4,3,4,3,1,regex-log,5,5,1,1,2,1,1,1
1,4,5,4,4,3,0,4,5,5,5,2,5,0,2,4,3,4,4,4,custom-memory-heap-crash,5,5,1,3,4,2,4,4
2,4,4,4,3,3,1,5,5,5,4,1,5,1,2,4,3,3,4,2,sparql-university,5,5,1,1,2,1,1,1
2,5,5,4,3,3,1,5,4,5,4,2,5,1,4,4,4,4,4,5,compile-compcert,1,5,4,5,4,2,5,3
2,5,3,3,3,3,1,5,5,5,3,2,5,1,4,4,3,3,3,3,build-pmars,4,5,2,3,4,3,3,1
2,5,2,3,2,2,1,5,4,5,2,1,5,1,2,3,3,2,2,1,log-summary-date-ranges,5,5,1,1,1,2,1,1
1,3,3,4,4,1,0,4,4,5,4,1,5,0,2,2,1,1,3,2,code-from-image,5,5,1,1,2,1,1,1
2,5,4,3,4,4,1,5,4,5,4,2,5,1,4,3,2,1,4,4,qemu-alpine-ssh,5,5,1,4,2,2,3,1
2,4,5,5,5,3,0,4,3,5,5,2,4,0,2,3,2,1,5,2,feal-linear-cryptanalysis,4,5,1,1,4,2,1,1
2,4,5,5,5,4,0,4,5,5,5,4,5,0,2,3,4,2,5,4,make-mips-interpreter,4,5,2,3,5,2,2,2
2,5,5,4,4,4,1,5,5,5,4,2,5,0,3,4,4,4,4,3,adaptive-rejection-sampler,4,5,1,3,2,2,2,1
1,4,4,4,4,3,0,4,4,5,4,1,4,1,2,2,3,1,3,2,sqlite-db-truncate,5,5,1,1,2,1,1,1
