solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,entry_point_clarity,fix_localization,change_blast_radius,instance_id
2,5,3,2,2,2,1,4,5,4,2,1,5,1,3,2,2,2,1,2,sympy__sympy-16450,2026-03-06T22:07:03.321060,gpt-5.4-2026-03-05,openai,5,5,2,sympy__sympy-16450
3,5,3,2,2,1,1,4,4,5,1,1,4,1,3,2,1,2,1,2,django__django-14765,2026-03-06T22:05:41.416576,gpt-5.4-2026-03-05,openai,5,5,2,django__django-14765
3,4,4,3,3,2,1,4,5,4,2,2,5,1,3,4,2,3,2,3,matplotlib__matplotlib-21568,2026-03-06T22:06:08.160673,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-21568
1,5,3,3,3,2,1,4,5,4,3,1,5,1,2,2,2,2,2,2,sphinx-doc__sphinx-7757,2026-03-06T22:06:41.775860,gpt-5.4-2026-03-05,openai,4,5,2,sphinx-doc__sphinx-7757
1,4,4,3,4,2,0,5,5,4,4,2,5,1,2,3,3,2,1,3,django__django-15973,2026-03-06T22:05:54.434493,gpt-5.4-2026-03-05,openai,4,3,3,django__django-15973
2,5,2,3,2,2,1,5,5,4,2,1,5,1,2,3,2,3,1,2,sphinx-doc__sphinx-8621,2026-03-06T22:06:50.914021,gpt-5.4-2026-03-05,openai,5,5,2,sphinx-doc__sphinx-8621
1,4,4,2,3,2,1,4,5,4,2,1,5,1,2,2,1,2,1,2,matplotlib__matplotlib-13989,2026-03-06T22:06:07.325546,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-13989
2,5,3,2,2,1,1,4,5,4,2,1,5,1,1,2,2,1,1,2,sphinx-doc__sphinx-9698,2026-03-06T22:06:52.722934,gpt-5.4-2026-03-05,openai,5,5,2,sphinx-doc__sphinx-9698
3,5,4,2,2,2,1,4,5,4,2,1,4,1,3,2,1,1,2,3,sympy__sympy-12096,2026-03-06T22:06:52.369794,gpt-5.4-2026-03-05,openai,5,5,2,sympy__sympy-12096
3,5,4,3,4,2,0,5,5,4,4,2,5,1,2,3,2,3,2,3,django__django-15375,2026-03-06T22:05:43.328709,gpt-5.4-2026-03-05,openai,4,5,2,django__django-15375
1,4,4,3,4,2,1,4,5,4,4,2,5,1,3,2,2,2,3,3,pydata__xarray-6938,2026-03-06T22:06:23.889072,gpt-5.4-2026-03-05,openai,4,5,2,pydata__xarray-6938
2,4,4,4,4,4,0,4,5,4,4,4,4,1,4,4,3,4,4,5,sympy__sympy-16597,2026-03-06T22:07:06.388190,gpt-5.4-2026-03-05,openai,4,5,2,sympy__sympy-16597
2,5,3,2,3,2,1,5,5,4,2,2,5,1,2,4,2,4,1,2,astropy__astropy-7336,2026-03-06T22:05:03.956819,gpt-5.4-2026-03-05,openai,5,5,1,astropy__astropy-7336
2,4,4,3,3,2,1,4,3,4,4,2,4,1,3,2,2,2,2,4,django__django-14122,2026-03-06T22:05:30.401903,gpt-5.4-2026-03-05,openai,4,4,2,django__django-14122
2,4,4,3,3,3,1,4,3,5,2,2,4,1,2,3,4,3,1,3,django__django-7530,2026-03-06T22:06:06.635908,gpt-5.4-2026-03-05,openai,4,5,2,django__django-7530
3,5,4,4,4,4,0,5,5,4,4,2,5,0,3,2,2,2,4,4,django__django-11265,2026-03-06T22:05:03.305485,gpt-5.4-2026-03-05,openai,4,4,3,django__django-11265
3,5,4,2,2,2,1,4,4,5,1,1,4,1,2,2,2,1,1,2,psf__requests-1766,2026-03-06T22:06:13.923647,gpt-5.4-2026-03-05,openai,5,5,1,psf__requests-1766
3,5,3,2,2,2,1,4,5,4,1,1,5,1,2,3,2,2,2,2,matplotlib__matplotlib-25287,2026-03-06T22:06:09.828448,gpt-5.4-2026-03-05,openai,5,4,2,matplotlib__matplotlib-25287
2,5,4,3,3,2,1,5,5,4,2,1,5,1,2,2,2,2,2,3,pydata__xarray-3151,2026-03-06T22:06:20.932834,gpt-5.4-2026-03-05,openai,5,5,2,pydata__xarray-3151
2,4,4,4,3,3,1,4,3,4,2,2,4,1,3,3,3,2,3,4,django__django-16631,2026-03-06T22:05:56.388396,gpt-5.4-2026-03-05,openai,5,4,3,django__django-16631
1,3,5,4,4,4,0,4,5,5,3,2,4,1,4,4,2,4,4,4,sympy__sympy-18199,2026-03-06T22:07:04.510960,gpt-5.4-2026-03-05,openai,5,4,2,sympy__sympy-18199
3,5,3,2,3,2,1,5,5,4,1,1,5,1,2,2,2,2,1,2,pydata__xarray-4695,2026-03-06T22:06:23.059342,gpt-5.4-2026-03-05,openai,4,5,2,pydata__xarray-4695
3,5,3,2,3,2,1,5,4,4,2,1,5,1,2,3,4,3,2,3,pytest-dev__pytest-5631,2026-03-06T22:06:25.200781,gpt-5.4-2026-03-05,openai,5,5,2,pytest-dev__pytest-5631
1,5,3,2,2,2,1,4,4,5,2,1,5,1,2,3,4,2,1,3,sphinx-doc__sphinx-9230,2026-03-06T22:06:51.562204,gpt-5.4-2026-03-05,openai,4,4,2,sphinx-doc__sphinx-9230
3,5,3,2,2,2,1,5,5,4,1,1,5,1,2,4,2,4,1,2,django__django-16667,2026-03-06T22:05:56.857922,gpt-5.4-2026-03-05,openai,5,5,1,django__django-16667
3,5,2,1,1,1,1,4,4,5,1,1,4,1,2,2,2,1,1,2,django__django-14089,2026-03-06T22:05:30.606906,gpt-5.4-2026-03-05,openai,5,5,1,django__django-14089
2,4,4,4,4,3,0,5,5,4,4,2,5,0,3,4,3,4,3,4,django__django-15732,2026-03-06T22:05:53.674900,gpt-5.4-2026-03-05,openai,4,4,2,django__django-15732
2,4,5,4,4,3,0,5,5,5,3,2,5,0,3,4,3,4,3,3,sympy__sympy-13852,2026-03-06T22:06:54.376102,gpt-5.4-2026-03-05,openai,5,4,2,sympy__sympy-13852
1,4,4,3,3,2,1,5,5,5,2,1,5,1,2,4,2,4,1,3,django__django-12262,2026-03-06T22:05:15.870049,gpt-5.4-2026-03-05,openai,4,5,2,django__django-12262
3,5,2,2,2,2,1,4,4,5,2,1,4,1,2,4,2,4,1,2,django__django-13023,2026-03-06T22:05:17.390416,gpt-5.4-2026-03-05,openai,5,5,2,django__django-13023
3,5,3,2,2,2,1,4,4,5,1,1,4,1,2,2,2,1,1,2,django__django-16333,2026-03-06T22:05:55.284718,gpt-5.4-2026-03-05,openai,5,5,2,django__django-16333
1,5,4,3,4,2,1,4,5,5,3,2,5,1,3,3,2,3,1,3,sympy__sympy-13757,2026-03-06T22:06:54.103673,gpt-5.4-2026-03-05,openai,4,5,2,sympy__sympy-13757
2,5,3,3,2,2,1,4,5,5,2,2,5,1,3,4,3,4,2,3,pylint-dev__pylint-6528,2026-03-06T22:06:24.507559,gpt-5.4-2026-03-05,openai,4,4,2,pylint-dev__pylint-6528
2,4,4,4,4,3,0,4,5,4,4,3,5,1,3,4,3,3,4,4,sphinx-doc__sphinx-9461,2026-03-06T22:06:53.156592,gpt-5.4-2026-03-05,openai,4,4,2,sphinx-doc__sphinx-9461
2,4,4,4,3,3,1,3,3,4,3,2,4,1,3,4,3,4,2,3,django__django-14725,2026-03-06T22:05:41.060323,gpt-5.4-2026-03-05,openai,3,3,3,django__django-14725
3,5,4,3,3,2,1,4,5,4,3,2,5,1,2,4,2,4,2,3,sphinx-doc__sphinx-11445,2026-03-06T22:06:40.317224,gpt-5.4-2026-03-05,openai,4,5,2,sphinx-doc__sphinx-11445
2,5,3,3,4,2,1,5,5,4,3,1,5,1,3,2,2,2,2,3,astropy__astropy-14096,2026-03-06T22:05:01.122818,gpt-5.4-2026-03-05,openai,5,5,2,astropy__astropy-14096
3,5,3,2,2,2,1,5,5,4,2,1,5,1,2,4,2,4,1,3,astropy__astropy-14995,2026-03-06T22:05:01.758765,gpt-5.4-2026-03-05,openai,5,5,2,astropy__astropy-14995
2,5,4,2,2,2,1,4,4,5,2,2,5,1,2,2,2,1,2,3,django__django-15499,2026-03-06T22:05:43.513785,gpt-5.4-2026-03-05,openai,5,5,1,django__django-15499
3,4,4,3,4,3,0,5,5,4,3,2,5,1,2,3,4,2,2,4,django__django-15525,2026-03-06T22:05:44.826154,gpt-5.4-2026-03-05,openai,4,5,2,django__django-15525
2,5,4,3,4,3,0,5,5,4,3,2,5,1,3,3,2,3,3,4,matplotlib__matplotlib-25479,2026-03-06T22:06:10.322035,gpt-5.4-2026-03-05,openai,4,4,2,matplotlib__matplotlib-25479
2,4,4,3,3,2,0,4,4,5,4,2,5,1,3,3,2,2,3,4,sphinx-doc__sphinx-8548,2026-03-06T22:06:50.262837,gpt-5.4-2026-03-05,openai,4,5,2,sphinx-doc__sphinx-8548
3,5,4,3,4,2,0,5,5,4,3,2,5,1,3,3,2,2,3,4,django__django-13449,2026-03-06T22:05:27.569343,gpt-5.4-2026-03-05,openai,4,4,2,django__django-13449
3,5,3,2,2,2,1,4,4,4,2,1,5,1,2,2,1,2,1,2,django__django-15572,2026-03-06T22:05:52.514850,gpt-5.4-2026-03-05,openai,5,5,1,django__django-15572
2,5,3,2,2,2,1,5,5,5,2,1,5,1,2,2,4,2,2,2,django__django-16145,2026-03-06T22:05:54.958766,gpt-5.4-2026-03-05,openai,5,5,1,django__django-16145
3,5,4,2,3,2,1,5,5,5,2,1,5,1,3,4,2,4,2,3,django__django-11815,2026-03-06T22:05:14.151148,gpt-5.4-2026-03-05,openai,5,5,2,django__django-11815
1,4,4,3,4,2,0,5,5,4,4,2,5,1,3,3,2,3,2,4,sympy__sympy-17630,2026-03-06T22:07:03.910325,gpt-5.4-2026-03-05,openai,5,4,2,sympy__sympy-17630
2,4,4,3,3,3,1,4,5,4,3,2,5,1,4,3,2,2,3,4,pytest-dev__pytest-10356,2026-03-06T22:06:25.310862,gpt-5.4-2026-03-05,openai,4,4,3,pytest-dev__pytest-10356
2,5,3,2,2,2,1,4,3,4,2,1,4,1,2,2,2,2,1,3,django__django-10880,2026-03-06T22:05:00.814305,gpt-5.4-2026-03-05,openai,4,5,2,django__django-10880
3,5,4,3,3,2,1,4,3,5,2,2,4,1,3,3,2,3,2,3,django__django-11141,2026-03-06T22:05:04.190441,gpt-5.4-2026-03-05,openai,5,4,2,django__django-11141
3,4,4,3,3,2,1,5,5,4,3,2,5,1,3,3,2,3,2,3,matplotlib__matplotlib-24970,2026-03-06T22:06:09.443576,gpt-5.4-2026-03-05,openai,5,5,2,matplotlib__matplotlib-24970
2,4,3,3,2,2,1,4,5,5,2,2,4,1,3,2,1,2,2,2,sympy__sympy-13798,2026-03-06T22:06:54.103156,gpt-5.4-2026-03-05,openai,5,5,2,sympy__sympy-13798
2,4,3,2,2,2,1,4,5,4,1,2,5,1,3,3,2,3,2,3,scikit-learn__scikit-learn-26194,2026-03-06T22:06:38.602971,gpt-5.4-2026-03-05,openai,5,5,2,scikit-learn__scikit-learn-26194
3,5,3,2,2,2,1,4,5,4,2,1,5,1,4,4,3,3,1,2,matplotlib__matplotlib-24570,2026-03-06T22:06:11.704958,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-24570
2,5,4,4,3,3,1,5,5,5,4,3,5,1,3,2,3,2,3,4,sphinx-doc__sphinx-10673,2026-03-06T22:06:39.796901,gpt-5.4-2026-03-05,openai,5,4,3,sphinx-doc__sphinx-10673
3,5,3,2,2,2,1,4,5,5,2,2,5,1,2,3,2,2,2,2,django__django-14752,2026-03-06T22:05:41.437223,gpt-5.4-2026-03-05,openai,5,5,1,django__django-14752
3,4,4,3,4,3,0,4,5,4,4,2,5,0,3,2,3,3,1,3,matplotlib__matplotlib-24177,2026-03-06T22:06:09.207509,gpt-5.4-2026-03-05,openai,4,4,2,matplotlib__matplotlib-24177
2,4,4,2,2,2,1,4,3,4,2,1,4,1,2,3,2,3,1,2,django__django-16082,2026-03-06T22:05:54.941000,gpt-5.4-2026-03-05,openai,4,5,2,django__django-16082
2,4,4,3,4,2,1,4,4,5,2,1,4,0,3,2,1,1,2,3,sympy__sympy-22456,2026-03-06T22:07:07.007498,gpt-5.4-2026-03-05,openai,5,5,2,sympy__sympy-22456
2,4,2,2,2,2,1,4,4,5,2,1,4,1,2,2,3,1,1,2,django__django-13516,2026-03-06T22:05:28.406343,gpt-5.4-2026-03-05,openai,4,5,2,django__django-13516
1,5,4,3,3,2,1,4,5,4,3,2,5,1,2,3,2,3,2,3,matplotlib__matplotlib-22871,2026-03-06T22:06:07.976338,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-22871
2,4,4,3,4,2,0,5,5,4,3,2,5,1,3,2,1,2,2,3,matplotlib__matplotlib-23299,2026-03-06T22:06:08.033927,gpt-5.4-2026-03-05,openai,4,3,3,matplotlib__matplotlib-23299
1,4,4,3,4,3,1,4,5,5,4,2,5,1,3,3,2,2,3,4,django__django-14007,2026-03-06T22:05:30.576366,gpt-5.4-2026-03-05,openai,4,4,2,django__django-14007
1,4,3,2,2,2,1,5,5,4,2,1,5,1,2,2,1,2,1,2,django__django-16485,2026-03-06T22:05:55.481117,gpt-5.4-2026-03-05,openai,5,5,1,django__django-16485
3,5,3,2,2,2,1,5,5,4,2,1,5,1,2,2,1,2,2,3,matplotlib__matplotlib-22719,2026-03-06T22:06:07.903259,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-22719
3,5,4,3,3,2,1,4,4,5,2,2,5,1,3,4,3,3,3,4,django__django-16256,2026-03-06T22:05:55.050056,gpt-5.4-2026-03-05,openai,5,4,2,django__django-16256
3,5,4,4,4,5,1,5,4,4,4,3,5,1,3,4,4,3,3,4,django__django-14011,2026-03-06T22:05:29.931872,gpt-5.4-2026-03-05,openai,4,4,2,django__django-14011
3,5,3,2,3,2,1,5,5,5,2,1,5,1,3,2,2,2,1,2,django__django-15315,2026-03-06T22:05:43.112165,gpt-5.4-2026-03-05,openai,5,5,3,django__django-15315
1,5,4,4,4,3,0,5,5,4,3,2,5,1,3,3,2,3,3,4,pytest-dev__pytest-6197,2026-03-06T22:06:26.282466,gpt-5.4-2026-03-05,openai,4,4,3,pytest-dev__pytest-6197
3,5,4,2,3,2,1,4,5,5,2,2,5,1,2,3,2,3,2,3,django__django-16493,2026-03-06T22:05:55.815080,gpt-5.4-2026-03-05,openai,5,5,2,django__django-16493
2,4,3,2,3,2,1,5,5,4,2,1,5,1,2,2,2,2,1,2,django__django-14787,2026-03-06T22:05:41.437753,gpt-5.4-2026-03-05,openai,5,5,2,django__django-14787
2,4,4,3,3,2,1,4,3,4,3,2,4,1,3,4,2,3,2,3,django__django-13279,2026-03-06T22:05:28.123930,gpt-5.4-2026-03-05,openai,4,5,2,django__django-13279
3,5,3,2,2,2,1,4,3,5,1,2,4,1,2,2,2,1,2,3,django__django-12741,2026-03-06T22:05:16.482543,gpt-5.4-2026-03-05,openai,5,4,2,django__django-12741
2,4,3,2,2,2,1,4,3,4,2,1,4,1,2,3,2,3,1,2,django__django-15987,2026-03-06T22:05:53.873417,gpt-5.4-2026-03-05,openai,4,5,2,django__django-15987
3,5,2,1,2,1,1,5,5,4,1,1,5,1,1,2,1,2,1,2,sympy__sympy-13480,2026-03-06T22:06:53.813059,gpt-5.4-2026-03-05,openai,5,5,1,sympy__sympy-13480
3,5,2,2,2,2,1,4,4,4,2,1,4,1,2,3,2,2,2,2,astropy__astropy-7166,2026-03-06T22:05:00.191037,gpt-5.4-2026-03-05,openai,4,5,2,astropy__astropy-7166
1,5,4,3,3,2,1,5,5,5,2,2,5,1,2,3,2,3,1,3,sympy__sympy-17139,2026-03-06T22:07:04.460741,gpt-5.4-2026-03-05,openai,5,5,2,sympy__sympy-17139
3,5,3,2,2,2,1,4,5,5,1,1,5,1,2,3,2,2,1,2,django__django-15467,2026-03-06T22:05:43.643827,gpt-5.4-2026-03-05,openai,5,5,2,django__django-15467
2,4,4,3,3,2,1,4,5,4,2,2,4,1,2,2,2,2,2,3,django__django-15037,2026-03-06T22:05:43.513353,gpt-5.4-2026-03-05,openai,4,3,2,django__django-15037
1,5,3,3,2,2,1,4,5,4,2,2,5,1,3,4,3,3,2,3,sphinx-doc__sphinx-7985,2026-03-06T22:06:44.885770,gpt-5.4-2026-03-05,openai,5,4,2,sphinx-doc__sphinx-7985
3,5,4,3,4,2,0,4,5,4,2,1,5,1,2,2,2,2,2,3,astropy__astropy-13579,2026-03-06T22:05:00.296228,gpt-5.4-2026-03-05,openai,4,4,2,astropy__astropy-13579
3,4,3,3,4,2,1,5,5,4,3,2,5,1,2,3,1,3,2,2,pytest-dev__pytest-7324,2026-03-06T22:06:25.615291,gpt-5.4-2026-03-05,openai,5,5,2,pytest-dev__pytest-7324
3,5,3,4,3,3,1,4,5,5,2,4,5,1,4,4,3,4,3,4,sympy__sympy-13091,2026-03-06T22:06:53.424456,gpt-5.4-2026-03-05,openai,5,4,3,sympy__sympy-13091
3,5,3,2,2,2,1,4,4,5,2,2,5,1,2,2,2,1,1,2,scikit-learn__scikit-learn-13496,2026-03-06T22:06:36.783638,gpt-5.4-2026-03-05,openai,5,5,2,scikit-learn__scikit-learn-13496
1,5,4,3,3,2,1,5,5,4,2,1,5,1,2,2,2,2,1,2,pydata__xarray-4094,2026-03-06T22:06:22.941472,gpt-5.4-2026-03-05,openai,4,5,2,pydata__xarray-4094
2,5,3,2,2,2,1,4,4,5,2,1,4,1,2,4,2,3,1,2,django__django-16877,2026-03-06T22:05:56.895646,gpt-5.4-2026-03-05,openai,5,5,2,django__django-16877
1,4,4,3,4,3,1,5,5,4,3,2,5,1,2,3,3,2,2,3,matplotlib__matplotlib-25311,2026-03-06T22:06:10.783499,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-25311
2,5,3,2,2,2,1,4,5,5,2,2,5,1,2,2,2,1,2,2,scikit-learn__scikit-learn-25232,2026-03-06T22:06:38.571710,gpt-5.4-2026-03-05,openai,5,5,2,scikit-learn__scikit-learn-25232
1,5,4,3,4,3,0,5,5,4,4,2,5,1,3,4,3,4,2,4,pytest-dev__pytest-7236,2026-03-06T22:06:26.330971,gpt-5.4-2026-03-05,openai,4,5,2,pytest-dev__pytest-7236
2,5,3,2,2,2,1,4,5,5,2,2,4,1,3,2,2,2,2,3,pydata__xarray-3993,2026-03-06T22:06:22.864406,gpt-5.4-2026-03-05,openai,5,4,2,pydata__xarray-3993
3,4,4,4,4,3,0,5,5,5,4,2,5,0,3,3,2,2,4,4,django__django-15563,2026-03-06T22:05:45.611347,gpt-5.4-2026-03-05,openai,3,4,2,django__django-15563
2,4,4,4,4,3,0,4,5,5,3,2,4,1,3,2,2,2,3,3,sympy__sympy-13615,2026-03-06T22:06:54.309850,gpt-5.4-2026-03-05,openai,4,4,2,sympy__sympy-13615
2,5,4,3,3,3,1,4,5,5,3,2,5,1,3,4,2,4,2,3,pydata__xarray-6744,2026-03-06T22:06:23.986224,gpt-5.4-2026-03-05,openai,4,5,2,pydata__xarray-6744
2,5,3,2,3,2,1,4,5,4,2,1,5,1,2,2,2,2,1,2,sphinx-doc__sphinx-7454,2026-03-06T22:06:40.564743,gpt-5.4-2026-03-05,openai,4,4,2,sphinx-doc__sphinx-7454
1,5,3,2,2,2,1,4,5,4,2,2,5,1,2,2,2,1,1,2,matplotlib__matplotlib-23314,2026-03-06T22:06:08.248922,gpt-5.4-2026-03-05,openai,4,5,2,matplotlib__matplotlib-23314
3,5,3,2,4,2,1,5,5,4,2,1,5,1,2,2,1,2,1,2,scikit-learn__scikit-learn-12585,2026-03-06T22:06:35.739040,gpt-5.4-2026-03-05,openai,5,5,2,scikit-learn__scikit-learn-12585
3,5,2,2,2,2,1,5,5,4,2,1,5,1,2,3,4,3,1,2,pylint-dev__pylint-6903,2026-03-06T22:06:24.574568,gpt-5.4-2026-03-05,openai,5,5,1,pylint-dev__pylint-6903
3,4,4,4,4,4,0,4,5,4,4,2,5,0,3,4,3,3,2,4,django__django-12273,2026-03-06T22:05:16.059740,gpt-5.4-2026-03-05,openai,3,4,2,django__django-12273
2,5,3,2,2,2,1,4,5,5,2,1,4,1,3,2,1,2,1,2,sympy__sympy-12481,2026-03-06T22:06:52.268451,gpt-5.4-2026-03-05,openai,4,5,2,sympy__sympy-12481
3,4,2,3,3,3,1,4,5,4,2,1,5,1,3,4,2,4,2,2,django__django-10999,2026-03-06T22:05:01.616894,gpt-5.4-2026-03-05,openai,5,5,1,django__django-10999
3,5,4,3,4,2,1,5,5,4,4,2,5,1,2,2,2,2,1,3,matplotlib__matplotlib-26291,2026-03-06T22:06:09.730558,gpt-5.4-2026-03-05,openai,4,4,2,matplotlib__matplotlib-26291
3,5,4,2,2,2,1,5,5,4,2,1,5,1,2,4,2,4,1,2,django__django-15277,2026-03-06T22:05:42.993728,gpt-5.4-2026-03-05,openai,5,5,2,django__django-15277
3,5,4,3,4,2,0,5,5,4,2,1,5,1,3,2,2,1,2,3,sympy__sympy-13551,2026-03-06T22:06:53.288990,gpt-5.4-2026-03-05,openai,4,5,2,sympy__sympy-13551
3,5,2,1,1,1,1,5,5,5,1,1,5,1,2,2,1,1,1,2,sympy__sympy-22914,2026-03-06T22:07:07.013134,gpt-5.4-2026-03-05,openai,5,5,1,sympy__sympy-22914
3,5,4,2,3,2,1,5,5,5,2,1,5,1,2,2,1,2,1,2,django__django-13012,2026-03-06T22:05:16.773144,gpt-5.4-2026-03-05,openai,4,5,2,django__django-13012
1,4,4,3,4,2,0,4,5,5,3,2,5,1,2,2,2,2,2,4,django__django-11490,2026-03-06T22:05:12.764515,gpt-5.4-2026-03-05,openai,5,5,2,django__django-11490
