instance_id,solution_complexity,entry_point_clarity,side_effect_risk,test_edge_case_coverage,codebase_scope,fix_localization,test_comprehensiveness,verification_difficulty,reproduction_clarity,problem_clarity,logical_reasoning_required,expected_behavior_clarity,debugging_complexity,integration_complexity,error_specificity
sympy__sympy-17630,2,5,3,3,2,4,3,2,5,4,3,4,4,4,5
pytest-dev__pytest-10356,3,4,4,2,2,4,3,3,5,4,3,4,3,4,4
django__django-10880,1,4,2,2,1,5,2,2,3,5,2,4,2,3,4
django__django-11141,2,5,3,3,2,4,3,2,3,5,3,5,2,3,4
matplotlib__matplotlib-24970,2,5,3,3,2,5,3,2,5,4,3,4,3,3,5
sympy__sympy-13798,2,5,3,2,2,5,2,2,5,4,3,5,2,2,4
scikit-learn__scikit-learn-26194,2,5,3,3,2,5,3,2,5,4,2,4,1,3,4
matplotlib__matplotlib-24570,1,4,4,3,1,5,4,2,5,5,2,4,2,2,4
sphinx-doc__sphinx-10673,3,5,3,2,3,4,2,3,5,5,4,5,4,4,5
django__django-14752,2,5,2,2,2,5,3,2,5,5,2,5,2,2,4
matplotlib__matplotlib-24177,1,4,3,3,2,4,2,3,5,4,3,4,4,3,4
django__django-16082,1,4,2,3,1,5,3,2,3,4,2,4,2,2,4
sympy__sympy-22456,2,5,3,1,1,5,2,2,4,4,3,5,2,3,4
django__django-13516,1,4,2,1,1,5,2,2,4,4,2,5,2,2,4
matplotlib__matplotlib-22871,2,4,2,3,2,5,3,2,5,5,3,4,3,3,4
matplotlib__matplotlib-23299,2,4,3,2,2,3,2,2,5,4,3,4,3,3,5
django__django-14007,3,4,3,2,2,4,3,3,5,4,3,5,4,4,4
django__django-16485,1,5,2,2,1,5,2,2,5,4,2,4,2,2,5
matplotlib__matplotlib-22719,2,4,2,2,1,5,2,2,5,5,2,4,2,3,5
django__django-16256,3,5,3,3,2,4,4,2,4,5,3,5,2,4,4
django__django-14011,3,4,3,3,3,4,4,5,4,5,4,4,4,4,5
django__django-15315,1,5,3,2,1,5,2,2,5,5,2,5,2,2,5
pytest-dev__pytest-6197,3,4,3,3,2,4,3,3,5,5,4,4,3,4,5
django__django-16493,2,5,2,3,2,5,3,2,5,5,2,5,2,3,4
django__django-14787,1,5,2,2,1,5,2,2,5,4,2,4,2,2,5
django__django-13279,2,4,3,3,2,5,4,2,3,4,3,4,3,3,4
django__django-12741,2,5,2,1,2,4,2,2,3,5,2,5,1,3,4
django__django-15987,1,4,2,3,1,5,3,2,3,4,2,4,2,2,4
sympy__sympy-13480,1,5,1,2,1,5,2,1,5,5,1,4,1,2,5
astropy__astropy-7166,2,4,2,2,1,5,3,2,4,5,2,4,2,2,4
sympy__sympy-17139,1,5,2,3,2,5,3,2,5,5,3,5,2,3,5
django__django-15467,1,5,2,2,1,5,3,2,5,5,2,5,1,2,4
django__django-15037,2,4,2,2,2,3,2,2,5,4,3,4,2,3,4
sphinx-doc__sphinx-7985,2,5,3,3,2,4,4,2,5,5,3,4,2,3,4
astropy__astropy-13579,2,4,2,2,1,4,2,2,5,5,3,4,2,3,4
pytest-dev__pytest-7324,2,5,2,3,2,5,3,2,5,4,3,4,3,2,5
sympy__sympy-13091,3,5,4,4,4,4,4,3,5,5,4,5,2,4,4
scikit-learn__scikit-learn-13496,1,5,2,1,2,5,2,2,4,5,2,5,2,2,4
pydata__xarray-4094,1,4,2,2,1,5,2,2,5,5,3,4,2,2,5
django__django-16877,1,5,2,3,1,5,4,2,4,5,2,5,2,2,4
matplotlib__matplotlib-25311,2,4,2,2,2,5,3,3,5,4,3,4,3,3,5
scikit-learn__scikit-learn-25232,2,5,2,1,2,5,2,2,5,5,2,5,2,2,4
pytest-dev__pytest-7236,2,4,3,4,2,5,4,3,5,5,3,4,4,4,5
pydata__xarray-3993,2,5,3,2,2,4,2,2,5,5,2,5,2,3,4
django__django-15563,4,3,3,2,2,4,3,3,5,4,4,5,4,4,5
sympy__sympy-13615,3,4,3,2,2,4,2,3,5,4,4,5,3,3,4
pydata__xarray-6744,2,4,3,4,2,5,4,3,5,5,3,5,3,3,4
sphinx-doc__sphinx-7454,1,4,2,2,1,4,2,2,5,5,2,4,2,2,4
matplotlib__matplotlib-23314,1,4,2,1,2,5,2,2,5,5,2,4,2,2,4
scikit-learn__scikit-learn-12585,1,5,2,2,1,5,2,2,5,5,2,4,2,2,5
pylint-dev__pylint-6903,1,5,2,3,1,5,3,2,5,5,2,4,2,2,5
django__django-12273,2,3,3,3,2,4,4,4,5,4,4,4,4,4,4
sympy__sympy-12481,1,4,3,2,1,5,2,2,5,5,2,5,2,2,4
django__django-10999,2,5,3,4,1,5,4,3,5,4,3,4,2,2,4
matplotlib__matplotlib-26291,1,4,2,2,2,4,2,2,5,5,3,4,4,3,5
django__django-15277,1,5,2,4,1,5,4,2,5,5,2,4,2,2,5
sympy__sympy-13551,2,4,3,1,1,5,2,2,5,5,3,4,2,3,5
sympy__sympy-22914,1,5,2,1,1,5,2,1,5,5,1,5,1,2,5
django__django-13012,1,4,2,2,1,5,2,2,5,5,2,5,2,2,5
django__django-11490,2,5,2,2,2,5,2,2,5,4,3,5,3,4,4
sphinx-doc__sphinx-7462,2,5,2,3,2,5,3,2,4,5,2,4,2,3,5
django__django-16569,1,5,1,2,1,5,2,2,5,5,2,5,1,2,5
django__django-16139,1,5,2,2,1,5,3,2,4,5,2,5,1,2,4
sympy__sympy-21379,2,3,2,2,2,4,2,3,5,4,4,4,4,3,5
sympy__sympy-12419,2,4,3,2,2,5,3,2,5,5,3,5,2,3,5
django__django-14915,1,5,2,2,1,5,2,2,5,5,2,4,2,2,5
sphinx-doc__sphinx-8056,2,4,2,2,2,4,3,2,4,5,3,4,2,3,4
sympy__sympy-17318,2,5,2,3,2,4,3,2,5,5,3,4,2,3,5
pylint-dev__pylint-7277,2,5,3,4,1,5,4,3,5,5,3,4,2,3,4
sympy__sympy-24213,1,5,3,2,1,5,2,2,5,5,3,4,2,3,5
matplotlib__matplotlib-25960,3,4,3,2,2,5,2,3,5,4,4,4,4,4,4
django__django-11740,2,4,2,2,2,4,2,2,4,5,3,4,2,3,5
sympy__sympy-20801,2,4,3,2,1,5,2,2,5,4,3,4,2,3,4
django__django-14493,1,5,1,3,1,5,2,2,5,5,2,4,1,2,5
django__django-14539,2,5,2,2,1,5,2,2,5,4,3,5,3,2,4
astropy__astropy-13236,2,5,3,3,2,5,4,2,4,5,2,5,2,3,4
pytest-dev__pytest-10081,2,4,2,3,2,5,4,2,5,5,3,5,3,3,5
django__django-17084,2,3,3,2,2,5,3,3,5,4,3,4,4,4,5
django__django-13028,1,5,2,2,2,5,3,2,5,5,2,4,2,3,5
pydata__xarray-6461,1,5,2,2,1,5,2,2,5,4,2,3,2,2,5
matplotlib__matplotlib-20488,2,4,2,4,2,4,3,3,4,4,3,4,3,3,5
pytest-dev__pytest-8399,1,5,2,3,2,5,4,2,5,5,2,5,1,2,5
matplotlib__matplotlib-20826,2,4,3,2,2,4,2,2,5,5,3,4,3,4,4
django__django-15851,1,5,2,1,1,5,2,1,5,5,2,5,1,2,5
sympy__sympy-19783,2,4,3,2,2,4,3,2,5,4,3,4,3,3,4
pytest-dev__pytest-5840,3,4,3,4,2,4,4,3,4,4,3,4,4,4,5
django__django-10097,2,5,3,4,2,5,4,2,4,5,3,5,2,3,4
sympy__sympy-22714,1,5,2,2,2,5,2,2,5,4,3,4,3,2,5
django__django-11239,1,5,2,3,1,5,4,2,4,5,2,5,1,2,4
django__django-15503,3,4,3,4,2,5,4,3,5,4,4,5,3,4,5
sympy__sympy-24443,3,5,2,2,1,5,2,2,5,4,3,4,2,3,5
django__django-15368,1,5,2,1,1,5,2,2,5,5,2,5,2,2,5
matplotlib__matplotlib-23476,1,4,2,2,2,4,2,2,5,4,3,5,2,3,5
django__django-15104,1,5,1,2,1,5,2,2,5,5,2,4,2,3,5
django__django-15554,4,3,3,2,2,4,3,3,5,4,4,4,4,4,4
django__django-13195,2,5,3,3,3,5,4,2,4,4,3,5,2,3,5
sympy__sympy-15349,1,5,3,2,1,5,3,2,5,4,2,4,2,2,4
scikit-learn__scikit-learn-25747,1,5,3,2,1,5,3,2,5,5,3,4,2,3,5
django__django-16801,2,5,2,2,1,5,2,2,3,5,3,4,2,3,4
django__django-14580,1,4,1,2,1,5,2,2,5,5,2,4,2,2,5
sympy__sympy-20154,2,5,3,3,1,5,4,2,4,5,2,5,2,2,4
pytest-dev__pytest-5787,4,4,3,4,2,4,4,3,5,4,3,5,4,4,5
django__django-13212,3,5,3,4,3,4,4,3,4,4,3,5,2,4,4
pylint-dev__pylint-4661,2,5,4,2,2,5,2,2,3,4,2,4,2,3,4
sphinx-doc__sphinx-10435,2,5,2,1,1,5,2,2,5,5,2,4,2,3,4
sympy__sympy-20590,1,4,3,2,2,5,2,2,5,5,2,4,2,3,5
django__django-16315,2,4,2,2,2,3,3,2,5,5,3,5,2,3,5
psf__requests-2317,1,5,2,2,1,5,2,2,4,4,2,4,1,2,4
django__django-14017,1,5,3,4,1,5,4,2,5,5,2,4,2,3,5
django__django-13551,2,5,3,4,2,5,4,2,4,5,2,5,2,3,4
matplotlib__matplotlib-26208,1,3,2,2,2,4,3,2,5,4,3,4,4,3,5
sympy__sympy-19346,2,5,2,4,1,5,4,2,5,5,2,4,2,2,4
django__django-15128,3,4,3,3,2,4,3,4,5,4,4,4,4,4,5
django__django-13121,4,4,3,2,3,4,3,3,5,4,4,4,4,4,5
scikit-learn__scikit-learn-10844,2,5,2,3,2,5,3,2,2,5,3,4,2,2,5
django__django-12419,1,5,4,1,1,4,2,1,3,5,1,5,1,2,4
django__django-13658,1,5,2,2,1,5,2,2,4,5,2,5,1,2,4
django__django-14349,2,5,3,4,2,5,4,2,4,4,2,4,2,2,5
sphinx-doc__sphinx-7910,2,5,2,2,1,5,3,2,4,5,2,5,2,3,5
django__django-11848,2,5,3,4,2,5,4,3,3,5,3,5,2,2,4
django__django-13033,2,4,3,2,2,4,3,3,5,5,3,5,4,4,5
sympy__sympy-15345,2,4,2,1,2,5,2,2,5,5,2,5,2,2,4
django__django-16661,3,4,3,3,2,5,3,3,5,4,4,5,4,4,4
django__django-12858,2,4,2,2,2,5,2,2,4,4,3,5,3,3,5
scikit-learn__scikit-learn-25931,2,5,2,2,2,4,2,2,5,5,3,4,2,3,5
mwaskom__seaborn-3069,2,4,3,2,2,3,3,2,3,4,3,5,3,3,4
scikit-learn__scikit-learn-11310,2,5,2,2,2,5,2,2,5,5,2,5,2,2,4
sympy__sympy-18189,1,4,2,2,1,5,3,2,5,5,2,5,1,2,4
django__django-12663,2,4,3,2,2,4,2,2,5,5,3,4,4,4,5
scikit-learn__scikit-learn-10297,1,5,2,2,2,5,3,2,5,5,2,4,2,2,5
pylint-dev__pylint-6386,3,4,3,2,3,5,2,2,5,5,3,4,3,3,5
django__django-14534,1,5,2,2,1,5,3,2,4,5,2,5,1,2,4
django__django-14373,1,5,2,3,1,5,3,1,3,5,2,5,1,2,4
django__django-15098,1,3,3,4,1,5,4,2,5,5,3,5,2,3,4
sympy__sympy-23534,1,5,2,2,1,5,2,2,5,5,2,5,2,2,4
django__django-14631,3,4,3,3,2,4,3,3,4,5,3,5,3,4,4
django__django-11433,2,4,3,4,1,5,4,2,3,4,3,4,2,3,4
psf__requests-1921,2,4,3,2,1,5,2,2,5,5,2,5,2,3,4
django__django-16899,1,5,2,2,2,5,3,1,4,5,2,5,2,2,5
psf__requests-2931,2,5,3,2,2,4,2,2,5,4,3,4,2,3,4
astropy__astropy-14182,3,5,3,2,2,5,3,3,5,5,3,5,3,3,5
django__django-12209,1,4,3,2,2,5,2,3,5,4,3,4,4,3,4
django__django-11999,2,4,3,2,2,5,2,2,5,4,3,5,4,3,4
sympy__sympy-15017,1,5,3,3,1,4,3,2,5,5,2,4,2,2,4
sphinx-doc__sphinx-10614,2,4,3,4,2,5,4,3,5,5,4,4,3,3,4
scikit-learn__scikit-learn-13439,1,5,2,1,1,5,1,1,5,5,1,5,1,2,4
sympy__sympy-13878,4,5,3,4,2,4,4,3,5,5,3,4,2,3,5
sphinx-doc__sphinx-11510,4,4,3,3,2,4,4,3,5,5,4,5,4,4,4
django__django-14559,2,5,3,4,2,5,4,2,4,5,3,5,2,2,4
django__django-13964,1,4,3,2,2,4,2,2,5,5,3,5,3,3,5
django__django-14608,1,4,2,3,2,5,4,2,3,5,2,5,2,2,4
django__django-13821,1,5,4,3,1,5,2,1,3,5,1,5,1,2,4
django__django-14034,2,4,3,3,2,5,3,2,5,4,3,4,3,3,4
pydata__xarray-6992,4,5,4,4,3,5,4,4,5,4,4,3,4,4,5
django__django-16662,1,5,2,2,1,5,2,2,4,5,2,5,2,2,4
django__django-13933,1,5,2,2,1,5,2,2,4,5,2,5,2,2,4
sphinx-doc__sphinx-7440,2,4,3,2,2,5,3,2,5,5,2,4,2,3,5
pytest-dev__pytest-7432,1,5,2,2,1,5,3,2,5,5,3,5,2,3,5
scikit-learn__scikit-learn-14629,2,5,2,2,2,4,3,2,5,5,2,4,2,3,5
sympy__sympy-23262,1,4,2,2,1,5,2,2,5,5,2,5,2,2,5
django__django-13925,2,4,2,4,2,4,4,2,4,4,3,5,3,3,5
astropy__astropy-13453,2,4,2,2,2,5,3,2,5,5,2,4,2,3,4
sympy__sympy-21930,1,4,3,2,2,4,4,2,5,5,2,5,2,2,4
sympy__sympy-24661,2,4,2,2,1,5,3,2,5,5,2,5,2,2,4
sphinx-doc__sphinx-8035,3,4,3,2,2,4,2,3,3,4,3,4,3,3,4
django__django-14999,2,4,2,2,2,4,3,2,3,4,2,5,2,3,4
scikit-learn__scikit-learn-11578,1,5,2,3,2,5,4,2,5,5,3,5,2,3,5
django__django-13837,2,5,3,3,2,5,3,2,4,5,3,5,2,3,4
scikit-learn__scikit-learn-9288,2,4,3,1,2,5,2,2,5,5,3,5,2,3,4
pydata__xarray-7229,3,4,3,4,2,4,4,3,5,4,4,5,4,4,4
scikit-learn__scikit-learn-13142,2,4,2,2,2,5,3,2,5,5,3,5,2,3,5
scikit-learn__scikit-learn-25973,2,4,2,2,2,5,2,2,5,5,3,4,3,3,5
sphinx-doc__sphinx-9673,1,4,2,2,1,5,2,2,5,5,2,4,2,2,4
django__django-15561,2,4,3,2,2,5,3,3,4,4,3,5,2,3,4
sphinx-doc__sphinx-9258,1,4,2,2,1,5,3,2,5,4,2,5,2,2,4
scikit-learn__scikit-learn-12682,3,5,3,2,2,4,3,2,3,4,3,4,2,4,4
django__django-11133,1,5,2,1,1,5,2,1,5,5,2,5,2,2,4
django__django-11099,1,5,2,3,1,5,3,1,4,5,2,5,1,2,4
pylint-dev__pylint-4551,4,3,3,4,3,3,4,3,5,4,3,4,4,4,4
sphinx-doc__sphinx-8721,2,4,2,3,1,5,4,2,4,5,2,4,2,3,4
sympy__sympy-16792,2,4,2,2,1,4,2,2,5,5,3,5,2,3,5
sympy__sympy-18763,1,5,3,2,1,5,2,2,5,5,2,5,2,2,4
django__django-12965,2,4,3,2,2,4,2,2,5,4,3,5,3,3,4
django__django-15127,2,4,2,2,2,4,3,2,3,5,2,4,2,3,4
matplotlib__matplotlib-26342,1,5,2,1,1,5,2,2,5,5,2,5,1,2,4
sympy__sympy-23413,2,4,3,3,2,5,3,3,5,4,4,5,3,3,4
django__django-15629,4,4,3,3,3,4,4,4,5,5,4,5,4,4,4
pydata__xarray-7233,2,5,3,3,2,5,4,2,5,5,3,4,3,3,4
astropy__astropy-14508,2,5,3,2,1,5,3,2,5,5,2,4,2,3,5
django__django-15916,2,4,3,2,2,4,3,2,5,4,3,5,2,3,4
matplotlib__matplotlib-25775,3,4,3,3,3,3,4,3,3,5,3,5,3,4,4
django__django-14311,2,4,3,3,1,5,3,2,4,4,3,4,2,3,4
sphinx-doc__sphinx-9281,2,4,3,1,1,5,2,2,5,5,2,5,2,2,4
pydata__xarray-3677,1,5,2,1,1,4,2,2,5,5,2,4,2,2,5
sympy__sympy-19040,1,4,2,2,1,4,2,2,5,4,2,5,2,3,4
django__django-13315,3,4,3,3,2,5,4,4,3,4,4,4,4,4,4
sympy__sympy-15599,4,5,4,3,2,5,3,3,5,4,4,5,4,4,4
pytest-dev__pytest-7982,1,5,3,1,1,5,2,2,3,5,2,5,1,3,4
django__django-11451,1,5,2,4,1,5,4,2,4,5,2,5,1,2,5
sympy__sympy-15976,2,4,3,4,1,5,4,2,5,5,3,5,2,2,4
django__django-15957,4,4,3,3,2,3,4,4,5,4,4,4,4,4,5
django__django-12050,2,5,3,1,1,5,2,2,3,4,3,4,2,3,4
django__django-15280,2,3,3,2,2,3,3,3,5,5,4,5,4,4,5
pytest-dev__pytest-7490,3,4,3,3,2,4,3,2,5,5,3,5,3,4,5
django__django-13568,2,5,2,4,2,5,4,2,5,4,3,4,2,3,5
django__django-11555,2,4,2,2,2,4,3,2,3,4,3,4,3,3,4
scikit-learn__scikit-learn-13135,1,5,2,3,2,5,3,2,5,5,2,4,2,2,5
django__django-13513,3,5,3,4,2,5,3,3,5,5,4,5,2,3,4
django__django-10554,3,4,3,4,2,5,4,3,5,4,4,4,4,4,5
pydata__xarray-4075,2,5,2,2,1,5,3,2,5,5,2,5,1,2,5
matplotlib__matplotlib-24627,2,4,3,2,1,4,2,2,5,5,2,5,2,3,4
django__django-13401,3,5,3,3,2,5,4,3,5,5,4,5,2,3,4
astropy__astropy-13977,4,5,3,4,2,4,4,4,5,4,4,4,4,4,5
django__django-11095,2,5,2,2,2,5,3,2,3,5,2,4,2,2,3
django__django-12713,2,5,2,2,1,5,2,2,3,4,2,4,2,3,3
django__django-13417,2,4,2,3,2,4,3,2,5,4,3,4,2,3,4
sympy__sympy-13031,2,5,3,3,2,4,3,2,5,4,3,5,3,3,4
sympy__sympy-15809,1,5,3,2,1,5,2,2,5,5,2,5,1,3,5
sympy__sympy-13877,3,4,3,3,2,5,2,3,5,4,4,4,4,4,5
django__django-13786,2,5,2,3,2,5,3,2,4,5,3,5,2,3,4
django__django-16642,1,4,2,2,1,5,3,2,5,4,2,4,2,2,4
pytest-dev__pytest-6202,1,5,2,2,1,5,3,2,5,5,2,5,1,2,5
django__django-11885,4,4,3,2,3,4,2,3,5,4,4,5,4,4,4
sphinx-doc__sphinx-7748,3,4,3,2,2,4,3,3,3,4,3,4,3,4,4
matplotlib__matplotlib-24149,2,5,2,3,2,5,2,2,5,5,2,4,2,3,5
django__django-15741,1,5,2,2,2,5,3,2,4,4,2,4,2,3,5
django__django-14500,2,4,3,2,2,5,3,2,3,4,3,4,2,3,4
scikit-learn__scikit-learn-25102,3,4,3,3,3,4,4,3,5,4,4,4,4,4,4
sympy__sympy-20438,3,4,3,4,3,5,4,3,5,4,4,4,4,4,5
sympy__sympy-16766,1,5,2,1,1,5,2,1,5,5,2,5,1,2,5
django__django-13512,1,4,2,3,2,5,4,2,4,4,2,4,2,2,4
astropy__astropy-7606,2,5,3,3,2,5,3,2,5,5,3,5,2,3,5
sympy__sympy-14976,2,4,2,2,2,5,3,2,5,4,2,4,2,2,5
django__django-14238,1,5,2,3,2,5,4,2,5,5,2,4,2,3,5
django__django-10914,1,5,4,1,1,5,2,1,3,5,2,4,2,2,4
django__django-14404,2,5,2,3,1,5,4,2,3,5,2,5,2,3,4
psf__requests-6028,1,3,3,2,2,4,2,2,4,4,3,4,3,2,4
django__django-13569,2,5,3,2,2,4,2,3,5,5,3,4,4,3,5
pylint-dev__pylint-4970,1,4,2,3,1,5,2,1,4,5,2,5,2,2,4
matplotlib__matplotlib-24870,3,4,3,3,2,4,4,3,5,5,3,5,3,4,4
matplotlib__matplotlib-25332,2,4,3,2,2,4,3,2,5,4,3,4,4,3,5
sphinx-doc__sphinx-8595,1,4,2,2,1,5,2,2,5,5,2,5,2,2,4
scikit-learn__scikit-learn-12973,2,5,3,2,1,5,4,2,3,5,2,5,1,2,4
django__django-17087,1,4,2,2,1,5,3,2,5,5,2,5,1,2,4
django__django-14351,3,3,3,2,2,4,2,3,5,4,4,4,4,4,5
sympy__sympy-19954,2,5,2,2,2,5,2,2,5,4,3,4,3,3,5
django__django-16100,2,4,3,4,2,5,4,2,3,4,2,4,2,4,4
django__django-12143,1,5,1,2,1,5,3,2,3,5,2,4,1,2,4
django__django-16950,2,4,3,4,2,5,4,3,5,4,4,4,3,3,5
sphinx-doc__sphinx-10323,1,5,2,2,1,5,2,2,5,5,3,5,2,2,5
django__django-12155,2,5,3,3,2,5,3,2,4,4,2,4,2,3,5
django__django-16116,2,5,3,2,1,5,2,2,4,4,2,5,2,2,4
django__django-13590,2,5,2,2,1,5,2,2,4,5,2,4,2,3,5
django__django-17029,1,5,1,2,1,5,2,2,4,5,2,5,2,2,4
sympy__sympy-22080,3,4,3,3,2,4,4,3,5,4,4,5,3,4,5
django__django-15278,2,4,3,2,2,5,2,2,4,4,3,4,2,3,5
django__django-16454,2,5,2,4,2,5,4,2,5,5,3,5,2,3,5
django__django-13343,2,5,2,2,2,4,3,2,3,5,2,5,2,3,4
django__django-16136,2,4,2,3,2,5,4,2,5,5,2,4,2,3,5
django__django-13158,2,4,3,2,2,4,2,2,5,4,3,4,4,3,4
pylint-dev__pylint-8898,2,4,3,4,2,4,4,2,5,4,3,4,2,3,5
sympy__sympy-24066,2,5,3,2,2,4,2,2,5,5,3,5,3,3,5
django__django-14672,1,5,1,3,1,5,4,2,5,5,2,4,2,2,5
sympy__sympy-23824,1,5,2,2,1,5,3,2,5,5,2,5,1,2,5
django__django-13363,1,5,2,2,1,5,3,2,5,5,2,5,1,3,4
scikit-learn__scikit-learn-14983,2,5,2,1,2,5,2,2,5,5,2,5,2,3,5
