instance_id,codebase_scope,test_comprehensiveness,environment_setup_complexity,debugging_complexity,atypicality,side_effect_risk,similar_issue_likelihood,problem_clarity,fix_localization,information_completeness,solution_hint,implementation_language_complexity,solution_complexity,standard_pattern_available,error_specificity
django__django-10914,1,1,2,1,1,4,1,5,4,5,3,1,1,1,4
django__django-10973,1,4,2,1,2,2,1,5,4,4,3,1,2,1,3
django__django-10999,1,4,2,2,3,3,1,4,5,5,2,1,3,0,4
django__django-11066,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-11087,2,3,2,3,3,3,1,4,4,5,3,2,3,0,5
django__django-11095,1,3,2,1,1,2,1,5,4,4,3,1,1,1,3
django__django-11099,1,3,2,1,1,2,1,5,4,5,3,1,1,1,5
django__django-11119,1,2,2,1,1,2,1,5,5,5,3,1,1,1,4
django__django-11133,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-11138,3,3,3,2,3,3,1,4,4,5,3,2,3,0,5
django__django-11141,1,2,2,2,3,3,1,4,4,4,2,2,3,0,4
django__django-11149,1,4,2,3,3,3,1,4,4,5,1,2,3,0,4
django__django-11163,1,4,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-11179,1,3,2,1,2,2,1,5,5,5,3,2,1,1,4
django__django-11206,1,3,2,2,2,2,1,5,4,5,2,1,2,1,5
django__django-11211,1,2,2,3,3,3,1,4,4,4,0,1,2,0,3
django__django-11239,1,3,2,1,1,1,1,5,4,5,3,1,1,1,4
django__django-11265,2,2,2,4,4,3,0,4,4,5,2,2,3,0,5
django__django-11276,2,4,2,1,1,3,1,5,4,5,3,1,2,1,5
django__django-11292,1,2,2,1,2,2,1,4,4,4,2,1,2,1,3
django__django-11299,1,4,2,3,4,2,1,4,4,5,1,2,1,0,5
django__django-11333,2,3,2,1,2,2,1,5,5,5,3,1,2,1,4
django__django-11400,3,4,2,2,2,3,1,4,4,5,2,2,3,1,4
django__django-11433,1,4,2,2,3,3,1,4,4,3,2,1,2,0,3
django__django-11451,1,4,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-11477,1,4,2,3,2,3,1,4,4,3,3,2,1,1,3
django__django-11490,1,2,2,3,3,2,1,4,4,5,1,2,2,0,4
django__django-11532,3,2,2,2,2,3,1,5,4,5,3,1,3,1,5
django__django-11551,1,2,2,2,3,3,1,5,4,5,3,1,3,0,5
django__django-11555,1,3,2,3,3,2,1,4,4,4,2,2,2,0,4
django__django-11603,1,3,2,1,1,2,1,5,5,5,3,2,1,1,4
django__django-11728,1,4,2,2,3,2,1,5,4,5,3,2,3,0,5
django__django-11734,3,2,2,4,4,3,0,4,4,5,1,2,3,0,4
django__django-11740,1,2,2,2,3,2,1,4,4,5,3,1,2,0,4
django__django-11749,1,4,2,2,3,2,1,5,4,5,2,2,2,0,5
django__django-11790,1,3,2,1,1,1,1,5,4,5,2,1,1,1,4
django__django-11815,1,4,2,1,2,3,1,5,5,5,3,1,1,1,4
django__django-11820,1,4,2,2,3,2,1,4,4,5,1,2,3,0,5
django__django-11848,1,4,2,1,2,2,1,5,4,5,3,1,2,1,4
django__django-11880,1,2,2,1,1,1,1,5,4,5,3,1,1,1,4
django__django-11885,3,2,2,4,3,3,0,4,4,4,2,2,4,0,3
django__django-11951,1,2,2,1,1,2,1,5,4,5,3,2,1,1,4
django__django-11964,1,3,2,2,2,3,1,5,4,5,1,2,1,1,5
django__django-11999,1,2,2,2,2,2,1,5,4,5,3,2,1,1,4
django__django-12039,1,4,2,1,2,2,1,5,4,5,3,1,2,1,5
django__django-12050,1,2,2,2,2,3,1,4,5,4,2,1,2,1,4
django__django-12125,1,3,2,1,1,2,1,5,4,5,3,1,1,1,5
django__django-12143,1,2,2,1,1,1,1,5,5,5,3,1,1,1,4
django__django-12155,2,2,2,1,2,3,1,4,5,4,3,1,2,1,4
django__django-12193,1,4,3,1,2,1,1,5,4,5,3,2,1,1,5
django__django-12209,1,2,2,2,2,3,1,5,4,5,3,2,1,0,4
django__django-12262,1,4,2,2,3,2,1,4,4,5,2,1,1,0,5
django__django-12273,1,3,2,3,3,3,1,4,4,5,3,2,2,0,4
django__django-12276,1,3,2,1,1,2,1,5,4,5,3,1,1,1,4
django__django-12304,1,2,2,1,1,2,1,5,4,5,3,1,1,1,4
django__django-12308,1,4,2,2,2,2,1,5,4,4,3,2,2,1,4
django__django-12325,2,4,2,3,3,3,1,4,4,5,3,2,2,0,4
django__django-12406,2,4,2,3,3,3,1,4,4,5,1,1,3,0,5
django__django-12419,1,1,2,1,1,3,1,5,4,5,3,1,1,1,5
django__django-12663,1,2,2,4,4,3,0,4,4,5,3,2,2,0,5
django__django-12708,1,3,2,2,3,2,1,4,4,4,1,2,1,0,4
django__django-12713,1,2,2,2,1,2,1,4,4,3,2,1,1,1,3
django__django-12741,2,2,2,1,1,3,1,5,4,5,3,2,1,1,5
django__django-12754,1,2,2,3,3,2,1,5,4,5,3,2,3,0,5
django__django-12774,1,4,2,1,2,2,1,5,4,5,2,1,2,0,5
django__django-12858,1,2,2,2,3,2,1,4,4,4,1,2,1,0,5
django__django-12965,1,2,3,3,3,2,1,4,4,5,2,2,2,0,5
django__django-13012,1,3,3,2,2,2,1,5,5,5,3,2,1,1,5
django__django-13023,1,4,2,1,1,1,1,5,5,5,3,1,1,1,4
django__django-13028,1,3,2,2,3,2,1,5,4,5,3,2,1,0,5
django__django-13033,1,3,2,3,3,2,1,5,4,5,3,2,2,0,5
django__django-13089,1,3,2,1,1,1,1,5,4,5,3,1,1,1,5
django__django-13109,1,4,2,1,1,3,1,5,4,5,3,2,1,1,5
django__django-13112,1,3,2,2,2,2,1,5,4,5,3,2,2,1,5
django__django-13121,4,2,2,4,4,3,0,4,4,4,1,1,4,0,5
django__django-13128,2,4,2,4,3,3,0,4,4,4,1,2,4,0,5
django__django-13158,1,3,2,3,3,3,1,4,4,4,1,1,3,0,4
django__django-13195,3,4,2,2,1,2,1,5,4,5,3,1,2,1,4
django__django-13212,2,4,2,1,1,3,1,5,4,5,3,1,2,1,4
django__django-13279,1,3,2,2,3,3,1,4,4,4,3,1,2,0,4
django__django-13297,1,2,2,2,3,3,1,4,4,5,2,1,2,0,4
django__django-13315,2,3,2,4,4,3,1,4,4,3,2,2,3,0,3
django__django-13343,1,2,2,2,2,2,1,5,4,5,3,2,2,1,4
django__django-13344,3,4,2,3,3,3,1,4,4,5,3,2,3,1,4
django__django-13346,1,4,3,4,4,2,1,4,4,4,1,2,4,0,4
django__django-13363,1,3,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-13401,1,3,2,1,2,3,1,5,4,5,3,2,3,1,5
django__django-13406,1,4,2,1,3,3,1,5,4,5,3,1,1,0,5
django__django-13410,1,3,2,1,1,2,1,5,5,5,3,1,2,1,5
django__django-13417,1,3,2,2,2,2,1,4,4,5,2,2,1,0,4
django__django-13449,1,2,2,2,3,2,1,5,4,5,3,2,3,0,5
django__django-13512,2,3,2,2,1,2,1,5,4,5,3,1,1,1,4
django__django-13513,1,3,2,2,3,2,1,5,5,5,3,1,3,0,5
django__django-13516,1,2,2,2,2,1,1,4,4,3,1,1,1,1,3
django__django-13551,1,4,2,1,1,3,1,5,4,4,3,2,2,1,4
django__django-13568,1,4,2,1,2,2,1,4,4,5,2,2,2,0,5
django__django-13569,1,2,2,2,3,2,1,5,4,5,3,1,1,0,5
django__django-13590,1,2,2,1,2,2,1,5,5,5,3,1,2,1,5
django__django-13658,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-13670,1,3,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-13741,1,2,2,1,1,3,1,5,4,5,3,1,2,1,3
django__django-13786,1,3,2,2,3,2,1,5,4,5,3,2,2,1,4
django__django-13794,1,3,2,2,2,3,1,4,4,3,1,1,2,1,4
django__django-13807,1,3,2,1,1,1,1,5,4,5,3,2,2,1,5
django__django-13809,1,3,2,1,1,1,1,5,4,4,2,1,1,1,3
django__django-13810,1,3,2,3,3,2,1,4,4,4,2,2,2,0,4
django__django-13820,1,3,2,2,3,2,1,5,5,5,3,1,2,0,4
django__django-13821,1,2,2,1,1,2,1,5,4,5,3,1,1,1,5
django__django-13837,1,3,2,2,3,3,1,5,4,5,3,1,2,1,4
django__django-13925,1,4,2,2,3,2,1,4,4,5,1,2,2,0,5
django__django-13933,1,2,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-13964,1,2,2,2,3,3,1,5,4,5,3,2,1,0,5
django__django-14007,1,3,2,3,3,3,1,5,4,5,1,1,3,0,4
django__django-14011,3,3,2,4,3,3,1,5,4,5,3,2,3,0,4
django__django-14017,1,4,2,1,2,2,1,5,4,5,3,2,1,1,5
django__django-14034,2,3,2,3,3,3,1,4,4,5,3,1,3,0,4
django__django-14053,1,2,2,3,3,3,1,5,4,5,2,2,3,0,4
django__django-14089,1,2,2,1,1,1,1,5,5,5,3,1,1,1,4
django__django-14122,1,2,2,3,3,3,1,4,4,3,1,2,2,0,3
django__django-14140,1,4,2,2,2,3,1,5,4,5,3,2,2,1,5
django__django-14155,1,4,2,1,2,2,1,5,4,4,3,1,2,1,4
django__django-14170,2,4,2,3,3,3,1,5,4,5,2,2,3,0,5
django__django-14238,1,4,2,2,3,2,1,5,4,5,3,2,1,1,5
django__django-14311,1,3,2,2,3,2,1,4,5,4,3,1,3,0,4
django__django-14315,2,4,2,1,1,2,1,5,4,5,3,1,2,1,4
django__django-14349,1,4,2,1,2,2,1,4,4,5,2,1,1,1,5
django__django-14351,2,2,2,4,4,3,0,3,4,5,1,2,3,0,5
django__django-14373,1,3,2,1,1,2,1,5,5,4,3,1,1,1,4
django__django-14376,2,4,3,1,1,2,1,5,4,5,3,2,2,1,4
django__django-14404,1,4,2,1,2,2,1,5,4,5,3,2,1,1,4
django__django-14434,1,3,2,2,3,2,1,3,4,3,2,2,2,0,4
django__django-14493,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-14500,1,2,2,2,3,2,1,4,4,3,1,2,1,0,3
django__django-14534,1,3,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-14539,1,2,2,3,3,2,1,5,4,5,1,2,2,0,5
django__django-14559,1,4,2,1,1,2,1,5,4,5,3,2,1,1,4
django__django-14580,1,3,2,1,2,1,1,5,4,5,3,1,1,1,5
django__django-14608,1,4,2,1,1,2,1,5,4,4,2,1,1,1,4
django__django-14631,2,3,2,3,3,3,0,4,4,5,3,1,3,0,3
django__django-14672,1,4,2,1,1,1,1,5,5,5,3,2,1,1,5
django__django-14725,2,4,2,2,2,2,1,4,4,4,3,2,2,1,3
django__django-14752,1,2,2,1,1,1,1,5,4,5,3,1,1,1,4
django__django-14765,1,2,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-14771,1,4,2,2,2,2,1,4,4,5,2,1,2,1,4
django__django-14787,1,2,2,2,3,2,1,4,4,4,1,1,1,1,5
django__django-14792,1,4,3,2,3,3,1,4,4,5,2,2,2,0,5
django__django-14855,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-14915,1,3,2,1,1,2,1,5,4,5,3,1,1,1,5
django__django-14999,1,3,2,2,2,2,1,4,4,3,2,2,2,1,3
django__django-15022,1,4,2,2,2,3,1,4,4,4,2,2,2,1,4
django__django-15037,1,2,2,2,3,2,1,4,4,4,2,2,2,0,4
django__django-15098,1,4,2,2,2,3,1,5,4,5,3,2,1,1,4
django__django-15103,2,3,2,1,1,2,1,5,4,4,3,1,2,1,4
django__django-15104,1,2,2,1,1,1,1,5,5,5,3,2,1,1,5
django__django-15127,2,2,2,2,2,2,1,4,4,4,3,1,2,1,4
django__django-15128,2,3,2,4,4,3,0,4,4,5,3,2,4,0,5
django__django-15161,1,3,2,1,2,2,1,5,4,5,3,1,1,1,4
django__django-15252,2,3,2,3,3,3,1,4,4,4,2,1,2,0,4
django__django-15268,2,3,2,3,3,3,1,4,4,5,2,2,3,0,4
django__django-15277,1,4,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-15278,1,2,2,2,3,2,1,4,4,5,1,2,2,0,5
django__django-15280,2,2,2,4,4,3,0,5,4,5,2,2,2,0,5
django__django-15315,1,2,2,1,2,2,1,5,4,5,3,1,1,1,5
django__django-15368,1,2,3,1,1,2,1,5,5,5,3,2,1,1,5
django__django-15375,1,3,2,3,3,2,1,5,4,5,3,2,1,0,5
django__django-15380,1,3,2,2,2,1,1,5,4,5,2,1,1,0,5
django__django-15382,1,2,2,2,3,2,1,4,4,5,3,2,2,1,4
django__django-15467,1,2,2,1,1,2,1,5,5,5,3,1,1,1,4
django__django-15499,1,2,2,1,1,1,1,5,4,5,3,2,1,1,4
django__django-15503,2,4,2,3,4,3,1,4,4,5,2,2,3,0,5
django__django-15525,1,2,2,2,3,2,1,4,4,5,3,1,1,0,5
django__django-15554,2,2,2,4,4,3,0,4,4,5,1,2,4,0,4
django__django-15561,2,2,2,2,3,3,1,5,4,5,3,2,3,1,4
django__django-15563,2,3,2,4,4,3,0,5,4,5,3,2,4,0,5
django__django-15569,1,3,2,1,1,2,1,5,4,5,3,1,1,1,4
django__django-15572,1,2,2,2,1,1,1,5,5,5,3,1,1,1,4
django__django-15629,3,4,3,3,4,3,1,4,4,5,3,2,4,0,5
django__django-15695,1,2,3,2,3,2,1,5,4,5,2,2,1,0,5
django__django-15731,1,3,2,1,1,2,1,5,5,5,3,1,1,1,5
django__django-15732,2,3,3,3,4,3,0,4,4,5,2,2,4,0,5
django__django-15741,1,3,2,2,2,1,1,4,4,4,2,1,1,1,4
django__django-15814,1,2,2,2,2,2,1,5,4,5,3,2,1,1,5
django__django-15851,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-15863,1,2,2,1,1,3,1,5,4,5,3,1,1,1,5
django__django-15916,1,3,2,3,3,3,1,4,4,4,2,2,3,0,4
django__django-15930,1,2,2,3,3,2,1,5,4,5,1,2,2,0,5
django__django-15957,3,3,2,5,4,3,0,4,4,4,2,2,4,0,4
django__django-15973,1,3,2,3,3,2,1,4,4,5,0,2,1,0,5
django__django-15987,1,3,2,1,2,1,1,4,4,3,2,2,1,1,4
django__django-16032,2,3,2,4,4,3,0,5,4,5,3,2,3,0,5
django__django-16082,1,3,2,1,2,1,1,4,4,4,3,1,1,1,3
django__django-16100,1,3,2,1,1,2,1,4,4,3,2,2,1,1,3
django__django-16116,1,2,2,1,1,3,1,5,4,4,2,2,1,1,4
django__django-16136,1,3,2,2,2,2,1,5,4,5,3,1,2,1,5
django__django-16139,1,3,2,1,2,2,1,5,4,5,3,1,1,1,5
django__django-16145,1,2,2,1,1,1,1,5,4,5,3,1,1,1,4
django__django-16255,1,3,2,1,1,1,1,5,4,5,3,2,1,1,5
django__django-16256,2,4,2,1,2,2,1,5,4,5,3,2,2,1,4
django__django-16263,4,3,2,5,4,4,0,4,4,4,2,2,5,0,3
django__django-16315,2,3,3,2,2,2,1,5,4,5,3,2,3,1,5
django__django-16333,1,2,2,1,1,2,1,5,4,4,3,2,1,1,4
django__django-16429,1,5,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-16454,1,3,2,2,3,2,1,5,4,5,2,2,2,0,5
django__django-16485,1,3,2,1,1,2,1,5,4,5,1,2,1,1,5
django__django-16493,1,3,2,2,3,1,1,5,5,5,3,1,1,0,5
django__django-16502,1,3,2,3,4,3,1,5,4,5,1,2,4,0,5
django__django-16527,1,3,2,1,1,2,1,5,4,5,3,1,1,1,4
django__django-16560,3,4,2,1,1,2,1,5,4,4,3,1,2,1,4
django__django-16569,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-16595,1,2,2,1,1,1,1,5,4,5,3,1,1,1,5
django__django-16612,1,4,2,1,1,1,1,5,4,5,3,1,1,1,5
django__django-16631,2,3,2,2,3,3,1,4,4,4,2,1,3,0,4
django__django-16642,1,3,2,1,1,1,1,5,4,4,2,1,1,1,4
django__django-16661,1,3,2,4,4,3,0,4,4,5,1,1,4,0,4
django__django-16662,1,2,2,1,1,1,1,5,4,5,3,1,1,1,4
django__django-16667,1,4,2,1,1,1,1,5,4,5,2,1,1,1,5
django__django-16801,1,2,2,1,2,2,1,5,4,4,3,2,2,1,4
django__django-16819,1,2,2,2,2,1,1,3,4,3,2,1,1,1,3
django__django-16877,1,4,2,1,1,1,1,5,4,5,3,1,1,1,3
django__django-16899,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
django__django-16901,1,3,2,2,3,2,1,5,4,5,2,2,2,1,5
django__django-16938,2,3,2,2,3,2,1,5,4,5,3,2,1,1,5
django__django-16950,1,4,2,4,4,3,0,4,4,5,2,2,3,0,4
django__django-17029,1,2,2,1,1,1,1,5,5,5,3,1,1,1,4
django__django-17084,1,3,3,3,3,2,1,4,4,4,1,2,2,0,4
django__django-17087,1,2,3,1,2,2,1,5,4,5,3,2,1,1,5
django__django-7530,1,3,2,2,2,2,1,4,4,4,2,2,1,1,4
django__django-9296,1,2,2,1,1,2,1,5,5,5,3,1,1,1,3
matplotlib__matplotlib-13989,1,2,2,2,3,2,1,5,4,5,1,2,1,0,5
matplotlib__matplotlib-14623,3,2,3,3,3,3,1,5,4,5,3,3,3,0,4
matplotlib__matplotlib-20488,1,3,3,3,3,2,1,4,4,4,1,2,2,0,5
matplotlib__matplotlib-20676,1,4,3,3,3,2,1,4,5,5,1,2,2,0,4
matplotlib__matplotlib-20826,2,2,3,3,3,3,1,4,4,5,2,3,2,0,4
matplotlib__matplotlib-20859,1,2,2,1,1,2,1,5,5,5,3,1,1,1,5
matplotlib__matplotlib-21568,1,3,4,2,3,2,1,5,4,5,3,3,2,0,4
matplotlib__matplotlib-22719,1,2,3,2,2,2,1,5,4,5,3,3,1,1,5
matplotlib__matplotlib-22865,1,4,3,3,3,2,1,5,4,4,1,3,2,0,4
matplotlib__matplotlib-22871,1,2,3,3,3,3,1,5,4,5,1,2,2,0,4
matplotlib__matplotlib-23299,1,2,3,3,4,3,1,4,4,5,2,3,2,0,5
matplotlib__matplotlib-23314,1,2,3,2,1,1,1,5,4,4,1,3,1,1,4
matplotlib__matplotlib-23412,1,3,3,1,1,2,1,5,5,5,3,3,1,1,5
matplotlib__matplotlib-23476,1,2,4,2,3,2,1,5,4,5,2,4,1,0,5
matplotlib__matplotlib-24026,1,2,3,2,3,3,1,4,4,5,1,2,3,0,5
matplotlib__matplotlib-24149,1,3,2,2,1,2,1,5,4,5,3,3,2,1,5
matplotlib__matplotlib-24177,2,2,4,4,4,3,0,4,4,5,2,4,1,0,4
matplotlib__matplotlib-24570,1,4,3,1,2,3,1,5,4,5,3,2,1,1,5
matplotlib__matplotlib-24627,1,2,3,2,2,3,1,4,4,4,2,3,2,1,4
matplotlib__matplotlib-24637,1,2,3,1,1,2,1,5,4,5,3,3,1,1,4
matplotlib__matplotlib-24870,2,4,4,2,3,3,1,5,4,5,3,3,3,0,4
matplotlib__matplotlib-24970,1,3,2,3,3,3,1,4,5,5,2,2,3,0,5
matplotlib__matplotlib-25122,1,4,2,1,2,3,1,5,4,5,3,2,1,1,5
matplotlib__matplotlib-25287,1,4,2,1,1,2,1,5,4,5,3,2,1,1,5
matplotlib__matplotlib-25311,1,3,3,3,3,2,1,4,4,4,1,3,2,1,4
matplotlib__matplotlib-25332,1,3,3,3,3,2,1,4,4,4,1,3,3,1,5
matplotlib__matplotlib-25479,2,3,3,3,3,3,1,4,4,5,2,2,2,0,5
matplotlib__matplotlib-25775,3,4,3,2,2,2,1,4,4,4,2,3,3,1,3
matplotlib__matplotlib-25960,2,3,4,3,3,3,1,4,4,4,2,3,3,0,4
matplotlib__matplotlib-26113,1,3,3,1,1,3,1,5,4,5,3,3,1,1,5
matplotlib__matplotlib-26208,2,3,4,4,4,3,0,4,4,5,1,3,1,0,4
matplotlib__matplotlib-26291,1,2,3,3,3,2,1,5,4,5,3,3,1,0,5
matplotlib__matplotlib-26342,1,2,3,1,1,3,1,5,4,5,3,4,1,1,4
matplotlib__matplotlib-26466,1,3,3,2,2,2,1,5,4,5,3,3,2,1,4
mwaskom__seaborn-3069,2,3,2,3,3,3,0,4,4,4,2,1,3,0,3
mwaskom__seaborn-3187,2,2,2,2,3,3,1,4,4,5,2,2,2,1,4
pallets__flask-5014,1,2,2,1,1,2,1,5,5,5,3,1,1,1,4
psf__requests-1142,1,2,2,1,2,3,1,4,5,5,2,1,2,1,4
psf__requests-1724,1,2,2,1,2,2,1,5,4,5,3,2,1,1,5
psf__requests-1766,1,2,2,1,1,2,1,5,5,5,3,1,1,1,4
psf__requests-1921,1,2,2,2,2,3,1,5,4,5,2,1,1,1,4
psf__requests-2317,1,2,1,1,2,2,1,5,4,5,3,1,1,1,4
psf__requests-2931,1,2,2,2,2,3,1,4,5,4,1,1,3,1,4
psf__requests-5414,1,3,2,1,1,2,1,5,4,5,2,1,1,1,5
psf__requests-6028,1,3,2,3,2,2,1,4,4,4,3,1,2,1,3
pydata__xarray-2905,1,2,2,1,2,3,1,5,4,5,3,1,1,1,4
pydata__xarray-3095,2,3,2,3,3,2,1,5,4,5,1,1,3,0,5
pydata__xarray-3151,1,2,2,2,2,2,1,5,4,5,2,1,2,0,5
pydata__xarray-3305,2,3,2,2,1,2,1,5,4,5,3,1,2,1,5
pydata__xarray-3677,1,2,2,1,1,2,1,5,4,5,2,2,1,1,5
pydata__xarray-3993,2,2,2,1,1,3,1,5,4,5,3,1,2,1,4
pydata__xarray-4075,1,3,2,1,2,1,1,5,5,5,3,1,2,1,5
pydata__xarray-4094,1,3,2,3,3,2,1,4,4,5,0,1,1,0,4
pydata__xarray-4356,1,4,2,1,2,2,1,5,4,5,3,2,2,1,4
pydata__xarray-4629,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
pydata__xarray-4687,1,2,2,2,2,2,1,5,4,5,3,1,2,1,4
pydata__xarray-4695,1,2,2,1,2,1,1,5,4,5,3,1,1,1,5
pydata__xarray-4966,1,4,2,1,2,2,1,5,4,5,3,1,2,1,5
pydata__xarray-6461,1,2,2,2,2,2,1,4,4,4,1,1,1,1,5
pydata__xarray-6599,1,2,2,2,2,2,1,5,4,5,2,1,2,1,5
pydata__xarray-6721,1,2,2,2,2,2,1,5,4,5,2,1,1,0,5
pydata__xarray-6744,1,4,2,2,3,3,1,5,4,5,1,1,3,0,5
pydata__xarray-6938,2,2,2,3,3,3,1,4,4,5,1,1,3,1,4
pydata__xarray-6992,2,4,2,4,4,4,0,3,4,4,1,1,4,0,4
pydata__xarray-7229,1,4,2,3,3,3,1,4,4,5,2,1,3,0,4
pydata__xarray-7233,1,3,2,2,2,2,1,5,4,5,1,2,1,0,4
pydata__xarray-7393,1,3,2,2,2,2,1,5,4,5,3,1,2,1,4
pylint-dev__pylint-4551,4,4,2,4,4,3,0,3,4,3,1,2,4,0,3
pylint-dev__pylint-4604,2,3,2,3,3,2,1,4,4,5,1,2,2,0,4
pylint-dev__pylint-4661,2,2,2,1,2,4,1,4,4,4,3,1,2,1,3
pylint-dev__pylint-4970,1,2,2,1,1,1,1,5,4,4,2,2,1,1,4
pylint-dev__pylint-6386,3,2,2,3,3,3,1,4,4,5,1,2,3,0,5
pylint-dev__pylint-6528,2,4,2,2,2,2,1,5,4,5,2,2,3,1,4
pylint-dev__pylint-6903,1,3,2,1,1,1,1,5,4,5,3,1,1,1,5
pylint-dev__pylint-7080,1,2,2,2,1,2,1,5,4,5,3,2,1,1,4
pylint-dev__pylint-7277,1,4,2,1,2,3,1,5,4,5,3,1,2,1,4
pylint-dev__pylint-8898,2,3,2,2,3,3,1,5,4,5,3,1,3,0,5
pytest-dev__pytest-10051,1,4,2,1,2,2,1,5,4,5,3,1,2,1,5
pytest-dev__pytest-10081,1,4,2,2,3,1,1,5,4,5,1,2,2,0,5
pytest-dev__pytest-10356,1,2,2,3,3,3,1,4,4,5,2,1,3,0,4
pytest-dev__pytest-5262,1,2,2,1,1,2,1,5,4,5,3,1,1,1,5
pytest-dev__pytest-5631,1,3,2,1,2,2,1,5,5,5,3,1,2,1,5
pytest-dev__pytest-5787,2,4,2,3,3,3,1,4,4,4,1,1,4,0,4
pytest-dev__pytest-5809,1,2,2,1,1,1,1,5,4,5,3,1,1,1,4
pytest-dev__pytest-5840,2,3,2,3,3,3,1,4,4,5,2,1,3,0,5
pytest-dev__pytest-6197,2,3,2,3,3,4,1,4,4,5,1,2,3,0,5
pytest-dev__pytest-6202,1,3,2,1,2,2,1,5,5,5,3,1,1,1,5
pytest-dev__pytest-7205,1,4,2,1,1,2,1,5,4,5,3,1,1,1,5
pytest-dev__pytest-7236,1,3,2,3,3,2,1,5,4,5,1,2,3,0,5
pytest-dev__pytest-7324,1,3,2,2,3,2,1,4,4,5,3,1,2,0,5
pytest-dev__pytest-7432,1,3,2,1,2,2,1,5,5,5,2,2,1,0,5
pytest-dev__pytest-7490,1,3,2,2,3,3,1,5,4,5,2,1,3,0,5
pytest-dev__pytest-7521,1,4,2,2,3,2,1,5,4,5,1,2,1,1,5
pytest-dev__pytest-7571,1,4,2,2,2,2,1,5,4,5,1,2,2,1,5
pytest-dev__pytest-7982,1,2,2,1,1,2,1,5,5,5,3,1,1,1,5
pytest-dev__pytest-8399,2,3,2,1,1,2,1,5,4,5,3,1,1,1,5
scikit-learn__scikit-learn-10297,1,3,3,1,1,2,1,5,4,5,3,4,1,1,5
scikit-learn__scikit-learn-10844,1,2,2,1,1,1,1,5,5,4,3,2,2,1,4
scikit-learn__scikit-learn-10908,1,4,3,1,1,2,1,5,4,5,2,3,1,1,5
