instance_id,fix_localization,environment_setup_complexity,logical_reasoning_required,entry_point_clarity,codebase_scope,verification_difficulty,side_effect_risk,problem_clarity,information_completeness,testing_infrastructure_quality,debugging_complexity,implementation_language_complexity,reproduction_clarity,expected_behavior_clarity,domain_knowledge_required
django__django-12155,5,2,2,5,1,2,2,5,5,4,1,1,4,5,3
django__django-12193,4,3,2,5,1,2,1,5,4,4,1,2,3,5,4
django__django-12209,4,2,4,5,2,3,4,4,5,5,3,2,5,4,4
django__django-12262,4,2,3,5,1,2,2,5,4,4,2,1,5,4,4
django__django-12273,4,2,4,4,2,2,2,4,4,5,3,2,5,4,4
django__django-12276,4,2,2,5,1,2,2,5,4,4,1,1,3,5,3
django__django-12304,4,2,1,5,1,2,2,5,4,4,1,1,4,5,3
django__django-12308,4,2,2,5,1,2,2,5,4,4,1,2,3,5,4
django__django-12325,4,2,3,4,2,2,2,4,4,4,3,2,5,4,4
django__django-12406,4,2,3,5,2,3,3,5,4,5,3,1,5,4,4
django__django-12419,4,2,1,5,2,2,3,5,4,4,1,1,3,5,3
django__django-12663,4,2,3,4,2,2,2,4,5,5,3,2,5,4,4
django__django-12708,4,2,3,5,2,4,3,4,4,4,3,2,4,3,4
django__django-12713,4,2,2,5,1,2,2,3,2,4,2,1,2,4,4
django__django-12741,4,2,2,5,3,3,3,5,4,4,1,2,3,5,4
django__django-12754,4,2,3,4,2,3,3,5,4,4,3,2,5,5,4
django__django-12774,4,2,3,5,1,2,2,5,5,4,1,1,5,4,4
django__django-12858,4,2,3,5,2,3,2,4,4,4,3,2,4,4,4
django__django-12965,4,3,3,5,2,3,2,5,5,4,2,2,5,5,4
django__django-13012,5,3,3,5,1,3,2,4,4,4,2,2,4,5,4
django__django-13023,5,2,2,5,1,2,1,4,3,4,1,1,3,5,3
django__django-13028,4,2,3,4,1,2,2,4,5,4,2,2,5,4,4
django__django-13033,4,2,4,4,2,3,3,5,5,5,4,2,5,5,4
django__django-13089,4,2,2,5,1,3,1,5,4,4,1,1,2,4,3
django__django-13109,4,2,2,5,1,2,3,5,5,5,1,2,5,5,4
django__django-13112,4,2,3,4,2,3,2,4,4,5,3,2,4,4,4
django__django-13121,4,2,3,4,3,3,2,4,4,4,3,1,5,3,4
django__django-13128,4,2,4,4,2,3,3,4,3,4,3,2,5,3,4
django__django-13158,4,2,4,4,2,3,2,4,3,4,3,1,4,4,4
django__django-13195,4,2,2,4,2,2,3,4,4,4,1,1,3,4,3
django__django-13212,4,2,2,4,2,3,2,3,3,4,1,1,3,4,3
django__django-13279,4,2,3,4,2,3,3,3,3,4,3,1,2,3,4
django__django-13297,4,2,3,5,2,3,3,4,4,4,3,1,5,4,4
django__django-13315,4,2,3,4,1,3,1,3,2,4,2,2,2,4,4
django__django-13343,4,2,3,5,1,3,2,5,4,4,2,2,3,5,4
django__django-13344,4,2,4,4,2,4,2,4,4,4,3,2,4,5,4
django__django-13346,4,3,4,4,2,4,2,3,3,4,4,2,4,4,5
django__django-13363,5,2,2,5,1,3,2,5,5,4,1,1,4,5,4
django__django-13401,4,2,2,5,1,3,3,5,5,4,1,2,5,5,3
django__django-13406,4,2,4,4,2,2,2,4,5,5,3,1,5,4,4
django__django-13410,5,2,1,5,1,3,2,5,5,3,1,1,3,5,2
django__django-13417,4,2,4,4,2,3,3,4,4,4,3,2,4,4,4
django__django-13449,4,2,3,4,2,3,2,5,5,4,2,2,5,5,4
django__django-13512,4,2,2,4,1,2,2,4,3,4,1,1,3,4,3
django__django-13513,5,2,2,5,1,2,1,5,5,4,1,1,5,5,3
django__django-13516,4,2,3,5,1,3,2,3,3,4,2,1,3,4,4
django__django-13551,4,2,2,5,1,3,3,5,4,4,1,2,4,5,4
django__django-13568,4,2,3,5,1,3,2,4,4,4,1,2,5,4,4
django__django-13569,4,2,3,5,1,3,2,5,5,4,2,1,5,5,4
django__django-13590,5,2,2,5,1,2,1,5,4,4,1,1,3,5,3
django__django-13658,5,2,1,5,1,2,1,5,5,4,1,1,4,5,3
django__django-13670,5,2,2,5,1,2,2,5,5,4,1,1,5,5,3
django__django-13741,4,2,2,5,1,2,2,5,4,4,1,1,3,5,3
django__django-13786,4,2,3,5,1,3,2,4,4,4,2,2,3,4,4
django__django-13794,4,2,2,5,1,2,2,4,3,4,2,1,3,4,3
django__django-13807,4,2,1,5,1,2,1,5,5,4,1,2,4,5,3
django__django-13809,4,2,2,5,2,3,2,4,3,4,2,1,3,4,4
django__django-13810,4,2,4,5,1,4,2,4,4,4,3,2,4,4,4
django__django-13820,5,2,2,5,1,3,2,5,5,4,1,1,3,5,4
django__django-13821,4,2,3,4,3,3,3,3,3,4,2,1,2,4,4
django__django-13837,4,2,3,5,1,3,2,5,5,4,2,1,3,5,4
django__django-13925,4,2,3,4,2,3,2,4,3,5,3,2,3,4,4
django__django-13933,5,2,2,5,1,2,2,5,4,4,1,1,3,5,3
django__django-13964,4,2,4,4,2,3,3,5,4,4,3,2,5,5,4
django__django-14007,4,2,3,5,2,3,3,5,4,4,3,1,5,5,4
django__django-14011,4,2,4,4,2,5,2,4,4,4,3,2,4,4,4
django__django-14017,4,2,3,5,2,2,2,5,4,4,2,2,5,4,4
django__django-14034,4,2,3,5,1,2,3,4,4,4,2,1,5,4,4
django__django-14053,4,2,3,5,1,3,3,5,5,4,2,2,5,5,4
django__django-14089,5,2,1,5,1,1,1,5,4,4,1,1,3,5,2
django__django-14122,4,2,3,4,2,3,3,4,3,5,3,2,2,4,4
django__django-14140,4,2,2,5,1,2,3,5,5,4,1,2,5,4,3
django__django-14155,4,2,3,5,1,2,2,4,3,4,2,1,3,3,3
django__django-14170,4,2,3,5,2,3,2,5,5,4,2,2,5,4,4
django__django-14238,4,2,2,5,1,2,2,5,5,4,1,2,5,5,4
django__django-14311,5,2,3,5,1,4,2,4,3,4,2,1,3,4,4
django__django-14315,4,2,2,5,1,2,2,5,4,4,1,1,3,4,3
django__django-14349,4,2,2,5,1,2,2,4,5,4,2,1,4,3,3
django__django-14351,4,2,4,4,3,4,3,3,4,5,4,2,4,4,5
django__django-14373,5,2,1,5,1,2,2,4,3,4,1,1,3,5,3
django__django-14376,4,3,1,5,1,2,2,5,5,4,1,2,4,5,3
django__django-14404,4,2,2,5,1,3,2,5,4,4,1,2,2,5,3
django__django-14434,4,2,2,4,1,3,2,3,2,4,2,2,2,4,4
django__django-14493,5,2,1,5,1,2,1,5,5,4,1,1,5,4,3
django__django-14500,4,2,4,5,2,4,3,3,2,4,3,2,2,3,5
django__django-14534,5,2,2,5,1,2,2,5,5,4,1,1,4,5,4
django__django-14539,4,2,4,5,1,3,3,5,4,4,3,2,5,5,4
django__django-14559,4,2,1,5,1,2,2,5,5,4,1,2,3,5,3
django__django-14580,4,2,3,5,1,2,1,5,5,5,2,1,5,4,4
django__django-14608,4,2,2,4,2,2,2,4,4,4,1,1,3,5,3
django__django-14631,4,2,3,5,2,3,3,4,4,4,3,1,2,4,4
django__django-14672,5,2,2,5,1,2,1,5,5,4,1,2,5,5,4
django__django-14725,4,2,3,4,2,3,2,3,2,5,2,2,2,3,4
django__django-14752,4,2,1,5,1,2,1,5,5,4,1,1,5,5,3
django__django-14765,5,2,1,5,1,2,1,5,5,4,1,1,4,5,3
django__django-14771,4,2,3,4,1,3,2,4,4,4,2,1,5,4,4
django__django-14787,4,2,3,5,1,2,2,3,3,4,3,1,4,3,4
django__django-14792,4,3,3,5,2,3,3,4,5,4,2,2,4,5,4
django__django-14855,5,2,2,4,1,3,1,5,5,4,1,1,3,5,4
django__django-14915,4,2,2,5,1,2,2,4,4,4,1,1,4,4,3
django__django-14999,4,2,3,4,3,4,3,4,2,4,3,2,2,5,4
django__django-15022,4,2,4,5,2,4,3,4,4,4,3,2,4,3,4
django__django-15037,4,2,3,4,2,4,2,4,3,4,2,2,4,4,4
django__django-15098,4,2,3,5,1,2,2,5,5,4,2,2,5,5,4
django__django-15103,4,2,2,5,2,2,2,4,3,4,1,1,3,4,3
django__django-15104,5,2,1,5,1,1,1,5,5,5,1,2,5,5,3
django__django-15127,4,2,3,5,1,3,2,3,2,4,2,1,2,4,4
django__django-15128,4,2,4,4,2,3,3,4,5,4,4,2,5,3,4
django__django-15161,4,2,2,4,2,2,2,4,3,4,2,1,3,4,4
django__django-15252,4,2,3,4,2,3,3,4,4,4,2,1,3,4,4
django__django-15268,4,2,3,4,2,3,2,4,4,5,3,2,5,5,4
django__django-15277,5,2,2,5,1,2,2,5,5,4,1,1,5,5,3
django__django-15278,4,2,4,5,2,3,2,4,4,4,3,2,4,4,4
django__django-15280,4,2,4,4,2,3,3,5,5,5,4,2,5,5,4
django__django-15315,4,2,2,5,1,2,2,5,5,4,1,1,5,5,4
django__django-15368,5,3,2,5,1,2,2,5,5,4,1,2,5,5,4
django__django-15375,4,2,3,4,2,2,2,5,5,4,3,2,5,5,4
django__django-15380,4,2,3,5,1,3,2,4,5,4,2,1,4,4,4
django__django-15382,4,2,4,4,2,3,3,4,3,5,4,2,5,3,5
django__django-15467,5,2,2,5,1,2,2,5,5,4,1,1,4,5,3
django__django-15499,4,2,3,5,1,2,1,4,3,4,2,2,2,5,4
django__django-15503,4,2,3,4,2,2,2,4,5,4,3,2,5,5,4
django__django-15525,4,2,4,4,2,4,2,4,5,4,3,1,5,4,4
django__django-15554,4,2,4,4,2,4,2,4,3,5,3,2,4,4,5
django__django-15561,4,2,3,4,2,3,2,3,2,5,3,2,2,4,4
django__django-15563,4,2,4,4,2,3,3,5,5,4,3,2,5,5,4
django__django-15569,4,2,2,5,2,3,2,5,4,4,1,1,3,5,3
django__django-15572,5,2,2,5,1,2,1,5,5,4,1,1,4,5,3
django__django-15629,4,3,3,4,2,3,2,5,5,4,2,2,5,5,4
django__django-15695,4,3,4,4,1,3,2,4,4,4,3,2,5,4,4
django__django-15731,5,2,1,5,1,2,2,5,5,4,1,1,5,5,3
django__django-15732,4,3,3,4,2,4,2,3,3,4,3,2,3,4,4
django__django-15741,4,2,2,5,1,2,1,4,4,4,1,1,4,4,3
django__django-15814,4,2,2,5,1,2,2,5,5,4,1,2,5,5,4
django__django-15851,5,2,2,5,1,2,2,5,4,4,1,1,5,5,3
django__django-15863,4,2,2,5,1,2,2,5,5,4,1,1,5,5,3
django__django-15916,4,2,3,5,2,3,3,4,4,4,3,2,4,4,4
django__django-15930,4,2,4,4,2,3,2,4,4,4,3,2,5,4,4
django__django-15957,4,2,4,4,2,3,3,4,3,4,3,2,5,3,4
django__django-15973,4,2,4,4,2,4,2,4,5,5,3,2,5,4,4
django__django-15987,4,2,2,5,1,2,1,4,3,4,1,2,3,4,3
django__django-16032,4,2,4,4,2,2,2,4,4,4,3,2,5,4,4
django__django-16082,4,2,2,5,1,3,2,3,2,4,2,1,2,4,4
django__django-16100,4,2,3,5,1,3,2,3,2,4,1,2,1,4,4
django__django-16116,4,2,2,5,1,3,3,4,4,4,1,2,3,5,4
django__django-16136,4,2,3,5,1,3,2,5,5,4,2,1,5,4,4
django__django-16139,4,2,2,5,1,3,2,5,5,4,1,1,4,5,3
django__django-16145,4,2,2,5,1,2,1,5,4,4,1,1,5,5,3
django__django-16255,4,2,1,5,1,2,1,5,5,4,1,2,4,5,3
django__django-16256,4,2,2,4,2,3,2,5,5,4,1,2,3,5,4
django__django-16263,4,2,4,4,3,4,3,4,3,4,4,2,4,4,5
django__django-16315,4,3,2,5,1,2,1,5,4,4,2,2,4,5,4
django__django-16333,4,2,2,5,1,2,2,5,4,5,1,2,3,5,3
django__django-16429,5,2,2,5,1,2,1,5,5,4,1,1,5,5,3
django__django-16454,4,2,3,5,1,2,2,5,5,4,2,2,5,5,4
django__django-16485,4,2,2,5,1,2,1,5,4,4,2,2,5,3,3
django__django-16493,5,2,3,5,1,3,2,5,5,4,1,1,5,5,4
django__django-16502,4,2,2,5,1,2,2,5,5,4,2,2,5,5,4
django__django-16527,4,2,1,5,1,2,2,5,5,4,1,1,3,5,3
django__django-16560,4,2,2,4,3,2,2,4,3,5,1,1,3,4,3
django__django-16569,5,2,1,5,1,1,1,5,5,4,1,1,5,5,3
django__django-16595,4,2,2,5,1,2,2,5,5,5,1,1,5,5,4
django__django-16612,4,2,1,5,1,2,2,5,5,5,1,1,4,5,3
django__django-16631,4,2,3,4,2,3,3,4,4,4,1,1,3,4,4
django__django-16642,4,2,3,5,1,2,3,4,3,4,2,1,5,3,3
django__django-16661,4,2,4,5,1,3,3,4,5,4,3,1,5,5,4
django__django-16662,4,2,2,5,1,2,1,5,4,4,2,1,3,5,4
django__django-16667,4,2,2,5,1,2,1,5,5,4,1,1,5,3,3
django__django-16801,4,2,2,5,1,3,1,5,4,4,1,2,3,5,4
django__django-16819,4,2,3,4,2,3,2,2,1,4,3,1,1,3,4
django__django-16877,4,2,2,4,2,2,2,4,3,4,1,1,3,4,3
django__django-16899,5,2,2,5,1,2,1,4,4,4,1,1,3,5,3
django__django-16901,4,2,4,5,2,3,3,5,4,4,3,2,5,5,4
django__django-16938,4,2,4,4,2,3,2,4,5,4,3,2,5,3,4
django__django-16950,4,2,4,4,2,4,3,4,4,4,3,2,4,4,4
django__django-17029,5,2,1,5,1,2,1,5,5,4,1,1,3,5,3
django__django-17084,4,3,4,4,2,4,3,4,4,4,4,2,4,3,5
django__django-17087,4,3,3,5,2,3,3,5,4,4,3,2,5,5,4
django__django-7530,4,2,3,5,2,4,2,4,3,4,2,2,2,4,4
django__django-9296,5,2,1,5,1,1,2,5,5,4,1,1,4,5,2
matplotlib__matplotlib-13989,4,2,3,5,1,2,2,5,5,4,2,2,5,4,4
matplotlib__matplotlib-14623,4,3,3,5,2,2,3,4,4,4,3,3,5,5,4
matplotlib__matplotlib-20488,4,3,4,5,2,4,2,3,3,4,4,2,2,3,4
matplotlib__matplotlib-20676,5,3,3,5,1,3,2,4,5,4,2,2,5,5,4
matplotlib__matplotlib-20826,4,3,4,5,3,3,3,4,5,5,3,3,5,5,4
matplotlib__matplotlib-20859,5,2,1,5,1,1,2,5,5,4,1,1,5,5,3
matplotlib__matplotlib-21568,4,4,4,4,2,4,2,3,4,4,3,3,5,4,4
matplotlib__matplotlib-22719,4,3,3,5,2,2,2,4,5,4,2,3,5,3,4
matplotlib__matplotlib-22865,4,3,3,5,1,3,2,5,4,5,3,3,5,5,4
matplotlib__matplotlib-22871,4,3,3,4,1,3,2,5,5,4,3,2,5,4,4
matplotlib__matplotlib-23299,4,3,4,4,2,3,3,4,5,4,3,3,5,4,4
matplotlib__matplotlib-23314,4,3,3,5,2,3,2,4,4,4,3,3,5,4,4
matplotlib__matplotlib-23412,5,3,3,5,1,3,2,4,5,4,2,3,5,5,4
matplotlib__matplotlib-23476,4,4,3,4,2,4,2,5,5,4,3,4,5,5,4
matplotlib__matplotlib-24026,4,3,3,5,1,2,2,4,5,4,2,2,5,4,4
matplotlib__matplotlib-24149,4,2,2,5,1,2,2,5,5,4,2,3,5,4,3
matplotlib__matplotlib-24177,4,4,3,5,1,3,2,4,4,4,3,4,5,4,4
matplotlib__matplotlib-24570,4,3,2,5,1,3,3,5,4,4,2,2,5,5,4
matplotlib__matplotlib-24627,4,3,3,5,3,3,4,4,4,4,3,3,5,5,4
matplotlib__matplotlib-24637,4,3,2,5,1,3,1,5,5,4,2,3,5,4,4
matplotlib__matplotlib-24870,4,4,2,4,1,2,3,5,4,4,1,3,5,5,3
matplotlib__matplotlib-24970,5,2,3,5,1,2,2,5,5,4,2,2,5,4,3
matplotlib__matplotlib-25122,4,2,1,5,1,1,2,5,5,4,1,2,5,5,3
matplotlib__matplotlib-25287,4,2,2,5,1,2,2,5,5,4,1,2,5,5,3
matplotlib__matplotlib-25311,4,3,3,4,2,2,2,4,4,5,3,3,5,4,4
matplotlib__matplotlib-25332,4,3,3,5,1,2,2,4,4,5,2,3,5,4,4
matplotlib__matplotlib-25479,4,3,3,5,2,2,3,5,5,4,2,2,5,4,4
matplotlib__matplotlib-25775,4,3,3,4,4,3,3,4,3,4,3,3,2,4,4
matplotlib__matplotlib-25960,4,4,2,5,1,3,2,5,5,4,2,3,5,3,4
matplotlib__matplotlib-26113,4,3,2,5,1,2,3,5,5,4,1,3,5,5,3
matplotlib__matplotlib-26208,4,4,4,4,2,3,3,4,5,4,4,3,5,4,4
matplotlib__matplotlib-26291,4,3,3,5,2,3,2,4,5,4,3,3,5,3,4
matplotlib__matplotlib-26342,4,3,2,5,1,2,1,5,4,4,1,4,4,5,4
matplotlib__matplotlib-26466,4,3,2,5,1,2,2,5,5,4,1,3,5,5,3
mwaskom__seaborn-3069,4,2,4,4,3,4,4,3,3,4,4,1,2,4,4
mwaskom__seaborn-3187,4,2,2,4,1,3,2,5,5,4,2,2,5,4,4
pallets__flask-5014,5,2,1,5,1,1,2,5,4,4,1,1,3,5,3
psf__requests-1142,5,2,3,5,1,3,3,3,3,3,2,1,3,4,4
psf__requests-1724,4,2,2,5,1,2,2,5,5,4,1,2,5,4,2
psf__requests-1766,5,2,2,5,1,3,3,4,4,3,1,1,3,5,4
psf__requests-1921,4,2,2,5,1,2,3,5,4,4,2,1,5,5,3
psf__requests-2317,4,1,2,5,1,2,2,4,4,4,1,1,3,4,2
psf__requests-2931,5,2,3,5,1,2,2,4,4,3,2,1,5,4,4
psf__requests-5414,4,2,2,5,1,2,1,5,5,4,1,1,5,5,3
psf__requests-6028,4,2,4,4,1,4,2,3,3,4,3,1,3,4,5
pydata__xarray-2905,4,2,3,5,1,2,3,5,5,4,1,1,5,4,4
pydata__xarray-3095,4,2,3,5,2,2,2,5,5,4,2,1,5,5,4
pydata__xarray-3151,4,2,3,5,1,2,2,5,5,4,2,1,5,4,4
pydata__xarray-3305,4,2,2,5,1,1,2,5,5,4,2,1,5,5,3
pydata__xarray-3677,4,2,2,5,1,1,2,5,5,4,1,2,5,5,3
pydata__xarray-3993,4,2,2,5,2,2,3,5,4,4,1,1,5,5,3
pydata__xarray-4075,5,2,2,5,1,1,1,5,5,4,1,1,5,5,3
pydata__xarray-4094,4,2,3,5,1,2,2,4,5,4,3,1,5,4,4
pydata__xarray-4356,4,2,2,5,1,2,2,5,5,4,1,2,5,4,3
pydata__xarray-4629,5,2,1,5,1,1,1,5,5,4,1,1,5,5,2
pydata__xarray-4687,4,2,2,5,1,2,3,5,5,4,2,1,5,4,3
pydata__xarray-4695,4,2,3,5,1,2,2,5,4,4,2,1,5,4,4
pydata__xarray-4966,4,2,3,5,1,3,3,5,5,4,2,1,5,5,4
pydata__xarray-6461,4,2,3,5,1,2,2,4,4,4,2,1,5,3,4
pydata__xarray-6599,4,2,3,5,1,2,2,4,5,4,2,1,5,5,4
pydata__xarray-6721,4,2,3,5,2,3,2,4,5,4,2,1,4,3,4
pydata__xarray-6744,4,2,3,5,1,2,3,5,4,4,2,1,5,5,4
pydata__xarray-6938,4,2,3,5,1,2,2,4,5,4,3,1,5,5,4
pydata__xarray-6992,4,2,3,5,2,2,3,4,4,4,3,1,5,3,4
pydata__xarray-7229,4,2,4,5,2,2,3,4,5,4,3,1,5,5,4
pydata__xarray-7233,4,2,3,5,1,2,2,5,4,4,2,2,5,4,4
pydata__xarray-7393,4,2,3,5,2,2,3,5,5,4,3,1,5,5,4
pylint-dev__pylint-4551,4,2,3,4,2,3,2,4,3,4,3,2,4,4,4
pylint-dev__pylint-4604,4,2,3,4,2,2,2,5,5,4,3,2,5,5,4
pylint-dev__pylint-4661,4,2,3,5,2,3,4,3,3,4,2,1,2,4,3
pylint-dev__pylint-4970,4,2,2,5,1,3,2,4,3,4,2,2,3,5,4
pylint-dev__pylint-6386,4,2,2,5,1,2,2,5,5,4,1,2,5,4,3
pylint-dev__pylint-6528,4,2,3,4,1,3,2,5,5,4,2,2,5,5,4
pylint-dev__pylint-6903,4,2,2,5,1,2,1,5,5,4,1,1,4,5,2
pylint-dev__pylint-7080,4,2,3,4,1,3,2,4,5,4,2,2,4,5,4
pylint-dev__pylint-7277,4,2,2,5,1,3,2,5,5,4,1,1,5,5,2
pylint-dev__pylint-8898,4,2,3,5,1,2,3,5,5,4,2,1,5,3,3
pytest-dev__pytest-10051,4,2,2,5,1,2,2,5,5,4,1,1,5,5,3
pytest-dev__pytest-10081,4,2,3,4,2,2,2,5,5,5,3,2,5,5,4
pytest-dev__pytest-10356,4,2,3,5,2,2,3,4,4,5,3,1,5,4,4
pytest-dev__pytest-5262,4,2,2,5,1,2,2,5,5,5,1,1,5,4,3
pytest-dev__pytest-5631,5,2,2,5,1,2,1,5,5,4,1,1,4,4,3
pytest-dev__pytest-5787,4,2,3,4,2,3,2,4,4,4,3,1,5,5,4
pytest-dev__pytest-5809,4,2,1,5,1,2,1,5,5,4,1,1,4,5,2
pytest-dev__pytest-5840,4,2,3,5,2,4,3,3,3,4,3,1,3,4,4
pytest-dev__pytest-6197,4,2,3,4,2,2,3,5,5,5,3,2,5,5,4
pytest-dev__pytest-6202,5,2,2,5,1,2,3,5,5,5,1,1,5,5,4
pytest-dev__pytest-7205,4,2,1,5,1,2,1,5,5,5,1,1,5,4,3
pytest-dev__pytest-7236,4,2,3,5,2,2,2,5,5,5,3,2,5,5,4
pytest-dev__pytest-7324,4,2,3,5,1,3,2,3,3,4,3,1,5,3,4
pytest-dev__pytest-7432,5,2,3,5,1,2,1,5,5,4,2,2,5,5,4
pytest-dev__pytest-7490,4,2,3,4,2,2,3,5,5,5,3,1,5,5,4
pytest-dev__pytest-7521,4,2,3,5,1,2,2,5,5,5,2,2,5,5,4
pytest-dev__pytest-7571,4,2,3,5,1,2,2,5,4,4,2,2,5,5,4
pytest-dev__pytest-7982,5,2,1,5,1,2,2,5,5,4,1,1,3,5,3
pytest-dev__pytest-8399,4,2,2,5,1,2,1,5,4,4,2,1,5,5,4
scikit-learn__scikit-learn-10297,4,3,1,5,1,1,2,5,5,4,1,4,5,4,3
scikit-learn__scikit-learn-10844,5,2,2,5,1,2,1,5,4,4,1,2,2,4,2
