instance_id,logical_reasoning_required,codebase_scope,side_effect_risk,verification_difficulty,reproduction_clarity,problem_clarity,solution_hint,expected_behavior_clarity,debugging_complexity,information_completeness,atypicality,standard_pattern_available,domain_knowledge_required,error_specificity,similar_issue_likelihood
django__django-11299,4,2,2,3,5,5,2,5,3,5,3,0,4,5,1
django__django-11333,2,1,2,3,3,5,3,5,1,5,2,1,4,4,1
django__django-11400,2,1,2,3,3,4,2,4,1,4,2,1,4,4,1
django__django-11433,4,2,3,3,2,3,1,3,3,2,3,0,4,3,0
django__django-11451,2,1,2,2,4,5,3,5,1,5,1,1,3,5,1
django__django-11477,4,1,2,3,2,2,0,3,3,2,3,0,4,2,1
django__django-11490,3,1,2,2,5,4,2,4,3,4,3,0,4,4,1
django__django-11532,2,1,2,2,5,5,3,5,1,5,2,1,3,5,1
django__django-11551,4,1,2,3,4,5,3,5,1,5,3,0,4,5,1
django__django-11555,3,2,2,3,4,3,1,3,3,3,3,0,4,4,1
django__django-11603,1,1,2,2,3,5,3,5,1,4,1,1,4,3,1
django__django-11728,2,1,2,2,4,4,1,4,2,4,2,1,3,4,1
django__django-11734,4,2,3,3,5,4,1,4,4,4,3,0,5,5,0
django__django-11740,3,2,2,3,4,4,1,4,3,4,3,0,4,4,1
django__django-11749,3,1,2,2,5,5,2,4,2,5,3,0,4,5,1
django__django-11790,3,1,2,2,3,4,1,4,2,4,2,1,4,4,1
django__django-11815,3,2,3,3,4,5,3,5,2,4,3,0,4,4,1
django__django-11820,3,1,2,2,4,4,2,4,2,4,2,0,4,5,1
django__django-11848,2,1,2,3,3,5,2,5,1,4,2,1,3,4,1
django__django-11880,2,1,1,2,3,4,2,4,1,4,2,1,3,4,1
django__django-11885,3,2,2,3,4,4,2,5,3,4,3,0,4,3,1
django__django-11951,1,1,2,2,3,5,3,5,1,5,1,1,3,4,1
django__django-11964,3,2,3,2,5,5,1,5,3,5,3,0,4,5,1
django__django-11999,3,1,3,2,5,5,1,5,2,4,3,0,4,4,1
django__django-12039,2,1,2,2,5,5,3,5,1,5,2,1,4,5,1
django__django-12050,2,1,2,2,2,4,2,4,1,3,2,1,4,4,1
django__django-12125,3,1,2,3,5,5,1,5,2,4,3,0,4,5,1
django__django-12143,1,1,1,2,3,5,3,5,1,5,1,1,2,4,1
django__django-12155,2,1,2,2,4,5,3,5,1,5,1,1,3,4,1
django__django-12193,2,1,1,2,3,5,3,5,1,4,2,1,4,5,1
django__django-12209,4,2,4,3,5,4,2,4,3,5,3,0,4,4,1
django__django-12262,3,1,2,2,5,5,2,4,2,4,3,0,4,5,1
django__django-12273,4,2,2,2,5,4,1,4,3,4,3,0,4,4,1
django__django-12276,2,1,2,2,3,5,3,5,1,4,2,1,3,4,1
django__django-12304,1,1,2,2,4,5,3,5,1,4,1,1,3,4,1
django__django-12308,2,1,2,2,3,5,3,5,1,4,2,1,4,4,1
django__django-12325,3,2,2,2,5,4,1,4,3,4,3,0,4,4,1
django__django-12406,3,2,3,3,5,5,2,4,3,4,2,1,4,5,1
django__django-12419,1,2,3,2,3,5,3,5,1,4,1,1,3,4,1
django__django-12663,3,2,2,2,5,4,1,4,3,5,3,1,4,5,1
django__django-12708,3,2,3,4,4,4,1,3,3,4,3,0,4,4,1
django__django-12713,2,1,2,2,2,3,2,4,2,2,2,1,4,3,1
django__django-12741,2,3,3,3,3,5,3,5,1,4,2,1,4,4,1
django__django-12754,3,2,3,3,5,5,2,5,3,4,3,0,4,5,1
django__django-12774,3,1,2,2,5,5,2,4,1,5,2,1,4,5,1
django__django-12858,3,2,2,3,4,4,1,4,3,4,3,0,4,5,1
django__django-12965,3,2,2,3,5,5,2,5,2,5,3,0,4,5,1
django__django-13012,3,1,2,3,4,4,1,5,2,4,3,0,4,5,1
django__django-13023,2,1,1,2,3,4,2,5,1,3,1,1,3,4,1
django__django-13028,3,1,2,2,5,4,2,4,2,5,3,0,4,5,1
django__django-13033,4,2,3,3,5,5,1,5,4,5,3,0,4,5,1
django__django-13089,2,1,1,3,2,5,3,4,1,4,1,1,3,5,1
django__django-13109,2,1,3,2,5,5,3,5,1,5,2,1,4,4,1
django__django-13112,3,2,2,3,4,4,1,4,3,4,3,0,4,5,1
django__django-13121,3,3,2,3,5,4,1,3,3,4,3,0,4,5,1
django__django-13128,4,2,3,3,5,4,1,3,3,3,3,0,4,5,1
django__django-13158,4,2,2,3,4,4,1,4,3,3,3,0,4,4,0
django__django-13195,2,2,3,2,3,4,3,4,1,4,2,1,3,4,1
django__django-13212,2,2,2,3,3,3,2,4,1,3,2,1,3,3,1
django__django-13279,3,2,3,3,2,3,2,3,3,3,3,0,4,3,1
django__django-13297,3,2,3,3,5,4,1,4,3,4,3,0,4,4,1
django__django-13315,3,1,1,3,2,3,1,4,2,2,2,1,4,3,1
django__django-13343,3,1,2,3,3,5,2,5,2,4,3,1,4,4,1
django__django-13344,4,2,2,4,4,4,1,5,3,4,3,0,4,4,1
django__django-13346,4,2,2,4,4,3,1,4,4,3,4,0,5,3,1
django__django-13363,2,1,2,3,4,5,3,5,1,5,1,1,4,4,1
django__django-13401,2,1,3,3,5,5,3,5,1,5,2,1,3,4,1
django__django-13406,4,2,2,2,5,4,1,4,3,5,3,0,4,5,1
django__django-13410,1,1,2,3,3,5,3,5,1,5,1,1,2,5,1
django__django-13417,4,2,3,3,4,4,1,4,3,4,3,0,4,4,1
django__django-13449,3,2,2,3,5,5,2,5,2,5,3,0,4,5,1
django__django-13512,2,1,2,2,3,4,2,4,1,3,2,1,3,3,1
django__django-13513,2,1,1,2,5,5,3,5,1,5,2,1,3,5,1
django__django-13516,3,1,2,3,3,3,1,4,2,3,3,1,4,3,1
django__django-13551,2,1,3,3,4,5,3,5,1,4,2,1,4,4,1
django__django-13568,3,1,2,3,5,4,2,4,1,4,2,0,4,5,1
django__django-13569,3,1,2,3,5,5,3,5,2,5,3,0,4,5,1
django__django-13590,2,1,1,2,3,5,3,5,1,4,2,1,3,5,1
django__django-13658,1,1,1,2,4,5,3,5,1,5,1,1,3,4,1
django__django-13670,2,1,2,2,5,5,2,5,1,5,2,1,3,5,1
django__django-13741,2,1,2,2,3,5,3,5,1,4,1,1,3,3,1
django__django-13786,3,1,2,3,3,4,2,4,2,4,3,0,4,4,1
django__django-13794,2,1,2,2,3,4,1,4,2,3,2,1,3,4,1
django__django-13807,1,1,1,2,4,5,3,5,1,5,1,1,3,5,1
django__django-13809,2,2,2,3,3,4,2,4,2,3,2,1,4,3,1
django__django-13810,4,1,2,4,4,4,2,4,3,4,3,0,4,4,1
django__django-13820,2,1,2,3,3,5,3,5,1,5,3,0,4,4,1
django__django-13821,3,3,3,3,2,3,1,4,2,3,3,0,4,3,1
django__django-13837,3,1,2,3,3,5,3,5,2,5,3,1,4,4,1
django__django-13925,3,2,2,3,3,4,1,4,3,3,3,0,4,4,1
django__django-13933,2,1,2,2,3,5,3,5,1,4,1,1,3,4,1
django__django-13964,4,2,3,3,5,5,1,5,3,4,3,0,4,5,1
django__django-14007,3,2,3,3,5,5,1,5,3,4,3,0,4,4,1
django__django-14011,4,2,2,5,4,4,2,4,3,4,3,1,4,4,1
django__django-14017,3,2,2,2,5,5,2,4,2,4,2,1,4,5,1
django__django-14034,3,1,3,2,5,4,1,4,2,4,3,0,4,4,1
django__django-14053,3,1,3,3,5,5,1,5,2,5,3,0,4,5,1
django__django-14089,1,1,1,1,3,5,3,5,1,4,1,1,2,4,1
django__django-14122,3,2,3,3,2,4,2,4,3,3,3,0,4,3,1
django__django-14140,2,1,3,2,5,5,3,4,1,5,2,1,3,5,1
django__django-14155,3,1,2,2,3,4,3,3,2,3,2,1,3,3,1
django__django-14170,3,2,2,3,5,5,2,4,2,5,3,0,4,5,1
django__django-14238,2,1,2,2,5,5,3,5,1,5,3,1,4,5,1
django__django-14311,3,1,2,4,3,4,2,4,2,3,3,0,4,4,1
django__django-14315,2,1,2,2,3,5,3,4,1,4,1,1,3,4,1
django__django-14349,2,1,2,2,4,4,2,3,2,5,3,1,3,5,1
django__django-14351,4,3,3,4,4,3,1,4,4,4,4,0,5,5,1
django__django-14373,1,1,2,2,3,4,2,5,1,3,1,1,3,4,1
django__django-14376,1,1,2,2,4,5,3,5,1,5,1,1,3,4,1
django__django-14404,2,1,2,3,2,5,3,5,1,4,2,1,3,4,1
django__django-14434,2,1,2,3,2,3,3,4,2,2,3,0,4,4,1
django__django-14493,1,1,1,2,5,5,3,4,1,5,1,1,3,5,1
django__django-14500,4,2,3,4,2,3,1,3,3,2,4,0,5,3,0
django__django-14534,2,1,2,2,4,5,3,5,1,5,2,1,4,5,1
django__django-14539,4,1,3,3,5,5,1,5,3,4,3,0,4,5,1
django__django-14559,1,1,2,2,3,5,3,5,1,5,1,1,3,4,1
django__django-14580,3,1,1,2,5,5,2,4,2,5,3,0,4,5,1
django__django-14608,2,2,2,2,3,4,2,5,1,4,2,1,3,4,1
django__django-14631,3,2,3,3,2,4,3,4,3,4,3,0,4,3,0
django__django-14672,2,1,1,2,5,5,3,5,1,5,2,1,4,5,1
django__django-14725,3,2,2,3,2,3,1,3,2,2,3,0,4,2,1
django__django-14752,1,1,1,2,5,5,3,5,1,5,1,1,3,4,1
django__django-14765,1,1,1,2,4,5,3,5,1,5,2,1,3,5,1
django__django-14771,3,1,2,3,5,4,2,4,2,4,3,1,4,4,1
django__django-14787,3,1,2,2,4,3,1,3,3,3,3,1,4,4,1
django__django-14792,3,2,3,3,4,4,2,5,2,5,3,0,4,5,1
django__django-14855,2,1,1,3,3,5,3,5,1,5,2,1,4,4,1
django__django-14915,2,1,2,2,4,4,2,4,1,4,2,1,3,5,1
django__django-14999,3,3,3,4,2,4,2,5,3,2,3,0,4,3,1
django__django-15022,4,2,3,4,4,4,2,3,3,4,3,0,4,3,1
django__django-15037,3,2,2,4,4,4,2,4,2,3,3,0,4,4,1
django__django-15098,3,1,2,2,5,5,1,5,2,5,3,0,4,4,1
django__django-15103,2,2,2,2,3,4,2,4,1,3,1,1,3,3,1
django__django-15104,1,1,1,1,5,5,3,5,1,5,1,1,3,5,1
django__django-15127,3,1,2,3,2,3,1,4,2,2,2,1,4,3,1
django__django-15128,4,2,3,3,5,4,2,3,4,5,3,0,4,5,0
django__django-15161,2,2,2,2,3,4,3,4,2,3,2,1,4,3,1
django__django-15252,3,2,3,3,3,4,2,4,2,4,2,1,4,4,1
django__django-15268,3,2,2,3,5,4,2,5,3,4,3,0,4,3,1
django__django-15277,2,1,2,2,5,5,3,5,1,5,2,1,3,5,1
django__django-15278,4,2,2,3,4,4,1,4,3,4,3,0,4,5,1
django__django-15280,4,2,3,3,5,5,1,5,4,5,4,0,4,5,0
django__django-15315,2,1,2,2,5,5,3,5,1,5,2,1,4,5,1
django__django-15368,2,1,2,2,5,5,3,5,1,5,2,1,4,5,1
django__django-15375,3,2,2,2,5,5,1,5,3,5,3,0,4,5,1
django__django-15380,3,1,2,3,4,4,2,4,2,5,3,0,4,5,1
django__django-15382,4,2,3,3,5,4,1,3,4,3,3,0,5,4,1
django__django-15467,2,1,2,2,4,5,3,5,1,5,1,1,3,5,1
django__django-15499,3,1,1,2,2,4,2,5,2,3,2,1,4,3,1
django__django-15503,3,2,2,2,5,4,1,5,3,5,3,0,4,5,1
django__django-15525,4,2,2,4,5,4,1,4,3,5,3,0,4,5,1
django__django-15554,4,2,2,4,4,4,1,4,3,3,4,0,5,4,1
django__django-15561,3,2,2,3,2,3,1,4,3,2,3,0,4,3,1
django__django-15563,4,2,3,3,5,5,1,5,3,5,4,0,4,5,0
django__django-15569,2,2,2,3,3,5,3,5,1,4,1,1,3,4,1
django__django-15572,2,1,1,2,4,5,2,5,1,5,2,1,3,5,1
django__django-15629,3,2,2,3,5,5,2,5,2,5,3,0,4,5,1
django__django-15695,4,1,2,3,5,4,1,4,3,4,3,0,4,5,1
django__django-15731,1,1,2,2,5,5,3,5,1,5,1,1,3,5,1
django__django-15732,3,2,2,4,3,3,1,4,3,3,3,0,4,4,1
django__django-15741,2,1,1,2,4,4,2,4,1,4,2,1,3,5,1
django__django-15814,2,1,2,2,5,5,3,5,1,5,2,1,4,5,1
django__django-15851,2,1,2,2,5,5,3,5,1,4,1,1,3,5,1
django__django-15863,2,1,2,2,5,5,2,5,1,5,2,1,3,5,1
django__django-15916,3,2,3,3,4,4,2,4,3,4,3,0,4,4,1
django__django-15930,4,2,2,3,5,4,1,4,3,4,3,0,4,5,1
django__django-15957,4,2,3,3,5,4,1,3,3,3,3,0,4,4,0
django__django-15973,4,2,2,4,5,4,1,4,3,5,3,0,4,5,1
django__django-15987,2,1,1,2,3,4,2,4,1,3,2,1,3,4,1
django__django-16032,4,2,2,2,5,4,1,4,3,4,3,0,4,5,1
django__django-16082,2,1,2,3,2,3,2,4,2,2,2,1,4,3,1
django__django-16100,3,1,2,3,1,3,2,4,1,2,2,1,4,2,1
django__django-16116,2,1,3,3,3,4,2,5,1,4,2,1,4,4,1
django__django-16136,3,1,2,3,5,5,1,4,2,5,3,0,4,5,1
django__django-16139,2,1,2,3,4,5,3,5,1,5,2,1,3,5,1
django__django-16145,2,1,1,2,5,5,2,5,1,4,2,1,3,4,1
django__django-16255,1,1,1,2,4,5,3,5,1,5,1,1,3,5,1
django__django-16256,2,2,2,3,3,5,3,5,1,5,2,1,4,4,1
django__django-16263,4,3,3,4,4,4,2,4,4,3,3,0,5,3,0
django__django-16315,2,1,1,2,4,5,2,5,2,4,2,1,4,5,1
django__django-16333,2,1,2,2,3,5,3,5,1,4,1,1,3,4,1
django__django-16429,2,1,1,2,5,5,3,5,1,5,1,1,3,5,1
django__django-16454,3,1,2,2,5,5,2,5,2,5,3,0,4,5,1
django__django-16485,2,1,1,2,5,5,1,3,2,4,2,1,3,5,1
django__django-16493,3,1,2,3,5,5,2,5,1,5,3,0,4,5,1
django__django-16502,2,1,2,2,5,5,2,5,2,5,2,1,4,5,1
django__django-16527,1,1,2,2,3,5,3,5,1,5,1,1,3,4,1
django__django-16560,2,3,2,2,3,4,2,4,1,3,2,1,3,3,1
django__django-16569,1,1,1,1,5,5,3,5,1,5,1,1,3,5,1
django__django-16595,2,1,2,2,5,5,3,5,1,5,2,1,4,5,1
django__django-16612,1,1,2,2,4,5,3,5,1,5,1,1,3,5,1
django__django-16631,3,2,3,3,3,4,2,4,1,4,3,0,4,4,1
django__django-16642,3,1,3,2,5,4,1,3,2,3,2,1,3,4,1
django__django-16661,4,1,3,3,5,4,2,5,3,5,4,0,4,4,1
django__django-16662,2,1,1,2,3,5,2,5,2,4,2,1,4,4,1
django__django-16667,2,1,1,2,5,5,2,3,1,5,1,1,3,5,1
django__django-16801,2,1,1,3,3,5,3,5,1,4,2,1,4,4,1
django__django-16819,3,2,2,3,1,2,1,3,3,1,2,1,4,2,1
django__django-16877,2,2,2,2,3,4,2,4,1,3,2,1,3,3,1
django__django-16899,2,1,1,2,3,4,2,5,1,4,1,1,3,4,1
django__django-16901,4,2,3,3,5,5,1,5,3,4,4,0,4,5,1
django__django-16938,4,2,2,3,5,4,1,3,3,5,3,0,4,5,1
django__django-16950,4,2,3,4,4,4,1,4,3,4,3,0,4,4,1
django__django-17029,1,1,1,2,3,5,3,5,1,5,1,1,3,4,1
django__django-17084,4,2,3,4,4,4,1,3,4,4,3,0,5,4,1
django__django-17087,3,2,3,3,5,5,2,5,3,4,3,0,4,5,1
django__django-7530,3,2,2,4,2,4,2,4,2,3,3,0,4,4,1
django__django-9296,1,1,2,1,4,5,3,5,1,5,1,1,2,4,1
matplotlib__matplotlib-13989,3,1,2,2,5,5,1,4,2,5,2,0,4,5,1
matplotlib__matplotlib-14623,3,2,3,2,5,4,0,5,3,4,3,0,4,4,1
matplotlib__matplotlib-20488,4,2,2,4,2,3,1,3,4,3,3,0,4,5,1
matplotlib__matplotlib-20676,3,1,2,3,5,4,1,5,2,5,3,0,4,4,1
matplotlib__matplotlib-20826,4,3,3,3,5,4,1,5,3,5,3,0,4,4,1
matplotlib__matplotlib-20859,1,1,2,1,5,5,3,5,1,5,1,1,3,5,1
matplotlib__matplotlib-21568,4,2,2,4,5,3,0,4,3,4,4,0,4,3,1
matplotlib__matplotlib-22719,3,2,2,2,5,4,2,3,2,5,3,0,4,5,1
matplotlib__matplotlib-22865,3,1,2,3,5,5,1,5,3,4,3,0,4,4,1
matplotlib__matplotlib-22871,3,1,2,3,5,5,1,4,3,5,3,0,4,4,1
matplotlib__matplotlib-23299,4,2,3,3,5,4,1,4,3,5,4,0,4,5,1
matplotlib__matplotlib-23314,3,2,2,3,5,4,0,4,3,4,3,0,4,3,1
matplotlib__matplotlib-23412,3,1,2,3,5,4,1,5,2,5,3,0,4,4,1
matplotlib__matplotlib-23476,3,2,2,4,5,5,1,5,3,5,3,0,4,5,1
matplotlib__matplotlib-24026,3,1,2,2,5,4,1,4,2,5,3,0,4,5,1
matplotlib__matplotlib-24149,2,1,2,2,5,5,2,4,2,5,2,1,3,5,1
matplotlib__matplotlib-24177,3,1,2,3,5,4,1,4,3,4,3,0,4,4,1
matplotlib__matplotlib-24570,2,1,3,3,5,5,2,5,2,4,2,1,4,4,1
matplotlib__matplotlib-24627,3,3,4,3,5,4,2,5,3,4,3,0,4,4,1
matplotlib__matplotlib-24637,2,1,1,3,5,5,2,4,2,5,2,1,4,4,1
matplotlib__matplotlib-24870,2,1,3,2,5,5,3,5,1,4,2,1,3,4,1
matplotlib__matplotlib-24970,3,1,2,2,5,5,2,4,2,5,2,1,3,5,1
matplotlib__matplotlib-25122,1,1,2,1,5,5,3,5,1,5,1,1,3,5,1
matplotlib__matplotlib-25287,2,1,2,2,5,5,3,5,1,5,1,1,3,5,1
matplotlib__matplotlib-25311,3,2,2,2,5,4,1,4,3,4,3,1,4,4,1
matplotlib__matplotlib-25332,3,1,2,2,5,4,1,4,2,4,3,1,4,4,1
matplotlib__matplotlib-25479,3,2,3,2,5,5,2,4,2,5,3,0,4,5,1
matplotlib__matplotlib-25775,3,4,3,3,2,4,2,4,3,3,2,1,4,3,1
matplotlib__matplotlib-25960,2,1,2,3,5,5,2,3,2,5,2,1,4,4,1
matplotlib__matplotlib-26113,2,1,3,2,5,5,3,5,1,5,1,1,3,5,1
matplotlib__matplotlib-26208,4,2,3,3,5,4,1,4,4,5,3,0,4,5,0
matplotlib__matplotlib-26291,3,2,2,3,5,4,1,3,3,5,3,0,4,5,1
matplotlib__matplotlib-26342,2,1,1,2,4,5,3,5,1,4,2,1,4,4,1
matplotlib__matplotlib-26466,2,1,2,2,5,5,2,5,1,5,1,1,3,4,1
mwaskom__seaborn-3069,4,3,4,4,2,3,2,4,4,3,4,0,4,3,0
mwaskom__seaborn-3187,2,1,2,3,5,5,3,4,2,5,3,0,4,4,1
pallets__flask-5014,1,1,2,1,3,5,3,5,1,4,1,1,3,4,1
psf__requests-1142,3,1,3,3,3,3,1,4,2,3,2,1,4,3,1
psf__requests-1724,2,1,2,2,5,5,3,4,1,5,1,1,2,5,1
psf__requests-1766,2,1,3,3,3,4,2,5,1,4,2,1,4,4,1
psf__requests-1921,2,1,3,2,5,5,2,5,2,4,2,1,3,4,1
psf__requests-2317,2,1,2,2,3,4,2,4,1,4,2,1,2,4,1
psf__requests-2931,3,1,2,2,5,4,1,4,2,4,2,1,4,3,1
psf__requests-5414,2,1,1,2,5,5,2,5,1,5,1,1,3,5,1
psf__requests-6028,4,1,2,4,3,3,1,4,3,3,4,0,5,3,1
pydata__xarray-2905,3,1,3,2,5,5,2,4,1,5,3,0,4,4,1
pydata__xarray-3095,3,2,2,2,5,5,1,5,2,5,3,0,4,5,1
pydata__xarray-3151,3,1,2,2,5,5,1,4,2,5,3,0,4,5,1
pydata__xarray-3305,2,1,2,1,5,5,1,5,2,5,1,1,3,4,1
pydata__xarray-3677,2,1,2,1,5,5,1,5,1,5,1,1,3,5,1
pydata__xarray-3993,2,2,3,2,5,5,2,5,1,4,2,1,3,4,1
pydata__xarray-4075,2,1,1,1,5,5,3,5,1,5,1,1,3,5,1
pydata__xarray-4094,3,1,2,2,5,4,0,4,3,5,3,0,4,4,1
pydata__xarray-4356,2,1,2,2,5,5,3,4,1,5,2,1,3,4,1
pydata__xarray-4629,1,1,1,1,5,5,3,5,1,5,1,1,2,5,1
pydata__xarray-4687,2,1,3,2,5,5,2,4,2,5,1,1,3,4,1
pydata__xarray-4695,3,1,2,2,5,5,1,4,2,4,3,1,4,4,1
pydata__xarray-4966,3,1,3,3,5,5,3,5,2,5,3,1,4,5,1
pydata__xarray-6461,3,1,2,2,5,4,2,3,2,4,2,1,4,5,1
pydata__xarray-6599,3,1,2,2,5,4,1,5,2,5,3,0,4,5,1
pydata__xarray-6721,3,2,2,3,4,4,2,3,2,5,3,0,4,5,1
pydata__xarray-6744,3,1,3,2,5,5,1,5,2,4,3,0,4,5,1
pydata__xarray-6938,3,1,2,2,5,4,1,5,3,5,2,1,4,4,1
pydata__xarray-6992,3,2,3,2,5,4,1,3,3,4,3,0,4,4,1
pydata__xarray-7229,4,2,3,2,5,4,1,5,3,5,3,0,4,5,1
pydata__xarray-7233,3,1,2,2,5,5,1,4,2,4,3,0,4,4,1
pydata__xarray-7393,3,2,3,2,5,5,1,5,3,5,3,0,4,4,1
pylint-dev__pylint-4551,3,2,2,3,4,4,1,4,3,3,3,0,4,3,1
pylint-dev__pylint-4604,3,2,2,2,5,5,1,5,3,5,3,0,4,5,1
pylint-dev__pylint-4661,3,2,4,3,2,3,2,4,2,3,3,1,3,3,1
pylint-dev__pylint-4970,2,1,2,3,3,4,2,5,2,3,2,1,4,4,1
pylint-dev__pylint-6386,2,1,2,2,5,5,1,4,1,5,1,1,3,5,1
pylint-dev__pylint-6528,3,1,2,3,5,5,1,5,2,5,2,0,4,4,1
pylint-dev__pylint-6903,2,1,1,2,4,5,3,5,1,5,1,1,2,5,1
pylint-dev__pylint-7080,3,1,2,3,4,4,1,5,2,5,2,0,4,4,1
pylint-dev__pylint-7277,2,1,2,3,5,5,3,5,1,5,2,1,2,4,1
pylint-dev__pylint-8898,3,1,3,2,5,5,2,3,2,5,3,0,3,5,1
pytest-dev__pytest-10051,2,1,2,2,5,5,3,5,1,5,2,1,3,5,1
pytest-dev__pytest-10081,3,2,2,2,5,5,1,5,3,5,3,0,4,5,1
pytest-dev__pytest-10356,3,2,3,2,5,4,2,4,3,4,3,0,4,4,1
pytest-dev__pytest-5262,2,1,2,2,5,5,2,4,1,5,2,1,3,5,1
pytest-dev__pytest-5631,2,1,1,2,4,5,3,4,1,5,2,1,3,5,1
pytest-dev__pytest-5787,3,2,2,3,5,4,1,5,3,4,3,0,4,4,1
pytest-dev__pytest-5809,1,1,1,2,4,5,3,5,1,5,1,1,2,4,1
pytest-dev__pytest-5840,3,2,3,4,3,3,1,4,3,3,3,0,4,4,1
pytest-dev__pytest-6197,3,2,3,2,5,5,1,5,3,5,3,0,4,5,1
pytest-dev__pytest-6202,2,1,3,2,5,5,3,5,1,5,2,1,4,5,1
pytest-dev__pytest-7205,1,1,1,2,5,5,3,4,1,5,1,1,3,5,1
pytest-dev__pytest-7236,3,2,2,2,5,5,1,5,3,5,3,0,4,5,1
pytest-dev__pytest-7324,3,1,2,3,5,3,1,3,3,3,4,0,4,5,1
pytest-dev__pytest-7432,3,1,1,2,5,5,2,5,2,5,3,0,4,5,1
pytest-dev__pytest-7490,3,2,3,2,5,5,1,5,3,5,3,0,4,5,1
pytest-dev__pytest-7521,3,1,2,2,5,5,1,5,2,5,3,0,4,5,1
pytest-dev__pytest-7571,3,1,2,2,5,5,1,5,2,4,2,1,4,4,1
pytest-dev__pytest-7982,1,1,2,2,3,5,3,5,1,5,1,1,3,4,1
pytest-dev__pytest-8399,2,1,1,2,5,5,2,5,2,4,2,1,4,4,1
scikit-learn__scikit-learn-10297,1,1,2,1,5,5,3,4,1,5,1,1,3,5,1
scikit-learn__scikit-learn-10844,2,1,1,2,2,5,3,4,1,4,1,1,2,4,1
scikit-learn__scikit-learn-10908,2,1,2,2,5,5,2,4,1,5,1,1,3,5,1
