instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,fix_localization_reasoning,entry_point_clarity,entry_point_clarity_reasoning,change_blast_radius,change_blast_radius_reasoning,environment_setup_complexity,environment_setup_complexity_reasoning,implementation_language_complexity,implementation_language_complexity_reasoning,testing_infrastructure_quality,testing_infrastructure_quality_reasoning,dependency_complexity,dependency_complexity_reasoning,codebase_scale,codebase_scale_reasoning
chess-best-move,1,4,4,4,4,2,0,4,3,5,4,1,3,0,3,2,2,1,4,4,2026-03-07T23:25:49.263524,claude-opus-4-6,anthropic,chess-best-move,5,There is no multi-file code change; the task is essentially a single action of interpreting one image and writing one move to /app/move.txt.,5,"The prompt names the exact input artifact, side to move, and required output file/format, so the operational entry point is explicit.",1,Any action is isolated to producing /app/move.txt and does not affect other components or shared code.,1,The environment is minimal: a single PNG in /app with Python available and no multi-service or build setup.,1,Solving would rely on simple terminal commands or lightweight Python image inspection rather than complex compiled/toolchain-heavy languages.,1,No visible tests or validation harness are present in the workspace; correctness must be inferred from the prompt and artifact.,1,Very few dependencies are available or needed; inspection showed only basic Python tooling like PIL present and no substantial dependency tree.,1,"This is not really a codebase; the workspace contains only one file, chess_board.png."
bn-fit-modify,2,4,5,4,4,4,0,4,3,4,4,1,4,0,2,4,4,3,4,4,2026-03-07T23:25:49.203301,claude-opus-4-6,anthropic,bn-fit-modify,5,The task environment contains only a single CSV dataset in /app and no source tree; work is effectively localized to a single script/command workflow.,5,"The problem statement gives exact input and output file paths and explicit required steps, so the operational entry point is completely clear.",1,There are no interdependent application components; producing the requested CSV artifacts is isolated and has essentially no downstream impact on a broader codebase.,1,"The environment is extremely simple: one directory, one data file, no services, no build system, and no project configuration discovered.",2,The task can be completed with straightforward shell/Python scripting and basic linear algebra/statistics; no compiled or framework-heavy stack is involved.,1,"No test suite, harness, or validation scripts are present; correctness must be inferred manually from the task statement and generated files.",1,"No project-managed dependencies are present, and the base environment is minimal with only Python/pip tooling visible.",1,This is not really a codebase at all for auditing purposes—just a single CSV file in /app with no additional source files.
fix-code-vulnerability,2,4,3,3,2,2,1,4,4,5,3,1,5,1,2,4,3,4,3,2,2026-03-07T23:25:56.935572,claude-opus-4-6,anthropic,fix-code-vulnerability,5,"The fix is contained in bottle.py, specifically header normalization/validation helpers used by response header APIs.",4,"The task explicitly points to /app/bottle.py, and existing tests clearly indicate header control-character handling as the failure point.",2,"Header validation affects response/header-related paths, but the change is isolated and validated by focused tests with limited downstream impact.",1,Single-file Python project with pytest-based tests and no service orchestration or special setup required.,1,Pure Python code with straightforward standard-library web framework logic.,5,"Comprehensive pytest suite with hundreds of tests, clear pass/fail output, and targeted coverage for the vulnerable behavior.",1,The repository is intentionally dependency-light and primarily uses the Python standard library.,2,Small codebase centered on one main file plus a moderate test/docs set; only a few hundred files total.
caffe-cifar-10,2,4,4,3,3,4,1,4,4,5,4,3,4,1,3,4,4,3,4,4,2026-03-07T23:25:49.278999,claude-opus-4-6,anthropic,caffe-cifar-10,4,Likely work is concentrated in Caffe build/config files and the CIFAR-10 example solver/script area; most task-specific adjustments would be in 1-2 closely related locations.,5,"The problem statement explicitly names BVLC Caffe 1.0.0, /app/caffe, CPU-only build, examples/cifar10, 500 iterations, and required output/model paths, so the relevant entry points are very clear.",2,"Changes are mostly isolated to build configuration and example training parameters, with limited impact on the broader codebase if done carefully.",5,"The workspace starts empty and requires cloning a legacy C++ deep learning framework, installing many system packages, building CPU-only on a modern Ubuntu image, downloading/creating CIFAR-10 LMDB data, and running training plus accuracy verification.",4,"Primary work involves a sizable C++/protobuf/CMake/Make codebase with shell automation and legacy build assumptions, which is substantially more complex than a simple scripting task.",3,"Caffe includes standard unit/pytest targets and the CIFAR-10 example gives clear runtime success signals, but task validation mainly depends on long-running training output rather than a dedicated task test harness.",5,"Caffe depends on numerous version-sensitive system libraries and tools (protobuf, BLAS, LMDB/LevelDB, Snappy, HDF5, OpenCV, glog/gflags, Python/numpy, compiler toolchain), making dependencies heavy and potentially fragile on a modern distro.",3,"The cloned repository is medium-sized rather than huge: roughly 720 files with several subsystems (src, include, python, matlab, examples, cmake) but still navigable."
reshard-c4-data,1,4,3,3,3,3,0,4,4,4,3,2,4,1,2,4,4,2,3,3,2026-03-07T23:26:10.706387,claude-opus-4-6,anthropic,reshard-c4-data,4,"The requested work is focused on creating two new closely related scripts in /app, plus minimal project config; no broad changes across an existing codebase are implied.",5,"The problem statement explicitly names the required files (/app/compress.py and /app/decompress.py), their CLI usage, and the behavioral constraints, so the implementation entry points are very clear.",1,This is an isolated addition in an otherwise nearly empty workspace; creating the scripts and uv project metadata should not affect other components.,2,"The environment is simple: a single /app directory with one large dataset slice and uv already installed. Some setup is required because pyproject.toml and venv are absent, but there is no multi-service orchestration.",2,"The solution can be implemented in straightforward Python file-system scripting. The logic requires care around directory reshaping and exact reconstruction, but not advanced compiled-language tooling.",2,"There is no existing test suite or config. Validation is still possible by running the scripts on c4_sample and comparing reconstructed output, but this must be built or done manually.",1,"No external dependencies appear necessary; the task can likely be solved with the Python standard library, and the repository currently has no dependency manifests.",1,"The codebase is tiny in terms of source files and structure—effectively just the dataset directory in /app. Although the dataset contains 9,898 files (~800 MB), the actual code footprint is minimal."
mcmc-sampling-stan,3,5,5,4,4,4,1,4,4,5,4,2,4,1,3,4,4,2,4,4,2026-03-07T23:26:01.333772,claude-opus-4-6,anthropic,mcmc-sampling-stan,4,"The requested work is confined to creating one Stan model file and one R analysis script, with outputs written to a few result files; there is no broader existing codebase to modify.",5,"The problem statement explicitly names the required files, dataset path, model structure, package, and outputs, so the implementation entry points are very clear.",1,Changes are isolated to newly created task files and do not appear to affect any shared modules or existing application components.,4,"The environment is minimal but the task requires installing a specific RStan version plus Stan toolchain dependencies, which is non-trivial compared with a ready-to-run script-only setup.",3,"The solution uses R plus a Stan probabilistic model, requiring familiarity with Bayesian modeling syntax and RStan sampling workflow, but not a large multi-language system.",1,"No tests, harness, or validation scripts are present; only the task statement and expected output files indicate success criteria.",4,"RStan and its supporting packages/toolchain are specialized and version-sensitive, with compiled dependencies beyond base R despite the otherwise sparse project.",1,"The environment contains essentially a single CSV input file and no substantive pre-existing codebase, so the scope is tiny."
portfolio-optimization,3,5,3,2,2,3,1,5,5,5,2,2,5,1,2,4,4,3,3,3,2026-03-07T23:26:07.569386,claude-opus-4-6,anthropic,portfolio-optimization,4,"The task is concentrated in the two provided skeleton files, portfolio_optimized.c and portfolio_optimized.py, with TODO markers indicating where to implement the solution.",5,"The problem statement explicitly names the files to complete and the benchmark imports the exact wrapper/function names, making the entry points very clear.",2,Changes are mostly isolated to the new C extension and its Python wrapper; setup and benchmark are already provided and downstream impact is limited.,2,"Build/run flow is straightforward: a small single-extension project using setup.py and benchmark.py, with only minor native build requirements from NumPy/C extension compilation.",4,"The solution spans Python plus a CPython/NumPy C extension, requiring manual array handling, C API usage, and native compilation concerns.",4,"There is a clear benchmark script that checks both numerical correctness against the baseline and required speedup, providing easy pass/fail validation.",2,"Dependencies are minimal and standard for this kind of task: Python, setuptools, and NumPy, with no large or specialized dependency graph.",1,"The repository is extremely small, with only 5 files and roughly 300 total lines, so the relevant codebase is tiny."
raman-fitting,2,3,4,3,3,3,1,4,3,4,3,1,3,1,2,3,4,1,3,2,2026-03-07T23:26:09.013201,claude-opus-4-6,anthropic,raman-fitting,5,Only a single data file is present; completing the task is self-contained in one script/function rather than spread across modules.,5,"The problem statement directly specifies the input file, required output path, and the exact quantities to compute for the G and 2D peaks.",1,Any implementation would be isolated to creating results.json from graphene.dat with no downstream components or shared code affected.,1,"The environment is a single-directory sandbox with one data file and no services, build steps, or configuration layers.",1,The task can be solved with simple scripting and numeric processing in basic Python or shell; no compiled or framework-heavy stack is involved.,1,There are no visible tests or validation scripts in the environment; verification is manual via the output file format.,1,"No project dependency manifests are present, and the task can be handled with standard-library code only.",1,This is effectively not a codebase but a tiny workspace containing a single input file.
make-doom-for-mips,1,3,5,5,5,4,0,3,3,4,5,5,2,0,3,4,4,2,5,5,2026-03-07T23:26:04.266575,claude-opus-4-6,anthropic,make-doom-for-mips,4,"The task likely centers on the custom platform layer/build entry in doomgeneric_img.c plus a small amount of build wiring, rather than broad engine changes.",5,"The problem statement explicitly points to doomgeneric_img.c, expects an output binary named doomgeneric_mips, and names vm.js as the runtime entry point.",2,"Changes are mostly isolated to the platform shim and build configuration; the main Doom engine should remain untouched, with limited downstream impact.",3,"This is more than a normal single-binary build because the target is a MIPS ELF consumed by a custom JavaScript VM, but there is no evidence of multi-service orchestration or containers beyond the sandbox.",4,"The codebase is predominantly C and the requested artifact is a cross-target MIPS ELF, which raises complexity beyond simple scripting due to ABI/syscall/runtime concerns.",2,There is no conventional automated test suite; validation appears to rely on building the ELF and manually running node vm.js to observe stdout and /tmp/frame.bmp behavior.,2,"Core Doom code is largely self-contained C with common libc-style dependencies; while some optional ports reference SDL/X11/etc., the requested img-based path seems relatively light on external deps.",2,"The repository is modest in size: about 240 files total, roughly ~95 C and ~97 header files, which is a small codebase rather than a large multi-package system."
break-filter-js-from-html,1,5,4,4,3,3,1,4,5,5,4,1,5,1,1,3,4,1,3,3,2026-03-07T23:25:47.676426,claude-opus-4-6,anthropic,break-filter-js-from-html,5,The task centers on crafting a single HTML payload file (/app/out.html); the relevant filtering logic is contained in one small script.,5,"The prompt points directly to /app/filter.py and explains exactly how it is used, so the likely attack surface is immediately clear.",1,No codebase-wide changes are needed; success depends on one isolated input file and the filter’s narrow behavior.,1,This is a minimal single-directory Python task with an existing script and validator; browser tooling is preinstalled and ready.,1,"The environment is simple Python plus HTML, with straightforward BeautifulSoup-based filtering and no complex build/toolchain concerns.",4,"A clear automated validator exists via /app/test_outputs.py using Selenium/headless Chromium, giving direct pass/fail feedback for the exploit.",2,"There are only a few standard third-party dependencies involved, mainly BeautifulSoup and Selenium/Chromium.",1,The codebase is tiny: essentially two Python files in /app with roughly 140 total lines.
openssl-selfsigned-cert,3,5,3,2,1,2,1,5,5,5,2,1,5,1,2,4,4,2,3,3,2026-03-07T23:26:01.546177,claude-opus-4-6,anthropic,openssl-selfsigned-cert,5,Work is contained to a few directly created artifacts in /app with no existing codebase; the effective change is a single focused task.,5,"The prompt precisely specifies the required files, paths, commands, and expected outputs, so the entry points are explicit.",1,"Changes are isolated to new certificate files and one standalone Python script, with essentially no downstream impact.",1,"The environment is minimal: an empty /app directory with OpenSSL and Python preinstalled, no orchestration or extra setup needed.",1,This task uses straightforward OpenSSL CLI commands plus a very small Python script using the standard library.,2,"There is no formal test suite, but validation is still possible through OpenSSL inspection and executing the Python checker for clear pass/fail behavior.",1,"Dependencies are limited to standard system tools already present (OpenSSL and Python stdlib), with no external packages.",1,"The workspace starts empty, so the agent only creates a handful of files and does not navigate a real codebase."
sqlite-with-gcov,2,4,3,3,2,2,1,4,4,4,2,1,4,1,3,4,3,2,3,3,2026-03-07T23:26:10.702799,claude-opus-4-6,anthropic,sqlite-with-gcov,4,"The requested work is operational and localized: extract the vendored SQLite tarball, configure/build it with gcov flags, and expose the resulting binary on PATH. Likely confined to one small setup/build script or a couple of shell commands rather than broad code edits.",5,"The problem statement is explicit about the goal, target directory (/app/sqlite), source artifact (/app/vendor/sqlite-fossil-release.tar.gz), and desired outcome (SQLite available on PATH). There is little ambiguity about where to start.",1,"This is an isolated environment/build task, not a change to shared application logic. Effects are limited to the SQLite install location and PATH exposure, with minimal downstream impact on other components.",2,"The environment is sparse and simple: essentially only /app/vendor with a pre-vendored tarball. Standard Unix build tools like gcc, gcov, make, and tar are present, and no multi-service orchestration or unusual setup was found.",4,"Although the task itself is shell-oriented, the primary artifact being built is a large C codebase with autoconf/make-style build machinery. Adding gcov instrumentation involves compiled-language build flags rather than simple scripting alone.",2,"SQLite includes extensive tests in the tarball, but the local environment lacks obvious test tooling such as tclsh, so validation is possible only in a limited way (e.g., successful build and binary execution). Clear full-suite pass/fail feedback is not readily available out of the box.",2,"Dependencies appear modest for the requested task: standard system build tools are available and the source is fully vendored. Optional test dependencies exist, but they are not necessary just to compile the sqlite3 CLI with coverage instrumentation.",4,"The vendored SQLite snapshot is substantial: about 2,271 files in the tarball, including hundreds of C/header files and a very large test tree. It is a large single-project codebase even if the specific task touches only a small part of it."
query-optimize,1,4,3,3,3,4,1,4,4,5,2,1,5,1,1,5,4,4,2,2,2026-03-07T23:26:09.047030,claude-opus-4-6,anthropic,query-optimize,5,Task is confined to a single SQL file and one query; no broader code changes are needed.,5,Problem statement points directly to /app/my-sql-query.sql and requires output in /app/sol.sql.,1,Only the query output/performance is affected; no downstream application components or shared modules exist here.,1,"Very simple environment: one SQLite database and one SQL file, no services or build/setup steps.",2,"Uses SQLite SQL with aggregation and window functions, moderately more complex than basic scripting but still straightforward.",3,"No formal test harness, but validation is practical via sqlite3 execution, EXPLAIN QUERY PLAN, and direct output comparison against the original query.",1,Only dependency is a single SQLite database with no external packages or system-level libraries to manage.,1,"The workspace contains just two task files plus the database, so the effective codebase is tiny."
torch-pipeline-parallelism,2,4,5,4,4,4,0,4,5,4,4,1,4,0,2,4,5,3,5,4,2026-03-07T23:26:14.482480,claude-opus-4-6,anthropic,torch-pipeline-parallelism,4,"The requested implementation is explicitly confined to creating /app/pipeline_parallel.py and implementing a single named function, with no existing project files present in the workspace.",5,"The problem statement directly names the target file and function signature, so the entry point is completely clear.",1,"Given the empty workspace and single-function requirement, the change appears isolated with minimal downstream impact beyond the tested behavior of that function.",2,"The task itself involves distributed pipeline-parallel execution with PyTorch ranks, which is more than a trivial script, but the visible workspace is empty and there is no additional project orchestration to navigate.",3,"The implementation is in Python, but it requires nontrivial PyTorch distributed and autograd logic for AFAB pipeline parallelism rather than basic scripting.",2,"The prompt describes clear behavioral checks (forward/backward activations, world_size 1 and 2, layer-balance expectations), but no local tests or test files are available in the environment for direct inspection or execution.",3,The functional dependencies are specialized and significant—PyTorch distributed plus Hugging Face LLaMA model internals—even though they are not installed or visible in the current sandbox snapshot.,1,"The accessible codebase is effectively empty (0 files in /app), so there is no broader project surface area to analyze."
build-cython-ext,2,4,3,3,3,3,1,4,4,4,3,4,4,1,3,5,4,4,4,3,2026-03-07T23:25:46.974593,claude-opus-4-6,anthropic,build-cython-ext,4,The needed fixes were concentrated in a handful of closely related packaging/compatibility files: setup/build config plus a few NumPy/Python-compatibility spots in pyknotid/make and spacecurves.,5,"The problem statement is very explicit: compile Cython extensions and make the provided import/snippet work with NumPy 2.3.0, strongly pointing to setup.py and the extension/source compatibility points.",2,"Changes are fairly isolated to build/install logic and deprecated API usages; core architecture is mostly unaffected, though compiled modules and a few runtime code paths must still be considered.",3,"This is a single Python package, but successful completion requires git cloning, installing build tooling, compiling Cython extensions against system NumPy, and validating with tests in the global interpreter.",3,"The stack mixes Python packaging with Cython extension modules and native compilation, which is more complex than pure Python but not a large multi-language systems project.",3,"There is a usable pytest suite with clear pass/fail behavior and a concrete README snippet to validate, but coverage is small and some tests are explicitly excluded.",3,"The package depends on a moderate set of common scientific/graph/visualization libraries plus Cython and a compiled dependency (planarity), but the dependency tree is still manageable.",2,"The repository is relatively small: about 167 files total, ~47 package files, and only a few tests, so the audit/likely fix scope is limited."
filter-js-from-html,1,4,4,4,3,4,1,3,4,3,3,1,4,1,2,4,4,4,3,3,2026-03-07T23:25:56.813707,claude-opus-4-6,anthropic,filter-js-from-html,5,"The requested work is entirely contained in creating a single script at /app/filter.py, with no existing modules or cross-file edits involved.",5,"The problem statement explicitly names the target file, interface, and behavior: a command-line script /app/filter.py that edits the provided HTML file in place.",1,"This is an isolated utility script with no surrounding application code, so changes have essentially no downstream impact on other components.",1,"The environment is minimal: an empty /app directory and a ready Python 3 installation, with no services, build steps, or orchestration required.",2,"The implementation is straightforward Python text/HTML processing; while sanitization logic has edge cases, the language/tooling itself is simple.",1,"No project tests, fixtures, or validation harness were found in /app or nearby configuration files, so verification appears manual only.",2,"There is no project-specific dependency set; Python stdlib is available and bs4 is installed, but the dependency surface is still very small.",1,"The codebase is effectively empty, with 0 files under /app at audit time, so the task operates in a tiny environment."
nginx-request-logging,3,5,3,3,2,3,1,5,5,5,2,3,5,1,3,4,3,2,3,3,2026-03-07T23:26:02.861608,claude-opus-4-6,anthropic,nginx-request-logging,4,Task is mostly confined to a small set of Nginx config files plus two static HTML files; likely 1-2 closely related config files and document root content.,5,"Problem statement explicitly names the target files and required directives, including /etc/nginx/nginx.conf and /etc/nginx/conf.d/benchmark-site.conf.",2,"Changes are largely isolated to web server configuration and static assets, with limited downstream impact outside Nginx service behavior.",2,"Debian 12 environment with apt-get available; no existing project structure, containers, or multi-service orchestration detected. Setup mainly involves package install and config edits.",1,"This is primarily shell/system administration and declarative Nginx configuration, not application code in a complex language stack.",2,"Validation is manual but straightforward via nginx -t, service start/restart, and curl/localhost checks; no formal automated tests were found.",2,Main dependency is a standard Debian nginx package with ordinary system paths and service management; no deep or specialized dependency tree is apparent.,1,"No real application codebase is present in /app, and the task operates over a tiny set of system configuration files and static pages."
