instance_id,dependency_complexity,atypicality,solution_hint,solution_complexity,reproduction_clarity,test_assertion_complexity,codebase_scale,verification_difficulty,logical_reasoning_required,test_comprehensiveness,test_edge_case_coverage,fix_localization,debugging_complexity,information_completeness,similar_issue_likelihood
dna-assembly,2,5,2,4,3,5,1,5,5,5,4,4,5,3,0
build-pov-ray,2,4,2,4,4,4,1,3,4,4,4,5,4,3,0
cobol-modernization,1,4,1,3,4,3,1,3,4,3,2,5,4,3,0
fix-ocaml-gc,3,5,1,4,3,2,4,3,5,3,1,4,5,2,0
write-compressor,1,4,1,5,4,3,1,2,4,4,2,5,4,3,0
rstan-to-pystan,4,3,2,4,4,4,1,4,3,4,3,5,3,3,1
protein-assembly,2,5,2,5,3,4,1,5,5,4,3,5,5,3,0
path-tracing,1,5,1,5,5,4,1,4,5,4,4,5,5,3,0
large-scale-text-editing,1,4,1,4,5,4,1,3,4,5,4,5,4,2,0
train-fasttext,2,2,1,3,2,4,1,4,3,3,2,5,3,2,1
multi-source-data-merger,2,3,3,3,4,3,1,4,4,3,2,5,3,4,1
regex-chess,2,5,1,5,4,4,1,4,5,4,4,5,5,4,0
schemelike-metacircular-eval,1,5,1,5,5,4,1,4,5,5,4,4,5,3,0
sanitize-git-repo,4,3,2,3,2,3,3,4,4,4,3,4,3,2,1
fix-git,2,2,1,3,2,2,2,3,3,2,1,4,3,2,1
configure-git-webserver,2,3,1,4,4,3,1,3,4,3,1,1,4,3,1
git-leak-recovery,1,2,2,3,4,4,1,3,3,5,4,4,3,4,1
circuit-fibsqrt,1,5,1,5,4,4,1,3,5,4,4,4,5,4,0
regex-log,1,3,2,4,4,3,1,4,4,5,5,5,4,4,1
custom-memory-heap-crash,4,5,1,4,5,3,4,3,5,4,4,5,5,3,0
sparql-university,1,4,2,4,4,4,1,4,4,4,3,5,3,3,1
compile-compcert,5,3,1,4,3,4,3,3,3,5,4,1,3,3,1
build-pmars,3,3,2,3,4,3,1,2,3,4,3,4,3,4,1
log-summary-date-ranges,1,2,2,3,4,3,1,3,3,4,1,5,2,4,1
code-from-image,1,4,2,4,3,2,1,2,3,2,1,5,3,3,0
qemu-alpine-ssh,3,4,2,4,4,2,1,4,4,2,1,5,4,4,1
feal-linear-cryptanalysis,1,4,2,5,3,2,1,2,5,4,1,4,5,3,0
make-mips-interpreter,2,5,1,5,3,4,2,4,5,3,1,4,5,2,0
adaptive-rejection-sampler,2,4,2,4,4,4,1,4,4,4,4,4,4,4,1
sqlite-db-truncate,1,4,1,4,3,3,1,4,4,2,1,5,4,3,0
