instance_id,solution_complexity,test_edge_case_coverage,domain_knowledge_required,logical_reasoning_required,integration_complexity,test_comprehensiveness,side_effect_risk,fix_localization,information_completeness,entry_point_clarity,solution_hint,verification_difficulty,standard_pattern_available,problem_clarity,test_assertion_complexity
django__django-7530,1,2,4,3,2,3,2,5,3,4,2,3,0,4,4
django__django-11265,3,1,4,4,4,1,2,4,5,4,2,2,0,4,2
psf__requests-1766,1,1,3,1,1,1,2,5,4,5,3,2,1,5,2
matplotlib__matplotlib-25287,2,3,3,2,2,3,2,4,5,5,3,2,1,5,2
pydata__xarray-3151,2,2,4,3,2,2,2,5,5,5,2,2,0,5,2
django__django-16631,3,3,4,3,4,3,3,4,4,5,2,3,0,4,3
sympy__sympy-18199,4,4,3,2,3,4,3,4,5,5,2,2,1,5,3
pydata__xarray-4695,1,1,4,3,2,2,2,5,5,4,1,2,0,4,2
pytest-dev__pytest-5631,2,2,3,2,2,2,1,5,5,5,3,2,1,5,3
sphinx-doc__sphinx-9230,1,2,4,3,2,3,2,4,4,4,1,2,0,4,4
django__django-16667,1,3,3,2,2,3,1,5,5,5,2,2,1,5,2
django__django-14089,1,1,2,1,2,2,1,5,4,5,3,1,1,5,2
django__django-15732,4,3,4,3,4,4,2,4,3,4,1,3,0,4,3
sympy__sympy-13852,3,4,5,4,3,4,3,4,5,5,2,3,0,4,3
django__django-12262,1,4,4,3,3,4,2,5,5,4,1,2,0,4,2
django__django-13023,1,4,3,2,2,4,1,5,3,5,2,2,1,4,3
django__django-16333,1,1,3,2,2,2,3,5,4,5,3,2,1,5,3
sympy__sympy-13757,1,2,4,3,3,3,3,5,5,4,1,2,1,5,2
pylint-dev__pylint-6528,3,3,4,3,3,4,3,4,5,4,1,2,0,5,3
sphinx-doc__sphinx-9461,4,2,4,3,4,4,3,4,5,4,2,3,0,4,3
django__django-14725,2,4,4,3,3,4,3,3,2,3,1,3,0,3,3
sphinx-doc__sphinx-11445,3,3,4,4,3,4,3,5,5,4,1,3,0,5,3
astropy__astropy-14096,1,2,3,3,2,2,2,5,5,5,1,2,1,5,2
astropy__astropy-14995,1,4,3,2,2,5,2,5,5,5,2,2,1,5,3
django__django-15499,2,1,4,3,2,2,2,5,3,5,2,2,1,4,2
django__django-15525,1,1,4,3,3,2,2,5,5,4,2,3,0,5,3
matplotlib__matplotlib-25479,2,2,3,3,3,3,2,4,5,4,2,2,1,5,2
sphinx-doc__sphinx-8548,3,3,4,3,4,4,2,5,3,4,2,3,0,3,3
django__django-13449,3,2,4,3,3,3,2,4,5,4,2,2,0,5,3
django__django-15572,1,2,3,2,2,1,2,5,5,5,2,2,1,5,2
django__django-16145,2,2,3,2,2,1,2,5,4,5,2,2,1,5,4
django__django-11815,1,3,4,2,2,4,3,5,5,5,3,2,0,5,3
sympy__sympy-17630,3,2,4,3,4,3,2,4,5,5,2,2,0,5,2
pytest-dev__pytest-10356,3,2,4,3,3,3,3,4,5,4,2,2,1,4,3
django__django-10880,1,1,4,2,2,1,1,5,3,4,2,2,0,4,1
django__django-11141,2,1,3,2,3,1,2,4,4,5,3,2,1,5,2
matplotlib__matplotlib-24970,2,3,3,2,2,3,2,5,5,5,2,2,1,5,2
sympy__sympy-13798,2,2,3,2,2,2,2,5,4,5,2,2,1,4,1
scikit-learn__scikit-learn-26194,1,2,3,3,2,3,3,5,5,5,2,2,0,5,2
matplotlib__matplotlib-24570,1,4,4,2,2,4,3,5,5,4,1,2,0,5,3
sphinx-doc__sphinx-10673,4,1,4,3,4,2,3,4,4,5,1,3,0,4,3
django__django-14752,2,1,3,1,2,2,2,5,5,5,3,2,1,5,3
matplotlib__matplotlib-24177,1,2,4,3,3,2,2,4,4,4,1,2,0,4,3
django__django-16082,1,2,4,3,2,3,2,5,3,4,1,2,1,4,2
sympy__sympy-22456,3,1,4,3,4,1,3,5,4,5,2,2,0,4,1
django__django-13516,1,1,3,2,2,2,2,5,3,4,1,2,1,4,3
matplotlib__matplotlib-22871,2,2,4,4,2,2,3,5,5,4,1,2,0,5,2
matplotlib__matplotlib-23299,2,2,4,4,3,2,2,3,5,4,1,2,0,5,2
django__django-14007,3,2,4,3,4,3,3,4,5,4,1,2,0,5,2
django__django-16485,1,2,3,3,2,2,2,5,4,5,1,2,0,5,1
matplotlib__matplotlib-22719,2,1,4,3,3,1,2,5,5,4,2,2,0,4,1
django__django-16256,2,3,4,2,3,4,2,4,5,5,3,3,1,5,3
django__django-14011,3,2,4,3,4,3,2,4,4,4,2,5,0,4,4
django__django-15315,1,1,3,2,2,2,2,5,5,5,3,2,1,5,2
pytest-dev__pytest-6197,3,3,4,3,3,3,3,4,5,4,1,2,0,5,3
django__django-16493,2,2,4,3,3,2,1,5,5,5,3,2,0,5,2
django__django-14787,2,1,4,3,2,2,2,5,4,5,1,2,1,4,3
django__django-13279,2,1,4,3,2,2,3,5,3,4,2,3,0,3,2
django__django-12741,2,1,3,2,3,2,4,4,4,5,3,3,1,5,2
django__django-15987,1,2,3,2,2,2,1,5,2,4,1,2,1,4,2
sympy__sympy-13480,1,2,4,3,2,2,1,5,4,5,1,2,0,4,1
astropy__astropy-7166,2,2,3,3,2,2,2,5,3,4,2,2,1,4,2
sympy__sympy-17139,2,3,3,3,3,3,2,5,5,5,2,2,1,4,2
django__django-15467,1,1,3,2,2,2,2,5,5,5,3,2,1,5,2
django__django-15037,2,1,4,3,3,2,2,3,4,4,2,3,0,4,2
sphinx-doc__sphinx-7985,2,2,4,3,2,3,3,4,4,5,1,3,0,4,3
astropy__astropy-13579,3,1,4,4,3,2,2,4,5,4,1,2,0,4,2
pytest-dev__pytest-7324,2,2,4,3,2,2,2,5,4,5,1,2,0,4,1
sympy__sympy-13091,3,4,3,3,4,5,4,4,5,5,3,3,1,5,3
scikit-learn__scikit-learn-13496,1,1,3,2,2,2,2,5,4,5,3,2,1,5,2
pydata__xarray-4094,1,2,4,3,2,2,2,5,5,4,1,2,0,4,2
django__django-16877,1,3,3,2,2,4,2,5,3,5,2,2,1,4,2
matplotlib__matplotlib-25311,2,2,4,3,3,2,2,5,5,4,1,2,1,5,3
scikit-learn__scikit-learn-25232,2,1,3,2,2,2,2,5,4,5,2,2,1,5,2
pytest-dev__pytest-7236,2,2,4,3,3,3,2,5,5,4,1,2,0,5,3
pydata__xarray-3993,2,2,3,2,2,2,4,4,4,5,2,3,1,5,1
django__django-15563,4,2,4,4,4,3,3,4,5,3,1,3,0,5,2
sympy__sympy-13615,3,2,4,3,3,2,3,4,4,4,1,2,0,4,2
pydata__xarray-6744,2,3,4,3,2,4,2,5,5,4,1,2,0,5,2
sphinx-doc__sphinx-7454,2,2,4,3,2,2,2,4,5,4,1,3,0,5,2
matplotlib__matplotlib-23314,1,1,4,3,2,2,2,5,4,4,1,2,0,5,2
scikit-learn__scikit-learn-12585,1,1,3,2,2,2,2,5,5,5,3,2,1,5,1
pylint-dev__pylint-6903,1,2,2,2,2,2,1,5,5,5,3,2,1,5,4
django__django-12273,3,3,4,4,3,3,3,4,4,3,0,2,0,4,3
sympy__sympy-12481,1,2,3,3,2,2,3,5,4,4,2,2,1,4,1
django__django-10999,3,4,2,1,2,4,2,5,5,5,3,2,1,5,2
matplotlib__matplotlib-26291,1,2,4,3,3,2,2,4,5,4,1,2,0,4,2
django__django-15277,1,3,3,2,2,4,2,5,5,5,3,2,1,5,2
sympy__sympy-13551,2,1,5,4,3,1,3,5,4,4,0,2,0,4,2
sympy__sympy-22914,1,1,2,1,2,2,1,5,5,5,3,1,1,5,1
django__django-13012,2,2,4,4,3,3,2,5,5,4,1,2,0,5,1
django__django-11490,2,2,4,3,4,2,2,5,5,5,2,2,0,4,1
sphinx-doc__sphinx-7462,2,2,4,3,2,2,2,5,5,5,1,2,0,4,2
django__django-16569,1,2,3,1,2,2,1,5,5,5,3,2,1,5,1
django__django-16139,1,2,3,2,2,2,2,5,5,5,3,2,0,5,3
sympy__sympy-21379,2,2,5,4,3,2,2,4,5,3,1,2,0,4,2
sympy__sympy-12419,2,2,4,4,3,3,2,5,5,4,0,2,0,5,2
django__django-14915,1,2,3,2,2,3,2,5,5,5,2,2,1,4,2
sphinx-doc__sphinx-8056,2,2,4,3,3,3,2,4,4,4,1,2,0,4,2
sympy__sympy-17318,2,3,3,3,3,3,2,4,5,5,2,2,1,5,2
pylint-dev__pylint-7277,2,4,2,2,2,4,2,5,5,5,3,2,1,5,3
sympy__sympy-24213,1,1,4,3,3,1,2,5,4,5,1,2,0,5,2
matplotlib__matplotlib-25960,3,2,4,3,4,3,2,5,4,4,1,2,0,4,3
django__django-11740,2,1,4,3,3,2,2,4,4,4,1,2,0,4,3
sympy__sympy-20801,2,3,4,3,3,3,3,5,4,4,1,2,0,4,2
django__django-14493,1,2,3,2,2,2,1,5,5,5,3,2,1,5,2
django__django-14539,3,2,4,3,2,2,3,5,5,5,1,2,0,5,1
astropy__astropy-13236,1,3,4,2,3,4,4,5,4,5,3,3,1,5,3
pytest-dev__pytest-10081,2,2,4,3,3,3,2,5,5,4,1,2,0,5,4
django__django-17084,2,1,4,4,3,2,3,5,5,3,1,3,0,4,3
django__django-13028,1,2,4,3,2,2,2,5,5,5,1,2,0,5,2
pydata__xarray-6461,1,2,3,2,2,2,2,5,5,5,2,2,1,5,1
matplotlib__matplotlib-20488,2,3,4,3,3,3,2,4,4,4,1,3,0,4,3
pytest-dev__pytest-8399,1,3,4,2,2,4,2,5,5,5,2,2,1,5,3
matplotlib__matplotlib-20826,2,1,4,4,3,2,2,4,5,4,1,2,0,4,3
django__django-15851,1,1,3,1,2,1,2,5,4,5,3,2,1,5,1
sympy__sympy-19783,2,3,4,3,3,3,2,4,4,4,1,2,1,4,2
pytest-dev__pytest-5840,3,3,4,4,3,3,2,4,4,4,1,4,0,3,3
django__django-10097,1,3,4,3,2,3,3,5,4,5,2,3,1,4,1
sympy__sympy-22714,2,2,4,3,2,1,2,5,5,5,1,2,0,4,1
django__django-11239,2,2,3,2,2,3,2,5,4,5,2,2,1,4,4
django__django-15503,3,4,4,3,4,4,2,5,5,4,1,2,0,4,3
sympy__sympy-24443,3,1,4,3,3,1,2,5,5,5,2,2,0,4,2
django__django-15368,1,1,3,2,2,2,1,5,5,5,3,2,1,5,2
matplotlib__matplotlib-23476,2,2,4,3,3,2,2,4,5,4,1,4,0,5,2
django__django-15104,1,2,3,1,2,2,1,5,5,5,3,2,1,5,3
django__django-15554,4,1,4,4,4,2,3,4,4,3,1,3,0,4,3
django__django-13195,2,3,3,2,3,4,3,5,4,5,2,2,1,4,2
sympy__sympy-15349,1,2,4,3,1,3,2,5,5,5,1,2,1,4,2
scikit-learn__scikit-learn-25747,1,2,4,3,2,2,3,5,5,5,2,2,0,5,2
django__django-16801,2,1,3,2,3,1,2,5,4,5,2,2,0,4,2
django__django-14580,1,1,4,3,2,2,2,5,5,4,2,2,0,5,2
sympy__sympy-20154,2,2,2,1,2,3,3,5,3,5,3,2,1,5,2
pytest-dev__pytest-5787,4,3,4,3,4,4,2,4,5,4,1,3,0,4,4
django__django-13212,2,4,3,2,2,5,3,4,3,5,2,2,1,4,3
pylint-dev__pylint-4661,2,2,3,2,2,2,4,5,3,5,2,3,1,4,2
sphinx-doc__sphinx-10435,2,1,4,2,2,2,2,5,5,5,3,3,0,5,2
sympy__sympy-20590,1,2,4,3,3,2,2,5,5,4,2,2,1,4,2
django__django-16315,3,1,4,3,3,2,2,3,4,4,2,2,1,5,3
psf__requests-2317,1,2,3,2,2,1,2,5,4,5,2,2,1,4,1
django__django-14017,2,3,3,2,3,4,2,5,5,5,2,2,1,5,3
django__django-13551,2,4,3,2,2,4,3,5,4,5,3,2,1,5,3
matplotlib__matplotlib-26208,1,2,4,4,3,2,3,4,5,3,1,2,0,5,2
sympy__sympy-19346,2,3,3,2,2,4,2,5,4,5,1,2,1,5,2
django__django-15128,4,2,4,4,4,3,2,4,5,4,2,2,0,4,3
django__django-13121,4,2,4,3,4,3,2,4,4,4,1,2,0,4,2
scikit-learn__scikit-learn-10844,2,2,2,2,2,2,1,5,4,5,3,2,1,5,2
django__django-12419,1,1,3,1,1,1,4,4,3,5,3,2,1,5,2
django__django-13658,1,2,2,1,2,2,1,5,5,5,3,2,1,5,3
django__django-14349,1,4,3,3,2,4,3,5,5,5,2,2,0,4,2
sphinx-doc__sphinx-7910,1,2,4,3,2,2,2,5,4,5,2,3,0,4,2
django__django-11848,2,4,2,2,2,4,3,5,4,5,2,3,1,5,4
django__django-13033,2,2,4,4,3,3,3,4,5,4,1,3,0,4,3
sympy__sympy-15345,2,2,3,2,2,2,1,5,4,4,1,1,1,5,1
django__django-16661,4,3,4,4,4,4,3,5,5,4,2,2,0,5,3
django__django-12858,1,1,4,4,2,1,2,5,4,4,1,3,0,4,1
scikit-learn__scikit-learn-25931,2,1,3,2,3,2,1,4,5,5,2,2,1,5,2
mwaskom__seaborn-3069,3,3,4,3,3,3,3,3,4,4,2,3,0,4,3
scikit-learn__scikit-learn-11310,2,1,3,2,2,2,2,5,4,5,2,2,1,5,1
sympy__sympy-18189,1,3,4,4,2,3,2,5,4,4,0,2,0,5,2
django__django-12663,2,1,4,3,4,2,2,4,5,4,1,2,0,4,3
scikit-learn__scikit-learn-10297,2,3,3,2,2,4,2,5,5,5,2,2,1,5,2
pylint-dev__pylint-6386,3,1,3,2,4,1,2,5,5,4,1,2,1,5,1
django__django-14534,1,2,3,2,2,3,3,5,5,5,3,2,1,5,2
django__django-14373,1,3,3,2,1,2,2,5,3,5,2,2,1,4,1
django__django-15098,1,4,4,3,2,4,3,5,5,3,1,2,0,5,2
sympy__sympy-23534,1,1,4,3,2,1,2,5,5,5,1,2,0,5,1
django__django-14631,3,3,4,3,4,3,3,4,4,4,3,3,0,5,3
django__django-11433,2,4,4,3,3,4,3,5,3,4,1,3,0,3,3
psf__requests-1921,1,2,3,2,2,2,3,5,4,4,2,2,1,5,2
django__django-16899,1,2,3,2,2,2,2,5,4,5,2,2,1,5,2
psf__requests-2931,2,2,3,2,3,1,2,4,4,5,1,2,1,4,1
astropy__astropy-14182,3,2,4,3,3,3,2,5,5,5,2,2,1,5,3
django__django-12209,1,2,4,4,3,2,3,5,5,4,2,3,0,4,2
django__django-11999,1,1,4,3,3,2,2,5,5,4,1,2,0,5,2
sympy__sympy-15017,1,3,3,2,2,3,3,4,5,5,2,2,1,5,2
sphinx-doc__sphinx-10614,3,3,4,3,3,4,2,5,5,4,2,3,0,5,4
scikit-learn__scikit-learn-13439,1,1,2,1,2,1,1,5,5,5,2,1,1,5,1
sympy__sympy-13878,3,3,4,2,2,4,2,4,5,5,3,2,1,5,3
sphinx-doc__sphinx-11510,4,3,4,3,4,3,3,4,5,4,1,2,0,5,3
django__django-14559,1,4,3,2,2,4,2,5,4,5,3,2,1,5,2
django__django-13964,1,2,4,4,3,2,3,4,5,4,1,2,0,5,2
django__django-14608,1,2,3,2,2,3,2,5,3,4,2,2,1,4,2
django__django-13821,1,2,3,2,1,1,3,5,4,5,2,2,1,4,2
django__django-14034,3,2,4,3,3,3,3,5,5,4,1,2,0,5,3
pydata__xarray-6992,5,4,4,3,5,5,2,5,4,5,2,2,0,4,3
django__django-16662,1,1,3,2,2,2,1,5,4,5,2,2,1,5,2
django__django-13933,1,2,3,2,2,2,3,5,4,5,3,2,1,5,2
sphinx-doc__sphinx-7440,2,2,4,3,3,2,3,5,4,4,1,2,1,4,3
pytest-dev__pytest-7432,2,2,4,3,3,3,1,5,5,5,2,2,0,5,3
scikit-learn__scikit-learn-14629,2,2,3,2,2,3,2,4,5,5,3,2,0,5,2
sympy__sympy-23262,1,2,3,2,2,2,2,5,5,4,1,2,1,5,1
django__django-13925,2,4,4,3,3,4,2,4,3,4,1,2,0,4,2
astropy__astropy-13453,2,2,4,3,3,3,2,5,5,4,1,2,0,5,2
sympy__sympy-21930,1,2,3,2,2,3,1,4,5,4,3,2,1,5,2
sympy__sympy-24661,2,3,4,3,2,4,2,5,4,4,1,2,0,5,2
sphinx-doc__sphinx-8035,3,1,4,3,3,2,3,4,3,4,2,3,1,4,3
django__django-14999,2,2,4,3,3,3,2,4,3,4,2,3,0,4,3
scikit-learn__scikit-learn-11578,1,2,3,2,2,4,3,5,5,5,3,3,1,5,3
django__django-13837,2,2,3,2,2,2,2,5,5,5,3,3,1,5,4
scikit-learn__scikit-learn-9288,2,1,4,4,2,1,2,5,5,4,1,2,0,5,1
pydata__xarray-7229,3,4,4,4,3,5,2,4,5,4,1,2,0,4,3
scikit-learn__scikit-learn-13142,2,2,4,3,3,2,1,5,5,4,1,2,0,5,2
scikit-learn__scikit-learn-25973,2,1,4,3,3,1,2,5,5,4,1,2,0,4,1
sphinx-doc__sphinx-9673,1,2,4,3,3,2,2,5,4,4,1,3,0,4,3
django__django-15561,3,2,4,3,3,3,2,5,3,4,1,3,0,4,2
sphinx-doc__sphinx-9258,1,2,4,3,2,3,3,5,3,4,1,3,0,4,4
scikit-learn__scikit-learn-12682,3,2,3,2,3,3,2,4,4,5,2,2,1,4,3
django__django-11133,1,1,3,2,2,1,2,5,5,5,1,2,1,5,1
django__django-11099,1,2,2,1,1,2,3,5,5,5,3,2,1,5,2
pylint-dev__pylint-4551,4,4,4,3,4,4,2,3,4,3,1,3,0,4,4
sphinx-doc__sphinx-8721,2,2,4,3,2,3,2,5,3,4,1,3,0,4,2
sympy__sympy-16792,3,2,4,3,3,2,2,4,5,4,2,2,0,5,2
sympy__sympy-18763,1,2,4,3,1,2,2,5,5,5,1,2,1,4,1
django__django-12965,2,1,4,3,3,2,3,4,5,4,1,2,0,5,2
django__django-15127,2,2,4,3,3,2,2,4,2,4,1,3,0,3,1
matplotlib__matplotlib-26342,1,1,3,2,2,1,2,5,4,5,3,2,1,5,2
sympy__sympy-23413,2,2,4,4,2,2,2,5,4,4,1,2,0,4,2
django__django-15629,4,3,4,3,4,4,3,4,4,4,2,3,0,5,3
pydata__xarray-7233,2,2,4,3,2,2,2,5,5,5,1,2,0,5,2
astropy__astropy-14508,2,2,3,2,2,3,3,5,5,5,3,2,1,5,2
django__django-15916,3,2,3,3,3,3,3,4,5,4,2,2,1,5,2
matplotlib__matplotlib-25775,3,3,4,3,4,4,3,3,3,4,2,3,1,4,3
django__django-14311,2,2,4,3,2,2,2,5,4,4,2,3,0,4,4
sphinx-doc__sphinx-9281,2,1,4,3,2,1,2,5,5,4,1,2,1,5,1
pydata__xarray-3677,1,1,3,2,2,1,2,4,5,5,2,2,1,5,1
sympy__sympy-19040,1,1,5,4,3,1,3,4,4,4,0,2,0,4,2
django__django-13315,3,3,4,3,3,4,2,5,3,4,1,2,1,3,4
sympy__sympy-15599,3,3,3,2,3,3,2,5,5,5,3,2,1,5,2
pytest-dev__pytest-7982,1,1,3,1,2,1,2,5,5,5,3,2,1,5,2
django__django-11451,1,3,2,2,2,4,2,5,5,5,3,2,1,5,3
sympy__sympy-15976,2,4,4,3,2,4,2,5,5,4,1,2,0,4,3
django__django-15957,4,3,4,4,4,4,3,3,4,4,1,3,0,4,3
django__django-12050,2,1,3,2,3,2,2,5,3,5,2,2,1,4,2
django__django-15280,2,1,4,4,4,2,2,3,5,3,1,2,0,5,3
pytest-dev__pytest-7490,3,3,4,3,3,3,3,4,5,4,1,2,0,5,2
django__django-13568,2,4,3,2,2,4,2,5,5,5,3,2,1,5,3
django__django-11555,2,2,4,3,3,2,2,4,3,4,1,3,0,3,3
scikit-learn__scikit-learn-13135,1,2,3,2,2,3,1,5,5,5,2,2,1,5,2
django__django-13513,3,2,2,1,3,3,2,5,5,5,3,2,1,5,3
django__django-10554,4,3,4,4,4,4,2,5,4,4,1,3,0,4,3
pydata__xarray-4075,2,2,3,2,2,2,2,5,5,5,3,2,1,5,2
matplotlib__matplotlib-24627,2,2,4,3,2,3,3,4,5,4,2,2,0,4,2
django__django-13401,3,3,3,2,3,4,3,5,5,5,3,2,1,5,3
astropy__astropy-13977,3,4,4,3,3,5,3,4,5,5,2,2,1,5,4
django__django-11095,2,3,3,2,2,3,2,5,3,5,2,2,1,4,3
django__django-12713,2,1,3,2,2,2,2,5,3,5,2,2,1,4,2
django__django-13417,2,3,4,3,2,3,3,4,4,4,1,2,0,4,2
sympy__sympy-13031,2,3,4,3,3,3,2,4,5,5,0,2,0,4,2
sympy__sympy-15809,1,2,4,3,2,2,3,5,4,5,2,2,1,4,1
sympy__sympy-13877,3,2,4,4,3,2,3,5,5,4,1,2,0,4,2
django__django-13786,2,3,4,3,3,4,2,5,4,5,3,2,1,5,2
django__django-16642,1,2,3,3,2,2,2,5,3,4,1,2,1,4,2
pytest-dev__pytest-6202,1,2,3,2,2,3,3,5,5,5,3,2,0,5,2
django__django-11885,4,1,4,3,4,1,2,4,4,4,2,3,0,4,2
sphinx-doc__sphinx-7748,4,2,4,3,4,3,3,4,2,4,1,3,0,3,2
matplotlib__matplotlib-24149,2,2,3,3,2,3,2,5,5,5,2,2,1,5,3
django__django-15741,1,2,3,2,2,2,1,5,4,5,2,2,1,4,1
django__django-14500,2,2,4,4,3,2,2,5,2,4,1,3,0,3,3
scikit-learn__scikit-learn-25102,4,3,4,3,4,4,3,4,5,4,3,2,0,5,3
sympy__sympy-20438,3,3,4,4,4,4,3,5,5,4,0,2,0,4,3
sympy__sympy-16766,1,1,3,1,2,1,2,5,5,5,3,1,1,5,1
django__django-13512,1,3,3,2,2,3,3,5,3,4,2,2,1,4,1
astropy__astropy-7606,2,3,3,2,3,3,1,5,5,5,2,1,1,5,2
sympy__sympy-14976,2,2,4,3,2,2,2,5,4,4,1,2,0,4,1
django__django-14238,1,3,4,2,3,4,2,5,5,5,3,2,0,5,2
django__django-10914,1,1,3,2,2,1,3,5,4,5,3,2,1,5,1
django__django-14404,1,3,3,2,2,4,2,5,3,5,3,2,1,5,3
psf__requests-6028,1,2,4,4,2,2,3,4,4,3,1,4,0,3,1
django__django-13569,2,1,4,3,3,2,2,4,5,5,3,2,0,5,3
pylint-dev__pylint-4970,1,2,3,2,2,2,2,5,3,4,2,2,1,4,2
matplotlib__matplotlib-24870,3,4,3,2,3,4,3,4,4,4,2,2,1,4,3
matplotlib__matplotlib-25332,3,2,4,3,3,2,2,4,5,4,1,1,1,5,2
sphinx-doc__sphinx-8595,1,2,4,3,2,2,3,5,5,4,1,2,0,5,2
scikit-learn__scikit-learn-12973,2,3,2,2,2,4,3,5,4,5,3,2,1,5,2
django__django-17087,1,1,4,3,2,2,2,5,5,4,1,2,0,5,2
django__django-14351,3,1,5,4,4,1,3,4,5,3,1,3,0,4,2
sympy__sympy-19954,2,2,4,4,3,2,2,5,5,5,1,2,0,4,2
django__django-16100,2,3,3,2,3,3,2,5,3,4,2,3,1,4,4
django__django-12143,1,2,3,2,2,2,1,5,4,5,3,2,1,5,3
django__django-16950,3,2,4,4,3,3,2,5,4,4,1,3,0,4,2
sphinx-doc__sphinx-10323,1,2,4,3,2,2,2,5,5,5,2,2,0,5,2
django__django-12155,2,2,2,1,3,2,2,5,5,5,3,2,1,5,3
django__django-16116,2,2,3,2,2,2,4,5,4,5,2,2,1,4,2
django__django-13590,2,2,3,2,3,2,1,5,5,5,3,2,1,5,2
django__django-17029,1,1,3,1,2,2,1,5,4,5,3,2,1,5,2
sympy__sympy-22080,3,3,4,3,3,3,2,4,5,4,1,2,0,4,2
django__django-15278,2,1,4,3,2,2,2,5,4,4,1,2,0,4,2
django__django-16454,3,3,4,3,3,3,2,5,5,5,2,2,0,5,3
django__django-13343,2,1,3,2,2,1,2,4,4,5,3,2,1,5,2
django__django-16136,2,2,4,3,3,3,2,5,5,4,1,2,1,5,3
django__django-13158,3,2,4,4,4,2,2,4,4,4,1,3,0,4,2
pylint-dev__pylint-8898,3,3,3,3,3,4,3,4,5,4,2,2,1,5,3
sympy__sympy-24066,2,2,4,3,3,3,2,4,5,5,1,2,0,4,3
django__django-14672,1,3,3,2,2,3,1,5,5,5,3,2,1,5,2
sympy__sympy-23824,2,2,3,2,2,2,1,5,5,5,3,2,1,5,2
django__django-13363,1,2,3,2,2,3,2,5,5,5,3,3,1,5,2
scikit-learn__scikit-learn-14983,2,1,3,2,3,2,1,5,5,5,1,1,1,5,2
