instance_id,domain_knowledge_required,atypicality,problem_clarity,standard_pattern_available,reproduction_clarity,solution_hint,debugging_complexity,information_completeness,verification_difficulty,side_effect_risk,error_specificity,logical_reasoning_required,codebase_scope,expected_behavior_clarity,similar_issue_likelihood
pandas-dev__pandas-45f0705,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-5d82d8b,4,3,2,0,2,0,3,2,3,3,3,4,2,2,1
pandas-dev__pandas-609c3b7,4,3,3,0,2,0,2,2,2,2,3,3,1,2,1
pandas-dev__pandas-65bca65,4,2,3,1,2,0,2,2,2,2,3,3,1,2,1
pandas-dev__pandas-71c94af,4,3,2,0,1,0,2,1,3,3,3,3,1,2,1
pandas-dev__pandas-81b5f1d,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-84aca21,4,3,2,0,2,0,3,2,3,3,3,3,3,2,1
pandas-dev__pandas-9097263,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-9a6c8f0,4,3,1,0,1,0,4,1,3,3,1,3,4,1,1
pandas-dev__pandas-9d6d587,4,3,2,0,1,0,3,1,4,3,3,4,2,2,1
pandas-dev__pandas-ad3f3f7,4,3,2,0,2,0,3,2,3,2,3,4,2,2,1
pandas-dev__pandas-bfaf917,4,3,2,0,2,0,2,2,3,3,3,3,1,2,1
pandas-dev__pandas-c34da50,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-c51c2a7,4,3,2,0,2,0,3,1,3,3,3,4,3,2,1
pandas-dev__pandas-c6cf37a,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-ccca5df,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-d377cc9,4,2,3,0,2,0,3,2,3,3,3,3,2,2,1
pandas-dev__pandas-e7e3676,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-e8961f1,4,3,2,0,2,0,3,2,3,3,3,4,2,2,1
pandas-dev__pandas-f1211e7,4,3,2,0,2,0,3,2,3,3,3,3,2,2,1
pandas-dev__pandas-f298507,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-fd43d4b,4,2,3,0,2,0,2,2,3,3,3,3,1,2,1
pydantic__pydantic-4a09447,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
pydantic__pydantic-ac9e6ee,4,3,2,0,2,0,3,2,4,3,3,4,3,2,1
pydantic__pydantic-addf1f9,4,3,3,0,2,0,2,2,4,3,3,4,2,2,1
pydantic__pydantic-c2647ab,4,3,2,0,2,0,3,2,3,3,3,3,2,2,1
python-pillow__Pillow-63f398b,5,3,3,1,2,0,2,2,3,2,3,4,1,2,1
python-pillow__Pillow-d8af3fc,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
python-pillow__Pillow-f854676,4,2,3,1,2,1,2,2,3,3,3,3,1,2,1
python-pillow__Pillow-fd8ee84,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
tornadoweb__tornado-1b464c4,4,3,2,0,2,0,3,2,4,3,3,4,2,2,1
tornadoweb__tornado-4d4c1e0,4,3,2,0,1,0,2,1,4,3,3,4,2,2,1
tornadoweb__tornado-9a18f6c,4,3,2,0,2,0,2,2,4,3,3,3,1,2,1
tornadoweb__tornado-ac13ee5,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
uploadcare__pillow-simd-0514e20,5,4,2,0,2,0,2,2,4,2,3,4,1,2,1
uploadcare__pillow-simd-2818b90,5,4,2,0,2,0,2,2,4,2,3,4,1,2,1
uploadcare__pillow-simd-6eacce9,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
uploadcare__pillow-simd-7511039,5,4,2,0,2,0,3,1,4,2,3,4,2,2,1
uploadcare__pillow-simd-9e60023,5,4,2,0,2,0,3,2,4,2,3,4,2,2,1
uploadcare__pillow-simd-b4045cf,5,4,2,0,2,0,3,2,4,2,3,4,3,2,1
uploadcare__pillow-simd-d970a39,5,4,2,0,2,0,3,2,4,2,3,4,2,2,1
