instance_id,atypicality,domain_knowledge_required,problem_clarity,reproduction_clarity,standard_pattern_available,implementation_language_complexity,environment_setup_complexity,codebase_scale,solution_hint,information_completeness,dependency_complexity,verification_difficulty,debugging_complexity,change_blast_radius,testing_infrastructure_quality
numpy__numpy-780799b,3,4,2,2,0,4,4,4,0,2,4,3,3,4,5
numpy__numpy-7853cbc,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
numpy__numpy-794f474,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
numpy__numpy-7ff7ec7,2,3,2,2,1,4,4,4,0,2,4,3,2,3,4
numpy__numpy-83c780d,3,4,2,2,0,5,4,4,0,2,4,3,2,3,4
numpy__numpy-893db31,3,4,2,2,0,5,4,5,0,2,4,3,2,3,4
numpy__numpy-8dd6761,4,5,2,2,0,5,4,4,0,1,4,4,3,4,4
numpy__numpy-905d37e,3,4,2,2,0,4,4,4,0,2,3,3,2,3,4
numpy__numpy-ac5c664,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
numpy__numpy-b862e4f,4,5,2,2,0,5,4,4,0,1,4,4,4,5,5
numpy__numpy-ba89ef9,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
numpy__numpy-be52f19,4,5,2,2,0,5,4,4,0,1,4,4,3,4,5
numpy__numpy-cb0d7cd,3,4,2,2,0,5,4,4,0,2,4,3,2,4,4
numpy__numpy-cb461ba,3,4,2,2,0,5,4,4,0,2,4,3,2,4,4
numpy__numpy-cedba62,3,4,2,2,1,3,4,4,0,2,4,3,2,3,4
numpy__numpy-e801e7a,3,4,2,2,0,5,4,4,0,2,4,3,2,4,4
numpy__numpy-eb21b25,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
numpy__numpy-ec52363,4,4,2,2,0,4,4,4,0,2,4,4,3,3,4
numpy__numpy-ee75c87,3,4,2,2,0,5,4,4,0,2,4,3,2,3,4
numpy__numpy-ef5e545,3,4,2,2,0,4,4,4,0,2,4,3,2,3,4
pandas-dev__pandas-061c2e9,3,4,2,2,0,4,4,4,0,2,4,3,3,3,5
pandas-dev__pandas-191557d,3,4,2,2,0,3,3,4,0,2,4,4,3,3,5
pandas-dev__pandas-1c2ad16,3,4,2,2,0,3,3,4,0,2,4,3,3,4,5
pandas-dev__pandas-2278923,3,4,2,1,0,3,4,4,0,1,5,4,3,3,4
pandas-dev__pandas-233bd83,3,4,2,2,0,4,4,4,0,2,4,3,3,3,5
pandas-dev__pandas-235113e,2,4,3,2,1,4,4,4,0,2,5,3,2,3,4
pandas-dev__pandas-2421931,3,4,2,2,0,4,4,4,0,2,4,3,3,4,5
pandas-dev__pandas-2a08b05,3,4,2,1,0,4,4,4,0,1,4,3,2,3,4
pandas-dev__pandas-2cdca01,3,4,2,2,0,5,4,4,0,2,4,3,2,3,4
pandas-dev__pandas-2f4c93e,3,4,2,2,0,5,4,4,0,2,4,3,3,3,5
pandas-dev__pandas-37e9e06,3,4,2,2,1,3,4,4,0,2,4,3,2,3,4
pandas-dev__pandas-438b957,3,4,3,2,0,3,4,4,0,2,5,3,3,3,5
pandas-dev__pandas-45f0705,3,4,2,2,0,3,3,4,0,2,4,3,2,3,5
pandas-dev__pandas-5d82d8b,3,4,2,2,0,4,4,4,0,2,4,3,3,4,5
pandas-dev__pandas-609c3b7,3,4,3,2,0,4,4,4,0,2,4,2,2,3,4
pandas-dev__pandas-65bca65,2,4,3,2,1,3,3,4,0,2,4,2,2,2,4
pandas-dev__pandas-71c94af,3,4,2,1,0,3,4,4,0,1,5,3,2,3,4
pandas-dev__pandas-81b5f1d,3,4,2,2,0,5,4,4,0,2,5,3,3,3,5
pandas-dev__pandas-84aca21,3,4,2,2,0,5,4,4,0,2,4,3,3,3,5
pandas-dev__pandas-9097263,3,4,2,2,0,5,4,4,0,2,4,3,2,4,5
pandas-dev__pandas-9a6c8f0,3,4,1,1,0,4,4,4,0,1,4,3,4,4,4
pandas-dev__pandas-9d6d587,3,4,2,1,0,3,4,4,0,1,4,4,3,3,4
pandas-dev__pandas-ad3f3f7,3,4,2,2,0,5,4,4,0,2,4,3,3,3,5
pandas-dev__pandas-bfaf917,3,4,2,2,0,3,4,4,0,2,4,3,2,3,4
pandas-dev__pandas-c34da50,3,4,2,2,0,3,4,4,0,2,5,3,3,4,5
pandas-dev__pandas-c51c2a7,3,4,2,2,0,5,4,4,0,1,4,3,3,4,5
pandas-dev__pandas-c6cf37a,3,4,2,2,0,3,4,4,0,2,4,3,2,3,5
pandas-dev__pandas-ccca5df,3,4,2,2,0,4,4,4,0,2,4,3,2,3,4
pandas-dev__pandas-d377cc9,2,4,3,2,0,4,4,4,0,2,4,3,3,3,4
pandas-dev__pandas-e7e3676,3,4,2,2,0,3,4,5,0,2,4,3,3,3,4
pandas-dev__pandas-e8961f1,3,4,2,2,0,5,4,4,0,2,4,3,3,3,5
pandas-dev__pandas-f1211e7,3,4,2,2,0,4,4,4,0,2,4,3,3,3,4
pandas-dev__pandas-f298507,3,4,2,2,0,3,3,4,0,2,4,3,2,3,4
pandas-dev__pandas-fd43d4b,2,4,3,2,0,3,4,4,0,2,4,3,2,2,5
pydantic__pydantic-4a09447,3,4,3,2,0,2,2,2,0,2,3,3,2,2,4
pydantic__pydantic-ac9e6ee,3,4,2,2,0,3,2,3,0,2,3,4,3,3,4
pydantic__pydantic-addf1f9,3,4,3,2,0,3,2,3,0,2,3,4,2,4,4
pydantic__pydantic-c2647ab,3,4,2,2,0,2,2,3,0,2,3,3,3,3,5
python-pillow__Pillow-63f398b,3,5,3,2,1,4,3,3,0,2,3,3,2,2,4
python-pillow__Pillow-d8af3fc,3,4,3,2,0,5,3,4,0,2,4,3,2,2,4
python-pillow__Pillow-f854676,2,4,3,2,1,3,3,3,1,2,4,3,2,2,4
python-pillow__Pillow-fd8ee84,3,4,3,2,0,3,3,4,0,2,4,3,2,2,4
tornadoweb__tornado-1b464c4,3,4,2,2,0,2,2,2,0,2,3,4,3,3,4
tornadoweb__tornado-4d4c1e0,3,4,2,1,0,3,2,4,0,1,3,4,2,3,4
tornadoweb__tornado-9a18f6c,3,4,2,2,0,3,2,2,0,2,2,4,2,2,4
tornadoweb__tornado-ac13ee5,3,4,2,2,0,2,2,4,0,2,4,3,2,3,4
uploadcare__pillow-simd-0514e20,4,5,2,2,0,4,3,4,0,2,4,4,2,2,4
uploadcare__pillow-simd-2818b90,4,5,2,2,0,4,3,4,0,2,3,4,2,3,4
uploadcare__pillow-simd-6eacce9,3,4,2,2,0,2,2,4,0,2,4,3,2,2,4
uploadcare__pillow-simd-7511039,4,5,2,2,0,5,3,4,0,1,4,4,3,3,4
uploadcare__pillow-simd-9e60023,4,5,2,2,0,4,3,4,0,2,4,4,3,2,4
uploadcare__pillow-simd-b4045cf,4,5,2,2,0,5,4,4,0,2,4,4,3,4,4
uploadcare__pillow-simd-d970a39,4,5,2,2,0,4,3,4,0,2,3,4,3,2,4
