instance_id,domain_knowledge_required,reproduction_clarity,information_completeness,logical_reasoning_required,side_effect_risk,testing_infrastructure_quality,fix_localization,integration_complexity,verification_difficulty,expected_behavior_clarity,atypicality,entry_point_clarity,test_edge_case_coverage,test_assertion_complexity,codebase_scope
filter-js-from-html,4,4,4,4,2,1,5,3,4,4,3,5,4,4,1
nginx-request-logging,3,5,5,2,3,2,4,3,2,5,2,5,3,3,2
torch-tensor-parallelism,5,4,4,4,1,2,5,3,4,4,4,5,3,4,1
polyglot-c-py,4,5,5,4,2,1,5,3,2,5,5,5,3,3,1
overfull-hbox,4,4,5,4,2,4,5,3,3,5,5,5,3,4,2
distribution-search,4,4,5,5,2,1,5,2,2,5,5,5,3,4,1
model-extraction-relu-logits,5,4,4,5,2,1,5,2,4,4,5,5,2,4,2
prove-plus-comm,5,4,3,4,2,4,5,4,2,5,4,5,2,3,1
largest-eigenval,4,4,4,3,2,4,5,3,4,4,4,5,3,4,1
kv-store-grpc,4,5,5,3,3,1,5,3,3,5,3,5,2,3,2
llm-inference-batching-scheduler,4,4,5,5,2,3,4,3,3,5,5,5,4,4,3
git-multibranch,4,5,4,3,4,2,4,4,3,5,3,5,2,3,3
headless-terminal,4,5,4,3,2,1,5,3,3,5,3,5,3,3,1
pytorch-model-cli,5,3,3,4,2,1,4,4,3,5,5,5,2,3,3
mteb-retrieve,5,4,4,3,2,2,5,4,2,5,5,5,1,2,1
count-dataset-tokens,4,3,3,3,2,2,5,3,2,5,4,5,1,1,1
tune-mjcf,5,4,4,4,2,4,4,4,4,4,5,5,3,4,2
constraints-scheduling,3,5,5,4,2,2,5,2,4,5,3,5,4,4,1
extract-moves-from-video,5,3,3,3,2,1,5,5,4,4,5,5,2,4,1
cancel-async-tasks,4,4,4,4,1,2,5,2,4,4,3,5,5,4,1
extract-elf,5,5,4,4,2,2,5,3,3,4,4,5,2,4,1
merge-diff-arc-agi-task,4,4,4,5,2,3,5,3,3,4,5,5,2,3,2
modernize-scientific-stack,2,5,5,2,2,1,4,2,2,5,2,5,2,3,2
dna-insert,5,3,3,4,2,2,5,4,4,4,5,5,3,4,1
mteb-leaderboard,5,2,3,3,2,1,5,3,2,5,5,5,1,1,2
install-windows-3.11,5,4,4,3,4,2,4,5,4,4,5,5,3,4,3
feal-differential-cryptanalysis,5,4,4,5,1,1,4,3,3,4,5,5,1,2,2
video-processing,5,4,3,4,2,2,5,3,4,4,5,5,2,3,1
pypi-server,4,4,4,3,3,2,4,4,2,5,3,5,3,3,2
vulnerable-secret,4,3,3,3,2,1,5,2,2,5,2,4,1,2,1
pytorch-model-recovery,4,4,4,3,2,2,4,3,3,5,3,5,3,3,2
mailman,5,4,4,4,4,4,4,5,4,4,4,5,2,4,3
polyglot-rust-c,5,5,5,5,2,2,5,4,2,5,5,5,3,3,1
crack-7z-hash,4,3,3,3,2,2,5,4,2,5,3,5,1,1,2
dna-assembly,5,3,3,5,2,1,4,4,4,4,5,5,4,5,2
build-pov-ray,5,4,3,4,3,2,5,5,3,4,5,5,3,4,3
cobol-modernization,3,4,4,4,2,2,5,3,3,5,4,5,2,3,2
fix-ocaml-gc,5,4,3,5,2,4,4,4,4,4,5,4,2,2,3
write-compressor,5,4,4,5,2,2,5,3,2,5,5,5,3,3,3
rstan-to-pystan,5,4,4,4,3,2,5,5,4,5,5,5,2,4,2
protein-assembly,5,3,3,5,2,1,5,4,4,5,5,5,3,4,3
path-tracing,5,5,4,5,2,2,5,3,4,5,5,5,3,4,1
large-scale-text-editing,5,5,5,4,2,4,5,3,3,5,5,5,3,4,1
train-fasttext,4,3,4,3,2,1,5,3,3,5,3,5,2,3,2
multi-source-data-merger,3,4,4,3,2,1,5,2,3,5,2,5,2,3,1
regex-chess,5,5,5,5,1,4,5,2,4,5,5,5,4,4,1
schemelike-metacircular-eval,5,5,5,5,2,2,4,3,4,4,5,5,3,4,3
sanitize-git-repo,3,3,4,3,2,3,4,2,3,5,2,5,3,3,3
fix-git,3,2,2,3,2,2,4,2,2,3,3,5,1,2,2
configure-git-webserver,4,5,4,3,4,1,1,4,3,5,3,2,2,3,3
git-leak-recovery,4,4,4,3,2,2,4,2,3,5,3,5,4,4,2
circuit-fibsqrt,5,5,5,5,2,2,4,3,3,5,5,5,4,3,3
regex-log,3,5,5,5,1,1,5,1,3,5,4,5,5,3,1
custom-memory-heap-crash,5,5,4,5,2,2,5,4,4,4,5,5,3,3,4
sparql-university,4,4,4,4,2,1,5,3,3,5,3,5,3,3,1
compile-compcert,5,3,4,3,3,2,1,5,3,5,4,5,4,4,3
build-pmars,4,4,4,3,2,3,4,3,3,4,4,5,3,3,2
log-summary-date-ranges,2,4,5,3,2,2,5,2,2,5,2,5,2,3,1
code-from-image,3,3,3,4,2,1,5,3,2,5,5,5,1,2,1
qemu-alpine-ssh,4,4,4,3,3,2,5,5,3,5,3,5,1,2,2
feal-linear-cryptanalysis,5,4,4,5,2,2,4,3,2,4,5,5,1,2,3
make-mips-interpreter,5,4,4,5,2,2,4,5,4,4,5,5,2,4,5
adaptive-rejection-sampler,5,4,4,5,2,2,4,3,3,4,5,5,4,4,2
sqlite-db-truncate,4,3,3,4,2,1,5,2,3,4,4,5,2,3,1
