instance_id,codebase_scope,atypicality,information_completeness,error_specificity,problem_clarity,debugging_complexity,similar_issue_likelihood,logical_reasoning_required,expected_behavior_clarity,domain_knowledge_required,verification_difficulty,backwards_compatibility_risk,solution_hint,standard_pattern_available,reproduction_clarity
django__django-13363,1,2,4,4,5,2,1,2,4,4,3,2,3,1,4
django__django-13401,2,3,4,4,5,2,1,3,5,4,3,3,3,1,5
django__django-13406,2,4,5,5,4,3,1,4,5,4,3,2,1,0,5
django__django-13410,1,1,5,5,5,1,1,2,5,2,3,2,3,1,3
django__django-13417,2,3,4,4,4,3,1,4,4,4,3,3,1,0,5
django__django-13449,2,3,5,5,5,2,1,3,5,4,3,2,2,0,5
django__django-13512,2,2,3,3,4,2,1,2,4,3,2,2,2,1,3
django__django-13513,1,2,5,4,5,1,1,2,5,3,2,2,3,1,5
django__django-13516,2,3,2,3,3,3,1,3,4,4,4,2,1,0,3
django__django-13551,2,2,4,3,4,2,1,2,4,4,3,3,3,1,4
django__django-13568,1,3,4,5,4,2,1,3,4,4,3,2,2,0,5
django__django-13569,1,3,5,5,5,2,1,3,5,4,3,2,3,0,5
django__django-13590,1,3,4,4,5,2,1,2,4,4,2,2,3,1,3
django__django-13658,1,2,5,4,5,1,1,2,5,3,3,2,3,1,3
django__django-13670,1,2,5,4,5,2,1,2,5,3,2,3,2,1,5
django__django-13741,1,2,4,3,5,1,1,2,5,3,2,3,3,1,2
django__django-13786,1,3,4,4,4,2,1,3,4,4,3,2,2,0,2
django__django-13794,1,3,3,4,3,2,1,3,4,4,2,2,1,1,3
django__django-13807,1,2,5,5,5,1,1,2,5,3,2,1,3,1,4
django__django-13809,2,2,3,3,4,2,1,2,4,3,2,2,2,1,3
django__django-13810,2,4,4,4,4,4,0,4,3,5,4,3,2,0,4
django__django-13820,1,4,5,4,5,2,0,3,5,4,4,2,3,0,3
django__django-13821,3,2,4,3,4,2,1,3,5,4,3,4,1,1,2
django__django-13837,1,3,4,3,5,2,1,3,5,4,3,2,3,1,3
django__django-13925,2,3,3,4,4,3,1,3,4,4,3,3,1,0,3
django__django-13933,1,2,4,4,4,1,1,2,5,3,2,2,2,1,3
django__django-13964,3,3,4,4,4,4,1,4,5,4,3,3,1,0,5
django__django-14007,3,3,4,4,5,3,1,3,5,4,3,2,1,0,5
django__django-14011,2,3,4,4,4,4,1,4,4,4,5,3,2,0,3
django__django-14017,2,2,4,5,5,2,1,3,5,4,2,2,2,1,5
django__django-14034,2,3,4,4,4,3,1,3,4,4,2,3,0,0,5
django__django-14053,2,3,5,4,4,3,1,3,5,4,3,3,1,0,5
django__django-14089,1,1,3,3,5,1,1,1,5,2,1,1,3,1,3
django__django-14122,2,3,3,3,3,3,1,4,4,4,3,3,2,0,2
django__django-14140,1,2,5,5,5,2,1,2,4,4,2,3,3,1,5
django__django-14155,1,2,3,3,4,2,1,2,4,3,2,2,2,1,2
django__django-14170,2,3,4,4,4,2,1,3,4,4,3,2,2,0,5
django__django-14238,1,3,5,5,5,2,1,2,5,4,2,2,3,1,5
django__django-14311,2,4,3,4,3,3,1,4,4,4,4,2,1,0,3
django__django-14315,1,2,4,4,4,2,1,2,4,3,3,1,3,1,2
django__django-14349,1,3,4,5,4,2,1,3,3,3,3,3,2,1,4
django__django-14351,3,4,4,5,3,5,0,4,4,5,4,3,1,0,4
django__django-14373,1,2,3,3,4,1,1,2,4,3,2,2,1,1,3
django__django-14376,1,1,5,4,5,1,1,1,5,3,2,2,3,1,3
django__django-14404,1,3,3,4,4,2,1,2,4,4,3,2,3,1,2
django__django-14434,1,3,2,3,2,2,1,3,3,4,3,2,2,0,1
django__django-14493,1,2,5,5,5,1,1,2,4,3,2,1,3,1,5
django__django-14500,2,3,2,3,3,3,1,4,3,4,4,3,1,0,2
django__django-14534,1,2,4,4,5,2,1,2,5,4,3,3,3,1,3
django__django-14539,1,4,4,5,4,3,1,4,5,4,3,2,0,0,5
django__django-14559,1,1,4,4,5,1,1,2,5,3,2,2,3,1,3
django__django-14580,2,3,5,5,5,2,1,3,5,4,2,1,1,0,5
django__django-14608,2,2,3,3,4,2,1,2,4,3,2,2,2,1,2
django__django-14631,2,3,3,3,4,3,0,3,4,4,3,3,3,0,2
django__django-14672,1,2,5,5,5,1,1,2,5,4,2,1,3,1,5
django__django-14725,2,3,2,2,3,2,1,3,3,4,3,3,1,0,2
django__django-14752,1,1,5,3,5,1,1,2,5,3,2,2,3,1,4
django__django-14765,1,1,4,4,5,1,1,1,5,3,2,1,3,1,3
django__django-14771,2,3,4,4,4,2,1,3,4,4,4,2,2,0,5
django__django-14787,2,3,3,4,4,3,1,3,3,4,3,3,1,1,4
django__django-14792,2,4,4,4,4,3,1,4,4,4,4,3,2,0,4
django__django-14855,1,2,4,4,5,1,1,2,5,4,3,2,3,1,3
django__django-14915,1,3,4,4,4,2,1,3,4,4,2,3,1,1,4
django__django-14999,2,3,2,3,3,3,1,3,4,4,4,3,2,0,2
django__django-15022,2,3,4,3,4,3,1,4,3,4,3,3,1,0,4
django__django-15037,1,3,3,4,4,2,1,3,4,4,3,2,1,0,5
django__django-15098,2,3,5,4,5,3,1,3,5,4,2,2,1,0,5
django__django-15103,1,2,3,3,4,1,1,2,4,3,2,2,2,1,2
django__django-15104,1,2,5,5,5,1,1,2,5,4,2,1,3,1,5
django__django-15127,2,3,2,3,3,3,1,4,3,4,3,2,1,0,2
django__django-15128,2,4,5,5,4,4,0,4,4,5,3,3,2,0,5
django__django-15161,3,2,3,3,4,2,1,2,4,4,3,2,3,1,2
django__django-15252,2,3,4,4,4,2,1,3,4,4,4,3,2,1,3
django__django-15268,2,3,4,4,4,2,1,3,5,4,3,2,2,0,5
django__django-15277,2,2,5,5,5,1,1,2,5,4,2,2,3,1,5
django__django-15278,2,3,4,5,4,3,1,4,4,4,3,3,1,0,4
django__django-15280,3,4,5,5,5,4,0,4,5,5,3,2,1,0,5
django__django-15315,1,3,4,4,4,2,1,3,4,4,2,3,2,1,5
django__django-15368,1,2,5,5,5,1,1,2,4,4,2,2,3,1,5
django__django-15375,2,3,5,5,5,3,1,4,5,4,2,2,1,0,5
django__django-15380,1,3,4,5,4,2,1,3,4,4,3,2,1,0,4
django__django-15382,3,3,3,4,4,4,1,4,3,4,3,3,1,0,5
django__django-15467,1,2,5,4,5,1,1,2,5,3,2,2,3,1,4
django__django-15499,2,3,2,3,4,2,1,3,4,4,3,2,2,1,2
django__django-15503,2,3,5,4,4,3,1,3,5,4,3,2,1,0,5
django__django-15525,2,4,5,5,4,3,1,4,4,4,4,2,1,0,5
django__django-15554,2,4,3,4,4,4,0,4,4,4,3,3,1,0,4
django__django-15561,2,3,2,3,3,3,1,4,4,4,3,2,1,0,2
django__django-15563,3,4,4,4,4,4,0,4,4,5,3,3,1,0,5
django__django-15569,1,2,4,4,5,1,1,2,5,3,2,1,3,1,2
django__django-15572,1,3,5,4,4,2,1,3,4,4,3,2,2,1,4
django__django-15629,2,3,4,4,4,2,1,3,5,4,4,2,2,0,4
django__django-15695,2,4,4,5,4,3,1,4,4,4,3,2,1,0,5
django__django-15731,1,2,5,4,5,1,1,2,5,3,2,2,3,1,5
django__django-15732,2,4,3,4,3,3,1,4,4,4,4,3,1,0,3
django__django-15741,2,3,3,4,4,2,1,3,4,4,3,2,1,1,3
django__django-15814,2,3,5,5,5,2,1,3,4,4,3,2,3,0,5
django__django-15851,1,2,4,4,4,1,1,2,4,3,2,2,2,1,5
django__django-15863,1,2,4,4,4,2,1,2,4,3,2,2,2,1,5
django__django-15916,2,3,4,4,4,2,1,3,4,4,3,3,2,0,5
django__django-15930,2,3,4,5,4,3,1,4,4,4,3,2,1,0,5
django__django-15957,3,3,3,4,4,4,1,4,4,4,3,3,0,0,5
django__django-15973,2,4,5,5,4,3,1,4,4,4,4,2,1,0,5
django__django-15987,1,2,2,3,3,2,1,2,4,3,2,1,1,1,2
django__django-16032,2,4,4,5,4,3,1,4,4,5,2,2,1,0,5
django__django-16082,2,3,2,3,3,2,1,3,4,4,3,2,1,1,2
django__django-16100,1,2,2,2,3,2,1,3,4,4,4,2,2,1,1
django__django-16116,1,2,3,3,4,2,1,2,4,3,2,3,2,1,3
django__django-16136,2,3,5,5,5,3,1,3,4,4,2,2,1,0,5
django__django-16139,1,2,5,4,5,1,1,2,5,3,3,2,3,1,4
django__django-16145,1,2,4,4,4,2,1,2,5,3,2,1,2,1,5
django__django-16255,1,1,5,5,5,1,1,2,5,3,2,1,3,1,3
django__django-16256,2,2,5,4,5,2,1,2,5,4,3,2,3,1,2
django__django-16263,3,3,3,3,4,4,1,4,4,4,3,3,2,0,5
django__django-16315,2,3,4,5,5,2,1,3,5,4,3,1,2,0,4
django__django-16333,1,2,4,4,5,1,1,2,5,4,3,2,3,1,3
django__django-16429,1,2,5,5,5,1,1,2,4,3,2,1,3,1,5
django__django-16454,1,3,5,5,5,2,1,3,5,4,2,2,2,0,5
django__django-16485,1,3,4,5,4,2,1,3,3,4,2,2,0,0,5
django__django-16493,1,3,4,4,4,2,1,3,4,4,3,2,2,0,5
django__django-16502,2,3,5,4,5,2,1,3,5,4,2,2,1,1,5
django__django-16527,1,1,4,4,5,1,1,2,4,3,2,2,3,1,2
django__django-16560,2,2,3,3,4,2,1,2,4,3,2,2,2,1,2
django__django-16569,1,2,5,5,5,1,1,2,5,3,2,1,3,1,5
django__django-16595,1,2,4,4,5,2,1,2,4,4,2,2,3,1,5
django__django-16612,1,1,5,5,5,1,1,2,5,3,2,2,3,1,4
django__django-16631,2,3,4,4,4,2,1,3,4,4,3,2,2,0,3
django__django-16642,1,3,3,4,4,2,1,3,3,3,2,2,1,1,5
django__django-16661,2,4,4,4,4,3,0,4,4,4,3,2,2,0,5
django__django-16662,1,2,4,4,5,2,1,2,5,4,2,1,2,1,4
django__django-16667,1,2,5,5,5,1,1,2,3,3,2,1,2,1,5
django__django-16801,1,2,3,3,4,2,1,2,4,4,3,2,2,1,2
django__django-16819,2,3,1,2,2,3,1,3,3,4,3,2,1,1,1
django__django-16877,2,2,3,3,4,2,1,2,4,3,2,2,2,1,4
django__django-16899,1,2,4,4,4,2,1,2,5,3,2,1,2,1,3
django__django-16901,2,4,4,5,5,2,1,4,5,4,3,3,1,0,5
django__django-16938,3,4,4,5,4,4,1,4,3,4,3,3,1,0,5
django__django-16950,3,3,4,4,4,3,1,4,4,4,3,3,1,0,5
django__django-17029,1,2,4,4,5,1,1,2,5,3,3,1,3,1,3
django__django-17084,3,4,4,4,4,3,1,4,4,5,4,3,0,0,4
django__django-17087,2,4,4,4,4,3,1,3,5,4,3,2,1,0,5
django__django-7530,2,3,2,3,3,2,1,3,4,4,4,3,2,0,2
django__django-9296,1,1,4,3,5,1,1,1,5,2,2,2,3,1,4
matplotlib__matplotlib-13989,1,3,5,4,4,2,1,3,5,4,2,2,1,0,5
matplotlib__matplotlib-14623,2,3,5,4,4,3,1,3,5,4,2,3,0,0,5
matplotlib__matplotlib-20488,2,4,3,5,3,4,1,4,3,4,4,2,0,0,2
matplotlib__matplotlib-20676,1,3,5,4,4,2,1,3,4,4,2,2,1,0,5
matplotlib__matplotlib-20826,3,3,5,4,4,3,1,4,5,4,3,3,1,0,5
matplotlib__matplotlib-20859,1,2,5,5,5,1,1,2,4,3,2,2,3,1,5
matplotlib__matplotlib-21568,2,4,4,3,4,3,1,4,4,4,4,2,0,0,5
matplotlib__matplotlib-22719,2,3,5,5,4,3,1,3,3,4,2,3,1,0,5
matplotlib__matplotlib-22865,1,3,4,4,5,2,1,3,5,4,2,1,0,0,5
matplotlib__matplotlib-22871,2,3,5,4,4,3,1,3,4,4,2,2,1,0,5
matplotlib__matplotlib-23299,3,4,5,5,4,4,1,4,4,4,3,2,1,0,5
matplotlib__matplotlib-23314,2,3,4,3,4,3,1,3,4,4,2,2,0,0,5
matplotlib__matplotlib-23412,2,3,5,4,4,3,1,3,5,4,3,2,1,0,5
matplotlib__matplotlib-23476,2,4,5,5,4,3,1,3,5,4,4,2,1,0,5
matplotlib__matplotlib-24026,1,3,5,5,4,2,1,3,4,4,2,3,1,0,5
matplotlib__matplotlib-24149,2,3,5,5,4,2,1,3,5,4,2,2,1,0,5
matplotlib__matplotlib-24177,2,3,4,4,4,3,1,3,4,4,2,2,1,0,5
matplotlib__matplotlib-24570,1,2,4,4,5,2,1,2,5,3,2,3,2,1,5
matplotlib__matplotlib-24627,2,3,4,4,4,2,1,3,5,4,2,3,2,0,5
matplotlib__matplotlib-24637,1,3,5,4,4,2,1,3,4,4,3,1,2,1,5
matplotlib__matplotlib-24870,2,2,4,3,5,2,1,2,5,3,2,3,3,1,5
matplotlib__matplotlib-24970,1,2,5,5,4,2,1,3,5,3,2,2,1,1,5
matplotlib__matplotlib-25122,1,2,4,4,5,1,1,2,5,4,2,3,3,1,5
matplotlib__matplotlib-25287,1,2,5,4,5,1,1,2,5,3,2,2,3,1,5
matplotlib__matplotlib-25311,2,3,4,4,4,3,1,3,5,4,2,2,1,0,5
matplotlib__matplotlib-25332,2,3,4,4,4,3,1,3,5,4,2,2,1,1,5
matplotlib__matplotlib-25479,2,3,5,5,4,3,1,3,4,4,2,3,1,0,5
matplotlib__matplotlib-25775,3,2,3,3,4,3,1,3,4,4,3,2,2,1,2
matplotlib__matplotlib-25960,1,3,4,4,4,2,1,3,3,4,2,1,1,0,5
matplotlib__matplotlib-26113,1,2,5,5,5,2,1,2,5,3,2,4,3,1,5
matplotlib__matplotlib-26208,3,4,5,4,4,4,0,4,4,4,3,3,1,0,5
matplotlib__matplotlib-26291,2,3,5,5,4,3,1,3,4,4,2,2,1,0,5
matplotlib__matplotlib-26342,1,2,4,3,5,1,1,2,5,3,2,2,3,1,4
matplotlib__matplotlib-26466,2,2,4,4,4,2,1,2,5,3,2,2,2,1,5
mwaskom__seaborn-3069,3,4,3,3,3,4,0,4,4,4,4,3,2,0,2
mwaskom__seaborn-3187,2,3,5,4,4,2,1,3,4,4,2,2,2,0,5
pallets__flask-5014,1,1,3,3,4,1,1,2,5,3,2,2,2,1,3
psf__requests-1142,2,3,2,3,3,2,1,3,3,4,3,3,1,0,3
psf__requests-1724,1,2,5,5,5,2,1,2,4,3,2,2,2,1,5
psf__requests-1766,1,3,4,3,4,2,1,2,5,4,4,3,2,1,3
psf__requests-1921,2,2,4,4,4,2,1,2,5,3,2,3,2,1,5
psf__requests-2317,1,2,4,4,4,2,1,2,4,3,2,2,2,1,3
psf__requests-2931,2,3,4,3,4,2,1,3,4,4,2,3,1,1,5
psf__requests-5414,1,2,5,5,5,2,1,2,5,3,2,2,2,1,5
psf__requests-6028,2,4,3,3,3,4,1,4,4,5,4,2,1,0,3
pydata__xarray-2905,1,3,5,4,4,2,1,3,4,4,2,3,2,0,5
pydata__xarray-3095,2,3,5,5,4,3,1,3,5,4,2,2,1,0,5
pydata__xarray-3151,2,3,5,4,4,2,1,3,4,4,2,2,1,0,5
pydata__xarray-3305,1,2,5,4,5,2,1,2,5,3,2,1,1,1,5
pydata__xarray-3677,2,2,5,5,5,2,1,3,5,4,2,2,1,1,5
pydata__xarray-3993,1,2,4,4,5,1,1,2,5,3,2,4,2,1,5
pydata__xarray-4075,1,2,5,5,5,1,1,2,5,3,2,1,3,1,5
pydata__xarray-4094,2,3,5,4,4,3,1,4,4,4,2,2,0,0,5
pydata__xarray-4356,1,3,4,3,4,2,1,2,4,4,2,2,3,0,5
pydata__xarray-4629,1,1,5,5,5,1,1,2,5,2,2,1,3,1,5
pydata__xarray-4687,2,2,5,4,5,2,1,2,5,3,2,3,2,1,5
pydata__xarray-4695,2,3,4,4,4,2,1,3,4,4,2,1,1,0,5
pydata__xarray-4966,1,3,5,4,5,2,1,2,5,4,3,2,3,1,5
pydata__xarray-6461,1,3,4,5,4,2,1,3,3,4,2,2,1,0,5
pydata__xarray-6599,2,3,5,4,4,3,1,4,5,4,2,3,0,0,5
pydata__xarray-6721,2,3,5,5,4,2,1,3,4,4,3,2,1,0,5
pydata__xarray-6744,2,3,4,4,5,2,1,3,5,4,2,2,1,0,5
pydata__xarray-6938,2,3,5,4,4,3,1,4,5,4,3,2,1,1,5
pydata__xarray-6992,2,4,4,4,4,3,1,4,3,5,3,2,1,0,5
pydata__xarray-7229,3,3,5,4,4,4,1,4,5,4,2,3,1,0,5
pydata__xarray-7233,2,3,4,4,5,2,1,3,4,4,2,2,1,0,5
pydata__xarray-7393,2,3,5,4,4,3,1,3,5,4,2,2,1,0,5
pylint-dev__pylint-4551,2,3,4,3,4,3,1,3,4,4,3,2,1,0,4
pylint-dev__pylint-4604,2,3,5,4,5,3,1,3,5,4,2,1,1,0,5
pylint-dev__pylint-4661,2,2,3,3,4,2,1,2,4,3,3,4,2,1,2
pylint-dev__pylint-4970,1,2,3,4,4,2,1,2,5,3,2,2,2,1,3
pylint-dev__pylint-6386,1,2,5,5,5,1,1,2,5,3,2,1,1,1,5
pylint-dev__pylint-6528,2,3,5,4,5,2,1,3,5,4,2,2,1,0,5
pylint-dev__pylint-6903,1,2,5,5,5,1,1,2,5,2,3,1,3,1,4
pylint-dev__pylint-7080,2,3,5,4,4,3,1,3,5,4,3,2,1,0,5
pylint-dev__pylint-7277,1,3,5,4,5,1,1,2,5,3,3,2,3,1,5
pylint-dev__pylint-8898,1,3,5,5,5,2,1,3,4,3,2,3,1,1,5
pytest-dev__pytest-10051,1,3,5,5,5,1,1,3,5,4,2,2,2,1,5
pytest-dev__pytest-10081,2,3,5,5,5,3,1,3,5,4,2,2,1,0,5
pytest-dev__pytest-10356,2,3,4,4,4,3,1,3,4,4,3,3,2,0,5
pytest-dev__pytest-5262,1,3,5,5,4,2,1,2,4,3,2,2,2,1,5
pytest-dev__pytest-5631,1,2,5,5,5,1,1,2,4,3,2,2,3,1,4
pytest-dev__pytest-5787,3,3,4,4,4,3,1,3,5,4,3,2,1,0,5
pytest-dev__pytest-5809,1,1,5,4,5,1,1,1,5,2,3,1,3,1,5
pytest-dev__pytest-5840,2,4,3,4,3,3,1,4,4,4,4,2,1,0,3
pytest-dev__pytest-6197,2,3,5,5,5,2,1,3,5,4,2,3,1,0,5
pytest-dev__pytest-6202,1,3,5,5,5,1,1,2,5,4,2,3,3,0,5
pytest-dev__pytest-7205,1,2,5,5,5,1,1,2,4,3,2,1,2,1,5
pytest-dev__pytest-7236,2,3,5,5,5,3,1,3,5,4,2,2,1,0,5
pytest-dev__pytest-7324,2,4,3,5,3,3,1,4,3,4,4,2,1,0,5
pytest-dev__pytest-7432,1,3,5,5,5,2,1,3,5,4,2,1,2,0,5
pytest-dev__pytest-7490,2,3,5,4,5,3,1,3,5,4,2,4,0,0,5
pytest-dev__pytest-7521,2,3,5,5,5,2,1,3,5,4,2,3,0,0,5
pytest-dev__pytest-7571,2,3,4,4,4,2,1,3,5,4,2,2,1,1,5
pytest-dev__pytest-7982,1,1,5,4,5,1,1,1,4,3,2,2,3,1,3
pytest-dev__pytest-8399,1,3,4,4,4,2,1,2,5,4,2,2,2,1,5
scikit-learn__scikit-learn-10297,1,1,5,5,5,1,1,2,4,3,2,2,2,1,5
scikit-learn__scikit-learn-10844,1,2,3,4,4,1,1,2,4,2,3,1,3,1,2
scikit-learn__scikit-learn-10908,1,2,5,5,5,2,1,2,4,3,2,2,2,1,5
