solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at,num_lines,num_pipes,log_lines
0,3,5,5,4,5,3,0,"This task requires a highly specialized multi-stage pipeline: image processing to recognize chess pieces from a PNG, conversion to FEN notation, and chess engine integration to find optimal moves. The solution demands deep knowledge of computer vision (template matching), chess notation systems, and chess engine APIs (python-chess, Stockfish). The combination of image recognition, domain-specific encoding, and external tool integration makes this an extremely atypical and complex shell task.",chess-best-move,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:51.169815,237,0,2.376576957056512
2,3,4,5,4,4,4,0,"This task requires deep knowledge of Bayesian networks, causal inference, and the bnlearn R package. The solution involves structure learning, understanding Markov equivalence classes, implementing custom causal interventions with parameter modification, and correctly applying domain-specific rules for edge directionality. The multi-step process of learning DAG structure, fitting parameters, performing surgical interventions, and sampling requires specialized statistical/probabilistic graphical model expertise that goes well beyond standard shell scripting.",bn-fit-modify,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:07.639929,119,0,2.0791812460476247
1,3,3,4,4,3,2,1,"This task requires security domain knowledge to identify CRLF injection (CWE-93) vulnerabilities in HTTP header handling code, which is specialized knowledge. The solver must understand how CRLF attacks work, locate the vulnerable _hkey/_hval functions in a large codebase, and apply proper input validation. While the fix pattern is standard once identified, finding the vulnerability requires understanding web security concepts and code analysis skills.",fix-code-vulnerability,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.050345,34,0,1.5440680443502757
2,4,5,4,4,4,3,0,"This task requires building legacy Caffe framework from source with numerous compatibility fixes for modern systems (OpenCV4, HDF5, protobuf API changes). The solution involves complex library linking, source code patches using sed, and deep knowledge of C++ build systems and deep learning frameworks. While the task description provides clear goals, the actual implementation requires handling many undocumented compatibility issues that wouldn't be found in standard tutorials.",caffe-cifar-10,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:38.158882,42,1,1.6334684555795864
1,4,4,3,4,3,4,0,"This task requires creating a bidirectional resharding system with constraints on file count and size, plus perfect reconstruction. The solution needs careful tracking of which pages came from which files via reverse mapping, handling gzip compression, and managing metadata - requiring significant logical reasoning about data partitioning and reconstruction. The use of uv for Python environment management adds tooling complexity, and verification is difficult since exact reconstruction must be validated.",reshard-c4-data,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:56.773979,181,0,2.2600713879850747
3,5,4,5,4,4,4,1,"This task requires deep expertise in Bayesian statistics, Stan probabilistic programming, and R. The key difficulty lies in correctly implementing the prior distribution (alpha + beta)^(-5/2) through parameter transformation (u, v parameterization), which requires understanding of Jacobian transformations. The solution involves complex tooling setup with RStan compilation dependencies, specific package versions, and MCMC configuration for reproducible sampling.",mcmc-sampling-stan,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:38.360462,142,0,2.155336037465062
2,4,4,4,3,3,3,1,"This task requires writing a C extension for Python using the NumPy C API, which demands specialized knowledge of both C programming and Python extension development. The mathematical formulas are clearly provided, but implementing them correctly with proper memory management, array handling, and the PyArg_ParseTuple interface requires significant domain expertise. The tooling complexity is high due to the need to work with Python's extension build system and NumPy's C API.",portfolio-optimization,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:48.312739,156,0,2.1958996524092336
1,3,4,5,4,4,4,0,"This task requires specialized physics/spectroscopy knowledge to understand Raman spectroscopy, graphene peaks (G and 2D), and Lorentzian fitting. The solution involves data format conversion, wavelength-to-wavenumber conversion, peak isolation, and curve fitting with scipy. The task mentions fitting but doesn't explain the Lorentzian model or the physical context needed to set appropriate initial guesses and cropping ranges.",raman-fitting,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:52.115763,101,0,2.0086001717619175
1,2,5,5,5,5,4,0,"This task requires cross-compiling Doom for MIPS architecture, which involves creating a completely custom build system with LLVM IR generation, custom stdlib implementation, and a fake filesystem. The solution requires deep knowledge of cross-compilation toolchains, C library internals, MIPS assembly, and ELF binary formats. The massive patch file shows this is a highly unusual task requiring significant modifications to handle the absence of standard library dependencies and architecture-specific considerations.",make-doom-for-mips,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:41.166320,11537,130,4.062130534622123
0,4,2,4,4,4,2,1,"This task requires specialized knowledge of XSS bypass techniques and understanding of HTML parser quirks, specifically the malformed comment technique that exploits how browsers handle '<!-->'. While the actual solution is a single echo command, discovering this bypass requires deep knowledge of web security and HTML parsing edge cases. The verification is straightforward with the provided test script, but the conceptual difficulty lies in knowing obscure XSS filter bypass patterns.",break-filter-js-from-html,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:12.976458,5,0,0.7781512503836436
3,5,3,3,2,2,2,1,"The task provides exact steps and specifications for creating SSL certificates, making it very clear what's required. It requires knowledge of OpenSSL commands and certificate concepts, but follows well-documented patterns. The solution involves multiple steps (key generation, certificate creation, verification script) but each step is straightforward and commonly documented.",openssl-selfsigned-cert,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:44.328688,99,0,2.0
2,3,3,3,3,3,3,1,"The task requires knowledge of gcov instrumentation flags (-ftest-coverage, -fprofile-arcs) and the SQLite build system. While compiling with coverage is a documented pattern, combining the specific CFLAGS with configure options and ensuring PATH availability requires moderate domain knowledge. The solution involves multiple tools (apt, tar, make, configure) and understanding how to properly link the binary for system-wide access.",sqlite-with-gcov,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:58.182125,27,0,1.4471580313422192
0,3,4,4,4,3,3,1,"This task requires deep SQL optimization knowledge including CTEs, window functions (ROW_NUMBER), aggregate functions, and understanding of query execution plans. The solver must analyze an existing query, understand its inefficiencies, and rewrite it while preserving identical output. The complexity comes from needing to reason about database schema relationships and optimization strategies without seeing the original slow query.",query-optimize,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:49.480576,54,0,1.740362689494244
2,4,5,5,4,4,4,0,"This task requires deep understanding of PyTorch distributed training, pipeline parallelism concepts (AFAB scheduling), and the LLaMA model architecture. The solution involves complex coordination of forward/backward passes across ranks with P2P communication, proper gradient handling, and model partitioning. While the task description provides the general approach (AFAB scheduling), implementing the actual P2P communication pattern and gradient flow requires specialized knowledge of distributed systems and autograd mechanics.",torch-pipeline-parallelism,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:57.962847,112,0,2.0530784434834195
1,3,4,4,4,3,3,0,"This task requires deep knowledge of NumPy API deprecations (n.float → n.float64, np.int → np.int64, fractions.gcd → math.gcd), Cython compilation, and Python packaging. The solver must identify multiple compatibility issues across different source files by reading error messages and applying targeted sed fixes. While NumPy deprecation patterns are somewhat documented, finding all affected files and the specific replacements needed requires significant debugging and domain expertise in Python scientific computing.",build-cython-ext,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:19.309252,19,2,1.3010299956639813
1,3,3,3,3,2,4,1,"This task requires knowledge of XSS attack vectors and HTML parsing with BeautifulSoup. The solution must handle multiple JavaScript injection points (script tags, event handlers, javascript: URLs, iframes) while preserving HTML structure. Verification is difficult because XSS has many edge cases and bypass techniques that need testing, though the general pattern of HTML sanitization is well-documented.",filter-js-from-html,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.235182,46,0,1.6720978579357175
3,5,4,4,3,2,3,1,"The task provides extremely detailed step-by-step instructions that essentially describe the solution, including specific file paths, configuration syntax, and exact content. However, the solution requires deep Nginx knowledge including custom log formats, rate limiting zones, sed manipulation of config files, and proper server block configuration. While this is a common sysadmin pattern, the combination of multiple Nginx features (logging, rate limiting, error pages) and the need to modify both nginx.conf and create new config files adds significant complexity.",nginx-request-logging,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:44.416367,60,9,1.7853298350107671
2,4,4,5,4,4,4,1,"This task requires deep knowledge of PyTorch distributed computing, tensor parallelism concepts, and custom autograd functions. The solution involves implementing both forward and backward passes correctly with proper gradient handling across distributed processes. While the task description provides clear signatures and behavior expectations, implementing the autograd functions for all_gather and all_reduce operations with correct backward passes requires specialized understanding of distributed deep learning patterns.",torch-tensor-parallelism,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:58.240733,142,0,2.155336037465062
1,4,4,4,4,4,2,0,"This task requires creating a polyglot file that is valid in both Python and C, which demands deep understanding of both languages' syntax and preprocessing mechanisms. The solution cleverly uses C preprocessor directives and Python comments/strings to hide code from each respective interpreter. While verification is straightforward (just run both commands), the creative reasoning needed to interleave valid syntax for two very different languages makes this a challenging and unusual task.",polyglot-c-py,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:45.270417,57,0,1.7634279935629371
1,4,4,4,4,4,2,0,"This task requires deep knowledge of LaTeX compilation, log parsing, and implementing a combinatorial optimization approach to fix overfull hbox warnings by substituting synonyms. The solution involves iteratively parsing pdflatex logs, identifying problematic lines, and making strategic word substitutions - a novel pattern combining document processing with constraint satisfaction. The verification is straightforward (check for no warnings), but the solution requires understanding LaTeX internals and implementing custom Python logic.",overfull-hbox,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:43.344296,85,0,1.9344984512435677
1,4,5,5,5,5,3,0,"This task requires deep mathematical understanding of KL divergence, probability distributions, and numerical optimization. The solution involves a sophisticated three-level distribution approach with Newton's method optimization, requiring understanding of how to construct distributions with specific KL divergence properties in both directions simultaneously. The algorithm is highly specialized - finding a distribution where both forward and backward KL divergences equal exactly 10.0 with a vocabulary of 150,000 is a non-trivial numerical problem with no standard pattern available.",distribution-search,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:04.292413,314,24,2.4983105537896004
1,3,5,5,5,5,4,0,"This is a model extraction attack requiring deep understanding of neural network internals, differential cryptanalysis-style techniques, and the specific mathematical properties of ReLU activations. The solution implements a sophisticated algorithm to find critical points where ReLU neurons change activation state, then uses second-order derivatives to recover weight ratios. This is cutting-edge ML security research (referencing Jagielski et al. 2019) requiring exceptional domain expertise in both machine learning and adversarial techniques.",model-extraction-relu-logits,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:39.052873,348,28,2.5428254269591797
1,3,3,5,4,4,2,1,"This task requires deep knowledge of Coq theorem prover, including understanding induction tactics, rewriting with lemmas (plus_n_O, plus_n_Sm), and the structure of formal proofs. While the commutativity proof is a standard exercise in Coq tutorials, it requires specialized domain knowledge of dependent type theory and proof assistants that most developers don't possess. The verification is straightforward since coqc will fail if the proof is incorrect.",prove-plus-comm,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:48.921570,21,1,1.3424226808222062
1,4,3,4,3,3,3,1,"The task requires finding an eigenvalue solver faster than numpy's implementation, which demands knowledge of numerical linear algebra libraries and performance optimization. The solution uses the specialized eigenpy library (C++ Eigen bindings), requiring domain knowledge about alternative numerical computing libraries. While the pattern of using optimized C++ libraries for Python performance is known, discovering eigenpy as the specific solution requires exploration.",largest-eigenval,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:34.260000,21,0,1.3424226808222062
3,5,3,4,3,2,3,1,"The task provides exact steps including specific package versions, proto file structure, service methods, and port numbers, essentially giving the solution approach. However, it requires understanding gRPC concepts, protobuf syntax, Python gRPC server implementation patterns, and background process management. While this is a well-documented pattern with standard gRPC tutorials available, the multi-step nature with code generation and server implementation adds moderate complexity.",kv-store-grpc,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:31.493869,70,0,1.8512583487190752
1,4,5,4,5,4,3,0,"This task requires implementing a sophisticated batching scheduler with multiple optimization objectives (cost, padding ratio, latency). The solution involves k-medoids clustering, dynamic programming for batch segmentation, and grid search over hyperparameters - requiring deep understanding of LLM inference costs and algorithmic optimization. While the task provides a cost model and baseline for comparison, the actual optimization approach (shape selection strategies, DP-based splitting) must be devised from scratch.",llm-inference-batching-scheduler,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:35.382186,418,1,2.622214022966295
2,4,4,4,3,3,3,1,"This task requires integrating multiple complex systems: Git bare repository setup, SSH authentication configuration, Nginx HTTPS with self-signed certificates, and Git post-receive hooks for automated deployment. It demands deep knowledge of Git internals (bare repos, hooks), SSH/PAM authentication, Nginx configuration, and SSL certificates. While each component follows standard patterns individually, combining them correctly with proper permissions and timing constraints adds significant complexity.",git-multibranch,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:30.207934,54,3,1.740362689494244
1,3,5,5,4,4,3,0,"This task requires implementing a complete neural network inference pipeline in C, including weight conversion from PyTorch format, PNG image loading, and forward propagation through a multi-layer network. It demands deep knowledge of ML model internals, C programming with external libraries (cJSON, lodepng), and understanding PyTorch weight serialization. The solution involves multiple interdependent stages: examining the model architecture, converting weights to JSON, writing C code for matrix operations and neural network layers, and proper compilation with external dependencies.",pytorch-model-cli,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:50.583814,208,8,2.3201462861110542
2,4,3,4,3,4,3,0,"This task requires specialized knowledge of the MTEB library and embedding models, including understanding how to use specific model revisions, prompt types, and the similarity computation API. The solution involves non-trivial Python code with the mteb package that isn't commonly documented. The task is clearly specified but requires domain expertise in text embeddings and familiarity with the MTEB library's interface patterns.",mteb-retrieve,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:40.025208,17,0,1.255272505103306
1,3,3,4,3,3,3,1,"This task requires specialized knowledge of HuggingFace datasets API, tokenizers, and understanding that 'science domain' maps to chemistry/biology/physics. The solver must know to use the 'metadata' config, filter by domain, and count tokens from both deepseek_reasoning and deepseek_solution fields - information that requires reading dataset documentation. While the individual components (loading datasets, tokenization) follow standard patterns, combining them correctly requires domain expertise in ML data processing.",count-dataset-tokens,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:34.632544,29,0,1.4771212547196624
1,3,2,5,3,4,3,0,"This task requires highly specialized knowledge of MuJoCo physics simulation and MJCF file format to know that changing the solver to 'PGS' can significantly speed up simulation while maintaining physics accuracy. The solution itself is simple (just adding one XML option), but discovering this requires deep domain expertise in physics simulation solvers. The hint about not changing physical properties provides some direction, but doesn't reveal the solver optimization approach.",tune-mjcf,claude-opus-4-5-20251101,anthropic,2026-01-24T14:01:00.526479,6,0,0.8450980400142568
1,4,4,3,4,3,3,0,"This task requires parsing ICS calendar files, implementing constraint satisfaction logic with multiple overlapping constraints (availability windows, calendar conflicts, preferences), and generating valid ICS output. The logical reasoning is complex due to the interplay of hard constraints (Alice's 2PM cutoff, Bob's Tuesday/Thursday early leave, Carol's lunch break) and soft preferences (tie-breakers). While the individual components are not exotic, combining calendar parsing with multi-person scheduling constraint satisfaction is not a standard cookbook pattern.",constraints-scheduling,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:27.603222,168,0,2.2278867046136734
1,3,4,4,3,4,4,0,"This task requires downloading a YouTube video, performing video transcription/OCR to extract text from gameplay footage, and then parsing out specific user inputs from a Zork game session. The solution involves specialized video processing and transcription tools (like yt-dlp, OCR or speech-to-text), understanding of the Zork game format to identify moves, and manual extraction of ~200+ commands. Verification is difficult as it requires comparing against the actual video content, and there's no standard pattern for extracting text-based game inputs from video recordings.",extract-moves-from-video,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:28.230877,290,0,2.4638929889859074
1,3,3,4,3,3,4,1,"This task requires understanding Python's asyncio, specifically semaphores for concurrency limiting and TaskGroup for structured concurrency with proper cancellation handling. The hint about keyboard interrupt and cleanup code suggests needing TaskGroup's cancellation semantics, but this isn't explicitly stated. Verification is difficult because testing cancellation behavior and cleanup execution requires careful async testing setup.",cancel-async-tasks,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:43.571325,23,0,1.380211241711606
1,3,5,5,4,4,3,0,"This task requires deep knowledge of the ELF binary format including header structures, section headers, symbol tables, and memory layout. The solution involves parsing complex binary structures with different handling for 32-bit vs 64-bit formats, endianness considerations, and extracting memory values from multiple sections (.text, .data, .rodata). While the output format is specified, the actual implementation requires specialized systems programming knowledge that goes beyond typical shell scripting.",extract-elf,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.668431,295,0,2.4712917110589387
1,3,4,4,4,4,4,0,"This task combines git bundle operations (relatively obscure) with an ARC-AGI style pattern inference problem. The solver must understand git internals for fetching from bundles, handle potential merge conflicts, and then reverse-engineer a mapping function from examples.json - requiring significant logical reasoning to identify the pattern (diagonal-based modular arithmetic). The verification requires testing against hidden inputs, making correctness hard to fully validate.",merge-diff-arc-agi-task,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:38.706898,53,0,1.7323937598229686
3,5,2,3,2,2,2,1,"The task provides extremely detailed instructions including exact output format, required libraries, and specific coding patterns (pathlib, UTF-8, configparser). The solution is straightforward Python 3 code using pandas for CSV processing and requires knowledge of Python 2 to 3 migration patterns, but these are well-documented. The verification is easy since the expected output format is explicitly specified.",modernize-scientific-stack,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:38.976053,50,0,1.7075701760979365
1,4,4,5,4,5,4,0,"This task requires deep molecular biology knowledge (PCR primer design, site-directed mutagenesis, plasmid cloning) combined with specialized bioinformatics tools (emboss, primer3, oligotm). The solution involves sequence alignment to identify differences between input/output plasmids, understanding reverse complement operations, and calculating melting temperatures with specific parameters. This is a highly specialized domain task that combines biology expertise with shell scripting skills.",dna-insert,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.206134,33,7,1.5314789170422551
1,3,4,5,3,4,4,0,"This task requires highly specialized knowledge of the MTEB (Massive Text Embedding Benchmark) ecosystem, including understanding how to access the Scandinavian leaderboard data programmatically. The solution involves cloning a specific results repository, checking out a particular commit for the August 2025 timeframe, and writing custom Python code using the mteb library to parse and aggregate results across multiple tasks. The combination of obscure domain knowledge (embedding model benchmarks) and non-standard data access patterns makes this particularly challenging.",mteb-leaderboard,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:41.085518,58,0,1.7708520116421442
2,4,4,4,3,4,4,0,"This task requires deep knowledge of QEMU virtualization, VNC configuration, and legacy system compatibility. The solution involves compiling QEMU 5.2.0 from source for Windows 3.11 compatibility, configuring multiple interconnected services (QEMU, VNC, websockify, nginx), and setting up a monitor socket for programmatic keyboard control. The combination of retro-computing requirements, specific QEMU version compilation, and multi-service orchestration makes this an unusual and complex task.",install-windows-3.11,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:32.702331,193,20,2.287801729930226
1,3,5,5,5,5,3,0,"This task requires deep cryptographic knowledge of differential cryptanalysis attacks on FEAL ciphers. The solution involves understanding FEAL's internal structure (G and F functions), crafting specific input differentials (0x8080000080800000), and implementing a key recovery attack that filters candidates based on output differentials. This is highly specialized cryptographic knowledge that goes beyond standard patterns, requiring understanding of how differential characteristics propagate through the cipher's round function.",feal-differential-cryptanalysis,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.934065,102,4,2.012837224705172
1,3,4,4,4,4,4,0,"This task requires specialized computer vision knowledge including background subtraction (MOG), morphological operations, and motion tracking to detect jump events in video. The solution involves complex multi-stage processing: frame extraction, background modeling, noise filtering, foot position tracking, and identifying the jump as the largest movement event. The task provides only a vague hint ('figure out how to detect when the jump happens') while requiring sophisticated CV algorithms and careful reasoning about what constitutes takeoff/landing frames.",video-processing,claude-opus-4-5-20251101,anthropic,2026-01-24T14:01:00.671461,173,0,2.2405492482826
2,4,4,4,3,3,3,1,"This task requires knowledge of Python packaging (setup.py, build tools), PyPI server setup (pypiserver), authentication configuration (htpasswd), and the interaction between multiple tools (pip, twine, build). The solution involves multiple interdependent steps including package creation, server configuration with authentication, building distributions, and uploading. While each component follows standard patterns, combining them correctly requires significant domain expertise in Python packaging infrastructure.",pypi-server,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:49.654570,86,0,1.9395192526186185
1,3,4,4,4,3,2,1,"This task requires understanding buffer overflow vulnerabilities and crafting a specific payload to exploit memory layout. The solver needs knowledge of C memory structures, little-endian byte ordering, and binary exploitation techniques. While buffer overflows are a well-documented pattern, identifying the correct buffer size and understanding how to overwrite the authenticated flag requires specialized security knowledge and logical reasoning about program behavior.",vulnerable-secret,claude-opus-4-5-20251101,anthropic,2026-01-24T14:01:00.523767,39,4,1.6020599913279625
2,4,4,5,4,4,3,0,"This task requires deep PyTorch expertise to reverse-engineer a transformer architecture from a state dictionary, understanding layer naming conventions, positional encoding implementation, and TorchScript serialization. The solver must infer exact hyperparameters (d_model=128, nhead=4, num_encoder_layers=3, etc.) from weight tensor shapes, which is a highly specialized skill. While the task description outlines the general approach, implementing the correct architecture to match the state dict requires significant domain knowledge and logical reasoning about neural network structures.",pytorch-model-recovery,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:49.580745,109,0,2.041392685158225
1,3,5,5,4,4,4,0,"This task requires deep expertise in both Postfix mail server configuration and Mailman3 mailing list management, including their integration via LMTP transport. The solution involves configuring multiple interdependent services, creating proper directory structures with correct permissions, writing Python configuration scripts for Mailman internals, and ensuring proper mail routing between systems. The combination of email server administration, mailing list software configuration, and service orchestration makes this exceptionally complex.",mailman,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:35.834123,149,9,2.1760912590556813
0,4,5,5,5,5,2,0,"This task requires creating a polyglot file that compiles and runs correctly as both Rust and C++, which demands deep knowledge of both languages' preprocessor/comment syntax and parsing rules. The solution exploits intricate interactions between C++ preprocessor directives, comments, and Rust's macro system to make the same code parse differently in each language. This is an extremely rare and specialized task requiring creative exploitation of language edge cases with no standard patterns to follow.",polyglot-rust-c,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:46.355885,140,12,2.1492191126553797
0,3,4,4,3,3,2,1,"This task requires knowledge of password cracking tools (John the Ripper), specifically the 7z2john.pl script for extracting hashes from 7z archives. The solution involves multiple specialized tools (John the Ripper, 7zip), installing Perl dependencies, and understanding the password cracking workflow. While the pattern is documented in security/CTF contexts, it requires domain-specific knowledge that goes beyond standard Unix administration.",crack-7z-hash,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:40.907536,37,0,1.57978359661681
1,3,5,5,5,5,4,0,"This task requires deep molecular biology knowledge about Golden Gate cloning, BsaI enzyme recognition sites, PCR primer design, and DNA sequence manipulation. The solution involves complex multi-step reasoning to determine where fragments join, calculate proper overhangs for seamless assembly, handle reverse complements, and satisfy multiple constraints (Tm, length, enzyme sites). The tooling requires specialized bioinformatics tools (EMBOSS, primer3) and the problem domain is highly specialized with no standard shell patterns available.",dna-assembly,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:26.936810,77,19,1.8920946026904804
1,3,5,5,4,5,3,0,"This task requires building legacy software from 1993 (POV-Ray 2.2) which demands extensive knowledge of C89 compilation, legacy build systems, and source code patching for modern compatibility. The solution involves downloading archives from specific URLs, extracting with obsolete compression tools (ncompress), patching source files to fix header conflicts, adding deterministic RNG functions, and modifying makefiles - none of which is documented in standard resources. This is an extremely rare pattern requiring deep systems knowledge and trial-and-error debugging of decades-old code.",build-pov-ray,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:32.314627,110,18,2.0453229787866576
