solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,integration_complexity,reasoning,_task_id,_model,_provider,_extracted_at,num_files_modified,num_hunks,num_lines_changed,log_lines_changed
3,5,1,3,2,1,2,1,2,"The problem statement explicitly identifies the missing cache clearing call and even points to the existing register_lookup method that already does this correctly. The fix is a trivial one-liner addition of cls._clear_cached_lookups(). The main requirement is understanding Django's lookup registration system, but the solution pattern is already demonstrated in the codebase.",django__django-15569,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:27.948788,1,1,1,0.3010299956639812
1,4,2,4,3,3,2,1,2,"The problem clearly describes the issue (lazy strings can't be concatenated with the add filter), but only vaguely hints at the solution (TypeError message). The fix requires understanding Django's lazy evaluation proxy pattern and implementing __add__ and __radd__ magic methods, which requires deep knowledge of Python's operator overloading and Django's functional utilities. The actual code change is simple (adding two methods), but knowing where and how to add them requires familiarity with Django's lazy proxy implementation.",django__django-13794,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:53.649187,1,1,6,0.8450980400142568
3,5,1,3,1,1,2,1,2,"The problem statement explicitly states the solution: 'This change would just involve setting these classes as allowing DISTINCT'. The gold patch confirms this is literally just adding `allow_distinct = True` to two classes (Avg and Sum). This requires knowing Django's aggregate internals but the solution is trivially simple once you know where to look, following an existing pattern from Count.",django__django-11603,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:17.264053,1,2,2,0.47712125471966244
3,5,3,4,4,3,3,0,3,"The problem statement includes a complete detailed analysis with a truth table of all logical cases and provides the exact corrected code. However, the fix requires deep understanding of Django's admin validation system, model meta options, and field descriptors. The logical reasoning needed is significant due to the multiple interacting conditions (hasattr, get_field, AttributeError, ManyToManyField checks) that must be correctly ordered and handled.",django__django-11551,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:17.154027,1,1,42,1.6334684555795864
1,4,4,5,4,4,3,0,4,"This task requires deep knowledge of HTTP protocol (RFC 2616/9110), WSGI internals, and Django's server implementation. The solution involves overriding multiple methods (cleanup_headers, finish_response) with careful handling of Content-Length headers and response body consumption for HEAD requests. The fix requires understanding subtle interactions between headers, persistent connections, and the WSGI response lifecycle.",django__django-16502,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:42.235871,1,3,27,1.4471580313422192
1,4,4,5,4,4,3,0,4,"This task requires deep understanding of SymPy's set theory internals, particularly how ImageSet intersections with Reals are computed. The fix involves understanding the subtle difference between subtracting invalid values from a base set versus intersecting with valid solutions, requiring knowledge of symbolic math operations like solve_linear, numer, and denoms. The solution changes the algorithmic approach from set subtraction to set intersection with a union of solutions, which is a non-obvious fix requiring significant domain expertise.",sympy__sympy-21596,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:50.660502,1,3,37,1.5797835966168101
0,5,3,4,3,3,3,0,3,"The problem is very clearly described with reproduction steps, but finding the solution requires deep knowledge of Sphinx's autodoc internals, specifically the typehints module and how it processes field lists. The fix involves modifying the `modify_field_list` function to suppress return types for classes and adding conditional logic based on object type, which requires understanding multiple interacting components in the autodoc system.",sphinx-doc__sphinx-10449,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:00.479562,1,3,12,1.1139433523068367
2,4,2,3,2,1,2,1,2,"The problem clearly states the desired change (make element_id optional) and even hints that making it optional doesn't break tests. The solution involves a standard pattern of adding a default parameter value and conditional logic. The main complexity is knowing that Django has both a template filter and a utility function that need to be modified, requiring framework-specific knowledge of Django's structure.",django__django-15103,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:17.799673,2,3,17,1.255272505103306
2,4,3,3,3,2,2,1,2,"The problem clearly identifies that the 3rd dimension is ignored when zipping points of different dimensions. The solution requires understanding how to handle dimension mismatches - padding the shorter point with zeros and computing the full Euclidean distance. The fix involves moderate logic to handle different point types and lengths, but follows a standard pattern of dimension alignment in geometry libraries.",sympy__sympy-11618,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:20.795917,1,1,14,1.1760912590556813
1,4,2,4,3,3,3,1,3,"The problem is clearly described with a failing test case, but the hints only vaguely mention using SchemaEditor._create_index_name() which isn't the actual solution. The fix is simple (3 lines adding a no-op check when old and new names match), but requires understanding Django's migration system and how RenameIndex handles unnamed indexes. The solution follows a common idempotency pattern but requires domain-specific knowledge of how migration operations work.",django__django-15695,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:29.343547,1,1,3,0.6020599913279624
3,5,2,3,2,2,2,1,2,"The problem statement explicitly describes the solution: set disabled=True on ReadOnlyPasswordHashField, which eliminates the need for clean_password and the bound_data/has_changed methods. The fix is straightforward - add one line to set disabled=True and remove now-redundant code. Requires Django forms knowledge but follows a well-documented pattern using the disabled field argument.",django__django-13741,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:52.531604,1,2,15,1.2041199826559248
1,4,1,4,3,3,2,0,3,"The fix is a trivial one-character change (old_model_name to model_name), but identifying it requires understanding Django's migration autodetector internals, specifically how renamed models are tracked between states. The problem description clearly identifies the regression commit and the exact error location, making diagnosis easier. The test case name directly hints at the scenario (rename field with renamed model), but understanding why the to_state needs the new model name while from_state needs the old name requires domain-specific reasoning about state transitions.",django__django-15380,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:24.815999,1,1,2,0.47712125471966244
2,4,2,3,3,2,2,1,2,"The problem statement clearly identifies the bug (empty dict vs None for env) and even links to the commit that introduced it and a PR. The fix is straightforward - ensuring empty dict returns None and fixing the env merging logic. Requires understanding Django's database client infrastructure and subprocess env handling, but the pattern of handling None vs empty dict for environment variables is common.",django__django-14315,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:04.112861,2,2,5,0.7781512503836436
3,5,1,3,2,1,2,1,2,"The problem statement explicitly provides the exact solution code (`batch_size = min(batch_size, max_batch_size) if batch_size else max_batch_size`) and points to the analogous correct implementation in bulk_update. The fix is a simple one-liner that follows an existing pattern in the same codebase. The only knowledge required is understanding Django's ORM batch processing, but the solution is handed to the solver.",django__django-11951,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:22.642765,1,1,3,0.6020599913279624
1,4,4,5,4,4,3,0,4,"This task requires deep knowledge of Django's ORM lookup system, JSON field implementations across multiple databases (MySQL, Oracle, SQLite), and SQL generation. The solution involves creating a custom KeyTransformIn lookup class with database-specific SQL generation for JSON extraction, handling edge cases like MariaDB vs MySQL differences. The hints only indicate which databases are affected, not the solution approach involving custom lookup registration and RHS processing.",django__django-13346,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:44.909178,1,2,25,1.414973347970818
2,5,2,3,2,2,2,1,2,"The problem is crystal clear with exact reproduction steps and expected output. The solution is a simple edge case check for empty support vectors (n_SV=0) to avoid division by zero. The fix requires understanding SVM internals and sparse matrix handling, but the actual code change is straightforward - adding a conditional to handle the empty case.",scikit-learn__scikit-learn-14894,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:54.215524,1,1,13,1.146128035678238
2,4,2,3,2,1,2,1,2,"The task clearly describes adding a --skip-checks option to runserver, similar to other management commands. The solution requires Django management command knowledge (argument parsing, execute flow) but follows a standard pattern - adding an argument and conditionally skipping checks. The gold patch shows a simple addition of a parser argument and a conditional check, making this a straightforward extension of existing functionality.",django__django-13809,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:54.464119,1,2,9,1.0
2,4,1,3,2,2,2,1,2,"The problem clearly states that posify should preserve assumptions like 'finite', and the hint explicitly suggests retaining other assumptions when adding 'positive=True'. The solution is a trivial one-liner change adding `**s.assumptions0` to preserve existing assumptions. The main requirement is understanding SymPy's assumption system and the `assumptions0` property, but the fix pattern is straightforward once located.",sympy__sympy-16450,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:34.381669,1,1,2,0.47712125471966244
3,5,1,3,1,1,2,1,1,"The problem statement explicitly describes the exact solution: replace the type-checking and conversion logic with an assertion that real_apps is a set when non-None. This is a trivial code change that requires minimal reasoning - just mechanical replacement of conditional logic with an assert statement. The main requirement is understanding Django's migration state internals, but the change itself is straightforward.",django__django-14765,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:13.001003,1,1,7,0.9030899869919435
3,4,2,4,2,3,3,1,2,"The hints section explicitly provides the exact monkey-patch solution with the specific character escaping needed (`{:}` for colons, `\;` for spaces). The fix requires understanding LaTeX math mode spacing rules and matplotlib's internal `_wrap_in_tex` function, but the actual code change is simple string replacement. The solution is straightforward once the TeX spacing issue is identified.",matplotlib__matplotlib-21568,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:56.684012,1,1,7,0.9030899869919435
0,4,4,4,4,3,2,0,3,"This bug requires deep understanding of Python AST parsing, specifically how positional-only arguments and their defaults are structured differently than regular arguments. The fix requires careful index manipulation to properly align defaults with both posonlyargs and regular args, which is non-trivial algorithmic logic. The problem statement is clear about the symptom but gives no hint about the solution approach in signature_from_str.",sphinx-doc__sphinx-7757,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:05.787691,1,1,25,1.414973347970818
0,4,2,4,3,3,3,0,3,"The fix is a simple one-line change (passing `field.remote_field.through` instead of `remote_field_model` to `resolve_relation`), but finding this requires deep understanding of Django's migration autodetector internals. The problem involves understanding how M2M through models are resolved across different apps during migration dependency calculation. The traceback helps locate the general area but doesn't point to the actual bug location in autodetector.py.",django__django-15973,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:34.647439,1,1,2,0.47712125471966244
1,5,2,3,3,3,2,1,2,"The problem is crystal clear with examples and expected behavior, but only vaguely hints at needing to differentiate separator vs keystroke positions. The solution requires understanding regex lookahead/lookbehind assertions to ensure separators are only matched when surrounded by actual characters. This is a single-line regex change requiring moderate regex knowledge and understanding of the parsing context.",sphinx-doc__sphinx-8621,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:13.254429,1,1,2,0.47712125471966244
1,4,1,3,3,2,2,1,2,"The bug is a simple variable overwrite issue where `hist_kwargs = dict(density=density)` creates a new dict, discarding the previously set `range` key. The fix is trivial - just update the existing dict instead of creating a new one. The challenge is identifying that this is the source of the problem, which requires understanding the code flow and variable scoping.",matplotlib__matplotlib-13989,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:54.225621,1,1,2,0.47712125471966244
2,5,1,3,2,1,2,1,2,"The problem is crystal clear - an index entry for a property incorrectly includes parentheses. The fix is trivial: removing '()' from a format string in the `get_index_text` method. The main challenge is locating the correct file and method in Sphinx's Python domain code, which requires some framework-specific knowledge.",sphinx-doc__sphinx-9698,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:19.522272,1,1,2,0.47712125471966244
3,5,1,3,2,2,2,1,2,"The problem statement explicitly states the solution: 'It isn't calling evalf recursively on the return of _imp_'. The fix is a simple one-liner change to add recursive evalf calls on the arguments. While understanding SymPy's function evaluation system requires some domain knowledge, the actual fix pattern (applying a function recursively to arguments) is straightforward.",sympy__sympy-12096,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:20.933560,1,1,2,0.47712125471966244
3,5,1,4,3,3,2,0,3,"The hints section provides the exact solution code, making implementation trivial once found. However, understanding WHY setting `is_summary = True` on the Coalesce wrapper fixes the SQL generation bug requires deep Django ORM knowledge about how summary expressions affect query compilation. The fix itself is just 2 lines but requires understanding the aggregation/annotation query building internals.",django__django-15375,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:23.264867,1,1,4,0.6989700043360189
0,4,3,4,4,3,3,1,3,"The problem clearly demonstrates unexpected mutation behavior but gives no hint about the solution. The fix requires understanding xarray's internal Variable/IndexVariable architecture and recognizing that `to_index_variable()` on an IndexVariable returns `self` instead of a copy, causing mutation when dims are later modified. The solution involves making `to_index_variable()` return a copy and also fixing `to_base_variable()` to use private `_dims` instead of the property accessor - requiring deep knowledge of the class hierarchy.",pydata__xarray-6938,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:27.669804,2,6,24,1.3979400086720377
2,3,4,5,4,4,3,0,4,"This task requires deep understanding of SymPy's assumption system across multiple modules (ask.py, assumptions.py, ask_generated.py, power.py, indexed.py). The solution involves modifying logical implications in the assumption rules to properly propagate finiteness from properties like rational, algebraic, irrational, and transcendental. The hints suggest the direction (adding finite to rational implies), but implementing it correctly requires understanding how the assumption propagation system works and ensuring consistency across multiple related files.",sympy__sympy-16597,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:35.697817,6,14,70,1.8512583487190752
2,5,1,3,2,2,2,1,2,"The problem statement clearly describes the issue and even suggests the fix: check whether None is returned and skip the unit check. The solution is a trivial one-line conditional change adding `None` to the exclusion check. The main challenge is understanding the decorator's internals and where return annotation handling occurs, but the clear error message and suggested fix make this straightforward.",astropy__astropy-7336,claude-opus-4-5-20251101,anthropic,2026-01-24T15:43:58.038188,1,1,2,0.47712125471966244
2,4,2,4,3,3,3,0,3,"The problem clearly states that Meta.ordering fields are incorrectly included in GROUP BY clause, pointing to a specific previous fix that was incomplete. The solution requires understanding Django's SQL compiler internals, specifically how `get_group_by` processes order_by expressions and the `_meta_ordering` flag. The fix itself is simple (wrapping existing logic in a conditional), but finding the right location and understanding the interaction between ordering and grouping requires deep Django ORM knowledge.",django__django-14122,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:00.961014,1,1,11,1.0791812460476249
1,4,1,4,3,3,3,1,2,"The bug is clearly described - incorrect (app_label, model) pairs being passed to allow_migrate(). The fix is trivial (changing apps.get_models(app_label) to apps.get_app_config(app_label).get_models()), but requires understanding Django's app registry internals and migration system. The problem statement mentions there's a PR but doesn't detail the exact solution approach.",django__django-7530,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:52.370567,1,1,2,0.47712125471966244
2,4,3,5,4,4,3,0,4,"This bug requires deep understanding of Django's ORM query internals, specifically how FilteredRelation annotations interact with exclude operations and the split_exclude mechanism. The fix involves propagating _filtered_relations to new query objects and preventing trimming of INNER JOINs from filtered relations - both require intimate knowledge of the query compilation process. The hints mention split_exclude is faulty and discuss the expected SQL, providing direction but not the exact solution.",django__django-11265,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:11.950887,1,2,11,1.0791812460476249
3,5,1,3,1,2,2,1,1,"The problem statement explicitly identifies that qop values should be quoted per RFC2617, and even references curl's behavior. The fix is trivial - just adding double quotes around 'auth' in a single string. The only specialized knowledge needed is understanding HTTP Digest Auth, but the RFC reference makes the solution completely clear.",psf__requests-1766,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:13.478434,1,2,4,0.6989700043360189
3,5,2,3,2,1,2,1,2,"The problem statement includes an exact patch showing the solution approach, making it very clear what needs to be done. The fix is straightforward - checking if labelcolor is 'inherit' and using the appropriate color value. The main requirement is knowing where in matplotlib's axis code to make the change, but the location is provided in the patch.",matplotlib__matplotlib-25287,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:04.919811,1,3,15,1.2041199826559248
1,4,2,4,3,3,2,0,3,"The problem clearly describes the bug (non-monotonic identical coordinates causing errors) and quotes relevant documentation. The fix requires understanding xarray's combine_by_coords internals - specifically that the monotonicity check should only apply to concat_dims, not all dimensions. The actual code change is simple (changing which dimensions are checked), but identifying this requires understanding the distinction between concatenation dimensions and bystander dimensions.",pydata__xarray-3151,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:17.531560,1,1,15,1.2041199826559248
2,4,3,4,3,3,3,0,4,"The problem clearly identifies that SECRET_KEY_FALLBACKS isn't being used for session authentication, and hints mention checking fallback hashes and potentially calling update_session_auth_hash(). The solution requires deep Django auth internals knowledge, modifying both get_user() in auth/__init__.py and AbstractBaseUser in base_user.py to add fallback hash generation and verification. The fix involves multiple interdependent changes across the authentication system with careful session cycling logic.",django__django-16631,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:45.894956,2,3,33,1.5314789170422551
1,4,4,5,4,4,3,0,3,"The problem statement clearly identifies the missing root case (a % p == 0), but the gold patch goes far beyond just adding this check - it implements an entirely new function `_nthroot_mod_composite` to handle composite moduli using the Chinese Remainder Theorem and Hensel's lemma-style lifting. This requires deep number theory knowledge (modular arithmetic, prime factorization, CRT) and understanding of the existing residue_ntheory module internals. The solution is algorithmically complex with multiple nested loops and edge case handling.",sympy__sympy-18199,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:39.822070,1,3,50,1.7075701760979363
3,5,1,3,2,2,2,1,2,"The problem statement explicitly identifies the exact fix needed - changing `self.data_array.sel(**key)` to `self.data_array.sel(key)` with the exact line number. The fix is trivial (single character change essentially), but understanding why it works requires knowing the difference between passing a dict as positional argument vs unpacking it as kwargs, and how that interacts with xarray's `sel` method signature where `method` is a reserved parameter name.",pydata__xarray-4695,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:23.099564,1,1,2,0.47712125471966244
2,4,2,3,3,3,2,1,2,"The problem clearly identifies the bug: using 'in' operator with numpy arrays causes ambiguous truth value errors. The solution requires understanding Python's identity comparison ('is') vs membership testing ('in'), and knowing about mock sentinels. The fix is straightforward once understood - replacing 'p.new in sentinels' with explicit identity checks using 'is'. This is a known pattern for handling numpy array comparisons.",pytest-dev__pytest-5631,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:37.661283,1,1,19,1.3010299956639813
0,4,1,3,3,2,2,1,2,"The problem is clearly described with expected vs actual output, but provides no hint toward the solution. The fix is trivial once found (changing `split` to `rsplit`), but requires understanding that type annotations like `dict(str, str)` contain spaces and the parser needs to split from the right to get the argument name. This requires understanding Sphinx's docfield parsing internals and recognizing the string splitting direction issue.",sphinx-doc__sphinx-9230,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:16.089650,1,1,2,0.47712125471966244
2,5,1,3,2,1,2,1,2,"The problem statement clearly identifies the exact line causing the issue and explains that OverflowError needs to be caught. The fix is trivial - adding an except clause for OverflowError to return a pseudo-invalid date string. This is a standard exception handling pattern, requiring only basic Django forms knowledge to understand the context and what return value is appropriate.",django__django-16667,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:46.838608,1,1,2,0.47712125471966244
3,5,1,2,1,1,1,1,1,The problem statement explicitly tells you exactly what to do: add a __reversed__() method to OrderedSet. The solution is a trivial 2-line method that delegates to the underlying dict's reversed(). This is a standard Python protocol implementation pattern requiring only basic knowledge of Python's iterator protocols.,django__django-14089,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:59.207495,1,1,3,0.6020599913279624
2,4,4,5,4,4,3,0,4,"This fix requires deep understanding of Django's schema migration internals, specifically how unique constraints are named, created, and deleted. The solution involves modifying constraint detection logic to distinguish between unique_together constraints and unique=True constraints by matching naming patterns, plus refactoring the constraint naming logic into a reusable method. The hints provide direction about the naming scheme difference but the actual implementation requires understanding multiple interconnected schema operations.",django__django-15732,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:31.084673,1,4,32,1.5185139398778875
2,4,3,5,3,3,3,0,3,"This task requires deep mathematical knowledge about polylogarithm special values and their closed-form expressions involving pi, log, and the golden ratio. The problem statement clearly indicates what values should be returned (e.g., -log(2)**2/2 + pi**2/12), but implementing the solution requires knowing multiple special polylog(2, z) identities for specific z values. The code changes involve adding conditional evaluation cases in the eval method and fixing the exp_polar issue in expand_func.",sympy__sympy-13852,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:29.695723,1,4,30,1.4913616938342726
1,4,1,4,3,3,2,0,3,"The fix is a simple one-line change replacing 'unhandled_kwargs' with 'kwonly' in a condition, but finding this requires deep understanding of Django's template tag parsing internals and how keyword-only arguments are handled differently from regular kwargs. The problem is clearly described with examples, but the solution requires understanding the distinction between params, kwonly, and unhandled_kwargs in the parse_bits function.",django__django-12262,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:27.542641,1,1,2,0.47712125471966244
2,4,1,3,2,1,2,1,2,"The problem clearly describes that TypeError should be converted to ValidationError, and the solution is a simple one-line change to add additional exception types to a catch block. The patch is linked in the problem statement, giving a clear direction. This is a common pattern of broadening exception handling to provide better error messages, requiring basic Django field knowledge but straightforward implementation.",django__django-13023,claude-opus-4-5-20251101,anthropic,2026-01-24T15:44:35.923220,1,1,2,0.47712125471966244
3,5,1,3,2,2,2,1,2,"The problem statement explicitly identifies the root cause (UserCreationForm.save() omits to call self.save_m2m()) and the exact solution needed. The fix is a trivial 2-line addition that follows Django's standard ModelForm pattern. The main requirement is understanding Django forms and the save_m2m() convention, but no complex reasoning is needed since the solution is directly stated.",django__django-16333,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:41.033615,1,1,2,0.47712125471966244
0,4,1,4,3,3,2,1,2,"The problem clearly shows the asymmetry in multiplication behavior, but gives no hint about `_op_priority`. The fix is trivial (adding one line), but requires deep knowledge of SymPy's operator precedence system to know that `_op_priority` controls which object's `__mul__` method takes precedence. This is a standard pattern within SymPy but obscure outside it.",sympy__sympy-13757,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:26.477099,1,1,1,0.3010299956639812
1,4,3,4,3,2,2,1,3,"The problem is clearly described with expected vs actual behavior and good examples. The hint points to the general area but doesn't reveal the solution. The fix requires understanding pylint's file discovery mechanism across two files (expand_modules.py and pylinter.py), extracting and reusing ignore-checking logic in a new helper function, then applying it during recursive directory traversal. This requires moderate pylint internals knowledge to understand how _discover_files and expand_modules interact.",pylint-dev__pylint-6528,claude-opus-4-5-20251101,anthropic,2026-01-24T15:46:33.114964,2,5,35,1.5563025007672873
1,4,4,5,4,4,3,0,4,"This task requires deep understanding of Sphinx's autodoc internals, Python descriptor protocols, and how classmethod/property decorators interact. The solution spans multiple files (python.py, autodoc/__init__.py, inspect.py) and requires understanding how Sphinx discovers and documents class members. The fix involves special-casing classmethod-wrapped properties throughout the documentation pipeline, including signature handling, docstring extraction via MRO traversal, and directive options.",sphinx-doc__sphinx-9461,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:18.065351,3,7,52,1.724275869600789
2,4,2,4,2,2,2,1,3,"The problem clearly describes needing an 'edit_only' mode for model formsets, and the hints directly point to the solution approach. The fix is straightforward - adding an edit_only parameter to factory functions and conditionally skipping save_new_objects. However, it requires understanding Django's formset architecture and how modelformset_factory/inlineformset_factory work together.",django__django-14725,claude-opus-4-5-20251101,anthropic,2026-01-24T15:45:10.974452,1,5,13,1.146128035678238
2,4,2,4,3,3,2,0,2,The hints identify the problematic code location and suggest the issue is about prolog insertion between role markup and heading definition. The fix requires understanding docutils RST parsing internals (specifically the Body.patterns['field_marker'] regex) and how field names are matched. The actual code change is relatively simple - replacing a custom regex with the proper docutils pattern and fixing a variable initialization issue - but finding this solution requires deep knowledge of RST parsing.,sphinx-doc__sphinx-11445,claude-opus-4-5-20251101,anthropic,2026-01-24T15:47:03.331964,1,3,14,1.1760912590556813
