instance_id,debugging_complexity,test_edge_case_coverage,logical_reasoning_required,test_comprehensiveness,expected_behavior_clarity,side_effect_risk,reproduction_clarity,atypicality,solution_hint,codebase_scope,standard_pattern_available,integration_complexity,solution_complexity,error_specificity,test_assertion_complexity
huggingface__transformers-253f9a3,2,1,3,2,3,2,2,3,1,1,0,3,2,3,2
huggingface__transformers-211f93a,2,2,3,2,3,2,2,3,0,1,0,4,3,3,2
huggingface__tokenizers-bfd9cde,4,2,4,3,3,3,2,4,1,3,0,4,4,3,3
pandas-dev__pandas-e8961f1,3,1,4,3,3,3,3,3,0,3,0,4,4,3,3
pandas-dev__pandas-2cdca01,2,1,2,2,2,2,3,2,1,2,1,3,3,3,2
uploadcare__pillow-simd-2818b90,3,1,4,2,2,3,2,5,0,2,0,4,5,3,2
huggingface__transformers-63b90a5,3,2,4,3,3,3,2,3,0,2,0,3,3,3,3
numpy__numpy-7ff7ec7,2,4,3,5,3,3,3,3,0,1,0,2,2,3,3
pandas-dev__pandas-bfaf917,2,1,3,2,3,2,2,3,1,2,0,3,3,3,2
numpy__numpy-68eead8,3,4,4,4,2,3,2,4,0,2,0,4,3,3,3
abetlen__llama-cpp-python-2bc1d97,4,1,3,3,2,3,1,4,0,2,0,5,4,2,2
python-pillow__Pillow-63f398b,2,4,3,4,2,2,2,3,0,1,0,2,4,3,2
pandas-dev__pandas-235113e,3,1,3,2,3,3,3,3,1,2,0,2,1,3,1
pydantic__pydantic-ac9e6ee,3,4,3,4,3,3,3,3,0,3,0,5,5,3,2
numpy__numpy-2540554,3,2,4,3,3,3,3,3,0,2,0,4,4,3,3
pandas-dev__pandas-c6cf37a,3,1,3,2,3,3,3,3,1,2,0,3,3,3,3
pandas-dev__pandas-438b957,3,2,4,3,3,3,3,3,1,2,0,4,3,3,2
uploadcare__pillow-simd-6eacce9,2,1,3,2,3,2,3,3,0,2,0,4,5,3,3
tornadoweb__tornado-ac13ee5,2,2,3,3,3,2,2,3,0,1,0,5,5,3,2
numpy__numpy-567b57d,2,2,3,3,3,2,3,3,0,2,0,5,5,3,2
numpy__numpy-2dfd21e,4,1,4,2,3,2,3,4,0,3,0,5,5,3,3
numpy__numpy-28706af,4,1,3,2,2,3,3,4,0,3,0,5,5,3,3
pandas-dev__pandas-9a6c8f0,4,1,3,2,2,3,1,3,0,4,0,3,3,2,3
tornadoweb__tornado-1b464c4,3,1,3,2,2,3,2,3,0,2,0,4,4,3,2
pandas-dev__pandas-9097263,3,2,3,2,2,2,2,3,0,2,0,3,4,3,2
pandas-dev__pandas-609c3b7,2,1,3,2,3,2,3,3,1,2,0,3,3,3,2
python-pillow__Pillow-d8af3fc,2,4,3,4,2,2,2,3,0,2,0,4,4,3,2
