instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,entry_point_clarity,change_blast_radius,fix_localization
django__django-15973,0,4,5,4,3,3,0,5,5,4,4,2,5,1,1,3,3,2,1,3,2026-03-07T02:10:09.156313,claude-sonnet-4-6,anthropic,django__django-15973,4,3,3
sphinx-doc__sphinx-8621,2,5,3,3,2,2,1,5,5,5,2,1,5,1,2,3,2,3,1,2,2026-03-07T02:11:05.193118,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-8621,5,2,5
matplotlib__matplotlib-13989,1,4,3,3,2,2,1,4,5,4,2,1,5,1,1,1,1,1,1,2,2026-03-07T02:10:19.824947,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-13989,4,2,5
sphinx-doc__sphinx-9698,1,4,3,2,2,2,1,4,5,4,2,1,5,1,1,1,2,1,1,2,2026-03-07T02:19:55.470991,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9698,5,2,5
sympy__sympy-12096,3,5,3,2,2,1,1,5,5,5,2,1,5,1,2,2,1,1,1,3,2026-03-07T02:11:08.885539,claude-sonnet-4-6,anthropic,sympy__sympy-12096,5,2,5
django__django-15375,3,5,4,3,3,2,0,5,5,4,4,2,5,1,2,3,1,2,2,3,2026-03-07T02:10:05.291595,claude-sonnet-4-6,anthropic,django__django-15375,4,2,5
pydata__xarray-6938,1,4,4,4,3,2,0,4,5,4,4,2,5,1,2,2,2,2,2,3,2026-03-07T02:10:35.928068,claude-sonnet-4-6,anthropic,pydata__xarray-6938,4,2,5
sympy__sympy-16597,2,4,5,4,3,3,0,3,5,3,5,4,3,0,4,4,2,3,4,5,2026-03-07T02:13:08.082880,claude-sonnet-4-6,anthropic,sympy__sympy-16597,4,2,5
astropy__astropy-7336,2,5,3,2,1,1,1,5,5,4,2,1,5,1,1,3,2,2,1,2,2026-03-07T02:09:27.906143,claude-sonnet-4-6,anthropic,astropy__astropy-7336,5,1,5
django__django-14122,1,4,4,4,3,3,0,3,3,4,4,2,3,1,3,2,2,1,2,3,2026-03-07T02:09:51.661043,claude-sonnet-4-6,anthropic,django__django-14122,4,2,4
django__django-7530,1,4,4,2,2,3,1,4,2,4,2,1,3,1,2,3,4,3,1,3,2026-03-07T02:10:19.869296,claude-sonnet-4-6,anthropic,django__django-7530,4,2,5
django__django-11265,1,4,5,4,4,3,0,5,5,4,4,2,5,0,2,2,2,2,3,4,2026-03-07T02:05:36.674487,claude-sonnet-4-6,anthropic,django__django-11265,4,3,4
psf__requests-1766,2,5,2,1,1,2,1,4,4,5,1,1,4,1,2,1,2,1,1,2,2026-03-07T02:10:31.048895,claude-sonnet-4-6,anthropic,psf__requests-1766,5,1,5
matplotlib__matplotlib-25287,3,5,3,2,2,2,1,4,5,5,2,1,5,1,1,3,1,3,2,2,2026-03-07T02:10:26.353723,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-25287,5,2,4
pydata__xarray-3151,1,5,4,3,2,2,0,5,5,4,2,1,5,1,2,2,2,2,2,2,2026-03-07T02:10:31.695888,claude-sonnet-4-6,anthropic,pydata__xarray-3151,5,2,5
django__django-16631,2,4,4,3,3,3,0,4,3,4,3,3,4,1,3,3,3,2,3,4,2026-03-07T02:10:14.794421,claude-sonnet-4-6,anthropic,django__django-16631,5,3,4
sympy__sympy-18199,1,4,5,5,4,3,0,4,5,4,3,3,4,1,3,4,2,4,4,3,2026-03-07T02:11:15.885306,claude-sonnet-4-6,anthropic,sympy__sympy-18199,5,2,4
pydata__xarray-4695,3,5,3,2,2,1,1,5,5,4,2,1,5,1,1,2,2,2,1,2,2026-03-07T02:10:35.369539,claude-sonnet-4-6,anthropic,pydata__xarray-4695,4,2,5
pytest-dev__pytest-5631,3,5,3,2,2,2,1,5,5,4,2,1,5,1,1,3,3,2,2,2,2026-03-07T02:10:43.015539,claude-sonnet-4-6,anthropic,pytest-dev__pytest-5631,5,2,5
sphinx-doc__sphinx-9230,0,4,4,3,2,2,1,4,3,4,3,1,4,1,2,3,4,2,1,3,2026-03-07T02:19:54.029396,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9230,4,2,4
django__django-16667,2,5,3,2,1,2,1,5,5,4,2,1,5,1,1,4,2,3,1,2,2026-03-07T02:10:15.870485,claude-sonnet-4-6,anthropic,django__django-16667,5,1,5
django__django-14089,3,5,1,1,1,1,1,3,3,4,1,1,4,1,1,3,2,2,1,2,2026-03-07T02:09:50.944671,claude-sonnet-4-6,anthropic,django__django-14089,5,1,5
django__django-15732,2,4,4,4,3,3,0,5,5,4,4,2,5,1,2,4,3,3,3,3,2026-03-07T02:10:07.075955,claude-sonnet-4-6,anthropic,django__django-15732,4,2,4
sympy__sympy-13852,2,4,4,3,3,3,0,4,5,5,3,1,5,0,3,4,3,4,3,3,2026-03-07T02:11:11.775434,claude-sonnet-4-6,anthropic,sympy__sympy-13852,5,2,4
django__django-12262,1,4,4,3,3,2,0,5,5,4,2,1,5,1,2,4,2,4,1,3,2026-03-07T02:09:33.740761,claude-sonnet-4-6,anthropic,django__django-12262,4,2,5
django__django-13023,2,5,3,2,1,2,1,4,3,4,2,1,4,1,2,4,3,4,1,2,2026-03-07T02:09:40.001923,claude-sonnet-4-6,anthropic,django__django-13023,5,2,5
django__django-16333,3,5,3,2,2,2,1,4,3,4,1,1,4,1,2,2,3,1,1,2,2026-03-07T02:10:12.056695,claude-sonnet-4-6,anthropic,django__django-16333,5,2,5
sympy__sympy-13757,0,5,4,3,2,1,1,4,5,5,3,2,5,1,3,3,2,2,1,3,2026-03-07T02:20:04.517727,claude-sonnet-4-6,anthropic,sympy__sympy-13757,4,2,5
pylint-dev__pylint-6528,1,5,4,3,2,2,0,4,5,5,3,2,5,1,2,4,3,3,3,3,2026-03-07T02:10:38.339466,claude-sonnet-4-6,anthropic,pylint-dev__pylint-6528,4,2,4
sphinx-doc__sphinx-9461,1,4,5,4,4,3,0,4,4,4,4,3,4,0,3,4,3,2,4,4,2026-03-07T02:19:55.341598,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9461,4,2,4
django__django-14725,2,4,4,3,2,2,0,3,3,4,3,2,3,0,2,4,3,4,2,3,2026-03-07T02:09:56.389188,claude-sonnet-4-6,anthropic,django__django-14725,3,3,3
sphinx-doc__sphinx-11445,2,4,4,3,3,3,0,4,5,4,4,2,5,1,2,4,3,3,2,3,2026-03-07T02:10:57.007758,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-11445,4,2,5
astropy__astropy-14096,2,4,3,3,2,2,1,5,5,4,2,1,5,1,2,2,2,2,1,2,2026-03-07T02:05:36.883571,claude-sonnet-4-6,anthropic,astropy__astropy-14096,5,2,5
astropy__astropy-14995,3,5,3,2,2,2,1,5,5,4,2,1,5,1,2,4,2,4,1,2,2026-03-07T02:05:36.833479,claude-sonnet-4-6,anthropic,astropy__astropy-14995,5,2,5
django__django-15499,2,5,4,2,2,2,1,3,3,4,2,1,3,1,1,2,2,1,1,2,2026-03-07T02:10:04.374638,claude-sonnet-4-6,anthropic,django__django-15499,5,1,5
django__django-15525,3,5,4,3,3,2,0,5,5,4,3,2,5,1,1,3,3,2,1,3,2026-03-07T02:10:05.122417,claude-sonnet-4-6,anthropic,django__django-15525,4,2,5
matplotlib__matplotlib-25479,2,4,4,3,3,2,0,5,5,4,3,2,5,1,3,3,2,2,2,3,2026-03-07T02:10:25.654171,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-25479,4,2,4
sphinx-doc__sphinx-8548,1,3,4,3,3,2,0,3,4,4,4,2,4,1,3,3,3,2,3,4,2026-03-07T02:12:47.930174,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-8548,4,2,5
django__django-13449,3,5,4,3,3,2,0,5,5,4,3,2,5,1,2,3,3,2,3,3,2026-03-07T02:09:43.816301,claude-sonnet-4-6,anthropic,django__django-13449,4,2,4
django__django-15572,2,5,3,2,1,2,1,4,5,4,2,1,5,1,1,2,2,2,1,2,2026-03-07T02:10:06.576083,claude-sonnet-4-6,anthropic,django__django-15572,5,1,5
django__django-16145,2,5,3,2,2,2,1,4,5,5,2,1,4,1,1,2,3,2,2,2,2026-03-07T02:10:11.415298,claude-sonnet-4-6,anthropic,django__django-16145,5,1,5
django__django-11815,3,5,3,2,2,2,1,4,5,5,2,1,5,1,3,4,3,3,2,2,2026-03-07T02:09:32.069080,claude-sonnet-4-6,anthropic,django__django-11815,5,2,5
sympy__sympy-17630,1,4,5,4,4,2,0,5,5,4,4,3,5,1,3,3,2,2,2,4,2026-03-07T02:11:19.788209,claude-sonnet-4-6,anthropic,sympy__sympy-17630,5,2,4
pytest-dev__pytest-10356,2,4,4,3,3,2,1,4,5,4,3,2,5,1,3,3,2,2,3,3,2026-03-07T02:10:40.229213,claude-sonnet-4-6,anthropic,pytest-dev__pytest-10356,4,3,4
django__django-10880,2,4,3,2,1,2,1,4,3,4,2,1,4,1,1,1,1,1,1,2,2026-03-07T02:09:27.351560,claude-sonnet-4-6,anthropic,django__django-10880,4,2,5
django__django-11141,2,4,4,3,3,2,0,4,3,4,2,1,5,1,2,2,2,2,2,3,2026-03-07T02:05:37.230625,claude-sonnet-4-6,anthropic,django__django-11141,5,2,4
matplotlib__matplotlib-24970,2,4,4,3,2,2,1,5,5,4,3,1,5,1,2,3,2,3,2,3,2026-03-07T02:10:25.450079,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-24970,5,2,5
sympy__sympy-13798,2,4,3,3,2,2,1,3,4,4,2,1,4,1,2,3,1,3,2,2,2026-03-07T02:20:04.248995,claude-sonnet-4-6,anthropic,sympy__sympy-13798,5,2,5
scikit-learn__scikit-learn-26194,2,4,3,2,2,2,1,4,5,4,2,1,5,1,3,3,2,2,1,2,2026-03-07T02:12:40.935219,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-26194,5,2,5
matplotlib__matplotlib-24570,3,5,3,2,2,2,1,4,5,4,2,1,5,1,4,4,3,3,1,2,2026-03-07T02:10:24.704848,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-24570,4,2,5
sphinx-doc__sphinx-10673,1,4,4,4,3,3,0,4,5,4,4,3,4,0,3,2,3,1,3,4,2026-03-07T02:10:58.080988,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-10673,5,3,4
django__django-14752,3,5,3,1,1,1,1,3,5,5,1,1,5,1,1,3,3,1,1,2,2026-03-07T02:09:57.977662,claude-sonnet-4-6,anthropic,django__django-14752,5,1,5
matplotlib__matplotlib-24177,2,4,4,3,4,2,0,4,5,4,4,2,5,0,3,3,2,2,1,3,2026-03-07T02:10:23.821517,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-24177,4,2,4
django__django-16082,2,4,4,2,2,2,1,3,2,4,2,1,3,1,2,3,2,3,1,2,2026-03-07T02:10:10.140912,claude-sonnet-4-6,anthropic,django__django-16082,4,2,5
sympy__sympy-22456,1,4,4,4,3,2,0,4,4,5,3,2,4,0,3,2,1,1,3,3,2026-03-07T02:11:25.152996,claude-sonnet-4-6,anthropic,sympy__sympy-22456,5,2,5
django__django-13516,1,4,3,2,1,2,1,3,3,4,2,1,3,1,1,2,3,2,1,2,2026-03-07T02:09:44.901096,claude-sonnet-4-6,anthropic,django__django-13516,4,2,5
matplotlib__matplotlib-22871,0,4,4,4,3,2,0,4,5,4,3,1,5,1,2,2,2,2,2,3,2026-03-07T02:10:30.687464,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-22871,4,2,5
matplotlib__matplotlib-23299,2,4,4,4,4,3,0,5,5,4,4,2,5,0,3,2,1,2,2,3,2026-03-07T02:10:21.363357,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-23299,4,3,3
django__django-14007,1,5,4,4,3,2,0,4,5,5,4,2,5,0,2,3,2,2,3,4,2026-03-07T02:09:50.546395,claude-sonnet-4-6,anthropic,django__django-14007,4,2,4
django__django-16485,1,5,3,3,2,2,0,5,5,4,2,1,5,1,2,2,1,2,1,2,2026-03-07T02:10:13.014060,claude-sonnet-4-6,anthropic,django__django-16485,5,1,5
matplotlib__matplotlib-22719,3,5,3,2,2,2,1,5,5,3,2,1,5,1,2,2,1,2,1,3,2026-03-07T02:10:20.832571,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-22719,4,2,5
django__django-16256,3,5,3,2,2,2,1,4,3,5,2,3,5,1,1,4,3,3,2,3,2026-03-07T02:10:11.804598,claude-sonnet-4-6,anthropic,django__django-16256,5,2,4
django__django-14011,3,5,4,3,3,4,0,4,4,4,4,3,5,1,3,4,4,3,3,4,2026-03-07T02:09:49.773540,claude-sonnet-4-6,anthropic,django__django-14011,4,2,4
django__django-15315,3,5,3,2,2,1,1,5,5,5,2,1,5,1,3,2,2,2,1,3,2026-03-07T02:10:02.801656,claude-sonnet-4-6,anthropic,django__django-15315,5,3,5
pytest-dev__pytest-6197,1,4,4,4,3,2,0,5,5,4,4,2,5,1,3,3,2,3,3,4,2026-03-07T02:10:42.352226,claude-sonnet-4-6,anthropic,pytest-dev__pytest-6197,4,3,4
django__django-16493,3,5,3,2,2,2,0,5,5,5,2,1,5,1,1,2,2,2,2,2,2026-03-07T02:10:14.012979,claude-sonnet-4-6,anthropic,django__django-16493,5,2,5
django__django-14787,1,4,4,3,3,2,1,5,5,4,3,1,4,1,1,2,2,1,1,2,2026-03-07T02:09:58.478428,claude-sonnet-4-6,anthropic,django__django-14787,5,2,5
django__django-13279,2,4,4,3,3,2,0,4,3,4,3,2,4,1,2,2,2,2,2,3,2026-03-07T02:09:42.771292,claude-sonnet-4-6,anthropic,django__django-13279,4,2,5
django__django-12741,3,5,2,1,1,1,1,4,4,5,1,2,5,1,4,2,2,1,2,3,2026-03-07T02:09:38.385072,claude-sonnet-4-6,anthropic,django__django-12741,5,2,4
django__django-15987,1,4,3,2,2,2,1,3,2,4,2,1,3,1,1,2,2,2,1,2,2026-03-07T02:10:09.293653,claude-sonnet-4-6,anthropic,django__django-15987,4,2,5
sympy__sympy-13480,3,5,2,1,1,1,1,5,5,3,2,1,5,1,1,2,1,2,1,2,2026-03-07T02:19:59.666828,claude-sonnet-4-6,anthropic,sympy__sympy-13480,5,1,5
astropy__astropy-7166,3,5,2,2,2,2,1,4,3,4,2,1,4,1,2,3,2,2,1,2,2026-03-07T02:05:36.161445,claude-sonnet-4-6,anthropic,astropy__astropy-7166,4,2,5
sympy__sympy-17139,1,4,3,2,2,2,1,5,5,4,2,1,5,1,1,3,2,3,1,2,2026-03-07T02:11:17.233098,claude-sonnet-4-6,anthropic,sympy__sympy-17139,5,2,5
django__django-15467,3,5,3,1,1,1,1,4,5,5,1,1,5,1,2,2,2,2,1,2,2026-03-07T02:10:04.781654,claude-sonnet-4-6,anthropic,django__django-15467,5,2,5
django__django-15037,2,4,4,3,3,3,0,3,5,4,2,1,4,1,2,2,2,1,2,3,2026-03-07T02:10:02.002932,claude-sonnet-4-6,anthropic,django__django-15037,4,2,3
sphinx-doc__sphinx-7985,1,4,3,3,2,2,1,3,5,4,2,1,5,1,3,3,3,2,3,3,2026-03-07T02:10:58.614561,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7985,5,2,4
astropy__astropy-13579,3,5,4,3,3,2,0,4,5,5,3,1,5,0,2,2,2,1,3,3,2026-03-07T02:05:36.538276,claude-sonnet-4-6,anthropic,astropy__astropy-13579,4,2,4
pytest-dev__pytest-7324,3,4,4,3,4,2,0,5,5,3,3,1,4,0,2,3,2,3,2,2,2026-03-07T02:10:42.431443,claude-sonnet-4-6,anthropic,pytest-dev__pytest-7324,5,2,5
sympy__sympy-13091,3,5,3,3,2,3,1,4,4,5,3,4,5,1,3,5,3,4,3,4,2026-03-07T02:19:59.862495,claude-sonnet-4-6,anthropic,sympy__sympy-13091,5,3,4
scikit-learn__scikit-learn-13496,3,5,3,1,1,1,1,3,3,5,1,1,4,1,2,2,2,1,1,2,2026-03-07T02:10:51.765638,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-13496,5,2,5
pydata__xarray-4094,0,4,4,3,2,2,0,4,5,4,3,1,5,1,1,2,2,2,1,2,2026-03-07T02:10:33.567346,claude-sonnet-4-6,anthropic,pydata__xarray-4094,4,2,5
django__django-16877,2,4,3,2,2,2,1,3,3,4,1,1,4,1,1,4,2,3,1,2,2026-03-07T02:10:15.468877,claude-sonnet-4-6,anthropic,django__django-16877,5,2,5
matplotlib__matplotlib-25311,0,4,4,4,3,2,1,4,5,4,3,2,5,1,1,3,3,2,2,2,2026-03-07T02:10:25.468102,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-25311,4,2,5
scikit-learn__scikit-learn-25232,2,5,3,2,1,2,1,3,4,5,1,1,4,1,2,2,2,1,1,2,2026-03-07T02:10:53.534657,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-25232,5,2,5
pytest-dev__pytest-7236,1,4,4,3,3,2,0,5,5,5,3,2,5,1,2,4,3,3,2,3,2026-03-07T02:19:45.509532,claude-sonnet-4-6,anthropic,pytest-dev__pytest-7236,4,2,5
pydata__xarray-3993,2,5,3,2,1,2,1,4,5,5,1,2,5,1,4,2,1,2,2,2,2026-03-07T02:10:32.705613,claude-sonnet-4-6,anthropic,pydata__xarray-3993,5,2,4
django__django-15563,2,4,5,4,4,3,0,4,5,4,5,3,5,0,2,3,2,2,4,4,2026-03-07T02:10:04.577806,claude-sonnet-4-6,anthropic,django__django-15563,3,2,4
sympy__sympy-13615,1,4,4,4,3,2,0,4,5,4,3,2,4,1,2,2,2,2,3,3,2026-03-07T02:20:03.862867,claude-sonnet-4-6,anthropic,sympy__sympy-13615,4,2,4
pydata__xarray-6744,0,4,4,4,3,2,0,4,5,5,3,1,5,1,2,4,2,3,3,2,2026-03-07T02:10:35.513063,claude-sonnet-4-6,anthropic,pydata__xarray-6744,4,2,5
sphinx-doc__sphinx-7454,1,5,4,3,3,2,0,4,5,4,3,2,5,1,2,3,2,2,1,2,2026-03-07T02:10:57.881052,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7454,4,2,4
matplotlib__matplotlib-23314,1,5,4,3,2,2,1,3,5,4,3,2,4,1,1,2,2,1,1,2,2026-03-07T02:10:21.680637,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-23314,4,2,5
scikit-learn__scikit-learn-12585,3,5,2,2,2,1,1,5,5,4,1,1,5,1,2,2,1,1,1,2,2026-03-07T02:19:50.088521,claude-sonnet-4-6,anthropic,scikit-learn__scikit-learn-12585,5,2,5
pylint-dev__pylint-6903,3,5,2,2,2,2,1,5,4,5,1,1,5,1,1,3,4,2,1,2,2026-03-07T02:10:39.179108,claude-sonnet-4-6,anthropic,pylint-dev__pylint-6903,5,1,5
django__django-12273,3,4,5,4,4,3,0,3,5,4,4,2,4,0,3,3,3,3,2,4,2026-03-07T02:09:34.170226,claude-sonnet-4-6,anthropic,django__django-12273,3,2,4
sympy__sympy-12481,1,5,3,2,2,2,1,4,5,4,2,1,4,1,2,2,1,2,1,2,2026-03-07T02:19:59.504888,claude-sonnet-4-6,anthropic,sympy__sympy-12481,4,2,5
django__django-10999,3,4,2,3,2,3,1,4,4,3,2,1,4,1,3,4,2,4,3,2,2026-03-07T02:05:35.336307,claude-sonnet-4-6,anthropic,django__django-10999,5,1,5
matplotlib__matplotlib-26291,3,5,4,3,3,2,0,5,5,3,3,2,5,1,2,2,2,2,1,3,2026-03-07T02:10:27.468890,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-26291,4,2,4
django__django-15277,3,5,3,2,1,2,1,5,5,5,1,1,5,1,2,4,2,3,1,2,2026-03-07T02:10:02.548261,claude-sonnet-4-6,anthropic,django__django-15277,5,2,5
sympy__sympy-13551,2,4,4,3,3,2,0,4,5,5,3,1,5,0,3,1,1,1,2,3,2026-03-07T02:20:01.840692,claude-sonnet-4-6,anthropic,sympy__sympy-13551,4,2,5
sympy__sympy-22914,3,5,2,1,1,1,1,4,5,5,1,1,5,1,1,2,1,1,1,2,2026-03-07T02:11:23.590317,claude-sonnet-4-6,anthropic,sympy__sympy-22914,5,1,5
django__django-13012,3,5,4,3,2,2,0,5,5,5,3,1,5,1,2,3,1,2,1,3,2026-03-07T02:09:38.385994,claude-sonnet-4-6,anthropic,django__django-13012,4,2,5
django__django-11490,2,4,4,3,3,2,0,4,5,4,3,2,5,1,2,2,1,2,2,3,2026-03-07T02:09:28.084672,claude-sonnet-4-6,anthropic,django__django-11490,5,2,5
sphinx-doc__sphinx-7462,3,5,3,2,2,2,1,5,5,3,2,2,5,1,1,3,3,2,2,3,2026-03-07T02:19:53.781476,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-7462,5,2,5
django__django-16569,3,5,3,2,1,1,1,5,5,5,1,1,5,1,1,2,1,2,1,2,2026-03-07T02:10:14.232542,claude-sonnet-4-6,anthropic,django__django-16569,5,2,5
