solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,integration_complexity,_task_id,solution_discovery_needed,fix_pattern_type,location_hints_provided,solution_prescribed,minimal_repro_provided,num_files_modified,num_hunks,num_lines_changed,log_lines_changed,patch_adds,patch_deletes,patch_chars,patch_files_gt2,patch_files_gt3,patch_lines_gt20,patch_lines_gt50,test_patch_chars,test_patch_hunks,test_patch_files,test_patch_lines,stmt_words,stmt_chars,stmt_lines,stmt_lines_gt80,has_http_link,has_code_block,has_stack_trace,feature_request_phrasing,is_django,is_sympy,repo_name
3,5,2,3,2,2,2,1,2,django__django-13741,2,3,1,1,0,1,2,15,1.2041199826559248,1,14,1209,0,0,0,0,399,1,1,1,144,1020,8,0,1,0,0,0,1,0,django/django
1,4,1,4,3,3,2,0,3,django__django-15380,2,1,1,0,0,1,1,2,0.47712125471966244,1,1,827,0,0,0,0,1319,1,1,20,143,1608,33,0,0,0,1,0,1,0,django/django
2,4,2,3,3,2,2,1,2,django__django-14315,2,1,1,0,0,2,2,5,0.7781512503836436,2,3,1077,0,0,0,0,1855,4,2,18,45,489,11,0,1,1,0,0,1,0,django/django
3,5,1,3,2,1,2,1,2,django__django-11951,1,1,1,1,0,1,1,3,0.6020599913279624,2,1,901,0,0,0,0,1029,2,1,9,66,609,12,0,1,1,0,0,1,0,django/django
1,4,4,5,4,4,3,0,4,django__django-13346,4,2,0,0,1,1,2,25,1.414973347970818,25,0,1839,0,0,1,0,1510,1,1,19,83,620,14,0,0,0,0,0,1,0,django/django
2,5,2,3,2,2,2,1,2,scikit-learn__scikit-learn-14894,2,0,1,1,1,1,1,13,1.146128035678238,8,5,1050,0,0,0,0,887,1,1,13,189,1716,59,0,0,1,1,0,0,0,scikit-learn/scikit-learn
2,4,2,3,2,1,2,1,2,django__django-13809,1,2,1,1,0,1,2,9,1.0,7,2,1222,0,0,0,0,2039,2,2,30,49,457,9,0,1,0,0,0,1,0,django/django
2,4,1,3,2,2,2,1,2,sympy__sympy-16450,2,1,0,1,1,1,1,2,0.47712125471966244,1,1,511,0,0,0,0,743,1,1,7,96,1610,34,0,0,1,0,0,0,1,sympy/sympy
3,5,1,3,1,1,2,1,1,django__django-14765,1,0,1,1,0,1,1,7,0.9030899869919435,4,3,787,0,0,0,0,478,1,1,4,92,558,5,0,0,0,0,0,1,0,django/django
3,4,2,4,2,3,3,1,2,matplotlib__matplotlib-21568,2,1,1,1,1,1,1,7,0.9030899869919435,5,2,743,0,0,0,0,2599,3,1,26,150,1297,69,0,1,1,0,0,0,0,matplotlib/matplotlib
0,4,4,4,4,3,2,0,3,sphinx-doc__sphinx-7757,4,1,0,0,1,1,1,25,1.414973347970818,20,5,1738,0,0,1,0,1060,1,1,10,77,652,30,0,1,1,0,0,0,0,sphinx-doc/sphinx
0,4,2,4,3,3,3,0,3,django__django-15973,4,1,0,0,1,1,1,2,0.47712125471966244,1,1,633,0,0,0,0,2498,1,1,46,412,5339,104,1,0,1,1,0,1,0,django/django
1,5,2,3,3,3,2,1,2,sphinx-doc__sphinx-8621,3,1,0,0,1,1,1,2,0.47712125471966244,1,1,501,0,0,0,0,1118,2,1,18,249,2035,56,0,1,1,0,0,0,0,sphinx-doc/sphinx
1,4,1,3,3,2,2,1,2,matplotlib__matplotlib-13989,3,1,1,0,1,1,1,2,0.47712125471966244,1,1,505,0,0,0,0,495,1,1,7,226,1714,52,0,1,1,0,0,0,0,matplotlib/matplotlib
2,5,1,3,2,1,2,1,2,sphinx-doc__sphinx-9698,2,1,0,0,1,1,1,2,0.47712125471966244,1,1,638,0,0,0,0,666,1,1,2,105,817,54,0,1,1,0,0,0,0,sphinx-doc/sphinx
3,5,1,3,2,2,2,1,2,sympy__sympy-12096,2,1,1,1,1,1,1,2,0.47712125471966244,1,1,505,0,0,0,0,557,1,1,3,64,598,17,0,1,1,0,0,0,1,sympy/sympy
3,5,1,4,3,3,2,0,3,django__django-15375,2,1,1,1,1,1,1,4,0.6989700043360189,3,1,733,0,0,0,0,962,1,1,12,178,1613,39,0,0,0,1,0,1,0,django/django
0,4,3,4,4,3,3,1,3,pydata__xarray-6938,4,1,0,0,1,2,6,24,1.3979400086720377,13,11,3179,0,0,1,0,664,1,1,9,382,2978,117,1,1,1,0,0,0,0,pydata/xarray
2,3,4,5,4,4,3,0,4,sympy__sympy-16597,4,1,0,0,1,6,14,70,1.8512583487190752,44,26,10210,1,1,1,1,5072,4,2,61,43,611,12,0,0,1,0,0,0,1,sympy/sympy
2,5,1,3,2,2,2,1,2,astropy__astropy-7336,2,0,1,1,1,1,1,2,0.47712125471966244,1,1,709,0,0,0,0,11922,10,2,161,200,1572,41,0,0,1,1,0,0,0,astropy/astropy
2,4,2,4,3,3,3,0,3,django__django-14122,3,0,0,0,0,1,1,11,1.0791812460476249,6,5,1126,0,0,0,0,1223,2,1,11,62,463,10,0,1,0,0,0,1,0,django/django
1,4,1,4,3,3,3,1,2,django__django-7530,2,1,1,0,0,1,1,2,0.47712125471966244,1,1,754,0,0,0,0,1801,2,1,11,64,481,6,0,1,0,0,0,1,0,django/django
2,4,3,5,4,4,3,0,4,django__django-11265,4,1,1,0,1,1,2,11,1.0791812460476249,8,3,1668,0,0,0,0,674,1,1,8,263,3810,57,0,0,0,1,0,1,0,django/django
3,5,1,3,1,2,2,1,1,psf__requests-1766,2,1,0,1,0,1,2,4,0.6989700043360189,2,2,621,0,0,0,0,571,1,1,8,122,897,22,0,1,1,0,0,0,0,psf/requests
3,5,2,3,2,1,2,1,2,matplotlib__matplotlib-25287,1,1,1,1,1,1,3,15,1.2041199826559248,13,2,1671,0,0,0,0,1134,1,1,22,166,2097,79,0,1,1,0,0,0,0,matplotlib/matplotlib
1,4,2,4,3,3,2,0,3,pydata__xarray-3151,3,1,0,0,1,1,1,15,1.2041199826559248,7,8,1331,0,0,0,0,1254,1,1,19,294,2326,97,1,1,1,1,0,0,0,pydata/xarray
2,4,3,4,3,3,3,0,4,django__django-16631,3,2,1,0,0,2,3,33,1.5314789170422551,28,5,2723,0,0,1,0,1622,2,1,24,130,824,8,0,0,0,0,0,1,0,django/django
1,4,4,5,4,4,3,0,3,sympy__sympy-18199,4,2,1,0,1,1,3,50,1.7075701760979363,47,3,2838,0,0,1,0,2468,3,2,18,66,300,3,0,0,0,0,0,0,1,sympy/sympy
3,5,1,3,2,2,2,1,2,pydata__xarray-4695,1,1,1,1,1,1,1,2,0.47712125471966244,1,1,559,0,0,0,0,801,1,1,10,432,3514,159,1,0,1,1,0,0,0,pydata/xarray
2,4,2,3,3,3,2,1,2,pytest-dev__pytest-5631,2,1,1,1,1,1,1,19,1.3010299956639813,12,7,1016,0,0,0,0,1488,1,1,28,202,2306,44,0,1,1,1,0,0,0,pytest-dev/pytest
0,4,1,3,3,2,2,1,2,sphinx-doc__sphinx-9230,3,1,0,0,1,1,1,2,0.47712125471966244,1,1,533,0,0,0,0,2518,3,1,27,124,1237,36,0,1,1,0,0,0,0,sphinx-doc/sphinx
2,5,1,3,2,1,2,1,2,django__django-16667,1,0,1,0,1,1,1,2,0.47712125471966244,2,0,529,0,0,0,0,2112,5,2,16,209,1758,35,0,1,0,1,0,1,0,django/django
3,5,1,2,1,1,1,1,1,django__django-14089,1,2,1,1,0,1,1,3,0.6020599913279624,3,0,391,0,0,0,0,702,2,1,7,46,318,5,0,0,0,0,0,1,0,django/django
2,4,4,5,4,4,3,0,4,django__django-15732,4,0,1,0,1,1,4,32,1.5185139398778875,27,5,2829,0,0,1,0,3349,1,1,63,85,599,9,0,0,0,0,0,1,0,django/django
2,4,3,5,3,3,3,0,3,sympy__sympy-13852,3,2,0,1,1,1,4,30,1.4913616938342726,25,5,2593,0,0,1,0,1925,2,1,19,261,1892,37,0,1,1,0,0,0,1,sympy/sympy
1,4,1,4,3,3,2,0,3,django__django-12262,3,1,0,0,1,1,1,2,0.47712125471966244,1,1,680,0,0,0,0,4224,5,2,35,144,1030,22,0,0,1,0,0,1,0,django/django
2,4,1,3,2,1,2,1,2,django__django-13023,2,0,1,0,0,1,1,2,0.47712125471966244,1,1,582,0,0,0,0,1232,1,1,21,81,522,7,0,1,0,0,0,1,0,django/django
3,5,1,3,2,2,2,1,2,django__django-16333,1,0,1,1,0,1,1,2,0.47712125471966244,2,0,397,0,0,0,0,1420,2,1,20,65,557,7,0,1,0,0,0,1,0,django/django
0,4,1,4,3,3,2,1,2,sympy__sympy-13757,4,0,0,0,1,1,1,1,0.3010299956639812,1,0,360,0,0,0,0,1055,2,2,8,57,421,20,0,0,1,0,0,0,1,sympy/sympy
1,4,3,4,3,2,2,1,3,pylint-dev__pylint-6528,3,0,1,0,1,2,5,35,1.5563025007672873,28,7,3095,0,0,1,0,5953,4,3,120,270,2359,78,0,0,1,0,0,0,0,pylint-dev/pylint
1,4,4,5,4,4,3,0,4,sphinx-doc__sphinx-9461,4,2,0,0,1,3,7,52,1.724275869600789,47,5,4777,1,0,1,1,4844,5,4,60,253,2294,84,1,1,1,0,0,0,0,sphinx-doc/sphinx
2,4,2,4,2,2,2,1,3,django__django-14725,2,2,0,1,0,1,5,13,1.146128035678238,10,3,2530,0,0,0,0,3290,1,1,67,66,378,5,0,0,0,0,0,1,0,django/django
2,4,2,4,3,3,2,0,2,sphinx-doc__sphinx-11445,3,1,1,1,1,1,3,14,1.1760912590556813,5,9,1508,0,0,0,0,3209,1,1,55,213,1791,68,0,0,1,0,0,0,0,sphinx-doc/sphinx
2,4,2,4,3,3,2,1,3,astropy__astropy-14096,3,1,1,0,1,1,1,6,0.8450980400142568,2,4,728,0,0,0,0,1001,1,1,18,109,982,27,0,0,1,1,0,0,0,astropy/astropy
3,5,1,3,2,2,2,1,2,astropy__astropy-14995,2,1,1,1,1,1,1,4,0.6989700043360189,2,2,869,0,0,0,0,1900,1,1,39,357,2455,67,0,0,1,1,0,0,0,astropy/astropy
2,4,2,4,2,2,2,1,2,django__django-15499,2,2,0,1,0,1,1,13,1.146128035678238,13,0,906,0,0,0,0,1139,1,1,24,30,263,5,0,0,0,0,0,1,0,django/django
3,4,2,4,3,3,3,0,3,django__django-15525,2,1,1,1,1,1,1,4,0.6989700043360189,3,1,640,0,0,0,0,3254,5,4,60,366,4379,81,1,1,1,1,0,1,0,django/django
2,4,3,4,3,3,3,0,3,matplotlib__matplotlib-25479,3,1,1,0,1,2,2,7,0.9030899869919435,6,1,1187,0,0,0,0,1270,2,1,16,583,5785,92,1,0,1,1,0,0,0,matplotlib/matplotlib
1,4,4,4,4,3,3,0,4,sphinx-doc__sphinx-8548,4,3,1,0,1,2,4,50,1.7075701760979363,29,21,3907,0,0,1,0,2430,2,2,65,39,358,9,0,1,0,0,0,0,0,sphinx-doc/sphinx
3,5,3,4,3,3,2,1,3,django__django-13449,2,2,1,1,1,1,2,12,1.1139433523068367,11,1,1290,0,0,0,0,2808,4,2,32,535,6278,118,1,0,0,1,0,1,0,django/django
2,4,1,3,2,2,2,1,2,django__django-15572,2,0,1,1,1,1,2,4,0.6989700043360189,2,2,855,0,0,0,0,742,1,1,11,143,1388,20,0,1,0,0,0,1,0,django/django
2,4,2,3,2,2,2,1,2,django__django-16145,2,0,1,1,1,1,2,9,1.0,8,1,1156,0,0,0,0,1011,1,1,15,78,589,14,0,1,0,0,0,1,0,django/django
3,5,2,3,2,2,2,1,2,django__django-11815,2,1,1,1,1,1,1,7,0.9030899869919435,4,3,739,0,0,0,0,4548,4,1,46,244,1601,30,0,0,1,1,0,1,0,django/django
1,4,2,4,4,3,3,0,4,sympy__sympy-17630,4,0,1,0,1,1,1,2,0.47712125471966244,2,0,589,0,0,0,0,2263,4,2,22,303,3430,71,0,0,1,1,0,0,1,sympy/sympy
2,4,3,4,3,3,3,0,3,pytest-dev__pytest-10356,3,3,0,1,1,1,2,37,1.5797835966168101,30,7,2091,0,0,1,0,763,1,1,24,745,5278,126,1,1,1,0,0,0,0,pytest-dev/pytest
3,5,1,3,2,1,2,1,2,django__django-10880,2,1,0,1,0,1,1,2,0.47712125471966244,1,1,609,0,0,0,0,994,2,1,7,42,278,5,0,0,0,0,0,1,0,django/django
2,4,3,4,3,3,3,0,3,django__django-11141,2,1,1,1,0,1,2,10,1.0413926851582251,4,6,1519,0,0,0,0,1504,2,2,26,119,829,11,0,0,1,0,0,1,0,django/django
2,4,3,4,4,3,3,0,3,matplotlib__matplotlib-24970,3,1,1,0,1,1,1,21,1.3424226808222062,11,10,1598,0,0,1,0,679,1,1,7,207,1758,68,0,0,1,0,0,0,0,matplotlib/matplotlib
2,4,3,3,3,2,2,1,3,sympy__sympy-13798,2,0,1,1,1,1,1,23,1.380211241711606,17,6,1343,0,0,1,0,545,1,1,2,147,861,15,0,0,1,0,1,0,1,sympy/sympy
2,4,1,3,2,2,2,1,2,scikit-learn__scikit-learn-26194,2,1,1,1,1,1,4,13,1.146128035678238,9,4,1850,0,0,0,0,1698,2,1,18,140,1137,20,0,1,1,0,0,0,0,scikit-learn/scikit-learn
3,5,1,3,2,2,2,1,1,matplotlib__matplotlib-24570,2,1,1,1,1,1,1,4,0.6989700043360189,2,2,679,0,0,0,0,2241,2,1,45,136,1356,71,0,1,1,0,0,0,0,matplotlib/matplotlib
1,4,4,5,4,4,3,0,4,sphinx-doc__sphinx-10673,4,0,0,0,1,3,9,26,1.4313637641589874,23,3,5462,1,0,1,0,1789,3,4,37,134,1333,48,0,1,1,0,1,0,0,sphinx-doc/sphinx
3,5,1,3,1,1,2,1,2,django__django-14752,1,2,1,1,1,1,2,12,1.1139433523068367,10,2,1465,0,0,0,0,1637,2,1,24,295,2847,53,0,0,1,0,0,1,0,django/django
1,4,2,5,4,4,3,0,3,matplotlib__matplotlib-24177,4,1,0,0,1,1,1,2,0.47712125471966244,1,1,637,0,0,0,0,3067,1,1,52,238,2031,62,0,1,1,0,0,0,0,matplotlib/matplotlib
2,4,1,4,2,2,2,1,2,django__django-16082,2,0,1,1,0,1,1,1,0.3010299956639812,1,0,356,0,0,0,0,706,1,1,8,48,308,5,0,0,0,0,0,1,0,django/django
2,4,3,4,4,3,2,0,3,sympy__sympy-22456,3,4,1,0,0,1,4,12,1.1139433523068367,9,3,1400,0,0,0,0,372,1,1,1,38,302,5,0,0,0,0,0,0,1,sympy/sympy
1,4,1,3,2,2,2,1,2,django__django-13516,3,2,0,0,0,1,1,4,0.6989700043360189,4,0,476,0,0,0,0,1163,2,2,15,83,619,18,0,0,0,0,0,1,0,django/django
1,4,2,4,3,3,3,0,2,matplotlib__matplotlib-22871,3,0,0,0,1,1,1,6,0.8450980400142568,4,2,722,0,0,0,0,667,1,1,4,166,1439,73,0,1,1,0,0,0,0,matplotlib/matplotlib
2,4,2,4,4,4,3,0,3,matplotlib__matplotlib-23299,4,1,0,0,1,1,2,5,0.7781512503836436,4,1,646,0,0,0,0,709,1,1,7,198,1780,71,0,0,1,1,0,0,0,matplotlib/matplotlib
1,4,3,4,3,3,3,0,4,django__django-14007,4,1,0,0,1,1,2,21,1.3424226808222062,15,6,2029,0,0,1,0,2643,6,3,37,165,1214,33,0,0,0,0,0,1,0,django/django
1,4,1,3,2,2,2,1,2,django__django-16485,2,1,1,0,1,1,1,2,0.47712125471966244,1,1,449,0,0,0,0,591,1,1,2,27,246,9,0,0,0,1,0,1,0,django/django
3,4,2,3,2,2,2,1,2,matplotlib__matplotlib-22719,1,0,1,1,1,1,2,4,0.6989700043360189,2,2,1122,0,0,0,0,637,1,1,9,902,10176,208,1,1,1,1,1,0,0,matplotlib/matplotlib
3,5,2,4,2,2,2,1,3,django__django-16256,1,2,1,1,0,2,11,55,1.7481880270062005,55,0,5054,0,0,1,1,5401,5,3,88,189,2110,51,0,0,1,0,0,1,0,django/django
3,5,3,4,4,3,4,0,3,django__django-14011,2,2,1,1,1,2,3,24,1.3979400086720377,24,0,2233,0,0,1,0,5803,5,2,89,263,1907,18,0,0,0,1,0,1,0,django/django
3,5,1,3,2,2,2,1,2,django__django-15315,1,1,1,1,1,1,1,6,0.8450980400142568,1,5,665,0,0,0,0,871,1,1,11,136,793,15,0,0,0,1,0,1,0,django/django
1,4,3,4,4,3,3,0,4,pytest-dev__pytest-6197,4,3,0,0,1,1,3,24,1.3979400086720377,6,18,1868,0,0,1,0,1677,2,2,44,226,2749,53,0,0,1,0,0,0,0,pytest-dev/pytest
3,5,1,4,3,2,2,1,2,django__django-16493,2,1,1,1,1,1,1,5,0.7781512503836436,3,2,692,0,0,0,0,2210,5,2,26,144,1141,16,0,0,0,0,0,1,0,django/django
1,4,1,4,3,3,2,1,2,django__django-14787,3,1,0,0,1,1,1,2,0.47712125471966244,1,1,685,0,0,0,0,1050,1,1,23,90,745,23,0,0,0,1,0,1,0,django/django
2,3,2,4,3,3,2,1,3,django__django-13279,2,2,1,1,0,1,2,9,1.0,9,0,1278,0,0,0,0,2230,5,1,19,59,432,6,0,0,0,0,0,1,0,django/django
3,5,2,3,2,1,2,1,2,django__django-12741,1,3,1,1,0,2,2,9,1.0,6,3,1527,0,0,0,0,1036,2,2,4,40,398,10,0,0,0,0,0,1,0,django/django
1,4,1,3,2,2,2,1,2,django__django-15987,2,1,1,0,0,1,1,2,0.47712125471966244,1,1,697,0,0,0,0,1182,1,1,14,24,176,5,0,0,0,0,0,1,0,django/django
3,5,1,1,1,1,1,1,1,sympy__sympy-13480,1,1,1,1,1,1,1,2,0.47712125471966244,1,1,556,0,0,0,0,457,1,1,2,56,430,12,0,0,1,1,0,0,1,sympy/sympy
2,4,1,3,2,3,2,1,2,astropy__astropy-7166,2,1,1,1,0,1,3,10,1.0413926851582251,3,7,1165,0,0,0,0,822,1,1,12,18,162,3,0,0,0,0,0,0,0,astropy/astropy
1,4,1,3,3,2,2,1,2,sympy__sympy-17139,2,0,1,0,1,1,1,2,0.47712125471966244,2,0,410,0,0,0,0,1016,2,2,9,206,1916,40,0,0,1,1,0,0,1,sympy/sympy
3,5,1,3,2,1,2,1,2,django__django-15467,1,0,1,1,1,1,1,4,0.6989700043360189,3,1,702,0,0,0,0,1000,2,1,12,84,727,17,0,0,0,0,0,1,0,django/django
1,4,2,4,3,3,3,0,3,django__django-15037,2,0,1,1,1,1,1,8,0.9542425094393249,6,2,1403,0,0,0,0,1441,2,2,16,86,502,15,0,0,1,0,0,1,0,django/django
1,4,3,3,3,2,3,1,3,sphinx-doc__sphinx-7985,3,2,0,0,1,1,2,17,1.255272505103306,15,2,1472,0,0,0,0,2588,5,2,15,224,1776,56,0,1,1,0,0,0,0,sphinx-doc/sphinx
3,5,2,4,3,3,3,0,3,astropy__astropy-13579,2,1,1,1,1,1,2,4,0.6989700043360189,3,1,1023,0,0,0,0,1330,1,1,36,621,4822,120,1,1,1,0,0,0,0,astropy/astropy
2,4,2,4,3,4,2,0,3,pytest-dev__pytest-7324,2,0,1,1,1,1,3,10,1.0413926851582251,8,2,1245,0,0,0,0,367,1,1,1,42,469,10,0,1,1,0,0,0,0,pytest-dev/pytest
3,5,3,3,3,2,3,1,4,sympy__sympy-13091,3,1,1,1,1,21,45,112,2.0530784434834195,56,56,17385,1,1,1,1,4276,2,2,121,242,1823,17,0,1,1,0,0,0,1,sympy/sympy
3,5,1,3,1,1,2,1,2,scikit-learn__scikit-learn-13496,1,2,1,1,0,1,3,10,1.0413926851582251,9,1,1285,0,0,0,0,1151,1,1,22,197,1371,20,0,0,1,0,0,0,0,scikit-learn/scikit-learn
0,4,1,4,3,3,2,1,2,pydata__xarray-4094,3,1,0,0,1,1,1,2,0.47712125471966244,1,1,517,0,0,0,0,784,1,1,8,197,1604,78,0,0,1,1,0,0,0,pydata/xarray
3,5,1,3,2,1,2,1,2,django__django-16877,2,2,0,1,1,1,1,10,1.0413926851582251,10,0,628,0,0,0,0,2195,1,1,59,67,435,7,0,0,0,0,0,1,0,django/django
1,4,2,4,3,3,2,1,2,matplotlib__matplotlib-25311,4,3,0,0,1,1,2,4,0.6989700043360189,3,1,924,0,0,0,0,1413,3,1,12,101,908,67,0,0,1,1,0,0,0,matplotlib/matplotlib
3,5,2,3,2,1,2,1,2,scikit-learn__scikit-learn-25232,2,2,1,1,0,1,5,13,1.146128035678238,13,0,2301,0,0,0,0,1004,1,1,15,191,1448,26,0,1,0,0,0,0,0,scikit-learn/scikit-learn
1,4,3,4,3,3,2,0,4,pytest-dev__pytest-7236,3,0,1,0,1,1,4,11,1.0791812460476249,8,3,1686,0,0,0,0,1252,1,1,34,241,2692,87,1,0,1,1,0,0,0,pytest-dev/pytest
2,4,2,3,2,2,2,1,2,pydata__xarray-3993,2,3,1,1,1,2,5,49,1.6989700043360187,36,13,4058,0,0,1,0,1002,2,2,5,132,919,17,0,1,1,0,0,0,0,pydata/xarray
3,4,4,5,4,4,3,0,4,django__django-15563,3,1,1,1,1,2,3,25,1.414973347970818,22,3,2588,0,0,1,0,899,1,1,12,175,1727,37,0,0,0,0,0,1,0,django/django
1,4,3,4,4,3,3,0,3,sympy__sympy-13615,3,1,0,0,1,1,1,12,1.1139433523068367,11,1,871,0,0,0,0,553,1,1,4,30,201,9,0,0,1,0,0,0,1,sympy/sympy
1,4,3,4,4,3,2,0,3,pydata__xarray-6744,3,1,0,0,1,1,1,17,1.255272505103306,11,6,1309,0,0,0,0,1464,2,1,15,208,1547,39,0,1,1,0,1,0,0,pydata/xarray
1,5,2,4,3,3,2,0,2,sphinx-doc__sphinx-7454,3,0,0,0,1,1,1,7,0.9030899869919435,6,1,697,0,0,0,0,1003,2,1,7,279,2677,73,0,1,1,0,0,0,0,sphinx-doc/sphinx
0,4,1,4,2,2,2,1,2,matplotlib__matplotlib-23314,3,0,0,0,1,1,1,2,0.47712125471966244,2,0,421,0,0,0,0,1284,3,2,14,124,943,57,0,0,1,0,0,0,0,matplotlib/matplotlib
3,5,1,3,2,2,2,1,2,scikit-learn__scikit-learn-12585,1,0,1,1,1,1,1,2,0.47712125471966244,1,1,519,0,0,0,0,604,1,1,9,174,1422,42,0,1,1,1,0,0,0,scikit-learn/scikit-learn
3,5,1,2,2,2,3,1,1,pylint-dev__pylint-6903,1,0,1,1,0,1,1,7,0.9030899869919435,7,0,558,0,0,0,0,2066,2,1,37,305,2662,71,0,1,1,1,0,0,0,pylint-dev/pylint
3,4,2,4,3,3,3,0,3,django__django-12273,3,1,1,1,1,1,1,3,0.6020599913279624,3,0,563,0,0,0,0,2313,2,1,37,106,926,27,0,0,0,0,0,1,0,django/django
2,4,1,3,2,2,2,1,2,sympy__sympy-12481,2,1,0,1,1,1,1,8,0.9542425094393249,2,6,760,0,0,0,0,1120,2,1,2,55,407,5,0,0,0,0,0,0,1,sympy/sympy
2,4,3,3,3,2,2,1,2,django__django-10999,2,1,1,1,1,1,1,7,0.9030899869919435,4,3,520,0,0,0,0,943,1,1,7,56,616,17,0,1,0,0,0,1,0,django/django
