localization_strategy,hypothesis_testing,incremental_vs_big_bang,error_recovery,verification_approach,exploration_depth,edit_precision,iteration_count,test_creation,context_gathering,brief_summary,task_id,agent,resolved,original_steps,filtered_steps,error,raw_response
3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,"Agent created reproduction scripts to understand the issue with MySQL collation handling in Django migrations, then used iterative search and multiple small edits to locate and fix the problem.",django__django-15629,20240728_sweagent_gpt4o,False,62,50,,
2.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,"Agent created a reproduction script to identify the bug, then found the specific error location through simple search and fixed it with targeted logic to handle non-tuple children in Q.deconstruct().",django__django-14140,20240728_sweagent_gpt4o,False,13,10,,
2.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,"Agent created a reproduction script and attempted to add header_rows support to RST writer through multiple small edits, but failed to understand the proper table formatting requirements.",astropy__astropy-14182,20240728_sweagent_gpt4o,False,63,61,,
2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,"Agent created a reproduction script and found the bug location via simple search, but then made repeated identical failed edits without understanding the syntax errors, showing poor error recovery and editing precision.",astropy__astropy-14096,20240728_sweagent_gpt4o,False,66,65,,
2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,"Agent created a Django management command to test deletion behavior and made a small optimization to the Collector class, but struggled with test setup and environment configuration.",django__django-11087,20240728_sweagent_gpt4o,False,60,45,,
1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,Agent created a reproduction script but spent most effort struggling with Django setup issues rather than identifying and fixing the actual bug. Eventually found and modified the model save method after many setup attempts.,django__django-12209,20240728_sweagent_gpt4o,False,69,55,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,"Agent jumped directly to modifying django/db/models/enums.py without exploration, adding do_not_call_in_templates to enum classes, but created multiple syntax errors and duplicated code without successfully resolving the TypeError from Python's enum inheritance restrictions.",django__django-12304,20240728_sweagent_gpt4o,False,41,38,,
2.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0,"Agent created a reproduction script to identify the issue, then directly located and fixed the _get_timezone_name function in django/utils/timezone.py with a targeted edit to handle Etc/GMT timezone name conversion.",django__django-14792,20240728_sweagent_gpt4o,False,9,6,,
2.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0,"Agent created a reproduction script to identify the bug, used a simple search to find the problematic file, then made a single targeted edit to catch ValueError and return NotImplemented.",astropy__astropy-13977,20240728_sweagent_gpt4o,False,9,7,,
3.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,"The agent created a reproduction script and iteratively fixed configuration issues, then located the Exists class and attempted a fix by checking for empty queries in the as_sql method.",django__django-15382,20240728_sweagent_gpt4o,False,67,62,,
