instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
path-tracing,1,4,5,5,5,4,0,5,5,5,5,1,4,0,2,4,4,3,5,3,5,5,1,1,4,2,1,1
large-scale-text-editing,1,4,5,4,5,3,0,5,5,5,5,1,5,0,2,4,4,3,4,3,5,5,1,1,2,4,1,1
train-fasttext,1,4,4,3,3,3,1,4,3,5,3,2,4,1,2,3,3,2,3,3,5,5,1,2,2,1,2,1
multi-source-data-merger,2,5,3,3,2,3,1,5,4,5,3,1,4,1,2,3,3,2,3,2,5,5,1,1,2,1,2,1
regex-chess,0,4,5,5,5,4,0,5,5,5,5,1,5,0,1,4,4,4,5,2,5,5,1,1,4,4,2,1
schemelike-metacircular-eval,1,4,5,5,5,4,0,4,5,4,5,3,5,0,2,4,4,3,5,3,4,5,1,1,3,2,1,1
sanitize-git-repo,2,4,3,3,2,3,1,4,3,5,3,3,4,1,2,4,3,3,3,2,4,5,1,3,3,3,4,3
fix-git,0,3,3,3,3,2,1,2,2,3,4,2,2,1,2,3,2,1,3,2,4,5,2,1,2,2,2,2
configure-git-webserver,1,4,4,3,3,3,1,4,5,5,4,3,4,1,4,3,3,2,4,4,1,2,4,4,2,1,2,1
git-leak-recovery,1,4,4,3,3,3,1,4,4,5,3,2,4,1,2,5,4,4,3,2,4,5,2,1,1,2,1,1
circuit-fibsqrt,0,4,5,5,5,3,0,5,5,5,5,3,5,0,2,4,3,4,5,3,4,5,1,1,3,2,1,1
regex-log,1,4,3,5,4,3,0,5,5,5,4,1,5,1,1,5,3,5,4,1,5,5,1,1,2,1,1,1
custom-memory-heap-crash,0,4,5,5,5,4,0,4,5,4,5,4,4,0,2,4,3,3,5,4,5,5,1,3,4,2,4,4
sparql-university,1,4,4,4,3,3,1,5,4,5,4,1,4,0,2,4,3,3,4,3,5,5,1,1,2,1,1,1
compile-compcert,1,4,5,3,4,3,0,4,3,5,4,3,4,0,3,5,4,4,4,5,1,5,4,5,4,2,5,3
build-pmars,1,4,4,3,4,3,0,4,4,4,4,2,4,0,2,4,3,3,3,3,4,5,2,3,4,3,3,1
log-summary-date-ranges,1,5,2,3,2,2,1,5,4,5,3,1,5,1,2,4,3,2,3,2,5,5,1,1,1,2,1,1
code-from-image,1,3,3,4,5,2,0,4,3,5,5,1,3,0,2,3,2,1,4,3,5,5,1,1,2,1,1,1
qemu-alpine-ssh,1,4,4,3,3,3,1,4,4,5,4,2,4,1,3,3,2,1,5,5,5,5,1,4,2,2,3,1
feal-linear-cryptanalysis,1,3,5,5,5,2,0,4,4,4,5,3,4,0,2,3,2,1,5,3,4,5,1,1,4,2,1,1
make-mips-interpreter,1,4,5,5,5,4,0,4,4,4,5,5,4,0,2,4,4,2,5,5,4,5,2,3,5,2,2,2
adaptive-rejection-sampler,1,4,5,5,5,3,0,4,4,4,4,2,4,0,2,4,4,4,5,3,4,5,1,3,2,2,2,1
sqlite-db-truncate,1,4,4,4,4,3,0,4,3,4,4,1,3,0,2,3,3,2,4,2,5,5,1,1,2,1,1,1
