instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
merge-diff-arc-agi-task,5,1,2,4,4,4,5,1,5,2,0,4,1,2,3
modernize-scientific-stack,2,1,2,2,2,5,4,2,2,2,1,2,3,2,2
dna-insert,5,1,1,5,5,4,5,1,4,2,0,4,1,3,4
mteb-leaderboard,5,1,2,4,5,4,5,1,3,2,0,4,1,1,2
install-windows-3.11,5,1,3,5,5,4,4,2,3,4,0,5,2,3,4
feal-differential-cryptanalysis,5,1,2,5,5,4,4,2,5,1,0,5,1,1,3
video-processing,5,1,1,5,5,4,5,2,4,2,0,4,1,2,4
pypi-server,3,1,2,3,4,5,4,1,3,3,1,4,1,3,2
vulnerable-secret,2,1,1,3,4,4,5,4,3,2,1,3,1,1,2
pytorch-model-recovery,3,1,2,3,4,5,4,2,3,2,1,4,2,3,3
mailman,4,1,3,5,5,4,4,2,4,4,1,5,1,2,4
polyglot-rust-c,5,1,1,5,5,4,5,5,5,2,0,5,0,3,2
crack-7z-hash,3,4,2,4,4,4,5,3,3,2,1,3,0,1,2
dna-assembly,5,1,2,5,5,4,4,2,5,2,0,5,1,4,4
build-pov-ray,5,1,3,5,5,4,5,4,4,3,0,5,1,3,3
cobol-modernization,4,1,2,3,3,5,5,2,4,2,1,3,1,2,3
fix-ocaml-gc,5,4,3,5,5,3,4,4,5,2,0,4,0,2,4
write-compressor,5,1,3,5,5,4,5,2,5,2,0,5,0,3,2
rstan-to-pystan,5,1,2,5,5,5,5,3,4,3,0,5,1,2,4
protein-assembly,5,1,3,5,5,5,5,2,5,2,0,5,1,3,4
path-tracing,5,1,1,5,5,5,5,4,5,2,0,5,1,3,4
large-scale-text-editing,5,1,1,5,5,5,5,2,4,2,0,4,1,3,3
train-fasttext,3,1,2,3,4,4,5,2,3,2,1,3,1,2,3
multi-source-data-merger,2,1,1,3,3,5,5,2,3,2,1,3,2,2,3
regex-chess,5,1,1,5,5,5,5,4,5,1,0,5,0,4,4
schemelike-metacircular-eval,5,1,3,5,5,4,4,3,5,2,0,5,1,3,4
sanitize-git-repo,2,3,3,3,3,4,4,3,3,2,1,3,2,3,3
fix-git,3,2,2,4,3,2,4,2,3,2,1,3,0,1,2
configure-git-webserver,3,1,3,4,4,4,1,2,3,4,1,4,1,2,3
git-leak-recovery,3,1,2,3,4,4,4,1,3,2,1,3,1,4,3
circuit-fibsqrt,5,1,3,5,5,5,4,3,5,2,0,5,0,4,3
regex-log,4,1,1,4,3,5,5,2,5,1,1,4,1,5,3
custom-memory-heap-crash,5,4,4,5,5,4,5,4,5,2,0,5,0,3,4
sparql-university,3,1,1,4,4,5,5,2,4,2,0,4,1,3,3
compile-compcert,4,3,3,4,5,4,1,4,3,3,0,4,1,4,3
build-pmars,4,1,2,4,4,4,4,4,3,2,0,3,1,3,3
log-summary-date-ranges,2,1,1,3,2,5,5,1,3,2,1,3,1,2,2
code-from-image,5,1,1,5,3,4,5,2,4,2,0,4,1,1,2
qemu-alpine-ssh,3,1,2,4,4,4,5,2,3,3,1,5,1,1,3
feal-linear-cryptanalysis,5,1,3,5,5,4,4,4,5,2,0,5,1,1,2
make-mips-interpreter,5,2,5,5,5,4,4,5,5,2,0,5,1,2,4
adaptive-rejection-sampler,5,1,2,4,5,4,4,2,5,2,0,5,1,4,3
sqlite-db-truncate,4,1,1,4,4,4,5,2,4,2,0,4,1,2,3
